,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,allopregnenalone,allopregnanolone,False,False,True,,2
1,allo-pregnanolone,allopregnanolone,False,False,True,,2
2,allo-pregnanalone,allopregnanolone,False,False,True,,1
3,5α-pregnan-3α-ol-20-one,allopregnanolone,False,False,True,,9
4,5α-pregnane-3α-ol-20-one,allopregnanolone,False,False,True, pill,1
5,3α-hydroxy-5α-pregnan-20-one,allopregnanolone,False,False,True,,3
6,3α-hydroxy-5α-pregnane-20-one,allopregnanolone,False,False,True, pill,1
7,allopregnenol,allopregnanolone,False,False,False,,-1
8,allopregnanolon,allopregnanolone,False,False,True,,1
9,allopregnanolol,allopregnanolone,False,False,False,,-1
10,allopregnanolon,allopregnanolone,False,False,True,,1
11,allopregnanolone,allopregnanolone,allopregnanolone,True,True,,1
12,5-allopregnanolone,allopregnanolone,False,False,True,,1
13,"allopregna-3,5-dien-7-one",allopregnanolone,False,False,False,,-1
14,"allopregnane-3,5-dione",allopregnanolone,False,False,True, pill,5
15,allopregnanolol,allopregnanolone,False,False,False,,-1
16,allopregnan,allopregnanolone,False,False,True,,9
17,allopreg,allopregnanolone,False,False,True,,2
18,allo-pregnanolone,allopregnanolone,False,False,True,,2
19,allo-pregnenolone,allopregnanolone,False,False,True,,1
20,5-alpha-pregnan-3-alpha-ol-20-one,allopregnanolone,False,False,True, pill,3
21,allopregnanalone,allopregnanolone,allopregnanolone,True,True, pill,1
22,allopregnanolon,allopregnanolone,False,False,True,,1
23,allopregnenalone,allopregnanolone,False,False,True,,2
24,allopregnan,allopregnanolone,False,False,True,,9
25,allopreg,allopregnanolone,False,False,True,,2
26,allo-pregn-5-en-3-ol-20-one,allopregnanolone,False,False,True,,3
27,allopregnenalone,allopregnanolone,False,False,True,,2
28,allopregnenolone,allopregnanolone,allopregnanolone,True,True,,9
29,allopregnanolone,allopregnanolone,allopregnanolone,True,True,,1
30,allopregnolone,allopregnanolone,False,False,True,,7
31,allopretrolone,allopregnanolone,False,False,False,,-1
32,alloprostaglandin,allopregnanolone,False,False,False,,-1
33,allosteroid,allopregnanolone,False,False,True,,4
34,allopregnenolone,allopregnanolone,allopregnanolone,True,True,,9
35,allopregnenolone,allopregnanolone,allopregnanolone,True,True,,9
36,allopregnenalone,allopregnanolone,False,False,True,,2
37,allopregnane,allopregnanolone,False,False,True, pill,3
38,allopregnenolone,allopregnanolone,allopregnanolone,True,True,,9
39,allopregnenolol,allopregnanolone,False,False,False,,-1
40,allopregnenolone,allopregnanolone,allopregnanolone,True,True,,9
41,allopregnanalone,allopregnanolone,allopregnanolone,True,True, pill,1
42,allopregnenolol,allopregnanolone,False,False,False,,-1
43,allopregnanolon,allopregnanolone,False,False,True,,1
44,allopregnanol,allopregnanolone,False,False,True,,4
45,allopregna,allopregnanolone,False,False,True,,1
46,allopreg,allopregnanolone,False,False,True,,2
47,allo,allopregnanolone,False,False,False,,-1
48,al,allopregnanolone,albendazole,False,False,,-1
49,allopregnanlonane,allopregnanolone,False,False,False,,-1
50,allopreg-nanolone,allopregnanolone,False,False,True,,1
51,allopregnan-4-ol-3-one,allopregnanolone,False,False,True,,8
52,pregn-4-en-3-one-17-ol,allopregnanolone,False,False,False,,-1
53,4-pregnen-3-one-17-ol,allopregnanolone,False,False,False,,-1
54,allopregnanolone,allopregnanolone,allopregnanolone,True,True,,1
55,allopregnenolone,allopregnanolone,allopregnanolone,True,True,,9
56,allopregnanolone,allopregnanolone,allopregnanolone,True,True,,1
57,allopregnan,allopregnanolone,False,False,True,,9
58,allo-pregnanolone,allopregnanolone,False,False,True,,2
59,5α-pregnan-3α-ol-20-one,allopregnanolone,False,False,True,,9
60,allopregnanalone,allopregnanolone,allopregnanolone,True,True, pill,1
61,allopregnanolone,allopregnanolone,allopregnanolone,True,True,,1
62,allopregnan_3alpha-ol-20-one,allopregnanolone,False,False,True,,2
63,5alpha-pregnane-3alpha-ol-20-one,allopregnanolone,False,False,True, pill,2
64,5_alpha-pregnan-3_alpha-ol-20-one,allopregnanolone,False,False,True, pill,3
65,5_alpha-pregnane-3_alpha-ol-20-one,allopregnanolone,False,False,True, pill,4
66,(5alpha)-pregnane-3_alpha-ol-20-one,allopregnanolone,False,False,True, pill,4
67,allopregnenolone,allopregnanolone,allopregnanolone,True,True,,9
68,allopregnanadiol,allopregnanolone,False,False,False,,-1
69,allopregnanediol,allopregnanolone,False,False,True,,1
70,allopregnenetriol,allopregnanolone,False,False,False,,-1
71,allopregnenetetrol,allopregnanolone,False,False,False,,-1
72,allopregnanetriolone,allopregnanolone,False,False,False,,-1
73,allopregnenetetrolone,allopregnanolone,False,False,False,,-1
74,allopregnolone,allopregnanolone,False,False,True,,7
75,5α-pregnan-3α-ol-20-one,allopregnanolone,False,False,True,,9
76,allopregnolone,allopregnanolone,False,False,True,,7
77,5alpha-pregnan-3alpha-ol-20-one,allopregnanolone,False,False,True, pill,2
78,allopregnanalone,allopregnanolone,allopregnanolone,True,True, pill,1
79,allopregnanolone,allopregnanolone,allopregnanolone,True,True,,1
80,allopregnanolol,allopregnanolone,False,False,False,,-1
81,allopregnenolone,allopregnanolone,allopregnanolone,True,True,,9
82,allopregnanetriol,allopregnanolone,False,False,True,,9
83,5_alpha-pregnan-3_alpha-ol-20-one,allopregnanolone,False,False,True, pill,3
84,5_alpha-pregnane-3_alpha-ol-20-one,allopregnanolone,False,False,True, pill,4
85,allopregnanalone,allopregnanolone,allopregnanolone,True,True, pill,1
86,allopregnanolon,allopregnanolone,False,False,True,,1
87,allopregnolon,allopregnanolone,False,False,False,,-1
88,"allopregna-3,5-dien-7-one",allopregnanolone,False,False,False,,-1
89,"5alpha-pregnan-3,5-dien-20-one",allopregnanolone,False,False,False,,-1
90,allopregnanalone,allopregnanolone,allopregnanolone,True,True, pill,1
91,allopregnanolon,allopregnanolone,False,False,True,,1
92,allopregnanolone,allopregnanolone,allopregnanolone,True,True,,1
93,allopregnanolone,allopregnanolone,allopregnanolone,True,True,,1
94,allopregnane,allopregnanolone,False,False,True, pill,3
95,allopregnanediol,allopregnanolone,False,False,True,,1
96,allopregnanedione,allopregnanolone,False,False,True, pill,2
97,allopregnenolone,allopregnanolone,allopregnanolone,True,True,,9
98,allopregnetriol,allopregnanolone,False,False,False,,-1
99,allopresanolone,allopregnanolone,False,False,False,,-1
100,allotetrahydrodeoxycorticosterone,allopregnanolone,False,False,True,,8
101,allopregnenalone,allopregnanolone,False,False,True,,2
102,allo-pregnanolone,allopregnanolone,False,False,True,,2
103,allo-pregnanalone,allopregnanolone,False,False,True,,1
104,5_alpha-pregnan-3_alpha-ol-20-one,allopregnanolone,False,False,True, pill,3
105,5_alpha-pregnane-3_alpha-ol-20-one,allopregnanolone,False,False,True, pill,4
106,3_alpha-hydroxy-5_alpha-pregnan-20-one,allopregnanolone,False,False,True, pill,6
107,3_alpha-hydroxy-5_alpha-pregnane-20-one,allopregnanolone,False,False,True, pill,7
108,allopregnone,allopregnanolone,False,False,True,,1
109,allopregnenalone,allopregnanolone,False,False,True,,2
110,allopregn-5-en-3-ol-20-one,allopregnanolone,False,False,True,,1
111,5α-allopregnan-3β-ol-20-one,allopregnanolone,False,False,True,,8
112,allopregnan,allopregnanolone,False,False,True,,9
113,allopregn,allopregnanolone,False,False,True,,1
114,allopreg,allopregnanolone,False,False,True,,2
115,allopregnenalone,allopregnanolone,False,False,True,,2
116,allopregnanone,allopregnanolone,False,False,True,,1
117,allopregenalone,allopregnanolone,False,False,True, pill,1
118,allopregnanolol,allopregnanolone,False,False,False,,-1
119,allopregnanolon,allopregnanolone,False,False,True,,1
120,alloprregnenolone,allopregnanolone,False,False,False,,-1
121,allopregnanolol,allopregnanolone,False,False,False,,-1
122,allopregnanalone,allopregnanolone,allopregnanolone,True,True, pill,1
123,allopregnanolone,allopregnanolone,allopregnanolone,True,True,,1
124,allopregnan,allopregnanolone,False,False,True,,9
125,allopreg,allopregnanolone,False,False,True,,2
126,allop,allopregnanolone,False,False,True,,3
127,allopregnenalone,allopregnanolone,False,False,True,,2
128,"allopregna-4,9-diene-3,20-dione",allopregnanolone,False,False,False,,-1
129,allopregnanolon,allopregnanolone,False,False,True,,1
130,allopregnenolon,allopregnanolone,False,False,True, pill,6
131,allopregnalonol,allopregnanolone,False,False,False,,-1
132,allopregnanolol,allopregnanolone,False,False,False,,-1
133,allopregnanolone,allopregnanolone,allopregnanolone,True,True,,1
134,allopregnanalol,allopregnanolone,False,False,False,,-1
135,allopreganalone,allopregnanolone,False,False,False,,-1
136,allopregnanolone,allopregnanolone,allopregnanolone,True,True,,1
137,allopregnenalone,allopregnanolone,False,False,True,,2
138,allopregnane,allopregnanolone,False,False,True, pill,3
139,allopregnenolone,allopregnanolone,allopregnanolone,True,True,,9
140,allopregnan-3alpha-ol,allopregnanolone,False,False,True,,1
141,allopregnanolol,allopregnanolone,False,False,False,,-1
142,allopregnenol,allopregnanolone,False,False,False,,-1
143,allopregnan,allopregnanolone,False,False,True,,9
144,alloprene,allopregnanolone,False,False,False,,-1
145,allopregnanol,allopregnanolone,False,False,True,,4
146,allopregnolone,allopregnanolone,False,False,True,,7
147,allopreg-5-en-3-ol-20-one,allopregnanolone,False,False,True,,1
148,5alpha-pregnan-3alpha-ol-20-one,allopregnanolone,False,False,True, pill,2
149,allopregnolone,allopregnanolone,False,False,True,,7
150,allopregnanol,allopregnanolone,False,False,True,,4
151,allopregnenalone,allopregnanolone,False,False,True,,2
152,allopregnanolone,allopregnanolone,allopregnanolone,True,True,,1
153,allopregnan,allopregnanolone,False,False,True,,9
154,allopregnane,allopregnanolone,False,False,True, pill,3
155,allopregnanol,allopregnanolone,False,False,True,,4
156,allopregnanolol,allopregnanolone,False,False,False,,-1
157,allopregnanone,allopregnanolone,False,False,True,,1
158,allopregnenalone,allopregnanolone,False,False,True,,2
159,allopregnenalone,allopregnanolone,False,False,True,,2
160,allopregnanolol,allopregnanolone,False,False,False,,-1
161,allopregnanona,allopregnanolone,False,False,False,,-1
162,allopregnanol,allopregnanolone,False,False,True,,4
163,allopregnan,allopregnanolone,False,False,True,,9
164,allopregna,allopregnanolone,False,False,True,,1
165,allopregn,allopregnanolone,False,False,True,,1
166,allopreg,allopregnanolone,False,False,True,,2
167,all-trans-pregnan-3alpha-ol-20-one,allopregnanolone,False,False,False,,-1
168,allopregnan-ol-one,allopregnanolone,False,False,True,,2
169,allo-pregn-anol-one,allopregnanolone,False,False,True,,1
170,allopregnolone,allopregnanolone,False,False,True,,7
171,allopregnan,allopregnanolone,False,False,True,,9
172,allopregn,allopregnanolone,False,False,True,,1
173,allopreg,allopregnanolone,False,False,True,,2
174,allopreganolone,allopregnanolone,False,False,True,,2
175,allopreganalone,allopregnanolone,False,False,False,,-1
176,allo-pregnanolone,allopregnanolone,False,False,True,,2
177,allopregnanolol,allopregnanolone,False,False,False,,-1
178,allopregnanoxide,allopregnanolone,False,False,False,,-1
179,allopregnenalone,allopregnanolone,False,False,True,,2
180,allopregnanolone,allopregnanolone,allopregnanolone,True,True,,1
181,allopregnorone,allopregnanolone,False,False,False,,-1
182,allopregnenalone,allopregnanolone,False,False,True,,2
183,allopregnan,allopregnanolone,False,False,True,,9
184,allopregnadiol,allopregnanolone,False,False,False,,-1
185,allopregnanediol,allopregnanolone,False,False,True,,1
186,allopregnanetriol,allopregnanolone,False,False,True,,9
187,allopregnanetetrol,allopregnanolone,False,False,False,,-1
188,allopregnanpentol,allopregnanolone,False,False,False,,-1
189,allopregnanhexol,allopregnanolone,False,False,False,,-1
190,5alpha-pregnan-3alpha-ol-20-one,allopregnanolone,False,False,True, pill,2
191,allopregnenalone,allopregnanolone,False,False,True,,2
192,5alpha-pregnan-3alpha-ol-20-one,allopregnanolone,False,False,True, pill,2
193,5alpha-pregnan-3alpha-olone,allopregnanolone,False,False,True,,1
194,allo-pregnan-ol-one,allopregnanolone,False,False,True,,1
195,allopregnenolone,allopregnanolone,allopregnanolone,True,True,,9
196,allopreg-5-en-3-ol-7-one,allopregnanolone,False,False,True,,1
197,allopregnanol,allopregnanolone,False,False,True,,4
198,allopregnan,allopregnanolone,False,False,True,,9
199,allopregn,allopregnanolone,False,False,True,,1
200,allopreg,allopregnanolone,False,False,True,,2
201,allopre,allopregnanolone,False,False,False,,-1
202,allopr,allopregnanolone,False,False,True,,5
203,allop,allopregnanolone,False,False,True,,3
204,allopregnenalone,allopregnanolone,False,False,True,,2
205,allo-pregnenolone,allopregnanolone,False,False,True,,1
206,allo-pregnenalone,allopregnanolone,False,False,True,,1
207,allopregnenalone,allopregnanolone,False,False,True,,2
208,allopregnanoxide,allopregnanolone,False,False,False,,-1
209,allopregna-n-olone,allopregnanolone,False,False,True,,2
210,allopregnenolone,allopregnanolone,allopregnanolone,True,True,,9
211,allopregnanalone,allopregnanolone,allopregnanolone,True,True, pill,1
212,"pregna-4,9-diene-3,20-dione",allopregnanolone,False,False,False,,-1
213,alloprette,allopregnanolone,False,False,False,,-1
214,allopregna-diol,allopregnanolone,False,False,True,,8
215,allopregna-diolone,allopregnanolone,False,False,False,,-1
216,allopregnanediol,allopregnanolone,False,False,True,,1
217,allopregnanetriol,allopregnanolone,False,False,True,,9
218,tetrahydroprogesterone,allopregnanolone,allopregnanolone,False,True,,1
219,allopregnanolone,allopregnanolone,allopregnanolone,True,True,,1
220,allopregnanediol,allopregnanolone,False,False,True,,1
221,allopregnenol,allopregnanolone,False,False,False,,-1
222,allopregnane,allopregnanolone,False,False,True, pill,3
223,allopregna,allopregnanolone,False,False,True,,1
224,allopreg,allopregnanolone,False,False,True,,2
225,allo,allopregnanolone,False,False,False,,-1
226,allopregnalone,allopregnanolone,allopregnanolone,True,True,,6
227,allopregnanolone,allopregnanolone,allopregnanolone,True,True,,1
228,allopregnanolol,allopregnanolone,False,False,False,,-1
229,allopregnan-ol-one,allopregnanolone,False,False,True,,2
230,allo-pregn-an-ol-one,allopregnanolone,False,False,True,,1
231,allopregnanolone,allopregnanolone,allopregnanolone,True,True,,1
232,allopregnenalone,allopregnanolone,False,False,True,,2
233,allopregnenalone,allopregnanolone,False,False,True,,2
234,allopregnanalone,allopregnanolone,allopregnanolone,True,True, pill,1
235,allopregnenolone,allopregnanolone,allopregnanolone,True,True,,9
236,allopregnan,allopregnanolone,False,False,True,,9
237,allopreg,allopregnanolone,False,False,True,,2
238,allopr,allopregnanolone,False,False,True,,5
239,allo,allopregnanolone,False,False,False,,-1
240,allopregnan,allopregnanolone,False,False,True,,9
241,allopreg,allopregnanolone,False,False,True,,2
242,allo-preg,allopregnanolone,False,False,True,,1
243,allo-pregnenolone,allopregnanolone,False,False,True,,1
244,allo-pregnalone,allopregnanolone,False,False,True,,1
245,allopregnolone,allopregnanolone,False,False,True,,7
246,allo-pregnanolone,allopregnanolone,False,False,True,,2
247,5α-pregnan-3α-ol-20-one,allopregnanolone,False,False,True,,9
248,allopregnanolol,allopregnanolone,False,False,False,,-1
249,allopreganalone,allopregnanolone,False,False,False,,-1
250,allopregnanolone,allopregnanolone,allopregnanolone,True,True,,1
251,allopregnenol,allopregnanolone,False,False,False,,-1
252,allopregnanon,allopregnanolone,False,False,False,,-1
253,allopregnanen,allopregnanolone,False,False,False,,-1
254,allopregnanone,allopregnanolone,False,False,True,,1
255,allopregnan,allopregnanolone,False,False,True,,9
256,allopreg,allopregnanolone,False,False,True,,2
257,"allopregna-4-ene-3,20-dione",allopregnanolone,False,False,True,,6
258,allopregnanolol,allopregnanolone,False,False,False,,-1
259,allopregnanolon,allopregnanolone,False,False,True,,1
260,allopregnolone,allopregnanolone,False,False,True,,7
261,allopregnane,allopregnanolone,False,False,True, pill,3
262,allopregnan,allopregnanolone,False,False,True,,9
263,allopregn,allopregnanolone,False,False,True,,1
264,allopreg,allopregnanolone,False,False,True,,2
265,allopre,allopregnanolone,False,False,False,,-1
266,allopr,allopregnanolone,False,False,True,,5
267,allop,allopregnanolone,False,False,True,,3
268,allopregnanetriol,allopregnanolone,False,False,True,,9
269,allopregnanediol,allopregnanolone,False,False,True,,1
270,allopregnanether,allopregnanolone,False,False,False,,-1
271,allopregnenetetrol,allopregnanolone,False,False,False,,-1
272,"allopregna-4-en-3,20-dione",allopregnanolone,False,False,True,,3
273,"allopregnan-4-ol-3,20-dione",allopregnanolone,False,False,True,,10
274,"4-allopregnen-3,20-diol",allopregnanolone,False,False,False,,-1
275,allopregnenolone,allopregnanolone,allopregnanolone,True,True,,9
276,allopregnenalone,allopregnanolone,False,False,True,,2
277,allopregnanon,allopregnanolone,False,False,False,,-1
278,allopregna-5-ol-3-one,allopregnanolone,False,False,True,,2
279,5alpha-pregnan-3alpha-ol-20-one,allopregnanolone,False,False,True, pill,2
280,allopregnanlone,allopregnanolone,False,False,True,,2
281,allopregnanolone,allopregnanolone,allopregnanolone,True,True,,1
282,allopregnan,allopregnanolone,False,False,True,,9
283,allopreg,allopregnanolone,False,False,True,,2
284,allo-pregnenolone,allopregnanolone,False,False,True,,1
285,allo-pregnenalone,allopregnanolone,False,False,True,,1
286,allo-pregnane-olone,allopregnanolone,False,False,True,,2
287,allopregnane,allopregnanolone,False,False,True, pill,3
288,allopregnan,allopregnanolone,False,False,True,,9
289,allopreg,allopregnanolone,False,False,True,,2
290,alloaurostegol,allopregnanolone,False,False,False,,-1
291,allopregnanol,allopregnanolone,False,False,True,,4
292,allopregnanolone,allopregnanolone,allopregnanolone,True,True,,1
293,5_alpha-pregnan-3_alpha-ol-20-one,allopregnanolone,False,False,True, pill,3
294,3_alpha-hydroxyprogesterone,allopregnanolone,False,False,False,,-1
295,allopregnanolone,allopregnanolone,allopregnanolone,True,True,,1
296,allopregnenolone,allopregnanolone,allopregnanolone,True,True,,9
297,5α-allopregnan-3α-ol-20-one,allopregnanolone,False,False,True,,4
298,"3α,5α-tetrahydroprogesterone",allopregnanolone,False,False,True,,1
299,allopregnane,allopregnanolone,False,False,True, pill,3
300,allopregnan,allopregnanolone,False,False,True,,9
301,allopregnan-3-ol-17-one,allopregnanolone,False,False,True,,4
302,5alpha-pregnan-3alpha-ol-17-one,allopregnanolone,False,False,True, pill,2
303,allopregnenalone,allopregnanolone,False,False,True,,2
304,allopregnanolol,allopregnanolone,False,False,False,,-1
305,allopregnenolol,allopregnanolone,False,False,False,,-1
306,allopregnanolol,allopregnanolone,False,False,False,,-1
307,allopregnanediol,allopregnanolone,False,False,True,,1
308,allopregnanetriol,allopregnanolone,False,False,True,,9
309,allopregnanetetrol,allopregnanolone,False,False,False,,-1
310,5alpha-pregnan-3alpha-ol-20-one,allopregnanolone,False,False,True, pill,2
311,5alpha-pregnane-3alpha-ol-20-one,allopregnanolone,False,False,True, pill,2
312,5-alpha-pregnan-3-alpha-ol-20-one,allopregnanolone,False,False,True, pill,3
313,allopregnanolone,allopregnanolone,allopregnanolone,True,True,,1
314,allopregnanolone,allopregnanolone,allopregnanolone,True,True,,1
315,allopregnanediol,allopregnanolone,False,False,True,,1
316,allopregnanetriol,allopregnanolone,False,False,True,,9
317,allopregnenetriol,allopregnanolone,False,False,False,,-1
318,allopregnanediolone,allopregnanolone,False,False,False,,-1
319,allopregnanepoxyde,allopregnanolone,False,False,False,,-1
320,allopregnene,allopregnanolone,False,False,False,,-1
321,allopregnanol,allopregnanolone,False,False,True,,4
322,allopregnanolone,allopregnanolone,allopregnanolone,True,True,,1
323,allopregnanolone,allopregnanolone,allopregnanolone,True,True,,1
324,allopregnanolone,allopregnanolone,allopregnanolone,True,True,,1
325,allopregnenolon,allopregnanolone,False,False,True, pill,6
326,allopregnanolone,allopregnanolone,allopregnanolone,True,True,,1
327,allopregnanolne,allopregnanolone,False,False,True,,1
328,5α-pregnan-3α-ol-20-one,allopregnanolone,False,False,True,,9
329,5α-pregnane-3α-ol-20-one,allopregnanolone,False,False,True, pill,1
330,allopregnenonolone,allopregnanolone,False,False,False,,-1
331,allopregnenanolone,allopregnanolone,False,False,True,,1
332,allopregnanolol,allopregnanolone,False,False,False,,-1
333,5alpha-pregnan-3alpha-ol-20-one,allopregnanolone,False,False,True, pill,2
334,5alpha-pregnan-3alpha-olone,allopregnanolone,False,False,True,,1
335,3alpha-hydroxy-5alpha-pregnan-20-one,allopregnanolone,False,False,True, pill,2
336,allopregnan_one,allopregnanolone,False,False,True,,10
337,allopregnanolol,allopregnanolone,False,False,False,,-1
338,allopregnanon,allopregnanolone,False,False,False,,-1
339,allopregnan-3alpha-ol,allopregnanolone,False,False,True,,1
340,allopregnan-3_beta-ol,allopregnanolone,False,False,True, pill,2
341,allopregnan-3-ol,allopregnanolone,False,False,True, pill,3
342,allopregnenolone,allopregnanolone,allopregnanolone,True,True,,9
343,allopregnanalone,allopregnanolone,allopregnanolone,True,True, pill,1
344,allopregnanolol,allopregnanolone,False,False,False,,-1
345,allopregnenolol,allopregnanolone,False,False,False,,-1
346,allopregnaloneol,allopregnanolone,False,False,False,,-1
347,allopregnanaloneol,allopregnanolone,False,False,False,,-1
348,allopregnanolol,allopregnanolone,False,False,False,,-1
349,5-allopregnan-3alpha-ol-20-one,allopregnanolone,False,False,True,,1
350,5-allopregnan-3-alpha-ol-20-one,allopregnanolone,False,False,True,,2
351,allopregnenolone,allopregnanolone,allopregnanolone,True,True,,9
352,allopregnanolon,allopregnanolone,False,False,True,,1
353,allopregnanalol,allopregnanolone,False,False,False,,-1
354,allopregnenalone,allopregnanolone,False,False,True,,2
355,allopregnenolol,allopregnanolone,False,False,False,,-1
356,allopregnanolol,allopregnanolone,False,False,False,,-1
357,allopregnenolol,allopregnanolone,False,False,False,,-1
358,allopregnanalone,allopregnanolone,allopregnanolone,True,True, pill,1
359,allopregnanolone,allopregnanolone,allopregnanolone,True,True,,1
360,allopregnanolone,allopregnanolone,allopregnanolone,True,True,,1
361,5_alpha-pregnane-3_alpha-ol-20-one,allopregnanolone,False,False,True, pill,4
362,allopregnanolone,allopregnanolone,allopregnanolone,True,True,,1
363,allopregnanalone,allopregnanolone,allopregnanolone,True,True, pill,1
364,allopregnanolol,allopregnanolone,False,False,False,,-1
365,allopregnenolone,allopregnanolone,allopregnanolone,True,True,,9
366,allopregnanalone,allopregnanolone,allopregnanolone,True,True, pill,1
367,allopregnenalone,allopregnanolone,False,False,True,,2
368,allopregnanalone,allopregnanolone,allopregnanolone,True,True, pill,1
369,allopregnenalone,allopregnanolone,False,False,True,,2
370,allopregnalone,allopregnanolone,allopregnanolone,True,True,,6
371,allopregnanalone,allopregnanolone,allopregnanolone,True,True, pill,1
372,allopregnenolone,allopregnanolone,allopregnanolone,True,True,,9
373,allopreg,allopregnanolone,False,False,True,,2
374,allop,allopregnanolone,False,False,True,,3
375,allopregnanolone,allopregnanolone,allopregnanolone,True,True,,1
376,allopregnenolone,allopregnanolone,allopregnanolone,True,True,,9
377,5alpha-pregnan-3alpha-ol-20-one,allopregnanolone,False,False,True, pill,2
378,allopregnanolol,allopregnanolone,False,False,False,,-1
379,allopregnenalone,allopregnanolone,False,False,True,,2
380,allopregnanolone,allopregnanolone,allopregnanolone,True,True,,1
381,allopregnanol,allopregnanolone,False,False,True,,4
382,allopregnan,allopregnanolone,False,False,True,,9
383,allopregn,allopregnanolone,False,False,True,,1
384,allopreg,allopregnanolone,False,False,True,,2
385,allopr,allopregnanolone,False,False,True,,5
386,allop,allopregnanolone,False,False,True,,3
387,allo,allopregnanolone,False,False,False,,-1
