,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,2methyltryptamine,alpha-methyltryptamine,False,False,True,,8
1,3-methyltryptamine,alpha-methyltryptamine,False,False,True,,5
2,16m,alpha-methyltryptamine,False,False,False,,-1
3,16o,alpha-methyltryptamine,False,False,False,,-1
4,16ac,alpha-methyltryptamine,False,False,False,,-1
5,16x,alpha-methyltryptamine,False,False,False,,-1
6,amt,alpha-methyltryptamine,alpha-methyltryptamine,True,True, drug,4
7,emcyt,alpha-methyltryptamine,False,False,False,,-1
8,amyt,alpha-methyltryptamine,False,False,False,,-1
9,amtpp,alpha-methyltryptamine,False,False,False,,-1
10,amtl,alpha-methyltryptamine,False,False,False,,-1
11,alpha-mee,alpha-methyltryptamine,False,False,False,,-1
12,alphamethyltryptamine,alpha-methyltryptamine,False,False,True,,1
13,"16a-methyl-9h-pyrido[3,2-b]indole-9-propanamine",alpha-methyltryptamine,False,False,False,,-1
14,a-me-t,alpha-methyltryptamine,False,False,False,,-1
15,α-me-t,alpha-methyltryptamine,False,False,False,,-1
16,tryptamine,alpha-methyltryptamine,False,False,False,,-1
17,indopan-th,alpha-methyltryptamine,False,False,True,,4
18,meperidine,alpha-methyltryptamine,pethidine,False,False,,-1
19,182,alpha-methyltryptamine,False,False,False,,-1
20,1g6,alpha-methyltryptamine,False,False,False,,-1
21,1a8,alpha-methyltryptamine,False,False,False,,-1
22,1b9,alpha-methyltryptamine,False,False,False,,-1
23,1q7,alpha-methyltryptamine,False,False,False,,-1
24,1s6,alpha-methyltryptamine,False,False,False,,-1
25,1u5,alpha-methyltryptamine,False,False,False,,-1
26,162d,alpha-methyltryptamine,False,False,False,,-1
27,161e,alpha-methyltryptamine,False,False,False,,-1
28,amyt,alpha-methyltryptamine,False,False,False,,-1
29,alpha-mehyl-tryptamine,alpha-methyltryptamine,False,False,True,,3
30,1-methyl-tryptamine,alpha-methyltryptamine,False,False,True,,1
31,amt,alpha-methyltryptamine,alpha-methyltryptamine,True,True, drug,4
32,ivadmt,alpha-methyltryptamine,False,False,False,,-1
33,krypto,alpha-methyltryptamine,False,False,False,,-1
34,k-hole,alpha-methyltryptamine,False,False,False,,-1
35,oz,alpha-methyltryptamine,False,False,False,,-1
36,purple_hearts,alpha-methyltryptamine,False,False,False,,-1
37,red_barn,alpha-methyltryptamine,False,False,False,,-1
38,soma,alpha-methyltryptamine,carisoprodol,False,False,,-1
39,αmt-616,alpha-methyltryptamine,False,False,False,,-1
40,516d,alpha-methyltryptamine,False,False,False,,-1
41,313d,alpha-methyltryptamine,False,False,False,,-1
42,318d,alpha-methyltryptamine,False,False,False,,-1
43,319d,alpha-methyltryptamine,False,False,False,,-1
44,312c,alpha-methyltryptamine,False,False,False,,-1
45,162e,alpha-methyltryptamine,False,False,False,,-1
46,a-mt,alpha-methyltryptamine,False,False,True,,4
47,methtryptamine,alpha-methyltryptamine,False,False,True,,2
48,tryptamine,alpha-methyltryptamine,False,False,False,,-1
49,tryptamine,alpha-methyltryptamine,False,False,False,,-1
50,methyltryptamine,alpha-methyltryptamine,diethyltryptamine,False,True,,3
51,171,alpha-methyltryptamine,False,False,False,,-1
52,172,alpha-methyltryptamine,False,False,False,,-1
53,17-methyl-9h-tryptamine,alpha-methyltryptamine,False,False,True,,5
