,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,weight_loss_drug,benzphetamine,False,False,False,,-1
1,hunger_suppressant,benzphetamine,False,False,False,,-1
2,anorex,benzphetamine,diethylpropion,False,False,,-1
3,anorectic,benzphetamine,False,False,False,,-1
4,diethylpropion,benzphetamine,diethylpropion,False,False,,-1
5,phendimetrazine,benzphetamine,phendimetrazine,False,False,,-1
6,phentermine,benzphetamine,phentermine,False,False,,-1
7,sibutramine,benzphetamine,sibutramine,False,False,,-1
8,diet_pill,benzphetamine,False,False,True, drug,2
9,anorectant,benzphetamine,False,False,True, slang,4
10,anorexigen,benzphetamine,False,False,False,,-1
11,anorexiant,benzphetamine,False,False,False,,-1
12,appetite_suppressant,benzphetamine,False,False,False,,-1
13,diethylpropion,benzphetamine,diethylpropion,False,False,,-1
14,phendimetrazine,benzphetamine,phendimetrazine,False,False,,-1
15,phenprobamate,benzphetamine,False,False,False,,-1
16,prolintane,benzphetamine,False,False,False,,-1
17,anorectagon,benzphetamine,False,False,False,,-1
18,r-modafinil,benzphetamine,False,False,False,,-1
19,modafinil,benzphetamine,modafinil,False,False,,-1
20,dextroamphetamine,benzphetamine,dextroamphetamine,False,False,,-1
21,amphetamine,benzphetamine,amphetamine,False,False,,-1
22,dextroamphetamine,benzphetamine,dextroamphetamine,False,False,,-1
23,levoamphetamine,benzphetamine,dextroamphetamine,False,False,,-1
24,methamphetamine,benzphetamine,methamphetamine,False,False,,-1
25,amphetamine,benzphetamine,amphetamine,False,False,,-1
26,methylphenidate,benzphetamine,methylphenidate,False,False,,-1
27,pemoline,benzphetamine,pemoline,False,False,,-1
28,modafinil,benzphetamine,modafinil,False,False,,-1
29,dexedrine,benzphetamine,dextroamphetamine,False,False,,-1
30,prodeine,benzphetamine,False,False,False,,-1
31,rapidin,benzphetamine,False,False,False,,-1
32,zenzedi,benzphetamine,dextroamphetamine,False,False,,-1
33,anorex,benzphetamine,diethylpropion,False,False,,-1
34,bontril,benzphetamine,phendimetrazine,False,False,,-1
35,plegine,benzphetamine,False,False,False,,-1
36,preludin,benzphetamine,phenmetrazine,False,False,,-1
37,quickslim,benzphetamine,False,False,False,,-1
38,redux,benzphetamine,dexfenfluramine,False,False,,-1
39,stimerex,benzphetamine,False,False,False,,-1
40,tenuate,benzphetamine,diethylpropion,False,False,,-1
41,tiratricol,benzphetamine,False,False,False,,-1
42,tonicclonic,benzphetamine,False,False,False,,-1
43,wealth,benzphetamine,False,False,False,,-1
44,aiodorex,benzphetamine,False,False,False,,-1
45,amfepramone,benzphetamine,diethylpropion,False,False,,-1
46,cropex,benzphetamine,False,False,False,,-1
47,defenorex,benzphetamine,False,False,False,,-1
48,dexfenfluramine,benzphetamine,dexfenfluramine,False,False,,-1
49,diethylpropion,benzphetamine,diethylpropion,False,False,,-1
50,ditalinic,benzphetamine,False,False,False,,-1
51,dorex,benzphetamine,False,False,False,,-1
52,fenproporex,benzphetamine,False,False,False,,-1
53,fer_appetite,benzphetamine,False,False,False,,-1
54,fipexide,benzphetamine,False,False,False,,-1
55,flutrimazole,benzphetamine,False,False,False,,-1
56,furfenorex,benzphetamine,False,False,False,,-1
57,isophenorex,benzphetamine,False,False,False,,-1
58,meclofenoxate,benzphetamine,False,False,False,,-1
59,mefenorex,benzphetamine,False,False,False,,-1
60,mephentermine,benzphetamine,mephentermine,False,False,,-1
61,norfenfluramine,benzphetamine,dexfenfluramine,False,False,,-1
62,ofenedrine,benzphetamine,False,False,False,,-1
63,oxyphenon,benzphetamine,False,False,False,,-1
64,phenmetrazine,benzphetamine,phenmetrazine,False,False,,-1
65,phenprobamate,benzphetamine,False,False,False,,-1
66,phentermine,benzphetamine,phentermine,False,False,,-1
67,phenylpropanolamine,benzphetamine,phenylpropanolamine,False,False,,-1
68,pimozide,benzphetamine,pimozide,False,False,,-1
69,quinapril,benzphetamine,quinapril,False,False,,-1
70,sibutramine,benzphetamine,sibutramine,False,False,,-1
71,suprano,benzphetamine,False,False,False,,-1
72,tegaserod,benzphetamine,tegaserod,False,False,,-1
73,topiramate,benzphetamine,topiramate,False,False,,-1
74,trimethoxyamphetamine,benzphetamine,False,False,False,,-1
75,appetite_suppressant,benzphetamine,False,False,False,,-1
76,benzedrine,benzphetamine,False,False,False,,-1
77,bennies,benzphetamine,False,False,False,,-1
78,pro-fast,benzphetamine,False,False,False,,-1
79,phendimetrazine,benzphetamine,phendimetrazine,False,False,,-1
80,benzedrine,benzphetamine,False,False,False,,-1
81,dexedrine,benzphetamine,dextroamphetamine,False,False,,-1
82,lisdexamfetamine,benzphetamine,lisdexamfetamine,False,False,,-1
83,weight_reducing_drug,benzphetamine,False,False,False,,-1
84,anorectic,benzphetamine,False,False,False,,-1
85,phendimetrazine,benzphetamine,phendimetrazine,False,False,,-1
