,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,ruvicti,brivaracetam,False,False,False,,-1
1,savant,brivaracetam,False,False,False,,-1
2,trobalt,brivaracetam,ezogabine,False,False,,-1
3,levetiracetam,brivaracetam,levetiracetam,False,False,,-1
4,eslicarbazepine,brivaracetam,False,False,False,,-1
5,oxcarbazepine,brivaracetam,oxcarbazepine,False,False,,-1
6,topiramate,brivaracetam,topiramate,False,False,,-1
7,zonisamide,brivaracetam,zonisamide,False,False,,-1
8,lacosamide,brivaracetam,lacosamide,False,False,,-1
9,seizures,brivaracetam,False,False,False,,-1
10,levetiracetam,brivaracetam,levetiracetam,False,False,,-1
11,keppra,brivaracetam,levetiracetam,False,False,,-1
12,topiramate,brivaracetam,topiramate,False,False,,-1
13,valproate,brivaracetam,valproic_acid,False,False,,-1
14,oxcarbazepine,brivaracetam,oxcarbazepine,False,False,,-1
15,zonisamide,brivaracetam,zonisamide,False,False,,-1
16,eslicarbazepine,brivaracetam,False,False,False,,-1
17,nootropic,brivaracetam,False,False,False,,-1
18,cognitive_enhancer,brivaracetam,barium_sulfate,False,False,,-1
19,ravensara,brivaracetam,False,False,False,,-1
20,semap,brivaracetam,False,False,False,,-1
21,selincro,brivaracetam,nalmefene,False,False,,-1
22,stugeron,brivaracetam,cinnarizine,False,False,,-1
23,vigabatrin,brivaracetam,vigabatrin,False,False,,-1
24,virmida,brivaracetam,False,False,False,,-1
25,xanomeline,brivaracetam,False,False,False,,-1
26,levetiracetam,brivaracetam,levetiracetam,False,False,,-1
27,etiracetam,brivaracetam,etiracetam,False,False,,-1
28,nefiracetam,brivaracetam,nefiracetam,False,False,,-1
29,seletracetam,brivaracetam,False,False,True,,9
30,sapispiretam,brivaracetam,False,False,False,,-1
31,lacosamide,brivaracetam,lacosamide,False,False,,-1
32,levetiracetam,brivaracetam,levetiracetam,False,False,,-1
33,oxcarbazepine,brivaracetam,oxcarbazepine,False,False,,-1
34,pregabalin,brivaracetam,pregabalin,False,False,,-1
35,tiagabine,brivaracetam,tiagabine,False,False,,-1
36,topiramate,brivaracetam,topiramate,False,False,,-1
37,valproic_acid,brivaracetam,valproic_acid,False,False,,-1
38,lacosamide,brivaracetam,lacosamide,False,False,,-1
39,oxcarbazepine,brivaracetam,oxcarbazepine,False,False,,-1
40,pregabalin,brivaracetam,pregabalin,False,False,,-1
41,levetiracetam,brivaracetam,levetiracetam,False,False,,-1
42,eslicarbazepine,brivaracetam,False,False,False,,-1
43,zonisamide,brivaracetam,zonisamide,False,False,,-1
44,vigabatrin,brivaracetam,vigabatrin,False,False,,-1
45,lacosamide,brivaracetam,lacosamide,False,False,,-1
46,ethosuximide,brivaracetam,ethosuximide,False,False,,-1
47,zonisamide,brivaracetam,zonisamide,False,False,,-1
48,levetiracetam,brivaracetam,levetiracetam,False,False,,-1
49,oxcarbazepine,brivaracetam,oxcarbazepine,False,False,,-1
50,topiramate,brivaracetam,topiramate,False,False,,-1
51,tiagabine,brivaracetam,tiagabine,False,False,,-1
52,rivaroxaban,brivaracetam,rivaroxaban,False,False,,-1
53,rofedex,brivaracetam,False,False,False,,-1
54,rufinamide,brivaracetam,rufinamide,False,False,,-1
55,sabril,brivaracetam,vigabatrin,False,False,,-1
56,trobazam,brivaracetam,False,False,False,,-1
57,vigabatrin,brivaracetam,vigabatrin,False,False,,-1
58,zonisamide,brivaracetam,zonisamide,False,False,,-1
59,levetiracetam,brivaracetam,levetiracetam,False,False,,-1
60,eslicarbazepine,brivaracetam,False,False,False,,-1
61,lamotrigine,brivaracetam,lamotrigine,False,False,,-1
62,topiramate,brivaracetam,topiramate,False,False,,-1
63,zonisamide,brivaracetam,zonisamide,False,False,,-1
64,levetiracetam,brivaracetam,levetiracetam,False,False,,-1
65,eslicarbazepine,brivaracetam,False,False,False,,-1
66,nootropil,brivaracetam,False,False,False,,-1
67,nebracetam,brivaracetam,False,False,False,,-1
68,oxiracetam,brivaracetam,aniracetam,False,False,,-1
69,aniracetam,brivaracetam,aniracetam,False,False,,-1
70,coluracetam,brivaracetam,False,False,False,,-1
71,piracetam,brivaracetam,piracetam,False,False,,-1
72,phenylpiracetam,brivaracetam,False,False,False,,-1
73,levetiracetam,brivaracetam,levetiracetam,False,False,,-1
74,levacetylmethadol,brivaracetam,levomethadyl_acetate,False,False,,-1
75,l-methadyl_acetate,brivaracetam,False,False,False,,-1
76,seletracetam,brivaracetam,False,False,True,,9
77,etiracetam,brivaracetam,etiracetam,False,False,,-1
78,aniracetam,brivaracetam,aniracetam,False,False,,-1
79,zonisamide,brivaracetam,zonisamide,False,False,,-1
80,perampanel,brivaracetam,perampanel,False,False,,-1
81,fosphenytoin,brivaracetam,fosphenytoin,False,False,,-1
82,phenytoin,brivaracetam,phenytoin,False,False,,-1
83,levetiracetam,brivaracetam,levetiracetam,False,False,,-1
84,valproic_acid,brivaracetam,valproic_acid,False,False,,-1
85,divalproex_sodium,brivaracetam,valproic_acid,False,False,,-1
86,topiramate,brivaracetam,topiramate,False,False,,-1
87,brolucizumab,brivaracetam,False,False,False,,-1
88,caracemide,brivaracetam,False,False,False,,-1
89,cenobamate,brivaracetam,False,False,False,,-1
90,denosumab,brivaracetam,denosumab,False,False,,-1
91,eltrombopag,brivaracetam,eltrombopag,False,False,,-1
92,eptifibatide,brivaracetam,eptifibatide,False,False,,-1
93,ixazomib,brivaracetam,ixazomib,False,False,,-1
94,urbacetam,brivaracetam,False,False,False,,-1
95,ravicti,brivaracetam,False,False,False,,-1
96,seletracetam,brivaracetam,False,False,True,,9
97,trobalt,brivaracetam,ezogabine,False,False,,-1
98,faramiglip,brivaracetam,False,False,False,,-1
99,zep_squares,brivaracetam,False,False,False,,-1
100,racetam,brivaracetam,False,False,True,,8
101,piracetam,brivaracetam,piracetam,False,False,,-1
102,aniracetam,brivaracetam,aniracetam,False,False,,-1
103,oxiracetam,brivaracetam,aniracetam,False,False,,-1
104,phenylpiracetam,brivaracetam,False,False,False,,-1
105,nootropil,brivaracetam,False,False,False,,-1
106,nefiracetam,brivaracetam,nefiracetam,False,False,,-1
107,nevetide,brivaracetam,False,False,False,,-1
108,seletracetam,brivaracetam,False,False,True,,9
109,veliparib,brivaracetam,False,False,False,,-1
110,iv_tropelamine,brivaracetam,False,False,False,,-1
111,levetiracetam,brivaracetam,levetiracetam,False,False,,-1
112,kepra,brivaracetam,levetiracetam,False,False,,-1
113,sabril,brivaracetam,vigabatrin,False,False,,-1
114,vigabatrin,brivaracetam,vigabatrin,False,False,,-1
115,valproate,brivaracetam,valproic_acid,False,False,,-1
116,phenytoin,brivaracetam,phenytoin,False,False,,-1
117,levetiracetam,brivaracetam,levetiracetam,False,False,,-1
118,eslicarbazepine,brivaracetam,False,False,False,,-1
119,oxcarbazepine,brivaracetam,oxcarbazepine,False,False,,-1
120,lacosamide,brivaracetam,lacosamide,False,False,,-1
121,stiripentol,brivaracetam,False,False,False,,-1
122,zonisamide,brivaracetam,zonisamide,False,False,,-1
123,perampanel,brivaracetam,perampanel,False,False,,-1
124,ucb-34714,brivaracetam,False,False,True,,1
125,briviact®,brivaracetam,False,False,True, pill,3
126,seletracetam,brivaracetam,False,False,True,,9
127,trivastan,brivaracetam,False,False,False,,-1
128,levetiracetam,brivaracetam,levetiracetam,False,False,,-1
129,levetiracetam,brivaracetam,levetiracetam,False,False,,-1
130,keppra,brivaracetam,levetiracetam,False,False,,-1
131,seletracetam,brivaracetam,False,False,True,,9
132,vagus_nerve_stimulator,brivaracetam,False,False,False,,-1
133,rivastigmine,brivaracetam,rivastigmine,False,False,,-1
134,levetiracetam,brivaracetam,levetiracetam,False,False,,-1
135,oxiracetam,brivaracetam,aniracetam,False,False,,-1
136,aniracetam,brivaracetam,aniracetam,False,False,,-1
137,nefiracetam,brivaracetam,nefiracetam,False,False,,-1
138,coluracetam,brivaracetam,False,False,False,,-1
139,fasoracetam,brivaracetam,False,False,False,,-1
140,lacosamide,brivaracetam,lacosamide,False,False,,-1
141,levetiracetam,brivaracetam,levetiracetam,False,False,,-1
142,rufinamide,brivaracetam,rufinamide,False,False,,-1
143,clobazam,brivaracetam,clobazam,False,False,,-1
144,perampanel,brivaracetam,perampanel,False,False,,-1
145,topiramate,brivaracetam,topiramate,False,False,,-1
146,zonisamide,brivaracetam,zonisamide,False,False,,-1
147,lacosamide,brivaracetam,lacosamide,False,False,,-1
148,rufinamide,brivaracetam,rufinamide,False,False,,-1
149,stiripentol,brivaracetam,False,False,False,,-1
150,zonisamide,brivaracetam,zonisamide,False,False,,-1
151,valproic_acid,brivaracetam,valproic_acid,False,False,,-1
152,levetiracetam,brivaracetam,levetiracetam,False,False,,-1
153,levetiracetam,brivaracetam,levetiracetam,False,False,,-1
154,rovicti,brivaracetam,False,False,False,,-1
155,keppra,brivaracetam,levetiracetam,False,False,,-1
156,ucb34714,brivaracetam,False,False,True,,1
157,eslicarbazepine,brivaracetam,False,False,False,,-1
158,zonisamide,brivaracetam,zonisamide,False,False,,-1
159,levetiracetam,brivaracetam,levetiracetam,False,False,,-1
160,nosaracetam,brivaracetam,False,False,False,,-1
161,oxiracetam,brivaracetam,aniracetam,False,False,,-1
162,seletracetam,brivaracetam,False,False,True,,9
163,sulbutiamine,brivaracetam,sulbutiamine,False,False,,-1
164,sunifiram,brivaracetam,False,False,False,,-1
165,tacrolimus,brivaracetam,tacrolimus,False,False,,-1
166,broveacel,brivaracetam,False,False,False,,-1
167,brivamycin,brivaracetam,False,False,False,,-1
168,brivulizumab,brivaracetam,False,False,False,,-1
169,cefolysin,brivaracetam,False,False,False,,-1
170,ceforanide,brivaracetam,False,False,False,,-1
171,cefotiam,brivaracetam,False,False,False,,-1
172,cefozopran,brivaracetam,False,False,False,,-1
173,seletracetam,brivaracetam,False,False,True,,9
174,trobalt,brivaracetam,ezogabine,False,False,,-1
175,uproar,brivaracetam,False,False,False,,-1
176,urovelo,brivaracetam,False,False,False,,-1
177,brovelar,brivaracetam,False,False,False,,-1
178,lacosamide,brivaracetam,lacosamide,False,False,,-1
179,eslicarbazepine,brivaracetam,False,False,False,,-1
180,rufinamide,brivaracetam,rufinamide,False,False,,-1
181,ethosuximide,brivaracetam,ethosuximide,False,False,,-1
182,perampanel,brivaracetam,perampanel,False,False,,-1
183,clonazepam,brivaracetam,clonazepam,False,False,,-1
184,levetiracetam,brivaracetam,levetiracetam,False,False,,-1
185,keppra,brivaracetam,levetiracetam,False,False,,-1
186,felbamate,brivaracetam,felbamate,False,False,,-1
187,carbamazepine,brivaracetam,carbamazepine,False,False,,-1
188,valproate,brivaracetam,valproic_acid,False,False,,-1
189,phenytoin,brivaracetam,phenytoin,False,False,,-1
190,lamotrigine,brivaracetam,lamotrigine,False,False,,-1
191,levetiracetam,brivaracetam,levetiracetam,False,False,,-1
192,eslicarbazepine,brivaracetam,False,False,False,,-1
193,topiramate,brivaracetam,topiramate,False,False,,-1
194,zonisamide,brivaracetam,zonisamide,False,False,,-1
195,oxcarbazepine,brivaracetam,oxcarbazepine,False,False,,-1
196,lacosamide,brivaracetam,lacosamide,False,False,,-1
197,pregabalin,brivaracetam,pregabalin,False,False,,-1
