,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,bromazan,bromazepam,False,False,False,,-1
1,bromdihydrochlorophenylazepine,bromazepam,False,False,False,,-1
2,bromazepoxide,bromazepam,False,False,False,,-1
3,3-bromo-7-azabicyclo[3.2.0]heptane,bromazepam,False,False,False,,-1
4,3-bromo-7-phenylazabicyclo[3.2.0]heptane,bromazepam,False,False,False,,-1
5,libritabs,bromazepam,False,False,False,,-1
6,bromaze,bromazepam,False,False,True,,1
7,bromazan,bromazepam,False,False,False,,-1
8,bromaset,bromazepam,False,False,False,,-1
9,bromazol,bromazepam,False,False,False,,-1
10,bromdat,bromazepam,False,False,False,,-1
11,somnite,bromazepam,False,False,False,,-1
12,urbanyl,bromazepam,False,False,False,,-1
13,phenazepam,bromazepam,False,False,False,,-1
14,rativolol,bromazepam,False,False,False,,-1
15,libritabs,bromazepam,False,False,False,,-1
16,lexotan,bromazepam,bretylium,True,True,,1
17,somnol,bromazepam,False,False,False,,-1
18,tranquirit,bromazepam,False,False,False,,-1
19,urazepam,bromazepam,False,False,False,,-1
20,bromazepon,bromazepam,False,False,False,,-1
21,bromazolam,bromazepam,bromazepam,True,True,,9
22,bromazolpidem,bromazepam,False,False,False,,-1
23,bromethylin,bromazepam,False,False,False,,-1
24,bromhydrate,bromazepam,False,False,False,,-1
25,bromizepam,bromazepam,False,False,False,,-1
26,neoquill,bromazepam,False,False,False,,-1
27,lextax,bromazepam,False,False,False,,-1
28,bromaz,bromazepam,False,False,True,,1
29,bromaze,bromazepam,False,False,True,,1
30,brom,bromazepam,False,False,False,,-1
31,bzp,bromazepam,False,False,False,,-1
32,raze,bromazepam,False,False,False,,-1
33,zepam,bromazepam,False,False,True,,2
34,libritabs,bromazepam,False,False,False,,-1
35,librium,bromazepam,chlordiazepoxide,False,False,,-1
36,librium,bromazepam,chlordiazepoxide,False,False,,-1
37,tranxene,bromazepam,clorazepate,False,False,,-1
38,lorazepam,bromazepam,lorazepam,False,False,,-1
39,paxipam,bromazepam,False,False,False,,-1
40,albrazolam,bromazepam,False,False,False,,-1
41,azepam,bromazepam,oxazepam,False,False,,-1
42,zepam,bromazepam,False,False,True,,2
43,benzodiazepam,bromazepam,False,False,False,,-1
44,eprazinone,bromazepam,False,False,False,,-1
45,tranquilit,bromazepam,False,False,False,,-1
46,calmaben,bromazepam,False,False,False,,-1
47,paxum,bromazepam,False,False,False,,-1
48,restyl,bromazepam,alprazolam,False,False,,-1
49,brasol,bromazepam,False,False,False,,-1
50,bromaze,bromazepam,False,False,True,,1
51,bromaz,bromazepam,False,False,True,,1
52,brom,bromazepam,False,False,False,,-1
53,bromo,bromazepam,False,False,False,,-1
