,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,bufotalin,bufotenine,False,False,True, slang,4
1,bufotalis,bufotenine,False,False,False,,-1
2,bufotalidine,bufotenine,False,False,False,,-1
3,bufotenoids,bufotenine,False,False,False,,-1
4,bufotenol,bufotenine,False,False,False,,-1
5,bufotenyl,bufotenine,False,False,False,,-1
6,5-oh-dmt,bufotenine,False,False,True,,3
7,5-meo-dmt,bufotenine,False,False,False,,-1
8,bufotenine_hydrochloride,bufotenine,False,True,True,,1
9,bufoteninic_acid,bufotenine,False,False,False,,-1
10,bufoteninum,bufotenine,False,False,False,,-1
11,5-oh-dmt,bufotenine,False,False,True,,3
12,"5-methoxy-n,n-dimethyl_tryptamine",bufotenine,False,False,True, drug,3
13,3-(2-dimethylaminoethyl)indole,bufotenine,False,False,True,,8
14,bufotenoids,bufotenine,False,False,False,,-1
15,bufotoxins,bufotenine,False,False,True,,2
16,bufotoxic,bufotenine,False,False,True, slang,10
17,buprenorphine,bufotenine,buprenorphine,False,False,,-1
18,5-ho-dmt,bufotenine,False,False,True,,5
19,5-hydroxytryptamine,bufotenine,False,False,False,,-1
20,5-oh-dmt,bufotenine,False,False,True,,3
21,dmt,bufotenine,False,False,False,,-1
22,5-hydroxytryptamine,bufotenine,False,False,False,,-1
23,5-ht,bufotenine,False,False,False,,-1
24,bufotalin,bufotenine,False,False,True, slang,4
25,bufoamide,bufotenine,False,False,False,,-1
26,bufotalic_acid,bufotenine,False,False,False,,-1
27,bufotenone,bufotenine,False,False,False,,-1
28,bufalin,bufotenine,False,False,False,,-1
29,bufagenin,bufotenine,False,False,False,,-1
30,bufanin,bufotenine,False,False,False,,-1
31,bufotalin,bufotenine,False,False,True, slang,4
32,epibatidine,bufotenine,epibatidine,False,False,,-1
33,ibogaine,bufotenine,False,False,False,,-1
34,lophophorine,bufotenine,False,False,False,,-1
35,norlophine,bufotenine,False,False,False,,-1
36,reserpine,bufotenine,reserpine,False,False,,-1
37,scopolamine,bufotenine,scopolamine,False,False,,-1
38,5-meo-dmt,bufotenine,False,False,False,,-1
39,bufotalin,bufotenine,False,False,True, slang,4
40,phalloidin,bufotenine,False,False,False,,-1
41,phalloin,bufotenine,False,False,False,,-1
42,phallotoxin,bufotenine,False,False,False,,-1
43,phallaic_acid,bufotenine,False,False,False,,-1
44,5-oh-dmt,bufotenine,False,False,True,,3
45,5-hydroxy-dmt,bufotenine,False,False,True,,7
46,bufotalin,bufotenine,False,False,True, slang,4
47,bufotalinic_acid,bufotenine,False,False,False,,-1
