,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,butalbitol,butalbital,butalbital,True,True,,1
1,butal,butalbital,diethyltoluamide,False,False,,-1
2,butalb,butalbital,False,False,True,,3
3,butabital,butalbital,butalbital,True,True,,1
4,butalbitalum,butalbital,False,False,False,,-1
5,butabarbital,butalbital,butabarbital,False,True,,1
6,capabitol,butalbital,False,False,False,,-1
7,midrinol,butalbital,False,False,False,,-1
8,bebulinol,butalbital,False,False,False,,-1
9,dolophine,butalbital,methadone,False,False,,-1
10,methadose,butalbital,methadone,False,False,,-1
11,betapam,butalbital,False,False,False,,-1
12,butaphate,butalbital,False,False,False,,-1
13,butabarb,butalbital,False,False,False,,-1
14,butohexal,butalbital,False,False,False,,-1
15,butalbemid,butalbital,False,False,False,,-1
16,butopraz,butalbital,False,False,False,,-1
17,butal,butalbital,diethyltoluamide,False,False,,-1
18,butal,butalbital,diethyltoluamide,False,False,,-1
19,butalb,butalbital,False,False,True,,3
20,migergot,butalbital,False,False,False,,-1
21,proacet,butalbital,False,False,False,,-1
22,represal,butalbital,False,False,False,,-1
23,sedalac,butalbital,False,False,False,,-1
24,floricet,butalbital,butalbital,True,True,,5
25,butalbitol,butalbital,butalbital,True,True,,1
26,epitol,butalbital,carbamazepine,False,False,,-1
27,esgic,butalbital,butalbital,True,True,,6
28,fioracet,butalbital,butalbital,True,True,,5
29,fioricet,butalbital,butalbital,True,True,,1
30,migergot,butalbital,False,False,False,,-1
31,zebutal,butalbital,False,False,False,,-1
32,butapap,butalbital,False,False,True,,2
33,butal,butalbital,diethyltoluamide,False,False,,-1
34,butbarb,butalbital,False,False,False,,-1
35,migranal,butalbital,dihydroergotamine,False,False,,-1
36,zebinix,butalbital,eslicarbazepine_acetate,False,False,,-1
37,toradol,butalbital,ketorolac,False,False,,-1
38,esgic,butalbital,butalbital,True,True,,6
39,fiorinal,butalbital,butalbital,True,True,,1
40,esgic,butalbital,butalbital,True,True,,6
41,migergot,butalbital,False,False,False,,-1
42,butacot,butalbital,False,False,False,,-1
43,butacond,butalbital,False,False,False,,-1
44,fiornal,butalbital,butalbital,True,True,,1
45,fiorinal,butalbital,butalbital,True,True,,1
46,butalbital_acetaminophen,butalbital,False,True,True,,3
47,butalbital_caffeine,butalbital,False,True,True,,4
48,butalbital_apap,butalbital,False,True,True,,6
49,pain_pill,butalbital,False,False,False,,-1
50,headache_medicine,butalbital,False,False,False,,-1
51,margesic,butalbital,False,False,True,,2
52,esgic,butalbital,butalbital,True,True,,6
53,zebutal,butalbital,False,False,False,,-1
54,butalbital_acetaminophen,butalbital,False,True,True,,3
55,butacet,butalbital,False,False,False,,-1
56,butal,butalbital,diethyltoluamide,False,False,,-1
57,butobarb,butalbital,False,False,False,,-1
58,butylbital,butalbital,False,False,False,,-1
59,butabarb,butalbital,False,False,False,,-1
60,butalbit,butalbital,False,False,True,,1
61,buta,butalbital,False,False,False,,-1
62,esgic,butalbital,butalbital,True,True,,6
63,butalbital/apap/caff,butalbital,False,False,True,,5
64,butapap,butalbital,False,False,True,,2
65,butalbitalum,butalbital,False,False,False,,-1
66,butobarbitone,butalbital,False,False,False,,-1
67,buticaps,butalbital,False,False,False,,-1
68,butal,butalbital,diethyltoluamide,False,False,,-1
69,butalin,butalbital,False,False,False,,-1
70,barbiturate,butalbital,False,False,False,,-1
71,zebutal,butalbital,False,False,False,,-1
72,phrenilin,butalbital,False,False,True,,4
73,repan,butalbital,False,False,False,,-1
74,butalbital/_acetaminophen,butalbital,False,False,True,,3
75,micet,butalbital,False,False,False,,-1
76,fiorinal,butalbital,butalbital,True,True,,1
77,butalopt,butalbital,False,False,False,,-1
78,reprecet,butalbital,False,False,False,,-1
79,sedapap,butalbital,False,False,False,,-1
80,butalbital/acetaminophen,butalbital,False,False,True,,2
81,butalbolic,butalbital,False,False,False,,-1
82,butalbinate,butalbital,False,False,False,,-1
83,butalbitate,butalbital,False,False,False,,-1
84,butalbitalum,butalbital,False,False,False,,-1
85,florinal,butalbital,False,False,True,,1
86,fioricet,butalbital,butalbital,True,True,,1
87,repan,butalbital,False,False,False,,-1
88,phrenilin,butalbital,False,False,True,,4
89,headtext,butalbital,False,False,False,,-1
90,migranal,butalbital,dihydroergotamine,False,False,,-1
91,kapake,butalbital,ceiba_pentandra_fiber,False,False,,-1
92,esgic,butalbital,butalbital,True,True,,6
93,phosphorus,butalbital,phosphorus,False,False,,-1
94,migergot,butalbital,False,False,False,,-1
95,repan,butalbital,False,False,False,,-1
96,sumiban,butalbital,False,False,False,,-1
97,triban,butalbital,False,False,False,,-1
98,butal,butalbital,diethyltoluamide,False,False,,-1
99,butal-acet,butalbital,False,False,True,,1
100,butalbitalum,butalbital,False,False,False,,-1
101,butalbital-acetaminophen,butalbital,False,False,True,,2
102,butapap,butalbital,False,False,True,,2
103,butalb,butalbital,False,False,True,,3
104,phrenilin,butalbital,False,False,True,,4
105,capacet,butalbital,False,False,True,,4
106,repan,butalbital,False,False,False,,-1
107,tylenol/3,butalbital,False,False,False,,-1
108,sedapap,butalbital,False,False,False,,-1
109,w-dor,butalbital,False,False,False,,-1
110,p-lor,butalbital,False,False,False,,-1
111,esgic,butalbital,butalbital,True,True,,6
112,but_don,butalbital,False,False,False,,-1
113,reparix,butalbital,False,False,False,,-1
114,butal,butalbital,diethyltoluamide,False,False,,-1
115,butalbitalum,butalbital,False,False,False,,-1
116,butalbital/acetaminophen/caffeine,butalbital,False,False,True,,3
117,butobarbital,butalbital,False,False,True,,3
118,butalbitalum,butalbital,False,False,False,,-1
119,repan,butalbital,False,False,False,,-1
120,bargesic,butalbital,False,False,False,,-1
121,caplets,butalbital,False,False,False,,-1
122,phrenilin,butalbital,False,False,True,,4
123,phentolamine,butalbital,phentolamine,False,False,,-1
124,migergot,butalbital,False,False,False,,-1
125,ergotamine,butalbital,ergotamine,False,False,,-1
126,butalbitol,butalbital,butalbital,True,True,,1
127,butabital,butalbital,butalbital,True,True,,1
128,butalital,butalbital,False,False,True,,1
129,repan,butalbital,False,False,False,,-1
130,phrenilin,butalbital,False,False,True,,4
131,trimetazidine,butalbital,trimetazidine,False,False,,-1
132,acupuncture,butalbital,False,False,False,,-1
133,massage,butalbital,False,False,False,,-1
134,chiropractic,butalbital,False,False,False,,-1
135,yoga,butalbital,False,False,False,,-1
136,phornyl,butalbital,False,False,False,,-1
137,propanalol,butalbital,propranolol,False,False,,-1
138,fiorinal,butalbital,butalbital,True,True,,1
139,esgic,butalbital,butalbital,True,True,,6
140,repan,butalbital,False,False,False,,-1
141,butalbital/acetaminophen,butalbital,False,False,True,,2
142,fool_pills,butalbital,False,False,False,,-1
143,barbituates,butalbital,False,False,False,,-1
144,butacet,butalbital,False,False,False,,-1
145,butalbital_acetaminophen,butalbital,False,True,True,,3
146,esgic,butalbital,butalbital,True,True,,6
147,zebutal,butalbital,False,False,False,,-1
148,butalbitalum,butalbital,False,False,False,,-1
149,butalbitalo,butalbital,False,False,False,,-1
150,butabarbital,butalbital,butabarbital,False,True,,1
151,all_generic_forms_of_butalbital,butalbital,False,True,True,,2
152,fiorinal,butalbital,butalbital,True,True,,1
153,butabarb,butalbital,False,False,False,,-1
154,butalb,butalbital,False,False,True,,3
155,esgic,butalbital,butalbital,True,True,,6
156,zebutal,butalbital,False,False,False,,-1
157,capmidol,butalbital,False,False,False,,-1
158,butapap,butalbital,False,False,True,,2
159,zebutal,butalbital,False,False,False,,-1
160,medipren,butalbital,False,False,False,,-1
161,albapac,butalbital,False,False,False,,-1
162,butal,butalbital,diethyltoluamide,False,False,,-1
163,pabutal,butalbital,False,False,False,,-1
164,pabirin,butalbital,False,False,False,,-1
165,butobarbital,butalbital,False,False,True,,3
166,eskalith,butalbital,lithium,False,False,,-1
167,phrenilin,butalbital,False,False,True,,4
168,butabarb,butalbital,False,False,False,,-1
169,butal,butalbital,diethyltoluamide,False,False,,-1
170,butobarb,butalbital,False,False,False,,-1
171,butobarbitone,butalbital,False,False,False,,-1
172,butalbitol,butalbital,butalbital,True,True,,1
173,fiorinal,butalbital,butalbital,True,True,,1
174,phrenilin,butalbital,False,False,True,,4
175,phrenelin,butalbital,False,False,True,,4
176,repan,butalbital,False,False,False,,-1
177,sedalitate,butalbital,False,False,False,,-1
178,sedative-hypnotic,butalbital,False,False,False,,-1
179,margesic,butalbital,False,False,True,,2
180,repan,butalbital,False,False,False,,-1
181,butalbitol,butalbital,butalbital,True,True,,1
182,butanal,butalbital,ibuprofen,False,False,,-1
183,butylacetate,butalbital,False,False,False,,-1
184,butanol,butalbital,ethanol,False,False,,-1
185,butab,butalbital,False,False,True,,5
186,bute,butalbital,False,False,False,,-1
187,butal,butalbital,diethyltoluamide,False,False,,-1
188,butalb,butalbital,False,False,True,,3
189,esgic,butalbital,butalbital,True,True,,6
190,phrenilin,butalbital,False,False,True,,4
191,repan,butalbital,False,False,False,,-1
192,fioricet,butalbital,butalbital,True,True,,1
193,repan,butalbital,False,False,False,,-1
194,fioricet,butalbital,butalbital,True,True,,1
195,reprotox,butalbital,False,False,False,,-1
196,toxaphene,butalbital,False,False,False,,-1
197,chloropicrin,butalbital,chloric_acid,False,False,,-1
198,thallium,butalbital,gallium_citrate_ga_67,False,False,,-1
199,bromoform,butalbital,bromoform,False,False,,-1
200,fiorinal,butalbital,butalbital,True,True,,1
201,migraine_medicine,butalbital,False,False,False,,-1
202,medicine_for_headaches,butalbital,False,False,False,,-1
203,pain_reliever,butalbital,False,False,False,,-1
204,phrenilin,butalbital,False,False,True,,4
205,barbiturate,butalbital,False,False,False,,-1
206,butalbital-acetaminophen-caffeine,butalbital,False,False,True,,3
207,talbinal,butalbital,False,False,False,,-1
208,butalbitol,butalbital,butalbital,True,True,,1
209,butalbitalum,butalbital,False,False,False,,-1
210,butobarbitone,butalbital,False,False,False,,-1
211,butobarital,butalbital,False,False,False,,-1
212,butalbital_phosphate,butalbital,False,True,True,,8
213,butalbital_sodium,butalbital,False,True,True,,1
214,others,butalbital,False,False,False,,-1
