,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,carisoprotestol,carisoprodol,False,False,False,,-1
1,myoclonus,carisoprodol,False,False,False,,-1
2,soquil,carisoprodol,False,False,False,,-1
3,sospan,carisoprodol,False,False,False,,-1
4,sophia,carisoprodol,False,False,False,,-1
5,sophia_ii,carisoprodol,False,False,False,,-1
6,sophia_iii,carisoprodol,False,False,False,,-1
7,spasmuna,carisoprodol,False,False,False,,-1
8,sprinta,carisoprodol,False,False,False,,-1
9,stadol,carisoprodol,butorphanol,False,True,,4
10,stadol_ns,carisoprodol,butorphanol,False,False,,-1
11,sudafed,carisoprodol,False,False,False,,-1
12,sudafed_plus,carisoprodol,False,False,False,,-1
13,sudafed-e,carisoprodol,False,False,False,,-1
14,sudafed-pe,carisoprodol,False,False,False,,-1
15,sudafemin,carisoprodol,False,False,False,,-1
16,sudafedrin,carisoprodol,False,False,False,,-1
17,sudafedrine,carisoprodol,False,False,False,,-1
18,sudaflex,carisoprodol,False,False,False,,-1
19,sudafon,carisoprodol,False,False,False,,-1
20,sudafon-d,carisoprodol,False,False,False,,-1
21,sudafon-pe,carisoprodol,False,False,False,,-1
22,sudagest,carisoprodol,False,False,False,,-1
23,sudamin,carisoprodol,False,False,False,,-1
24,sudamoline,carisoprodol,False,False,False,,-1
25,sudamin-d,carisoprodol,False,False,False,,-1
26,sudamox,carisoprodol,False,False,False,,-1
27,sudaprin,carisoprodol,False,False,False,,-1
28,sudaprin-d,carisoprodol,False,False,False,,-1
29,nanoma,carisoprodol,False,False,False,,-1
30,qianoma,carisoprodol,False,False,False,,-1
31,soma,carisoprodol,carisoprodol,True,True,,8
32,carisoprodol,carisoprodol,carisoprodol,True,True,,3
33,fourside,carisoprodol,False,False,False,,-1
34,carisoprodol,carisoprodol,carisoprodol,True,True,,3
35,carispodol,carisoprodol,False,False,True,,1
36,anaproxen,carisoprodol,False,False,False,,-1
37,carisoprodolum,carisoprodol,False,False,True,,1
38,soma,carisoprodol,carisoprodol,True,True,,8
39,savings_on_carisoprodol,carisoprodol,False,True,True,,1
40,carisoprodol_discounts,carisoprodol,False,True,True,,1
41,soma,carisoprodol,carisoprodol,True,True,,8
42,ansaid,carisoprodol,False,False,False,,-1
43,cariso-prodol,carisoprodol,False,False,True,,1
44,soma,carisoprodol,carisoprodol,True,True,,8
45,ch3cooch3,carisoprodol,False,False,False,,-1
46,carboxyphenylpropane,carisoprodol,False,False,False,,-1
47,soma,carisoprodol,carisoprodol,True,True,,8
48,carisoprodon't,carisoprodol,False,False,False,,-1
49,soma-max,carisoprodol,False,False,True,,6
50,carisoprazam,carisoprodol,False,False,False,,-1
51,carisodol,carisoprodol,False,False,True,,1
52,carisopral,carisoprodol,False,False,False,,-1
53,cariprodol,carisoprodol,False,False,True,,1
54,toomee,carisoprodol,False,False,False,,-1
55,lihaslõõgasti,carisoprodol,False,False,False,,-1
56,sorme,carisoprodol,False,False,False,,-1
57,soma,carisoprodol,carisoprodol,True,True,,8
58,somedrown,carisoprodol,False,False,False,,-1
59,synthonia,carisoprodol,False,False,False,,-1
60,thedrug,carisoprodol,False,False,False,,-1
61,todrow,carisoprodol,False,False,False,,-1
62,withdrow,carisoprodol,False,False,False,,-1
63,carisoprodolum,carisoprodol,False,False,True,,1
64,carisoma,carisoprodol,False,False,True,,10
65,carisoprodolum,carisoprodol,False,False,True,,1
66,carisoma,carisoprodol,False,False,True,,10
67,somavert,carisoprodol,False,False,False,,-1
68,soma,carisoprodol,carisoprodol,True,True,,8
69,somaz,carisoprodol,False,False,True, pill,9
70,carisoprazol,carisoprodol,False,False,False,,-1
71,carisoma,carisoprodol,False,False,True,,10
72,soprodal,carisoprodol,False,False,True,,1
73,carisoproxol,carisoprodol,False,False,False,,-1
74,soh3,carisoprodol,False,False,False,,-1
75,3ohs,carisoprodol,False,False,False,,-1
76,soprodox,carisoprodol,False,False,False,,-1
77,carodyl,carisoprodol,False,False,False,,-1
78,carisoma,carisoprodol,False,False,True,,10
79,somadril,carisoprodol,False,False,True,,2
80,somaflex,carisoprodol,False,False,False,,-1
81,somnil,carisoprodol,False,False,False,,-1
82,carisoprex,carisoprodol,False,False,False,,-1
83,carisoind,carisoprodol,False,False,False,,-1
84,cariprodol,carisoprodol,False,False,True,,1
85,somolese,carisoprodol,False,False,False,,-1
86,sorapid,carisoprodol,False,False,False,,-1
87,spasmocaro,carisoprodol,False,False,False,,-1
88,myospasm,carisoprodol,False,False,False,,-1
89,carisoproval,carisoprodol,False,False,False,,-1
90,carisorus,carisoprodol,False,False,False,,-1
91,carisopsin,carisoprodol,False,False,False,,-1
92,qarfi,carisoprodol,False,False,False,,-1
93,quroom,carisoprodol,False,False,False,,-1
94,carab,carisoprodol,False,False,False,,-1
95,so2,carisoprodol,False,False,False,,-1
96,cariso,carisoprodol,False,False,True, pill,1
97,carisop,carisoprodol,False,False,True, pill,1
98,seoul,carisoprodol,False,False,False,,-1
99,soseul,carisoprodol,False,False,False,,-1
100,soma,carisoprodol,carisoprodol,True,True,,8
101,sompa,carisoprodol,False,False,False,,-1
102,carisoprodol,carisoprodol,carisoprodol,True,True,,3
103,flexeril,carisoprodol,cyclobenzaprine,False,False,,-1
104,zanaflex,carisoprodol,tizanidine,False,False,,-1
105,baclofen,carisoprodol,baclofen,False,False,,-1
106,diazepam,carisoprodol,diazepam,False,False,,-1
107,clonazepam,carisoprodol,clonazepam,False,False,,-1
108,lorazepam,carisoprodol,lorazepam,False,False,,-1
109,alprazolam,carisoprodol,alprazolam,False,False,,-1
110,carisoprostol,carisoprodol,False,False,False,,-1
111,c34h40n2o4,carisoprodol,False,False,False,,-1
112,5ht,carisoprodol,False,False,False,,-1
113,3a4,carisoprodol,False,False,False,,-1
114,7_buy_soma_550mg,carisoprodol,False,True,True,,2
115,carisoprodol_650mg,carisoprodol,False,True,True,,1
116,somadril,carisoprodol,False,False,True,,2
117,prosom,carisoprodol,estazolam,False,False,,-1
118,fetal,carisoprodol,False,False,False,,-1
119,anodyne,carisoprodol,False,False,False,,-1
120,somnifacient,carisoprodol,False,False,False,,-1
121,soporific,carisoprodol,False,False,False,,-1
122,hypnotic,carisoprodol,False,False,False,,-1
123,korisoprodol,carisoprodol,False,False,False,,-1
124,qaricoprodol,carisoprodol,False,False,False,,-1
125,xarasoprodol,carisoprodol,False,False,False,,-1
126,farisoprodol,carisoprodol,False,False,False,,-1
127,carioprodol,carisoprodol,False,False,True,,2
128,karisoprodol,carisoprodol,False,False,True,,1
129,corazoprodol,carisoprodol,False,False,False,,-1
130,sori,carisoprodol,False,False,False,,-1
131,sorim,carisoprodol,False,False,False,,-1
132,sa1,carisoprodol,False,False,False,,-1
133,sam,carisoprodol,ademetionine,False,False,,-1
134,sams,carisoprodol,False,False,False,,-1
135,sar,carisoprodol,False,False,False,,-1
136,sari,carisoprodol,False,False,False,,-1
137,symbal,carisoprodol,False,False,False,,-1
138,soma,carisoprodol,carisoprodol,True,True,,8
139,sonata,carisoprodol,zaleplon,False,False,,-1
140,carispodol,carisoprodol,False,False,True,,1
141,agiden,carisoprodol,False,False,False,,-1
142,epinat,carisoprodol,False,False,False,,-1
143,isoprot,carisoprodol,False,False,False,,-1
144,protagon,carisoprodol,False,False,False,,-1
145,naproxen,carisoprodol,naproxen,False,False,,-1
146,carisopro,carisoprodol,False,False,True,,2
147,carisopra,carisoprodol,False,False,False,,-1
148,carisoma,carisoprodol,False,False,True,,10
149,soma,carisoprodol,carisoprodol,True,True,,8
150,carispdale,carisoprodol,False,False,False,,-1
151,carispdol,carisoprodol,False,False,True, pill,1
152,svip,carisoprodol,False,False,False,,-1
153,vjav,carisoprodol,False,False,False,,-1
154,wyej,carisoprodol,False,False,False,,-1
155,zavy,carisoprodol,False,False,False,,-1
156,zofl,carisoprodol,False,False,False,,-1
157,zufk,carisoprodol,False,False,False,,-1
158,carisoprodilo,carisoprodol,False,False,False,,-1
159,carisoprodolum,carisoprodol,False,False,True,,1
160,spasmocup,carisoprodol,False,False,False,,-1
161,spasmout,carisoprodol,False,False,False,,-1
162,spastican,carisoprodol,False,False,False,,-1
163,spasmopriv,carisoprodol,False,False,False,,-1
164,spastin,carisoprodol,False,False,False,,-1
165,stelax,carisoprodol,False,False,False,,-1
166,sumax,carisoprodol,False,False,False,,-1
167,qod,carisoprodol,False,False,False,,-1
168,soma,carisoprodol,carisoprodol,True,True,,8
169,soma,carisoprodol,carisoprodol,True,True,,8
170,prosoma,carisoprodol,False,False,True,,9
171,soprodal,carisoprodol,False,False,True,,1
172,carisoma,carisoprodol,False,False,True,,10
173,isoprodal,carisoprodol,False,False,True,,3
174,tuf-8,carisoprodol,False,False,False,,-1
175,8-mop,carisoprodol,False,False,False,,-1
176,samdgh,carisoprodol,False,False,False,,-1
177,camaldeghe,carisoprodol,False,False,False,,-1
178,carsioprodal,carisoprodol,False,False,False,,-1
179,cimon,carisoprodol,False,False,False,,-1
180,samo,carisoprodol,False,False,False,,-1
181,cariso,carisoprodol,False,False,True, pill,1
182,carisoma,carisoprodol,False,False,True,,10
183,caratos,carisoprodol,False,False,False,,-1
184,esopran,carisoprodol,False,False,False,,-1
185,carisagog,carisoprodol,False,False,False,,-1
186,tarisapal,carisoprodol,False,False,False,,-1
187,carisoprodol,carisoprodol,carisoprodol,True,True,,3
188,baneberry,carisoprodol,morella_cerifera_pollen,False,False,,-1
189,barberry,carisoprodol,morella_cerifera_pollen,False,False,,-1
190,bilberry,carisoprodol,False,False,False,,-1
191,cassis,carisoprodol,False,False,False,,-1
192,chokeberry,carisoprodol,False,False,False,,-1
193,cockleberry,carisoprodol,False,False,False,,-1
194,cornelian_cherry,carisoprodol,False,False,False,,-1
195,currant,carisoprodol,False,False,False,,-1
196,dwarf_cherry,carisoprodol,False,False,False,,-1
197,elderberry,carisoprodol,False,False,False,,-1
198,foxberry,carisoprodol,False,False,False,,-1
199,gooseberry,carisoprodol,False,False,False,,-1
200,huckleberry,carisoprodol,False,False,False,,-1
201,juniper_berry,carisoprodol,False,False,False,,-1
202,lingonberry,carisoprodol,False,False,False,,-1
203,mountain_ash_berry,carisoprodol,False,False,False,,-1
204,nannyberry,carisoprodol,False,False,False,,-1
205,parisian_prior,carisoprodol,False,False,False,,-1
206,physalis,carisoprodol,False,False,False,,-1
207,prunus_cerasus,carisoprodol,False,False,False,,-1
208,prunus_domestica,carisoprodol,False,False,False,,-1
209,prunus_avium,carisoprodol,False,False,False,,-1
210,rosa,carisoprodol,False,False,False,,-1
211,rubus_fruticosus,carisoprodol,False,False,False,,-1
212,rubus_idaeus,carisoprodol,False,False,False,,-1
213,salix,carisoprodol,False,False,False,,-1
214,sambucus,carisoprodol,False,False,False,,-1
215,solanum_lycopersicum,carisoprodol,False,False,False,,-1
216,solanum_tuberosum,carisoprodol,False,False,False,,-1
217,vaccinium,carisoprodol,actinium,False,False,,-1
218,vaccinium_myrtillus,carisoprodol,False,False,False,,-1
219,vaccinium_uliginosum,carisoprodol,False,False,False,,-1
220,white_willow,carisoprodol,filgrastim,False,False,,-1
221,sanpak_daiichi,carisoprodol,False,False,False,,-1
222,seiten,carisoprodol,False,False,False,,-1
223,soprod,carisoprodol,False,False,False,,-1
224,somal,carisoprodol,False,False,True, pill,2
225,carisoma,carisoprodol,False,False,True,,10
226,bismuth_subsalicylate,carisoprodol,bismuth_subsalicylate,False,False,,-1
227,carbinoxamine,carisoprodol,False,False,True, slang,6
228,chlorpheniramine,carisoprodol,chlorphenamine,False,False,,-1
229,dimenhydrinate,carisoprodol,dimenhydrinate,False,False,,-1
230,diphenhydramine,carisoprodol,diphenhydramine,False,False,,-1
231,doxylamine,carisoprodol,doxylamine,False,False,,-1
232,hyoscyamine,carisoprodol,hyoscyamine,False,False,,-1
233,meclizine,carisoprodol,meclizine,False,False,,-1
234,methocarbamol,carisoprodol,methocarbamol,False,False,,-1
235,phenyltoloxamine,carisoprodol,False,False,False,,-1
236,pyrilamine,carisoprodol,mepyramine,False,False,,-1
237,scopolamine,carisoprodol,scopolamine,False,False,,-1
238,tripelennamine,carisoprodol,tripelennamine,False,False,,-1
239,carisoprodols,carisoprodol,False,False,True,,1
240,soma,carisoprodol,carisoprodol,True,True,,8
241,carisoprodol,carisoprodol,carisoprodol,True,True,,3
242,saifudin,carisoprodol,False,False,False,,-1
243,sai1,carisoprodol,False,False,False,,-1
244,san1,carisoprodol,False,False,False,,-1
245,seifuku,carisoprodol,False,False,False,,-1
246,seifun,carisoprodol,False,False,False,,-1
247,seifura,carisoprodol,False,False,False,,-1
248,carisoprodol,carisoprodol,carisoprodol,True,True,,3
249,or_araknoid,carisoprodol,False,False,False,,-1
250,cariprodol,carisoprodol,False,False,True,,1
251,tepan,carisoprodol,False,False,False,,-1
252,toremifene,carisoprodol,toremifene,False,False,,-1
253,trolamine,carisoprodol,trolamine,False,False,,-1
254,toil,carisoprodol,False,False,False,,-1
255,enlon,carisoprodol,False,False,False,,-1
256,mydekin,carisoprodol,False,False,False,,-1
257,myoloned,carisoprodol,False,False,False,,-1
258,omnopon,carisoprodol,False,False,False,,-1
259,soprodal,carisoprodol,False,False,True,,1
260,doriden,carisoprodol,glutethimide,False,False,,-1
261,soma,carisoprodol,carisoprodol,True,True,,8
262,carisoprodol,carisoprodol,carisoprodol,True,True,,3
263,mukht,carisoprodol,False,False,False,,-1
264,apur,carisoprodol,False,False,False,,-1
265,bhrant,carisoprodol,False,False,False,,-1
266,camat,carisoprodol,False,False,False,,-1
267,cint,carisoprodol,False,False,False,,-1
268,darad,carisoprodol,False,False,False,,-1
269,dhanan,carisoprodol,False,False,False,,-1
270,dhanur,carisoprodol,False,False,False,,-1
271,drast,carisoprodol,False,False,False,,-1
272,durad,carisoprodol,False,False,False,,-1
273,gaman,carisoprodol,False,False,False,,-1
274,grahan,carisoprodol,False,False,False,,-1
275,hat,carisoprodol,False,False,False,,-1
276,iccat,carisoprodol,False,False,False,,-1
277,interpreter,carisoprodol,False,False,False,,-1
278,kshem,carisoprodol,False,False,False,,-1
279,kumat,carisoprodol,False,False,False,,-1
280,kut,carisoprodol,False,False,False,,-1
281,mam,carisoprodol,False,False,False,,-1
282,mamat,carisoprodol,False,False,False,,-1
283,maya,carisoprodol,False,False,False,,-1
284,nist,carisoprodol,False,False,False,,-1
285,pariksha,carisoprodol,False,False,False,,-1
286,pat,carisoprodol,False,False,False,,-1
287,pran,carisoprodol,False,False,False,,-1
288,pragrah,carisoprodol,False,False,False,,-1
289,pubbat,carisoprodol,False,False,False,,-1
290,racan,carisoprodol,False,False,False,,-1
291,sadhan,carisoprodol,False,False,False,,-1
292,san,carisoprodol,False,False,False,,-1
293,sanskrit,carisoprodol,False,False,False,,-1
294,sat,carisoprodol,False,False,False,,-1
295,sevan,carisoprodol,False,False,False,,-1
296,sir,carisoprodol,False,False,False,,-1
297,svan,carisoprodol,False,False,False,,-1
298,sway,carisoprodol,False,False,False,,-1
299,vayam,carisoprodol,False,False,False,,-1
300,vidan,carisoprodol,False,False,False,,-1
301,vidya,carisoprodol,False,False,False,,-1
302,vyakhyan,carisoprodol,False,False,False,,-1
303,yachan,carisoprodol,False,False,False,,-1
304,sarcoma,carisoprodol,False,False,False,,-1
305,scarecrow,carisoprodol,False,False,False,,-1
306,anodyn,carisoprodol,False,False,False,,-1
307,antispasmodic,carisoprodol,False,False,False,,-1
308,carbinol,carisoprodol,dronabinol,False,False,,-1
309,carisoporide,carisoprodol,False,False,False,,-1
310,seiwaken,carisoprodol,False,False,False,,-1
311,shikoku,carisoprodol,False,False,False,,-1
312,sora,carisoprodol,False,False,False,,-1
313,kamakura,carisoprodol,False,False,False,,-1
314,kumamoto,carisoprodol,False,False,False,,-1
315,kyoto,carisoprodol,False,False,False,,-1
316,tokyo,carisoprodol,False,False,False,,-1
317,qaal,carisoprodol,False,False,False,,-1
318,ca-ri-so-pro-dol,carisoprodol,False,False,True,,1
319,soph,carisoprodol,False,False,False,,-1
320,so5,carisoprodol,False,False,False,,-1
321,som,carisoprodol,False,False,False,,-1
322,sor,carisoprodol,False,False,False,,-1
323,sop,carisoprodol,False,False,False,,-1
324,sou,carisoprodol,False,False,False,,-1
325,sopo,carisoprodol,False,False,False,,-1
326,monoc_gym,carisoprodol,False,False,False,,-1
327,soma,carisoprodol,carisoprodol,True,True,,8
328,carisoprodols,carisoprodol,False,False,True,,1
329,saphris,carisoprodol,asenapine,False,False,,-1
330,sanorex,carisoprodol,False,False,False,,-1
331,seroquel,carisoprodol,quetiapine,False,False,,-1
332,soma,carisoprodol,carisoprodol,True,True,,8
333,sonata,carisoprodol,zaleplon,False,False,,-1
334,stelazine,carisoprodol,trifluoperazine,False,False,,-1
335,sunnyvale,carisoprodol,False,False,False,,-1
336,carprod,carisoprodol,False,False,False,,-1
337,cariso,carisoprodol,False,False,True, pill,1
338,prosoma,carisoprodol,False,False,True,,9
339,karisoprodol,carisoprodol,False,False,True,,1
340,upset_stomach,carisoprodol,False,False,False,,-1
341,nervous_stomach,carisoprodol,False,False,False,,-1
342,stomach_pain,carisoprodol,False,False,False,,-1
343,cramps,carisoprodol,False,False,False,,-1
344,diarrhea,carisoprodol,False,False,False,,-1
345,constipation,carisoprodol,False,False,False,,-1
346,gas,carisoprodol,False,False,False,,-1
347,carisoprodol,carisoprodol,carisoprodol,True,True,,3
348,saying,carisoprodol,False,False,False,,-1
349,rohm-laboratories,carisoprodol,False,False,False,,-1
350,seymod,carisoprodol,False,False,False,,-1
351,shoma,carisoprodol,False,False,False,,-1
352,soprod,carisoprodol,False,False,False,,-1
353,soma,carisoprodol,carisoprodol,True,True,,8
354,sondrem,carisoprodol,False,False,False,,-1
355,soremad,carisoprodol,False,False,False,,-1
356,sotacor,carisoprodol,False,False,False,,-1
357,soma,carisoprodol,carisoprodol,True,True,,8
358,soa,carisoprodol,False,False,False,,-1
359,sa,carisoprodol,sulfanilamide,False,False,,-1
360,aoda,carisoprodol,False,False,False,,-1
361,aoma,carisoprodol,False,False,True, pill,2
362,adoma,carisoprodol,False,False,False,,-1
363,asoma,carisoprodol,False,False,True, pill,3
364,somma,carisoprodol,False,False,True, pill,2
365,carisoprodol,carisoprodol,carisoprodol,True,True,,3
366,soma,carisoprodol,carisoprodol,True,True,,8
367,anestal,carisoprodol,False,False,False,,-1
368,baralgina,carisoprodol,False,False,False,,-1
369,bionol,carisoprodol,False,False,False,,-1
370,biorphen,carisoprodol,False,False,False,,-1
371,carisoprozal,carisoprodol,False,False,False,,-1
372,carisomol,carisoprodol,False,False,False,,-1
373,carisopen,carisoprodol,False,False,False,,-1
374,prosoma,carisoprodol,False,False,True,,9
375,mysost,carisoprodol,False,False,False,,-1
376,sopite,carisoprodol,sotalol,False,False,,-1
377,somnite,carisoprodol,False,False,False,,-1
378,somnol,carisoprodol,False,False,False,,-1
379,somnus,carisoprodol,False,False,False,,-1
380,carisoprogen,carisoprodol,False,False,False,,-1
381,carisoprobel,carisoprodol,False,False,False,,-1
382,carispodol,carisoprodol,False,False,True,,1
383,prodrug,carisoprodol,lisdexamfetamine,False,False,,-1
384,phenyltoloxamine,carisoprodol,False,False,False,,-1
385,carioprodol,carisoprodol,False,False,True,,2
386,tsitram,carisoprodol,False,False,False,,-1
387,carisopril,carisoprodol,False,False,False,,-1
388,carisoprodom,carisoprodol,False,False,False,,-1
389,karisoprodol,carisoprodol,False,False,True,,1
390,soma_carisoprodol,carisoprodol,False,True,True,,1
391,soprozepam,carisoprodol,False,False,False,,-1
392,tizanidine,carisoprodol,tizanidine,False,False,,-1
393,carisoprodolum,carisoprodol,False,False,True,,1
394,flupirtine,carisoprodol,flupirtine,False,False,,-1
395,milbemps,carisoprodol,False,False,False,,-1
396,nefopam,carisoprodol,nefopam,False,False,,-1
397,orphenadrine,carisoprodol,orphenadrine,False,False,,-1
398,phenyltoloxamine,carisoprodol,False,False,False,,-1
399,pirlindole,carisoprodol,pirlindole,False,True, pill,7
400,tolperisone,carisoprodol,tolperisone,False,False,,-1
401,carisoprodolum,carisoprodol,False,False,True,,1
402,carisoprodol,carisoprodol,carisoprodol,True,True,,3
403,tonat,carisoprodol,False,False,False,,-1
404,myoton,carisoprodol,False,False,False,,-1
405,somadril,carisoprodol,False,False,True,,2
406,myorel,carisoprodol,False,False,False,,-1
407,sogen,carisoprodol,estrone_sulfate,False,False,,-1
408,tolrest,carisoprodol,False,False,False,,-1
409,carisoma,carisoprodol,False,False,True,,10
410,carisop,carisoprodol,False,False,True, pill,1
411,carisopro,carisoprodol,False,False,True,,2
412,carisoprod,carisoprodol,False,False,True,,1
413,carisoprodol,carisoprodol,carisoprodol,True,True,,3
414,carprod,carisoprodol,False,False,False,,-1
415,soma_pills,carisoprodol,False,True,True,,2
416,soma,carisoprodol,carisoprodol,True,True,,8
417,carisoprodol_350_mg,carisoprodol,False,True,True,,1
418,carisoprodol_250_mg,carisoprodol,False,True,True,,1
419,carisoprodol_500_mg,carisoprodol,False,True,True,,1
420,ws4,carisoprodol,False,False,False,,-1
421,qs4,carisoprodol,False,False,False,,-1
422,car-i-sop-ro-dol,carisoprodol,False,False,True,,1
423,carpro,carisoprodol,False,False,False,,-1
424,carbysom,carisoprodol,False,False,False,,-1
425,sagishi,carisoprodol,False,False,False,,-1
426,seijo,carisoprodol,False,False,False,,-1
427,seijuro,carisoprodol,False,False,False,,-1
428,seikei,carisoprodol,False,False,False,,-1
429,seiketsu,carisoprodol,False,False,False,,-1
430,seiren,carisoprodol,False,False,False,,-1
431,seiryo,carisoprodol,False,False,False,,-1
432,sompa,carisoprodol,False,False,False,,-1
433,ssopal,carisoprodol,False,False,False,,-1
434,soprodal,carisoprodol,False,False,True,,1
435,soma,carisoprodol,carisoprodol,True,True,,8
436,carisoma,carisoprodol,False,False,True,,10
437,somavert,carisoprodol,False,False,False,,-1
438,annexate,carisoprodol,False,False,False,,-1
439,skana,carisoprodol,False,False,False,,-1
440,skener,carisoprodol,False,False,False,,-1
441,skoll,carisoprodol,False,False,False,,-1
442,skylar,carisoprodol,False,False,False,,-1
443,sloan,carisoprodol,False,False,False,,-1
444,snyder,carisoprodol,False,False,False,,-1
445,sorrento,carisoprodol,False,False,False,,-1
446,spallanzani,carisoprodol,False,False,False,,-1
447,spanish,carisoprodol,False,False,False,,-1
448,spitzer,carisoprodol,False,False,False,,-1
449,sullivan,carisoprodol,False,False,False,,-1
450,sutter,carisoprodol,False,False,False,,-1
451,swenson,carisoprodol,False,False,False,,-1
452,taylor,carisoprodol,False,False,False,,-1
453,terre,carisoprodol,False,False,False,,-1
454,thomas,carisoprodol,False,False,False,,-1
455,tyson,carisoprodol,False,False,False,,-1
456,tapa,carisoprodol,False,False,False,,-1
457,topamax,carisoprodol,topiramate,False,False,,-1
458,uloric,carisoprodol,febuxostat,False,False,,-1
459,viekira,carisoprodol,paritaprevir,False,False,,-1
460,zarontin,carisoprodol,ethosuximide,False,False,,-1
461,soma,carisoprodol,carisoprodol,True,True,,8
462,carisoptrodol,carisoprodol,False,False,False,,-1
463,sanoma,carisoprodol,carisoprodol,True,True, pill,2
464,peregaw,carisoprodol,False,False,False,,-1
465,patimak,carisoprodol,False,False,False,,-1
466,oroma,carisoprodol,False,False,False,,-1
467,nayama,carisoprodol,False,False,False,,-1
468,makiyama,carisoprodol,False,False,False,,-1
469,kiyama,carisoprodol,False,False,False,,-1
470,sobar,carisoprodol,False,False,False,,-1
471,carisoprom,carisoprodol,False,False,False,,-1
472,carisopral,carisoprodol,False,False,False,,-1
473,carisoprin,carisoprodol,False,False,False,,-1
474,carisoprul,carisoprodol,False,False,False,,-1
475,rela,carisoprodol,False,False,True, pill,2
476,myolene,carisoprodol,False,False,False,,-1
477,oxa,carisoprodol,False,False,False,,-1
478,pro,carisoprodol,False,False,False,,-1
479,soma,carisoprodol,carisoprodol,True,True,,8
480,crysoprodol,carisoprodol,False,False,False,,-1
481,epithal,carisoprodol,False,False,False,,-1
482,psoriasis,carisoprodol,False,False,False,,-1
483,soma_cream,carisoprodol,False,True,True, pill,9
484,carisoprodolum,carisoprodol,False,False,True,,1
485,carisoprodalum,carisoprodol,False,False,False,,-1
486,soprad,carisoprodol,False,False,False,,-1
487,sopral,carisoprodol,False,False,False,,-1
488,sopran,carisoprodol,False,False,False,,-1
489,soprame,carisoprodol,False,False,False,,-1
490,soprani,carisoprodol,False,False,False,,-1
491,soprano,carisoprodol,False,False,False,,-1
492,sopranox,carisoprodol,False,False,False,,-1
493,zanaflex,carisoprodol,tizanidine,False,False,,-1
494,carisopra_dol,carisoprodol,False,False,False,,-1
495,carisopo_dol,carisoprodol,False,False,True,,1
496,tamarind,carisoprodol,False,False,False,,-1
497,tonic_convulsant,carisoprodol,False,False,False,,-1
498,somp,carisoprodol,False,False,False,,-1
499,somec,carisoprodol,False,False,False,,-1
500,socar,carisoprodol,False,False,False,,-1
501,soookie,carisoprodol,False,False,False,,-1
502,sody,carisoprodol,False,False,False,,-1
503,somsan,carisoprodol,False,False,False,,-1
504,socee,carisoprodol,False,False,False,,-1
505,sa1,carisoprodol,False,False,False,,-1
506,sa2,carisoprodol,False,False,False,,-1
507,sb2,carisoprodol,False,False,False,,-1
508,sb3,carisoprodol,False,False,False,,-1
509,se1,carisoprodol,False,False,False,,-1
