,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,proedrine,cathine,False,False,False,,-1
1,thozalinone,cathine,False,False,False,,-1
2,etilefrine,cathine,False,False,False,,-1
3,pseudoephedrine,cathine,pseudoephedrine,False,False,,-1
4,cathatriene,cathine,False,False,False,,-1
5,cathaicin,cathine,False,False,False,,-1
6,catharidine,cathine,False,False,False,,-1
7,cathartine,cathine,False,False,False,,-1
8,cathodyne,cathine,False,False,False,,-1
9,cathoidine,cathine,False,False,False,,-1
10,cathremestine,cathine,False,False,False,,-1
11,ephedrine,cathine,ephedrine,False,False,,-1
12,pseudoephedrine,cathine,pseudoephedrine,False,False,,-1
13,l-norpseudoephedrine,cathine,False,False,False,,-1
14,p-hydroxy-norephedrine,cathine,False,False,False,,-1
15,piperazine,cathine,piperazine,False,False,,-1
16,epinephrine,cathine,epinephrine,False,False,,-1
17,cathenine,cathine,False,False,False,,-1
18,cathenol,cathine,False,False,False,,-1
19,cath_rate,cathine,False,False,False,,-1
20,cathodic,cathine,False,False,False,,-1
21,cationic,cathine,False,False,False,,-1
22,cathinol,cathine,False,False,True, pill,10
23,cathinone,cathine,cathinone,False,False,,-1
24,(+/-)-norpseudoephedrine,cathine,False,False,True, pill,2
25,l-norpseudoephedrine,cathine,False,False,False,,-1
26,phenethylamine,cathine,phenethylamine,False,False,,-1
27,methamphetamine,cathine,methamphetamine,False,False,,-1
28,racemic_amphetamine,cathine,False,False,False,,-1
29,ssri,cathine,False,False,False,,-1
30,serotonin_agonist,cathine,False,False,False,,-1
31,tricyclic_antidepressant,cathine,False,False,False,,-1
32,maoi,cathine,False,False,False,,-1
33,atypical_antidepressant,cathine,False,False,False,,-1
34,norepinephrine_reuptake_inhibitor,cathine,False,False,False,,-1
35,cathineoxide,cathine,False,False,False,,-1
36,cathineform,cathine,False,False,True,,1
37,cathetine,cathine,False,False,False,,-1
38,cathinic,cathine,False,False,False,,-1
39,cathinine,cathine,False,False,True,,7
40,cathinol,cathine,False,False,True, pill,10
41,cathinon,cathine,False,False,True, pill,9
42,cathine_hydrochloride,cathine,False,True,True,,1
43,norpseudoephedrine,cathine,cathine,True,True,,1
44,cathin,cathine,False,False,False,,-1
45,cathinone,cathine,cathinone,False,False,,-1
46,norpseudoephedrine,cathine,cathine,True,True,,1
47,ephedrine,cathine,ephedrine,False,False,,-1
48,tyramine,cathine,tyramine,False,False,,-1
49,hordenine,cathine,phenethylamine,False,False,,-1
50,meta-chlorophenylpiperazine,cathine,False,False,False,,-1
51,cathexine,cathine,False,False,False,,-1
52,catherinic_acid,cathine,False,False,False,,-1
53,cathene,cathine,False,False,False,,-1
54,catherine,cathine,False,False,False,,-1
55,cathin,cathine,False,False,False,,-1
56,ephedrine,cathine,ephedrine,False,False,,-1
57,ephedrine,cathine,ephedrine,False,False,,-1
58,pseudoephedrine,cathine,pseudoephedrine,False,False,,-1
59,ephedrine,cathine,ephedrine,False,False,,-1
60,cathartic,cathine,False,False,False,,-1
61,catherine,cathine,False,False,False,,-1
62,p-hydroxyephedrine,cathine,False,False,False,,-1
63,methcathinone,cathine,methamphetamine,False,False,,-1
64,ephedrone,cathine,ephedrine,False,False,,-1
65,pseudoephedrine,cathine,pseudoephedrine,False,False,,-1
66,p-hydroxyephedrine,cathine,False,False,False,,-1
67,ephedrine,cathine,ephedrine,False,False,,-1
68,caffeine,cathine,caffeine,False,False,,-1
69,amine,cathine,False,False,False,,-1
70,trimethylamine,cathine,False,False,False,,-1
71,diethylpropion,cathine,diethylpropion,False,False,,-1
72,pyrole,cathine,pyrazole,False,False,,-1
73,amine,cathine,False,False,False,,-1
