,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,hajji,chlorhexadol,False,False,False,,-1
1,chloorhexadol,chlorhexadol,False,False,False,,-1
2,chlorhexidine,chlorhexadol,chlorhexidine,False,False,,-1
3,chlornol,chlorhexadol,False,False,False,,-1
4,chlorhexan,chlorhexadol,False,False,False,,-1
5,chlorhexol,chlorhexadol,False,False,False,,-1
6,loxa,chlorhexadol,False,False,False,,-1
7,loxapine,chlorhexadol,loxapine,False,False,,-1
8,loxatl,chlorhexadol,False,False,False,,-1
9,loxitane,chlorhexadol,loxapine,False,False,,-1
10,loxybutynin,chlorhexadol,False,False,False,,-1
11,loxodonta,chlorhexadol,False,False,False,,-1
12,loxoprofen,chlorhexadol,loxoprofen,False,False,,-1
13,haxo,chlorhexadol,False,False,False,,-1
14,xahar,chlorhexadol,False,False,False,,-1
15,hexadol,chlorhexadol,False,False,False,,-1
16,chochmah,chlorhexadol,False,False,False,,-1
17,chalices,chlorhexadol,False,False,False,,-1
18,chakra,chlorhexadol,False,False,False,,-1
19,chamomile,chlorhexadol,False,False,False,,-1
20,chicanery,chlorhexadol,False,False,False,,-1
21,childing,chlorhexadol,False,False,False,,-1
22,chloroform,chlorhexadol,False,False,False,,-1
23,boruy,chlorhexadol,False,False,False,,-1
24,furom,chlorhexadol,False,False,False,,-1
25,furud,chlorhexadol,False,False,False,,-1
26,garag,chlorhexadol,False,False,False,,-1
27,garuo,chlorhexadol,False,False,False,,-1
28,joray,chlorhexadol,False,False,False,,-1
29,ketac,chlorhexadol,False,False,False,,-1
30,klor,chlorhexadol,False,False,False,,-1
31,lorcet,chlorhexadol,hydrocodone,False,False,,-1
32,meperidine,chlorhexadol,pethidine,False,False,,-1
33,noluck,chlorhexadol,False,False,False,,-1
34,orage,chlorhexadol,False,False,False,,-1
35,oxycodone,chlorhexadol,oxycodone,False,False,,-1
36,pethidine,chlorhexadol,pethidine,False,False,,-1
37,phentanyl,chlorhexadol,fentanyl,False,False,,-1
38,propoxyphene,chlorhexadol,dextropropoxyphene,False,False,,-1
39,sufentanyl,chlorhexadol,sufentanil,False,False,,-1
40,lithyrian,chlorhexadol,False,False,False,,-1
41,nephpesh,chlorhexadol,False,False,False,,-1
42,osterian,chlorhexadol,False,False,False,,-1
43,phorine,chlorhexadol,False,False,False,,-1
44,quandrian,chlorhexadol,False,False,False,,-1
45,rokkizan,chlorhexadol,False,False,False,,-1
46,saardian,chlorhexadol,False,False,False,,-1
47,vorwa,chlorhexadol,False,False,False,,-1
48,nyanka,chlorhexadol,False,False,False,,-1
49,danga,chlorhexadol,False,False,False,,-1
50,pamba,chlorhexadol,False,False,False,,-1
51,wanga,chlorhexadol,False,False,False,,-1
52,kamba,chlorhexadol,False,False,False,,-1
53,janga,chlorhexadol,False,False,False,,-1
54,hexidor,chlorhexadol,False,False,False,,-1
55,chlordiazepoxide,chlorhexadol,chlordiazepoxide,False,False,,-1
56,emode,chlorhexadol,False,False,False,,-1
57,hexadol,chlorhexadol,False,False,False,,-1
58,chelone,chlorhexadol,choline,False,False,,-1
59,6-chlorohexadol,chlorhexadol,False,False,False,,-1
60,nehexadol,chlorhexadol,False,False,False,,-1
61,6-chloro-1-methyl-4-piperidinyl_hexadol,chlorhexadol,False,False,False,,-1
62,ativan,chlorhexadol,lorazepam,False,False,,-1
63,valium,chlorhexadol,diazepam,False,False,,-1
64,xanax,chlorhexadol,alprazolam,False,False,,-1
65,klonopin,chlorhexadol,clonazepam,False,False,,-1
66,chloral_hydrate,chlorhexadol,chloral_hydrate,False,False,,-1
67,librium,chlorhexadol,chlordiazepoxide,False,False,,-1
68,roza,chlorhexadol,False,False,False,,-1
69,sora,chlorhexadol,False,False,False,,-1
70,meridia,chlorhexadol,sibutramine,False,False,,-1
71,prolia,chlorhexadol,denosumab,False,False,,-1
72,prazosin,chlorhexadol,prazosin,False,False,,-1
73,elavil,chlorhexadol,amitriptyline,False,False,,-1
74,chloral_hydrate,chlorhexadol,chloral_hydrate,False,False,,-1
75,palon,chlorhexadol,False,False,False,,-1
76,chlorohexadol,chlorhexadol,False,False,False,,-1
77,lorhexidine,chlorhexadol,False,False,False,,-1
78,chlorhexanide,chlorhexadol,False,False,False,,-1
79,hexachlorophene,chlorhexadol,hexachlorophene,False,False,,-1
80,hexachlorophenol,chlorhexadol,False,False,False,,-1
81,tetrahydroxychlorohexane,chlorhexadol,False,False,False,,-1
82,chlorhexidine,chlorhexadol,chlorhexidine,False,False,,-1
83,lusal,chlorhexadol,False,False,False,,-1
84,luraph,chlorhexadol,False,False,False,,-1
85,loratab,chlorhexadol,hydrocodone,False,False,,-1
86,lortab,chlorhexadol,hydrocodone,False,False,,-1
87,lortan,chlorhexadol,False,False,False,,-1
88,lortek,chlorhexadol,False,False,False,,-1
89,lyrica,chlorhexadol,pregabalin,False,False,,-1
90,meperidine,chlorhexadol,pethidine,False,False,,-1
91,meperidine_hydrochloride,chlorhexadol,False,False,False,,-1
92,methylene_blue,chlorhexadol,methylene_blue,False,False,,-1
93,methotrimeprazine,chlorhexadol,methotrimeprazine,False,False,,-1
94,methotrimeprazine_hydrochloride,chlorhexadol,False,False,False,,-1
95,midazolam,chlorhexadol,midazolam,False,False,,-1
96,midazolam_hydrochloride,chlorhexadol,False,False,False,,-1
97,nalorex,chlorhexadol,naltrexone,False,False,,-1
98,naloxone,chlorhexadol,naloxone,False,False,,-1
99,naloxone_hydrochloride,chlorhexadol,naloxone,False,False,,-1
100,narcan,chlorhexadol,naloxone,False,False,,-1
101,pentazocine,chlorhexadol,pentazocine,False,False,,-1
102,pentazocine_hydrochloride,chlorhexadol,False,False,False,,-1
103,phenyltoloxamine,chlorhexadol,False,False,False,,-1
104,phenyltoloxamine_citrate,chlorhexadol,False,False,False,,-1
105,piritramide,chlorhexadol,piritramide,False,False,,-1
106,ranitidine,chlorhexadol,ranitidine,False,False,,-1
107,ranitidine_hydrochloride,chlorhexadol,False,False,False,,-1
108,realmeprazine,chlorhexadol,False,False,False,,-1
109,realmeprazine_hydrochloride,chlorhexadol,False,False,False,,-1
110,targin,chlorhexadol,oxycodone,False,False,,-1
111,zofran,chlorhexadol,ondansetron,False,False,,-1
112,norba,chlorhexadol,False,False,False,,-1
113,relba,chlorhexadol,False,False,False,,-1
114,selba,chlorhexadol,False,False,False,,-1
115,dilaudid,chlorhexadol,hydromorphone,False,False,,-1
116,hydromorphone,chlorhexadol,hydromorphone,False,False,,-1
117,lortab,chlorhexadol,hydrocodone,False,False,,-1
118,lorcet,chlorhexadol,hydrocodone,False,False,,-1
119,darvocet,chlorhexadol,False,False,False,,-1
120,propoxyphene,chlorhexadol,dextropropoxyphene,False,False,,-1
121,codeine,chlorhexadol,codeine,False,False,,-1
122,hydrocodone,chlorhexadol,hydrocodone,False,False,,-1
123,oxycodone,chlorhexadol,oxycodone,False,False,,-1
124,aravxa,chlorhexadol,False,False,False,,-1
125,avara,chlorhexadol,False,False,False,,-1
126,myross,chlorhexadol,False,False,False,,-1
127,novacaine,chlorhexadol,procaine,False,False,,-1
128,percocet,chlorhexadol,oxycodone,False,False,,-1
129,ultram,chlorhexadol,tramadol,False,False,,-1
130,chlode,chlorhexadol,False,False,False,,-1
131,chlodex,chlorhexadol,False,False,False,,-1
132,chloro,chlorhexadol,False,False,False,,-1
133,chlorhex,chlorhexadol,False,False,False,,-1
134,chlorx,chlorhexadol,False,False,False,,-1
135,cidar,chlorhexadol,False,False,False,,-1
136,fluoro,chlorhexadol,False,False,False,,-1
137,lorum,chlorhexadol,False,False,False,,-1
138,alder,chlorhexadol,False,False,False,,-1
139,alphaxolone,chlorhexadol,False,False,False,,-1
140,lorux,chlorhexadol,False,False,False,,-1
141,chlorhexu,chlorhexadol,False,False,False,,-1
142,loryh,chlorhexadol,False,False,False,,-1
143,loryhd,chlorhexadol,False,False,False,,-1
144,zaront,chlorhexadol,False,False,False,,-1
145,zofran,chlorhexadol,ondansetron,False,False,,-1
146,chinchorro,chlorhexadol,False,False,False,,-1
147,doramad,chlorhexadol,False,False,False,,-1
148,flokka,chlorhexadol,False,False,False,,-1
149,klorhex,chlorhexadol,False,False,False,,-1
150,klorhexidin,chlorhexadol,False,False,False,,-1
151,klorookan,chlorhexadol,False,False,False,,-1
152,chlorhex,chlorhexadol,False,False,False,,-1
153,orma,chlorhexadol,False,False,False,,-1
154,kira,chlorhexadol,False,False,False,,-1
155,mora,chlorhexadol,False,False,False,,-1
156,chloryhxadol,chlorhexadol,False,False,False,,-1
157,loraz,chlorhexadol,chlorhexadol,True,False,,-1
158,lorac,chlorhexadol,False,False,False,,-1
159,lorsed,chlorhexadol,False,False,False,,-1
160,chloro,chlorhexadol,False,False,False,,-1
161,chloral,chlorhexadol,chloral_hydrate,False,False,,-1
162,chlorac,chlorhexadol,False,False,False,,-1
163,chlorhex,chlorhexadol,False,False,False,,-1
164,lorsin,chlorhexadol,False,False,False,,-1
165,chlorhexadol,chlorhexadol,chlorhexadol,False,False,,-1
166,frada,chlorhexadol,False,False,False,,-1
167,truxal,chlorhexadol,False,False,False,,-1
168,heximer,chlorhexadol,False,False,False,,-1
169,novaclor,chlorhexadol,False,False,False,,-1
170,chloropress,chlorhexadol,False,False,False,,-1
171,klorhexidin,chlorhexadol,False,False,False,,-1
172,chlorhex,chlorhexadol,False,False,False,,-1
173,chorhex,chlorhexadol,False,False,False,,-1
174,chorhexidol,chlorhexadol,False,False,False,,-1
175,chlorhex,chlorhexadol,False,False,False,,-1
176,chlorhexan,chlorhexadol,False,False,False,,-1
177,norla,chlorhexadol,False,False,False,,-1
178,kalee,chlorhexadol,False,False,False,,-1
179,chlorohexadol,chlorhexadol,False,False,False,,-1
180,klorhexidin,chlorhexadol,False,False,False,,-1
181,klorhexiked,chlorhexadol,False,False,False,,-1
182,klorhexensioux,chlorhexadol,False,False,False,,-1
183,loritab,chlorhexadol,hydrocodone,False,False,,-1
184,lortab,chlorhexadol,hydrocodone,False,False,,-1
185,lortan,chlorhexadol,False,False,False,,-1
186,lortans,chlorhexadol,False,False,False,,-1
187,lort_wanting,chlorhexadol,False,False,False,,-1
188,lorty,chlorhexadol,False,False,False,,-1
189,maalox,chlorhexadol,False,False,False,,-1
190,meclizine,chlorhexadol,meclizine,False,False,,-1
191,mesalamine,chlorhexadol,mesalazine,False,False,,-1
192,metamucil,chlorhexadol,plantago_seed,False,False,,-1
193,milk_of_magnesia,chlorhexadol,magnesium_hydroxide,False,False,,-1
194,muriatic_acid,chlorhexadol,False,False,False,,-1
195,mylanta,chlorhexadol,False,False,False,,-1
196,neosporin,chlorhexadol,bacitracin,False,False,,-1
197,nystatin,chlorhexadol,nystatin,False,False,,-1
198,oatmeal,chlorhexadol,colloidal_oatmeal,False,False,,-1
199,peroxide,chlorhexadol,hydrogen_peroxide,False,False,,-1
200,milk_of_magnesia,chlorhexadol,magnesium_hydroxide,False,False,,-1
201,phenergan,chlorhexadol,promethazine,False,False,,-1
202,pyridium,chlorhexadol,phenazopyridine,False,False,,-1
203,kaopectate,chlorhexadol,False,False,False,,-1
204,klonopin,chlorhexadol,clonazepam,False,False,,-1
205,lidocaine,chlorhexadol,lidocaine,False,False,,-1
206,maalox,chlorhexadol,False,False,False,,-1
207,meclizine,chlorhexadol,meclizine,False,False,,-1
208,mesalamine,chlorhexadol,mesalazine,False,False,,-1
209,metamucil,chlorhexadol,plantago_seed,False,False,,-1
210,milk_of_magnesia,chlorhexadol,magnesium_hydroxide,False,False,,-1
211,muriatic_acid,chlorhexadol,False,False,False,,-1
212,mylanta,chlorhexadol,False,False,False,,-1
213,neosporin,chlorhexadol,bacitracin,False,False,,-1
214,nystatin,chlorhexadol,nystatin,False,False,,-1
215,oatmeal,chlorhexadol,colloidal_oatmeal,False,False,,-1
216,peroxide,chlorhexadol,hydrogen_peroxide,False,False,,-1
217,phenergan,chlorhexadol,promethazine,False,False,,-1
218,pyridium,chlorhexadol,phenazopyridine,False,False,,-1
219,kaopectate,chlorhexadol,False,False,False,,-1
220,klonopin,chlorhexadol,clonazepam,False,False,,-1
221,lidocaine,chlorhexadol,lidocaine,False,False,,-1
222,lomotil,chlorhexadol,atropine,False,False,,-1
223,lotronex,chlorhexadol,alosetron,False,False,,-1
224,lortab,chlorhexadol,hydrocodone,False,False,,-1
225,lortan,chlorhexadol,False,False,False,,-1
226,lortans,chlorhexadol,False,False,False,,-1
227,lort_wanting,chlorhexadol,False,False,False,,-1
228,lorty,chlorhexadol,False,False,False,,-1
229,lorazepam,chlorhexadol,lorazepam,False,False,,-1
230,palka,chlorhexadol,False,False,False,,-1
231,serka,chlorhexadol,False,False,False,,-1
232,torma,chlorhexadol,False,False,False,,-1
233,loprazolam,chlorhexadol,loprazolam,False,False,,-1
234,diazepam,chlorhexadol,diazepam,False,False,,-1
235,zolpidem,chlorhexadol,zolpidem,False,False,,-1
236,flurazepam,chlorhexadol,flurazepam,False,False,,-1
237,loral,chlorhexadol,False,False,False,,-1
238,chlorhexidine,chlorhexadol,chlorhexidine,False,False,,-1
