,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,taom,clobazam,False,False,False,,-1
1,fomand,clobazam,False,False,False,,-1
2,klaibazam,clobazam,False,False,False,,-1
3,flumazenil,clobazam,flumazenil,False,False,,-1
4,bazolam,clobazam,False,False,False,,-1
5,clozepam,clobazam,clonazepam,False,False,,-1
6,grandaxin,clobazam,tofisopam,False,False,,-1
7,hours,clobazam,False,False,False,,-1
8,cibalgina,clobazam,False,False,False,,-1
9,sumail,clobazam,False,False,False,,-1
10,azal,clobazam,False,False,False,,-1
11,bezalip,clobazam,False,False,False,,-1
12,bromazepam,clobazam,bromazepam,False,False,,-1
13,clobazoxide,clobazam,False,False,False,,-1
14,clocinnamox,clobazam,False,False,False,,-1
15,clometozine,clobazam,False,False,False,,-1
16,clonazepoxide,clobazam,False,False,False,,-1
17,diazepam,clobazam,diazepam,False,False,,-1
18,flumazenil,clobazam,flumazenil,False,False,,-1
19,flunitrazepam,clobazam,flunitrazepam,False,False,,-1
20,halazepam,clobazam,halazepam,False,False,,-1
21,ketazolam,clobazam,False,False,False,,-1
22,lorazepam,clobazam,lorazepam,False,False,,-1
23,midazolam,clobazam,midazolam,False,False,,-1
24,niravam,clobazam,alprazolam,False,False,,-1
25,oxazepam,clobazam,oxazepam,False,False,,-1
26,pazinaclone,clobazam,False,False,False,,-1
27,phenazepam,clobazam,False,False,False,,-1
28,quazepam,clobazam,quazepam,False,False,,-1
29,remoxipride,clobazam,False,False,False,,-1
30,temazepam,clobazam,temazepam,False,False,,-1
31,tetrazepam,clobazam,nitrazepam,False,False,,-1
32,triazolam,clobazam,triazolam,False,False,,-1
33,zolpidem,clobazam,zolpidem,False,False,,-1
34,epirizole,clobazam,False,False,False,,-1
35,zolafren,clobazam,False,False,False,,-1
36,urboset,clobazam,False,False,False,,-1
37,valpazan,clobazam,False,False,False,,-1
38,quazepam,clobazam,quazepam,False,False,,-1
39,midazolam,clobazam,midazolam,False,False,,-1
40,cloazepam,clobazam,False,False,False,,-1
41,rylen,clobazam,False,False,False,,-1
42,sabrill,clobazam,False,False,True, drug,7
43,flunipam,clobazam,False,False,False,,-1
44,neumizol,clobazam,False,False,False,,-1
45,flurazepam,clobazam,flurazepam,False,False,,-1
46,zapam,clobazam,False,False,False,,-1
47,bloprid,clobazam,False,False,False,,-1
48,fluzepam,clobazam,False,False,False,,-1
49,diazepam,clobazam,diazepam,False,False,,-1
50,oxazepam,clobazam,oxazepam,False,False,,-1
51,lorazepam,clobazam,lorazepam,False,False,,-1
52,alprazolam,clobazam,alprazolam,False,False,,-1
53,dozet,clobazam,False,False,False,,-1
54,finibezum,clobazam,False,False,False,,-1
