,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,rivotril,clonazepam,clonazepam,True,True,,3
1,clozaril,clonazepam,clozapine,False,True,,9
2,clonopin,clonazepam,clonazepam,True,True,,1
3,klonopin,clonazepam,clonazepam,True,True,,2
4,clonopin,clonazepam,clonazepam,True,True,,1
5,clonazepam,clonazepam,clonazepam,True,True,,1
6,clonazep,clonazepam,False,False,True,,2
7,clonazepan,clonazepam,clonazepam,True,True,,2
8,clonopin,clonazepam,clonazepam,True,True,,1
9,clonazapan,clonazepam,clonazepam,True,True,,2
10,display,clonazepam,False,False,False,,-1
11,klonopin,clonazepam,clonazepam,True,True,,2
12,clonipine,clonazepam,False,False,True,,1
13,rivotril,clonazepam,clonazepam,True,True,,3
14,clonazepan,clonazepam,clonazepam,True,True,,2
15,clonazepem,clonazepam,clonazepam,True,True,,1
16,rivotril,clonazepam,clonazepam,True,True,,3
17,ativan,clonazepam,lorazepam,False,False,,-1
18,xanax,clonazepam,alprazolam,False,True,,5
19,valium,clonazepam,diazepam,False,False,,-1
20,klonopin,clonazepam,clonazepam,True,True,,2
21,librium,clonazepam,chlordiazepoxide,False,False,,-1
22,ativan,clonazepam,lorazepam,False,False,,-1
23,klonopin,clonazepam,clonazepam,True,True,,2
24,clonazepamum,clonazepam,clonazepam,True,True,,3
25,klonopin,clonazepam,clonazepam,True,True,,2
26,clonnzepam,clonazepam,False,False,True,,3
27,clonzepam,clonazepam,clonazepam,True,True,,1
28,clonazepam,clonazepam,clonazepam,True,True,,1
29,clonazepamum,clonazepam,clonazepam,True,True,,3
30,clonazepan,clonazepam,clonazepam,True,True,,2
31,ansiolin,clonazepam,False,False,False,,-1
32,tranquiliser,clonazepam,False,False,False,,-1
33,clorpheniramine,clonazepam,chlorphenamine,False,False,,-1
34,phenazepam,clonazepam,False,False,False,,-1
35,clonazepamum,clonazepam,clonazepam,True,True,,3
36,clonazepanes,clonazepam,False,False,False,,-1
37,clonazepams,clonazepam,clonazepam,True,True,,1
38,clozapam,clonazepam,clobazam,False,True,,3
39,ativan,clonazepam,lorazepam,False,False,,-1
40,citalopram,clonazepam,citalopram,False,False,,-1
41,diazepam,clonazepam,diazepam,False,False,,-1
42,lorazepam,clonazepam,lorazepam,False,False,,-1
43,alprazolam,clonazepam,alprazolam,False,True,,5
44,flurazepam,clonazepam,flurazepam,False,False,,-1
45,clozapine,clonazepam,clozapine,False,True,,6
46,zolpidem,clonazepam,zolpidem,False,False,,-1
47,klonazepam,clonazepam,clonazepam,True,True,,1
48,clonazepan,clonazepam,clonazepam,True,True,,2
49,clonopin,clonazepam,clonazepam,True,True,,1
50,ativan,clonazepam,lorazepam,False,False,,-1
51,ativan,clonazepam,lorazepam,False,False,,-1
52,klonopin,clonazepam,clonazepam,True,True,,2
53,klonopin,clonazepam,clonazepam,True,True,,2
54,clonopin,clonazepam,clonazepam,True,True,,1
55,klonopin,clonazepam,clonazepam,True,True,,2
56,klonopin,clonazepam,clonazepam,True,True,,2
57,clonazepamum,clonazepam,clonazepam,True,True,,3
58,clonazepams,clonazepam,clonazepam,True,True,,1
59,klonopam,clonazepam,False,False,True,,2
60,clonopin,clonazepam,clonazepam,True,True,,1
61,clonopium,clonazepam,False,False,False,,-1
62,rivotril,clonazepam,clonazepam,True,True,,3
63,xanax,clonazepam,alprazolam,False,True,,5
64,clobazam,clonazepam,clobazam,False,True,,2
65,clonazapan,clonazepam,clonazepam,True,True,,2
66,clonazapamum,clonazepam,False,False,False,,-1
67,closeupam,clonazepam,False,False,False,,-1
68,clonopam,clonazepam,False,False,True,,1
69,clonazepan,clonazepam,clonazepam,True,True,,2
70,klonopinz,clonazepam,False,False,False,,-1
71,klonopam,clonazepam,False,False,True,,2
72,klonozepam,clonazepam,False,False,True,,3
73,klonopax,clonazepam,False,False,False,,-1
74,klonopinq,clonazepam,False,False,False,,-1
75,urbanyl,clonazepam,False,False,True,,6
76,alprazolam,clonazepam,alprazolam,False,True,,5
77,diazepam,clonazepam,diazepam,False,False,,-1
78,lorazepam,clonazepam,lorazepam,False,False,,-1
79,oxazepam,clonazepam,oxazepam,False,False,,-1
80,temazepam,clonazepam,temazepam,False,False,,-1
81,zolpidem,clonazepam,zolpidem,False,False,,-1
82,klonapin,clonazepam,clonazepam,True,True,,1
83,rivotril,clonazepam,clonazepam,True,True,,3
84,rivotril,clonazepam,clonazepam,True,True,,3
85,clonazepan,clonazepam,clonazepam,True,True,,2
86,clonazepam,clonazepam,clonazepam,True,True,,1
87,clonazepan,clonazepam,clonazepam,True,True,,2
88,clonazepine,clonazepam,False,False,True,,3
89,clonapin,clonazepam,False,False,True,,1
90,clonazolam,clonazepam,False,False,True,,3
91,clonopin,clonazepam,clonazepam,True,True,,1
92,clonozepam,clonazepam,clonazepam,True,True,,1
93,clopine,clonazepam,False,False,True,,6
94,clopan,clonazepam,False,False,False,,-1
95,clopsine,clonazepam,False,False,False,,-1
96,clospin,clonazepam,False,False,False,,-1
97,clonacepam,clonazepam,False,False,True,,3
98,clonazolam,clonazepam,False,False,True,,3
99,levetiracetam,clonazepam,levetiracetam,False,False,,-1
100,klonopin,clonazepam,clonazepam,True,True,,2
101,klonopin,clonazepam,clonazepam,True,True,,2
102,klonopib,clonazepam,False,False,True,,1
103,clonopin,clonazepam,clonazepam,True,True,,1
104,clonaepam,clonazepam,False,False,True,,2
105,akineton,clonazepam,biperiden,False,False,,-1
106,alusa,clonazepam,False,False,False,,-1
107,bhang,clonazepam,False,False,False,,-1
108,black_hash,clonazepam,False,False,False,,-1
109,blaster,clonazepam,False,False,False,,-1
110,bogart,clonazepam,False,False,False,,-1
111,boo,clonazepam,False,False,False,,-1
112,boom,clonazepam,False,False,False,,-1
113,buddha,clonazepam,False,False,False,,-1
114,bush,clonazepam,False,False,False,,-1
115,candy,clonazepam,False,False,False,,-1
116,cheeba,clonazepam,False,False,False,,-1
117,chiropteran,clonazepam,False,False,False,,-1
118,chiva,clonazepam,False,False,False,,-1
119,crip,clonazepam,False,False,False,,-1
120,crystal,clonazepam,False,False,False,,-1
121,dank,clonazepam,False,False,False,,-1
122,daze,clonazepam,False,False,False,,-1
123,d-flat,clonazepam,False,False,False,,-1
124,dirt,clonazepam,False,False,False,,-1
125,djuana,clonazepam,False,False,False,,-1
126,doja,clonazepam,False,False,False,,-1
127,dopium,clonazepam,False,False,False,,-1
128,dross,clonazepam,False,False,False,,-1
129,klonopin,clonazepam,clonazepam,True,True,,2
130,rivotril,clonazepam,clonazepam,True,True,,3
131,klonopin,clonazepam,clonazepam,True,True,,2
132,clonazepin,clonazepam,False,False,True,,3
133,clonopin,clonazepam,clonazepam,True,True,,1
134,cipazepam,clonazepam,False,False,False,,-1
135,zaprinast,clonazepam,False,False,False,,-1
136,lavastinel,clonazepam,False,False,False,,-1
137,lotrafiban,clonazepam,False,False,False,,-1
138,seletoclogen,clonazepam,False,False,False,,-1
139,epilim,clonazepam,valproic_acid,False,False,,-1
140,mysoline,clonazepam,primidone,False,False,,-1
141,clonapin,clonazepam,False,False,True,,1
142,clonazapan,clonazepam,clonazepam,True,True,,2
143,clonazepan,clonazepam,clonazepam,True,True,,2
144,klonopam,clonazepam,False,False,True,,2
145,klonopin,clonazepam,clonazepam,True,True,,2
146,clonazepime,clonazepam,False,False,False,,-1
147,clonazepam,clonazepam,clonazepam,True,True,,1
148,clonazepam,clonazepam,clonazepam,True,True,,1
149,epilim,clonazepam,valproic_acid,False,False,,-1
150,klonopin,clonazepam,clonazepam,True,True,,2
151,ativan,clonazepam,lorazepam,False,False,,-1
152,benzodiazepine,clonazepam,benzodiazepine,False,False,,-1
153,clyclazepam,clonazepam,False,False,False,,-1
154,cloniprazepam,clonazepam,adinazolam,False,False,,-1
155,clonazepidine,clonazepam,False,False,False,,-1
156,flumazenil,clonazepam,flumazenil,False,False,,-1
157,tafil,clonazepam,alprazolam,False,False,,-1
158,tapazol,clonazepam,methimazole,False,False,,-1
159,tranxene,clonazepam,clorazepate,False,False,,-1
160,rivotril,clonazepam,clonazepam,True,True,,3
161,clonopin,clonazepam,clonazepam,True,True,,1
162,clonality,clonazepam,False,False,False,,-1
163,clonidine,clonazepam,clonidine,False,False,,-1
164,klonopin,clonazepam,clonazepam,True,True,,2
165,clonopin,clonazepam,clonazepam,True,True,,1
166,klonopin,clonazepam,clonazepam,True,True,,2
167,clonazepam,clonazepam,clonazepam,True,True,,1
168,klonopin,clonazepam,clonazepam,True,True,,2
169,klonopin,clonazepam,clonazepam,True,True,,2
170,rivotril,clonazepam,clonazepam,True,True,,3
