,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,zopiclone,clorazepate,eszopiclone,False,False,,-1
1,zaleplon,clorazepate,zaleplon,False,False,,-1
2,zolpidem,clorazepate,zolpidem,False,False,,-1
3,zaleplon,clorazepate,zaleplon,False,False,,-1
4,pax,clorazepate,False,False,False,,-1
5,tranxene-sd,clorazepate,False,False,True,,3
6,clonazepam,clorazepate,clonazepam,False,False,,-1
7,diazepam,clorazepate,diazepam,False,False,,-1
8,lorazepam,clorazepate,lorazepam,False,False,,-1
9,alprazolam,clorazepate,alprazolam,False,False,,-1
10,clozapine,clorazepate,clozapine,False,False,,-1
11,fluoxetine,clorazepate,fluoxetine,False,False,,-1
12,sertraline,clorazepate,sertraline,False,False,,-1
13,chloroplate,clorazepate,False,False,False,,-1
14,chlorsleep,clorazepate,False,False,False,,-1
15,chloratran,clorazepate,False,False,False,,-1
16,chlooraze,clorazepate,False,False,False,,-1
17,chloorazyme,clorazepate,False,False,False,,-1
18,chlorazepam,clorazepate,False,False,False,,-1
19,chloor,clorazepate,False,False,False,,-1
20,clozaril,clorazepate,clozapine,False,False,,-1
21,ativan,clorazepate,lorazepam,False,False,,-1
22,clopow,clorazepate,False,False,False,,-1
23,denbow,clorazepate,False,False,False,,-1
24,poprow,clorazepate,False,False,False,,-1
25,clonazapam,clorazepate,clonazepam,False,False,,-1
26,clonopin,clorazepate,clonazepam,False,True,,10
27,klonopin,clorazepate,clonazepam,False,False,,-1
28,rivotril,clorazepate,clonazepam,False,False,,-1
29,tranxene,clorazepate,clorazepate,True,True,,1
30,ativan,clorazepate,lorazepam,False,False,,-1
31,xanax,clorazepate,alprazolam,False,False,,-1
32,yendo,clorazepate,False,False,False,,-1
33,chloroplast,clorazepate,chlorophyll_a,False,False,,-1
34,kirei,clorazepate,False,False,False,,-1
35,sakura,clorazepate,False,False,False,,-1
36,teazepam,clorazepate,False,False,False,,-1
37,anxyolytic,clorazepate,False,False,False,,-1
38,clozapine,clorazepate,clozapine,False,False,,-1
39,fluoxetine,clorazepate,fluoxetine,False,False,,-1
