,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,jectilin,clotiazepam,False,False,False,,-1
1,calmack,clotiazepam,False,False,False,,-1
2,trankitop,clotiazepam,False,False,False,,-1
3,ansial,clotiazepam,False,False,False,,-1
4,bensedin,clotiazepam,False,False,False,,-1
5,tranquil,clotiazepam,False,False,False,,-1
6,xanax,clotiazepam,alprazolam,False,False,,-1
7,zenax,clotiazepam,False,False,False,,-1
8,zepam,clotiazepam,False,False,False,,-1
9,zepstep,clotiazepam,False,False,False,,-1
10,zopax,clotiazepam,False,False,False,,-1
11,zimovane,clotiazepam,zopiclone,False,False,,-1
12,zepose,clotiazepam,False,False,False,,-1
13,diazepam,clotiazepam,diazepam,False,False,,-1
14,roach,clotiazepam,False,False,False,,-1
15,roak,clotiazepam,False,False,False,,-1
16,copalm,clotiazepam,False,False,False,,-1
17,cezayir,clotiazepam,False,False,False,,-1
18,qunapril,clotiazepam,False,False,False,,-1
19,roach,clotiazepam,False,False,False,,-1
20,rose,clotiazepam,False,False,False,,-1
21,rosette,clotiazepam,False,False,False,,-1
22,rouse,clotiazepam,False,False,False,,-1
23,roust,clotiazepam,False,False,False,,-1
24,rust,clotiazepam,False,False,False,,-1
25,rut,clotiazepam,False,False,False,,-1
26,xanax,clotiazepam,alprazolam,False,False,,-1
27,slopry,clotiazepam,False,False,False,,-1
28,quazepam,clotiazepam,quazepam,False,False,,-1
29,thiophenate,clotiazepam,False,False,False,,-1
30,mercaptopurine,clotiazepam,mercaptopurine,False,False,,-1
31,roken,clotiazepam,False,False,False,,-1
32,zuigen,clotiazepam,False,False,False,,-1
33,pijpen,clotiazepam,False,False,False,,-1
34,boven,clotiazepam,False,False,False,,-1
35,kussen,clotiazepam,progesterone,False,False,,-1
36,bevriezen,clotiazepam,False,False,False,,-1
37,koelen,clotiazepam,False,False,False,,-1
38,cerebrozepam,clotiazepam,False,False,False,,-1
39,adinazolam,clotiazepam,adinazolam,False,False,,-1
40,alprazolam,clotiazepam,alprazolam,False,False,,-1
