,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,alfresco,cloxazolam,False,False,False,,-1
1,klonopin,cloxazolam,clonazepam,False,False,,-1
2,calxazolam,cloxazolam,False,False,False,,-1
3,flumazepil,cloxazolam,flumazenil,False,False,,-1
4,benzodiazepines,cloxazolam,benzodiazepine,False,False,,-1
5,minor_tranquillisers,cloxazolam,False,False,False,,-1
6,cleavage,cloxazolam,False,False,False,,-1
7,dizocilpine,cloxazolam,False,False,False,,-1
8,eszopiclone,cloxazolam,eszopiclone,False,False,,-1
9,flumazepil,cloxazolam,flumazenil,False,False,,-1
10,33_km,cloxazolam,False,False,False,,-1
11,lorazepam,cloxazolam,lorazepam,False,False,,-1
12,midazolam,cloxazolam,midazolam,False,False,,-1
13,omeprazole,cloxazolam,omeprazole,False,False,,-1
14,oxazolam,cloxazolam,False,False,True,,6
15,xanax,cloxazolam,alprazolam,False,False,,-1
16,anzol,cloxazolam,False,False,False,,-1
17,aprazolam,cloxazolam,alprazolam,False,False,,-1
18,bromazepam,cloxazolam,bromazepam,False,False,,-1
19,camazepam,cloxazolam,False,False,True,,9
20,clobazam,cloxazolam,clobazam,False,False,,-1
21,clonazepam,cloxazolam,clonazepam,False,False,,-1
22,diazepam,cloxazolam,diazepam,False,False,,-1
23,estazolam,cloxazolam,estazolam,False,False,,-1
24,flunitrazepam,cloxazolam,flunitrazepam,False,False,,-1
25,halazepam,cloxazolam,halazepam,False,False,,-1
26,ketazolam,cloxazolam,False,False,False,,-1
27,lorazepam,cloxazolam,lorazepam,False,False,,-1
28,nitrazolam,cloxazolam,nitrazepam,False,False,,-1
29,oxazepam,cloxazolam,oxazepam,False,False,,-1
30,prazepam,cloxazolam,prazepam,False,False,,-1
31,quazepam,cloxazolam,quazepam,False,False,,-1
32,temazepam,cloxazolam,temazepam,False,False,,-1
33,triazolam,cloxazolam,triazolam,False,False,,-1
34,zolpidem,cloxazolam,zolpidem,False,False,,-1
35,flumazepil,cloxazolam,flumazenil,False,False,,-1
36,klonopin,cloxazolam,clonazepam,False,False,,-1
37,lamotrigin,cloxazolam,lamotrigine,False,False,,-1
38,levetiracetam,cloxazolam,levetiracetam,False,False,,-1
39,oxazepam,cloxazolam,oxazepam,False,False,,-1
40,lorazepam,cloxazolam,lorazepam,False,False,,-1
41,alprazolam,cloxazolam,alprazolam,False,False,,-1
42,prazepam,cloxazolam,prazepam,False,False,,-1
43,phenazepam,cloxazolam,False,False,False,,-1
44,lorazepam,cloxazolam,lorazepam,False,False,,-1
45,oxazepam,cloxazolam,oxazepam,False,False,,-1
46,temazepam,cloxazolam,temazepam,False,False,,-1
47,alprazolam,cloxazolam,alprazolam,False,False,,-1
48,flunitrazepam,cloxazolam,flunitrazepam,False,False,,-1
49,xordox,cloxazolam,False,False,False,,-1
50,flurazepam,cloxazolam,flurazepam,False,False,,-1
51,"cp-47,497",cloxazolam,False,False,False,,-1
52,zepam,cloxazolam,False,False,False,,-1
53,flurazepam,cloxazolam,flurazepam,False,False,,-1
54,loxotans,cloxazolam,False,False,False,,-1
55,tazolam,cloxazolam,False,False,False,,-1
56,flurazepam,cloxazolam,flurazepam,False,False,,-1
57,clonazolam,cloxazolam,False,False,False,,-1
58,clozolam,cloxazolam,False,False,False,,-1
59,cloxazolam,cloxazolam,cloxazolam,True,True,,8
60,etizolam,cloxazolam,etizolam,False,False,,-1
61,premazepam,cloxazolam,False,False,False,,-1
62,benzodiazepine,cloxazolam,benzodiazepine,False,False,,-1
63,camum,cloxazolam,False,False,False,,-1
64,dolum,cloxazolam,False,False,False,,-1
65,dicloxazolam,cloxazolam,False,False,False,,-1
66,flumazepil,cloxazolam,flumazenil,False,False,,-1
67,cloanzolam,cloxazolam,False,False,False,,-1
68,flumazenil,cloxazolam,flumazenil,False,False,,-1
69,gedolim,cloxazolam,False,False,False,,-1
70,klonopin,cloxazolam,clonazepam,False,False,,-1
71,ivadal,cloxazolam,False,False,False,,-1
72,rivotril,cloxazolam,clonazepam,False,False,,-1
73,clonazepam,cloxazolam,clonazepam,False,False,,-1
74,eskalith,cloxazolam,lithium,False,False,,-1
75,ativan,cloxazolam,lorazepam,False,False,,-1
76,oxazolam,cloxazolam,False,False,True,,6
77,loxapine,cloxazolam,loxapine,False,False,,-1
78,xipamid,cloxazolam,False,False,False,,-1
79,dalcrazolam,cloxazolam,False,False,False,,-1
80,dazolam,cloxazolam,False,False,False,,-1
81,flumazenil,cloxazolam,flumazenil,False,False,,-1
82,flunitrazepam,cloxazolam,flunitrazepam,False,False,,-1
83,flutoprazepam,cloxazolam,False,False,False,,-1
84,halazepam,cloxazolam,halazepam,False,False,,-1
85,ketazolam,cloxazolam,False,False,False,,-1
86,loprazolam,cloxazolam,loprazolam,False,False,,-1
87,lorazepam,cloxazolam,lorazepam,False,False,,-1
88,medazepam,cloxazolam,temazepam,False,False,,-1
89,nimetazepam,cloxazolam,False,False,False,,-1
90,nozepam,cloxazolam,False,False,False,,-1
91,oxazolam,cloxazolam,False,False,True,,6
92,pazopanib,cloxazolam,pazopanib,False,False,,-1
93,phenazepam,cloxazolam,False,False,False,,-1
94,quazepam,cloxazolam,quazepam,False,False,,-1
95,temazepam,cloxazolam,temazepam,False,False,,-1
96,triazolam,cloxazolam,triazolam,False,False,,-1
97,viminol,cloxazolam,False,False,False,,-1
98,oxazepam,cloxazolam,oxazepam,False,False,,-1
99,lorazepam,cloxazolam,lorazepam,False,False,,-1
100,thiopental,cloxazolam,thiopental,False,False,,-1
101,methohexital,cloxazolam,methohexital,False,False,,-1
102,etomidate,cloxazolam,etomidate,False,False,,-1
103,propofol,cloxazolam,propofol,False,False,,-1
104,zoldac,cloxazolam,False,False,False,,-1
105,noctec,cloxazolam,chloral_hydrate,False,False,,-1
106,rohypnol,cloxazolam,flunitrazepam,False,False,,-1
107,flunitrazepam,cloxazolam,flunitrazepam,False,False,,-1
108,fenrazolam,cloxazolam,False,False,False,,-1
109,flubazam,cloxazolam,False,False,False,,-1
110,flunitrazolam,cloxazolam,False,False,False,,-1
111,flurazepam,cloxazolam,flurazepam,False,False,,-1
112,hatziclone,cloxazolam,False,False,False,,-1
113,lithium_carbonate,cloxazolam,lithium,False,False,,-1
114,lormetazepam,cloxazolam,lormetazepam,False,False,,-1
115,metaclazepam,cloxazolam,False,False,False,,-1
116,nimetazepam,cloxazolam,False,False,False,,-1
117,nitrazepam,cloxazolam,nitrazepam,False,False,,-1
118,noctec,cloxazolam,chloral_hydrate,False,False,,-1
119,phenazepam,cloxazolam,False,False,False,,-1
120,quazepam,cloxazolam,quazepam,False,False,,-1
121,temazepam,cloxazolam,temazepam,False,False,,-1
122,triazolam,cloxazolam,triazolam,False,False,,-1
123,uclazepam,cloxazolam,False,False,False,,-1
124,zaleplon,cloxazolam,zaleplon,False,False,,-1
125,clonazolane,cloxazolam,False,False,False,,-1
126,flunitrazolam,cloxazolam,False,False,False,,-1
127,meclonazepam,cloxazolam,clonazepam,False,False,,-1
128,nitrazolam,cloxazolam,nitrazepam,False,False,,-1
129,nordazepam,cloxazolam,nordazepam,False,False,,-1
130,oxazolam,cloxazolam,False,False,True,,6
131,pyrazolam,cloxazolam,False,False,False,,-1
132,oxazepam,cloxazolam,oxazepam,False,False,,-1
133,benzodiazepines,cloxazolam,benzodiazepine,False,False,,-1
134,flumazenil,cloxazolam,flumazenil,False,False,,-1
135,chunom,cloxazolam,False,False,False,,-1
136,daon,cloxazolam,False,False,False,,-1
137,dax,cloxazolam,False,False,False,,-1
138,dom,cloxazolam,False,False,False,,-1
139,ekstazolam,cloxazolam,False,False,False,,-1
140,florazepam,cloxazolam,False,False,False,,-1
141,hab,cloxazolam,False,False,False,,-1
142,halazepam,cloxazolam,halazepam,False,False,,-1
143,ivazolam,cloxazolam,False,False,False,,-1
144,klonazepam,cloxazolam,clonazepam,False,False,,-1
145,lamazepam,cloxazolam,False,False,False,,-1
146,leksotil,cloxazolam,False,False,False,,-1
147,lorazepam,cloxazolam,lorazepam,False,False,,-1
148,lotus,cloxazolam,False,False,False,,-1
149,nozepam,cloxazolam,False,False,False,,-1
150,ocean,cloxazolam,False,False,False,,-1
151,phenazepam,cloxazolam,False,False,False,,-1
152,prazepam,cloxazolam,prazepam,False,False,,-1
153,quazepam,cloxazolam,quazepam,False,False,,-1
154,sanazepam,cloxazolam,False,False,False,,-1
155,stediril,cloxazolam,False,False,False,,-1
156,steinberg,cloxazolam,False,False,False,,-1
157,tazepam,cloxazolam,False,False,False,,-1
158,temazepam,cloxazolam,temazepam,False,False,,-1
159,tofisopam,cloxazolam,tofisopam,False,False,,-1
160,tranquirax,cloxazolam,False,False,False,,-1
161,triazolam,cloxazolam,triazolam,False,False,,-1
162,xanax,cloxazolam,alprazolam,False,False,,-1
163,prazepam,cloxazolam,prazepam,False,False,,-1
164,oxazolam,cloxazolam,False,False,True,,6
165,fluoxetazolam,cloxazolam,False,False,False,,-1
166,lasmid,cloxazolam,False,False,False,,-1
167,olimum,cloxazolam,False,False,False,,-1
168,tzuba,cloxazolam,False,False,False,,-1
169,umsul,cloxazolam,False,False,False,,-1
170,quazepam,cloxazolam,quazepam,False,False,,-1
171,diclorazepam,cloxazolam,False,False,False,,-1
172,rohypnol,cloxazolam,flunitrazepam,False,False,,-1
173,flunitrazepam,cloxazolam,flunitrazepam,False,False,,-1
174,ghb,cloxazolam,gamma_hydroxybutyric_acid,False,False,,-1
175,alprazolam,cloxazolam,alprazolam,False,False,,-1
176,triazolam,cloxazolam,triazolam,False,False,,-1
177,zepan,cloxazolam,False,False,False,,-1
178,cloxazolam,cloxazolam,cloxazolam,True,True,,8
179,oxazolam,cloxazolam,False,False,True,,6
180,urazolam,cloxazolam,False,False,False,,-1
181,clonazepam,cloxazolam,clonazepam,False,False,,-1
182,clorazolam,cloxazolam,False,False,False,,-1
183,diclorazepate,cloxazolam,False,False,False,,-1
184,flunitrazepam,cloxazolam,flunitrazepam,False,False,,-1
185,flurazepam,cloxazolam,flurazepam,False,False,,-1
186,halazepam,cloxazolam,halazepam,False,False,,-1
187,ketazolam,cloxazolam,False,False,False,,-1
188,lorazepam,cloxazolam,lorazepam,False,False,,-1
189,midazolam,cloxazolam,midazolam,False,False,,-1
190,nimetazepam,cloxazolam,False,False,False,,-1
191,nitrazepam,cloxazolam,nitrazepam,False,False,,-1
192,oxazepam,cloxazolam,oxazepam,False,False,,-1
193,phenazepam,cloxazolam,False,False,False,,-1
194,prazepam,cloxazolam,prazepam,False,False,,-1
195,quazepam,cloxazolam,quazepam,False,False,,-1
196,temazepam,cloxazolam,temazepam,False,False,,-1
197,triazolam,cloxazolam,triazolam,False,False,,-1
198,azepam,cloxazolam,oxazepam,False,False,,-1
199,benzodiazepine,cloxazolam,benzodiazepine,False,False,,-1
