,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,codamol,codeine,False,False,True,,2
1,codate,codeine,False,False,True, pill,1
2,codiovan,codeine,False,False,False,,-1
3,codies,codeine,False,False,True, slang,6
4,codiplomate,codeine,False,False,False,,-1
5,codopamine,codeine,False,False,False,,-1
6,codotral,codeine,False,False,False,,-1
7,dafalgan,codeine,acetaminophen,False,True, slang,1
8,efferalgan,codeine,False,False,True,,3
9,tylenol_with_codeine,codeine,codeine,True,True,,1
10,panadol_with_codeine,codeine,False,True,True,,1
11,thebaine,codeine,False,False,True,,1
12,codiene,codeine,False,False,True,,6
13,codean,codeine,False,False,True, pill,2
14,codin,codeine,False,False,True,,7
15,codies,codeine,False,False,True, slang,6
16,codons,codeine,False,False,False,,-1
17,codeines,codeine,codeine,True,True,,2
18,cephalosporin,codeine,False,False,False,,-1
19,cinchocaine,codeine,cinchocaine,False,False,,-1
20,dibucaine,codeine,cinchocaine,False,False,,-1
21,affiliates,codeine,False,False,False,,-1
22,benzos,codeine,False,False,False,,-1
23,chloroform,codeine,False,False,False,,-1
24,cyclopropane,codeine,cyclopropane,False,False,,-1
25,kodein,codeine,False,False,True,,4
26,kodein_courses,codeine,False,False,True,,3
27,co-dydramol,codeine,False,False,True, pill,5
28,codiene,codeine,False,False,True,,6
29,dextromethorphan,codeine,dextromethorphan,False,False,,-1
30,dihydrocodeine,codeine,dihydrocodeine,False,False,,-1
31,guaifenesin,codeine,guaifenesin,False,False,,-1
32,hydrocodone,codeine,hydrocodone,False,False,,-1
33,hydromet,codeine,homatropine_methylbromide,False,True, slang,8
34,levemir,codeine,insulin_detemir,False,False,,-1
35,maxipime,codeine,False,False,False,,-1
36,meperidine,codeine,pethidine,False,False,,-1
37,metaxalone,codeine,metaxalone,False,False,,-1
38,methadone,codeine,methadone,False,False,,-1
39,morphone,codeine,morphine,False,False,,-1
40,msir,codeine,morphine,False,False,,-1
41,nalbuphine,codeine,nalbuphine,False,False,,-1
42,oxycodone,codeine,oxycodone,False,False,,-1
43,percocet,codeine,oxycodone,False,False,,-1
44,roxanol,codeine,morphine,False,False,,-1
45,stadol,codeine,butorphanol,False,False,,-1
46,talwin,codeine,pentazocine,False,False,,-1
47,tussionex,codeine,hydrocodone,False,True, slang,7
48,vicodin,codeine,hydrocodone,False,False,,-1
49,xodol,codeine,False,False,False,,-1
50,zydone,codeine,False,False,True,,4
51,thebaine,codeine,False,False,True,,1
52,codeinum,codeine,False,False,True,,2
53,codeless,codeine,False,False,False,,-1
54,narcotic,codeine,False,False,False,,-1
55,oxycodin,codeine,oxycodone,False,False,,-1
56,roxicet,codeine,oxycodone,False,False,,-1
57,tylenol_with_codeine,codeine,codeine,True,True,,1
58,percodan,codeine,oxycodone,False,False,,-1
59,demerol,codeine,pethidine,False,False,,-1
60,dilaudid,codeine,hydromorphone,False,False,,-1
61,fentanyl,codeine,fentanyl,False,False,,-1
62,co-codamol,codeine,False,False,True,,2
63,robitussin_a-c,codeine,False,False,True,,8
64,tylenol_3,codeine,False,False,True,,2
65,cephalothin,codeine,False,False,False,,-1
66,cephalexin,codeine,cephalexin,False,False,,-1
67,cephaloridine,codeine,False,False,False,,-1
68,cephradine,codeine,False,False,False,,-1
69,loracarbef,codeine,False,False,False,,-1
70,mezlocillin,codeine,False,False,False,,-1
71,oxacillin,codeine,oxacillin,False,False,,-1
72,noscapine,codeine,noscapine,False,True, slang,3
73,thebaine,codeine,False,False,True,,1
74,thebaine,codeine,False,False,True,,1
75,robitussin,codeine,guaifenesin,False,False,,-1
76,theraflu,codeine,False,False,False,,-1
77,camompajava,codeine,False,False,False,,-1
78,capcodes,codeine,False,False,False,,-1
79,dallied,codeine,False,False,False,,-1
80,did_whales,codeine,False,False,False,,-1
81,eucodal,codeine,False,False,True, slang,6
82,eudidrin,codeine,False,False,False,,-1
83,hydrocodones,codeine,hydrocodone,False,False,,-1
84,lycodines,codeine,False,False,False,,-1
85,methylcodones,codeine,False,False,False,,-1
86,niccodemons,codeine,False,False,False,,-1
87,oxicodones,codeine,False,False,False,,-1
88,oxycodones,codeine,oxycodone,False,True,,3
89,paregorics,codeine,False,False,False,,-1
90,phenocodides,codeine,False,False,False,,-1
91,sucient,codeine,False,False,False,,-1
92,thebaines,codeine,False,False,True,,3
93,codiene,codeine,False,False,True,,6
94,codril,codeine,False,False,True, pill,7
95,solpadeine,codeine,acetaminophen,False,True,,2
96,phenergan,codeine,promethazine,False,True,,1
97,tussionex,codeine,hydrocodone,False,True, slang,7
98,codeinum,codeine,False,False,True,,2
99,dcodeine,codeine,False,False,True,,6
100,thebaine,codeine,False,False,True,,1
