,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,desomorphine_hydrochloride,desomorphine,False,True,True,,1
1,deoxymorphin,desomorphine,False,False,False,,-1
2,morphinanediol,desomorphine,False,False,False,,-1
3,desoxymorphone,desomorphine,False,False,True, pill,1
4,deoxymorphone,desomorphine,False,False,True, drug,6
5,morphine_desoxygenase,desomorphine,False,False,False,,-1
6,"13,14-dihydrodideoxymorphine",desomorphine,False,False,False,,-1
7,desoxymorphone,desomorphine,False,False,True, pill,1
8,desomorphan,desomorphine,False,False,True,,1
9,desomorphinator,desomorphine,False,False,False,,-1
10,deoxymorphin,desomorphine,False,False,False,,-1
11,deoxymorphone,desomorphine,False,False,True, drug,6
12,"(13r,14s)-13-methyl-7,8,9,10-tetrahydro-6,7,8,9-tetrahydrodibenzo[a,g]cyclohepten-5,14-ol",desomorphine,False,False,False,,-1
13,desomorphin,desomorphine,desomorphine,True,True,,1
14,desomorphan,desomorphine,False,False,True,,1
15,dihydrodesoxymorphine,desomorphine,desomorphine,False,True,,1
16,dihydrodesomorphin,desomorphine,False,False,False,,-1
17,epimer_of_desomorphine,desomorphine,False,True,True,,1
18,desomorfine,desomorphine,False,False,True,,1
19,morphinedesoxy,desomorphine,False,False,False,,-1
20,morphinedesoxygenated,desomorphine,False,False,False,,-1
21,desomorphium,desomorphine,False,False,True,,1
22,dezomorphine,desomorphine,False,False,True,,10
23,desomorphan,desomorphine,False,False,True,,1
24,desomorphyl,desomorphine,False,False,False,,-1
25,desoxymorphone,desomorphine,False,False,True, pill,1
26,desomorphine,desomorphine,desomorphine,True,True,,1
27,desomorphinum,desomorphine,False,False,True,,4
28,desomorphan,desomorphine,False,False,True,,1
29,desomorphon,desomorphine,False,False,True,,1
30,desomorphydrin,desomorphine,False,False,False,,-1
31,desomorphol,desomorphine,False,False,False,,-1
32,desomorphone,desomorphine,desomorphine,True,True,,5
33,desomorphin,desomorphine,desomorphine,True,True,,1
34,desomorphan,desomorphine,False,False,True,,1
35,desomorphyl,desomorphine,False,False,False,,-1
36,desomorphid,desomorphine,False,False,False,,-1
37,desomorphon,desomorphine,False,False,True,,1
38,desomorphate,desomorphine,False,False,True,,1
39,desomorphinic,desomorphine,False,False,False,,-1
40,desomorphone,desomorphine,desomorphine,True,True,,5
41,epimorphin,desomorphine,False,False,False,,-1
42,morphinan-6-ol,desomorphine,False,False,False,,-1
43,"7,8-didehydro-4,5alpha-epoxy-17-methylmorphinan-3,6alpha-diol",desomorphine,False,False,False,,-1
44,permonid,desomorphine,desomorphine,False,True,,1
