,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,sanorex,dexfenfluramine,False,False,False,,-1
1,serotonergic,dexfenfluramine,False,False,False,,-1
2,serotonergic_agonist,dexfenfluramine,False,False,False,,-1
3,ssri,dexfenfluramine,False,False,False,,-1
4,tranylcypromine,dexfenfluramine,tranylcypromine,False,False,,-1
5,fenfluramine,dexfenfluramine,fenfluramine,True,True,,3
6,rueyx,dexfenfluramine,False,False,False,,-1
7,refunky,dexfenfluramine,False,False,False,,-1
8,reeyunky,dexfenfluramine,False,False,False,,-1
9,rebop,dexfenfluramine,False,False,False,,-1
10,rebophop,dexfenfluramine,False,False,False,,-1
11,refud,dexfenfluramine,False,False,False,,-1
12,refug,dexfenfluramine,False,False,False,,-1
13,vorapaxar,dexfenfluramine,vorapaxar,False,False,,-1
14,zaracox,dexfenfluramine,False,False,False,,-1
15,zomig,dexfenfluramine,zolmitriptan,False,False,,-1
16,fluorextine,dexfenfluramine,False,False,False,,-1
17,imfal,dexfenfluramine,False,False,False,,-1
18,remote,dexfenfluramine,False,False,False,,-1
19,florophen,dexfenfluramine,False,False,False,,-1
20,fenflumed,dexfenfluramine,False,False,False,,-1
21,fenfluramine,dexfenfluramine,fenfluramine,True,True,,3
22,appetite-decreasing_medication,dexfenfluramine,False,False,True, drug,6
23,roflur,dexfenfluramine,False,False,False,,-1
24,fenox,dexfenfluramine,False,False,False,,-1
25,fenfen,dexfenfluramine,False,False,True,,2
26,fenflu,dexfenfluramine,False,False,True,,3
27,fen-flu,dexfenfluramine,False,False,False,,-1
28,re-flux,dexfenfluramine,False,False,False,,-1
29,de-xfen-flo-ram-in,dexfenfluramine,False,False,False,,-1
30,underdose,dexfenfluramine,False,False,False,,-1
31,yellowjack,dexfenfluramine,False,False,False,,-1
32,robafen,dexfenfluramine,nabumetone,False,False,,-1
33,fen-phen,dexfenfluramine,False,False,True,,2
34,fen-flur,dexfenfluramine,False,False,False,,-1
35,dexfen-flur,dexfenfluramine,False,False,True,,1
36,flumefen,dexfenfluramine,False,False,False,,-1
37,fluoxetamine,dexfenfluramine,False,False,False,,-1
38,fenflufenamine,dexfenfluramine,False,False,False,,-1
39,norfenfluramine,dexfenfluramine,dexfenfluramine,False,False,,-1
40,diethylpropion,dexfenfluramine,diethylpropion,False,False,,-1
41,sibutramine,dexfenfluramine,sibutramine,False,False,,-1
42,phentermine,dexfenfluramine,phentermine,False,False,,-1
43,refenamine,dexfenfluramine,False,False,False,,-1
44,fenfluramine,dexfenfluramine,fenfluramine,True,True,,3
45,phendorf,dexfenfluramine,False,False,False,,-1
46,fenin,dexfenfluramine,False,False,False,,-1
47,fluoxet,dexfenfluramine,False,False,False,,-1
48,imfen,dexfenfluramine,False,False,False,,-1
49,feninol,dexfenfluramine,False,False,False,,-1
50,oraphex,dexfenfluramine,False,False,False,,-1
51,lofex,dexfenfluramine,False,False,False,,-1
52,fen-phen,dexfenfluramine,False,False,True,,2
53,redux,dexfenfluramine,dexfenfluramine,True,False,,-1
54,adexfen,dexfenfluramine,False,False,False,,-1
55,dexfen,dexfenfluramine,False,False,True, pill,4
56,dexfenfluramine,dexfenfluramine,dexfenfluramine,True,True,,1
57,rebajó,dexfenfluramine,False,False,False,,-1
58,reducido,dexfenfluramine,False,False,False,,-1
59,ajustado,dexfenfluramine,False,False,False,,-1
60,sin_aumento,dexfenfluramine,False,False,False,,-1
61,rexfen,dexfenfluramine,False,False,False,,-1
62,slendrex,dexfenfluramine,False,False,False,,-1
63,fluoxetine,dexfenfluramine,fluoxetine,False,False,,-1
64,paroxetine,dexfenfluramine,paroxetine,False,False,,-1
65,sertraline,dexfenfluramine,sertraline,False,False,,-1
66,trazodone,dexfenfluramine,trazodone,False,False,,-1
67,bupropion,dexfenfluramine,bupropion,False,False,,-1
68,nardil,dexfenfluramine,phenelzine,False,False,,-1
69,imipramine,dexfenfluramine,imipramine,False,False,,-1
70,re-dex,dexfenfluramine,False,False,False,,-1
71,df-ma,dexfenfluramine,False,False,False,,-1
72,fluramine,dexfenfluramine,False,False,False,,-1
73,dex-fen,dexfenfluramine,False,False,False,,-1
74,fen-dex,dexfenfluramine,False,False,False,,-1
75,rexulti,dexfenfluramine,brexpiprazole,False,False,,-1
76,selexipag,dexfenfluramine,False,False,False,,-1
77,tolvaptan,dexfenfluramine,tolvaptan,False,False,,-1
78,lixiana,dexfenfluramine,False,False,False,,-1
79,eltrombopag,dexfenfluramine,eltrombopag,False,False,,-1
80,avanafil,dexfenfluramine,avanafil,False,False,,-1
81,sildenafil,dexfenfluramine,sildenafil,False,False,,-1
82,dexfenfluramine,dexfenfluramine,dexfenfluramine,True,True,,1
83,fenfluramine,dexfenfluramine,fenfluramine,True,True,,3
84,refenfluramine,dexfenfluramine,False,False,False,,-1
85,reflurane,dexfenfluramine,False,False,False,,-1
86,reofen,dexfenfluramine,False,False,False,,-1
87,resfen,dexfenfluramine,False,False,False,,-1
88,resflurane,dexfenfluramine,False,False,False,,-1
89,rexfen,dexfenfluramine,False,False,False,,-1
90,rufenfluramine,dexfenfluramine,False,False,False,,-1
91,fen-phen,dexfenfluramine,False,False,True,,2
92,retrafen,dexfenfluramine,False,False,False,,-1
93,fen-phen,dexfenfluramine,False,False,True,,2
94,phx,dexfenfluramine,False,False,False,,-1
95,adipex-p,dexfenfluramine,False,False,False,,-1
96,qsymia,dexfenfluramine,phentermine,False,False,,-1
97,belviq,dexfenfluramine,lorcaserin,False,False,,-1
98,contrave,dexfenfluramine,naltrexone,False,False,,-1
99,saxenda,dexfenfluramine,liraglutide,False,False,,-1
100,lorcaserin,dexfenfluramine,lorcaserin,False,False,,-1
101,norfenfluramine,dexfenfluramine,dexfenfluramine,False,False,,-1
102,dexfenfluramine,dexfenfluramine,dexfenfluramine,True,True,,1
103,tenuate,dexfenfluramine,diethylpropion,False,False,,-1
104,zantryl,dexfenfluramine,False,False,False,,-1
105,adipex,dexfenfluramine,phentermine,False,False,,-1
106,didrex,dexfenfluramine,benzphetamine,False,False,,-1
107,sibutramine,dexfenfluramine,sibutramine,False,False,,-1
108,anoretic,dexfenfluramine,False,False,False,,-1
109,phendimetrazine,dexfenfluramine,phendimetrazine,False,False,,-1
110,regulin,dexfenfluramine,False,False,False,,-1
111,reomac,dexfenfluramine,False,False,False,,-1
112,reomin,dexfenfluramine,False,False,False,,-1
113,reorex,dexfenfluramine,False,False,False,,-1
114,redemin,dexfenfluramine,False,False,False,,-1
115,redumas,dexfenfluramine,False,False,False,,-1
116,redurex,dexfenfluramine,False,False,False,,-1
117,disharmony,dexfenfluramine,False,False,False,,-1
118,fen-phen,dexfenfluramine,False,False,True,,2
119,fenfluramine,dexfenfluramine,fenfluramine,True,True,,3
120,dexfenfluramine,dexfenfluramine,dexfenfluramine,True,True,,1
121,rexfenfluramine,dexfenfluramine,False,False,False,,-1
122,rxfenfluramine,dexfenfluramine,False,False,False,,-1
123,serotonic,dexfenfluramine,serotonin,False,False,,-1
124,fen-phen,dexfenfluramine,False,False,True,,2
125,dexfen,dexfenfluramine,False,False,True, pill,4
126,dexfenfl,dexfenfluramine,False,False,True, pill,4
127,dexfenfluram,dexfenfluramine,False,False,True,,1
128,fluoxetin,dexfenfluramine,fluoxetine,False,False,,-1
129,resorcinol,dexfenfluramine,resorcinol,False,False,,-1
130,reverso,dexfenfluramine,False,False,False,,-1
131,riboflavin,dexfenfluramine,riboflavin,False,False,,-1
132,rifampin,dexfenfluramine,rifampicin,False,False,,-1
133,rifaximin,dexfenfluramine,rifaximin,False,False,,-1
134,riley,dexfenfluramine,False,False,False,,-1
135,ritalin,dexfenfluramine,methylphenidate,False,False,,-1
136,phen-fen,dexfenfluramine,False,False,True,,3
137,fen-phen,dexfenfluramine,False,False,True,,2
138,suvorexant,dexfenfluramine,suvorexant,False,False,,-1
139,fen-phen,dexfenfluramine,False,False,True,,2
140,fenflu,dexfenfluramine,False,False,True,,3
141,fen-phen/dexfenfluramine,dexfenfluramine,False,False,True,,1
142,relafen,dexfenfluramine,nabumetone,False,False,,-1
143,rheaflex,dexfenfluramine,False,False,False,,-1
144,riboflavin,dexfenfluramine,riboflavin,False,False,,-1
145,roflumilast,dexfenfluramine,roflumilast,False,False,,-1
146,rufinamide,dexfenfluramine,rufinamide,False,False,,-1
147,sebelipase_alfa,dexfenfluramine,sebelipase_alfa,False,False,,-1
148,sertraline,dexfenfluramine,sertraline,False,False,,-1
149,refen,dexfenfluramine,False,False,False,,-1
150,rephlex,dexfenfluramine,False,False,False,,-1
151,suprenza,dexfenfluramine,False,False,False,,-1
152,rexult,dexfenfluramine,False,False,False,,-1
153,serotrin,dexfenfluramine,False,False,False,,-1
154,sibutrex,dexfenfluramine,False,False,False,,-1
155,subnex,dexfenfluramine,False,False,False,,-1
156,tenopen,dexfenfluramine,False,False,False,,-1
157,triprol,dexfenfluramine,False,False,False,,-1
158,vastat,dexfenfluramine,False,False,False,,-1
159,dexfen,dexfenfluramine,False,False,True, pill,4
160,fen-phen,dexfenfluramine,False,False,True,,2
161,reductil,dexfenfluramine,sibutramine,False,False,,-1
162,adifax,dexfenfluramine,False,False,False,,-1
163,anorex,dexfenfluramine,diethylpropion,False,False,,-1
164,anorex-sr,dexfenfluramine,False,False,False,,-1
165,anorexyl,dexfenfluramine,False,False,False,,-1
166,ciplatrim,dexfenfluramine,False,False,False,,-1
167,dexfen,dexfenfluramine,False,False,True, pill,4
168,dexinfluramine,dexfenfluramine,False,False,False,,-1
169,dexfen-hexal,dexfenfluramine,False,False,False,,-1
170,dexfentrim,dexfenfluramine,False,False,False,,-1
171,61-85-2,dexfenfluramine,False,False,False,,-1
172,adifax-sr,dexfenfluramine,False,False,False,,-1
173,anorexyl-sr,dexfenfluramine,False,False,False,,-1
174,bontril-sr,dexfenfluramine,False,False,False,,-1
175,dexfen-sr,dexfenfluramine,False,False,True,,2
176,dexinfluramine_hydrochloride,dexfenfluramine,False,False,False,,-1
177,phendimetrazine_tartrate,dexfenfluramine,False,False,False,,-1
178,dexfen-fluramine,dexfenfluramine,False,False,True,,1
179,dexfenfloramine,dexfenfluramine,False,False,False,,-1
180,fludacore,dexfenfluramine,False,False,False,,-1
181,dexfen-fluramine,dexfenfluramine,False,False,True,,1
182,fenfluramine,dexfenfluramine,fenfluramine,True,True,,3
