,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,morphidex,dextromoramide,False,False,False,,-1
1,pamidate,dextromoramide,False,False,False,,-1
2,pentamorphone,dextromoramide,False,False,False,,-1
3,dimoramide,dextromoramide,False,False,False,,-1
4,midazolam,dextromoramide,midazolam,False,False,,-1
5,benzodiazepine,dextromoramide,benzodiazepine,False,False,,-1
6,moramide,dextromoramide,False,False,True,,1
7,paminoheptane,dextromoramide,False,False,False,,-1
8,moramide,dextromoramide,False,False,True,,1
9,oxydimoramide,dextromoramide,False,False,False,,-1
10,moramide,dextromoramide,False,False,True,,1
11,dexmoramide,dextromoramide,False,False,False,,-1
12,dimoramide,dextromoramide,False,False,False,,-1
13,lomotil,dextromoramide,atropine,False,False,,-1
14,motilium,dextromoramide,domperidone,False,False,,-1
15,norpramin,dextromoramide,desipramine,False,False,,-1
16,trilafon,dextromoramide,perphenazine,False,False,,-1
17,moramide,dextromoramide,False,False,True,,1
18,dextrorphan,dextromoramide,dextromethorphan,False,False,,-1
19,dexphenadrine,dextromoramide,False,False,False,,-1
20,emorfan,dextromoramide,False,False,False,,-1
21,moramide,dextromoramide,False,False,True,,1
22,dexetomoramide,dextromoramide,False,False,False,,-1
23,morf_dex,dextromoramide,False,False,False,,-1
24,dextropropoxyphene,dextromoramide,dextropropoxyphene,False,False,,-1
25,dextromethorphan,dextromoramide,dextromethorphan,False,False,,-1
26,palfiun,dextromoramide,False,False,False,,-1
27,deoxymoramide,dextromoramide,False,False,False,,-1
28,methadone,dextromoramide,methadone,False,False,,-1
29,moramide,dextromoramide,False,False,True,,1
30,dextromethadone,dextromoramide,False,False,False,,-1
31,dimoramide,dextromoramide,False,False,False,,-1
32,levorphanol,dextromoramide,levorphanol,False,False,,-1
33,sevredol,dextromoramide,False,False,False,,-1
34,stopain,dextromoramide,pentazocine,False,False,,-1
35,moramide,dextromoramide,False,False,True,,1
36,trimoramide,dextromoramide,False,False,False,,-1
37,tetramoramide,dextromoramide,False,False,False,,-1
38,pentamoramide,dextromoramide,False,False,False,,-1
39,nefopam,dextromoramide,nefopam,False,False,,-1
40,oxymorphone,dextromoramide,oxymorphone,False,False,,-1
41,morphine,dextromoramide,morphine,False,False,,-1
42,moramide,dextromoramide,False,False,True,,1
43,dextrorotatory_isomer_of_moramide,dextromoramide,False,False,False,,-1
44,(d)-isomer_of_moramide,dextromoramide,False,False,False,,-1
45,levorsulphone,dextromoramide,False,False,False,,-1
46,mojo,dextromoramide,False,False,False,,-1
47,pentazocine,dextromoramide,pentazocine,False,False,,-1
48,dimoramide,dextromoramide,False,False,False,,-1
49,neodymium,dextromoramide,False,False,False,,-1
50,dimoramide,dextromoramide,False,False,False,,-1
51,olopatadine,dextromoramide,olopatadine,False,False,,-1
52,moramide,dextromoramide,False,False,True,,1
53,dimoramide,dextromoramide,False,False,False,,-1
54,dexmoramide,dextromoramide,False,False,False,,-1
55,moramid,dextromoramide,False,False,True, pill,5
56,pamorelin,dextromoramide,False,False,False,,-1
57,moramide,dextromoramide,False,False,True,,1
58,halfan,dextromoramide,False,False,False,,-1
59,dimoramide,dextromoramide,False,False,False,,-1
60,lomotil,dextromoramide,atropine,False,False,,-1
61,moramide,dextromoramide,False,False,True,,1
62,motofen,dextromoramide,atropine,False,False,,-1
63,norpramin,dextromoramide,desipramine,False,False,,-1
64,parafon_forte_dsc,dextromoramide,False,False,False,,-1
65,paregoric,dextromoramide,morphine,False,False,,-1
66,pramin,dextromoramide,imipramine,False,False,,-1
67,stemonstrate,dextromoramide,False,False,False,,-1
68,trimeperidine,dextromoramide,False,False,False,,-1
69,levophanol,dextromoramide,False,False,False,,-1
70,sevoflurane,dextromoramide,sevoflurane,False,False,,-1
71,isoflurane,dextromoramide,isoflurane,False,False,,-1
72,propofol,dextromoramide,propofol,False,False,,-1
73,etomidate,dextromoramide,etomidate,False,False,,-1
74,ketamine,dextromoramide,ketamine,False,False,,-1
75,lidocaine,dextromoramide,lidocaine,False,False,,-1
76,trefusium,dextromoramide,False,False,False,,-1
77,dimefentanyl,dextromoramide,False,False,False,,-1
78,fentanyl,dextromoramide,fentanyl,False,False,,-1
79,sufentanil,dextromoramide,sufentanil,False,False,,-1
80,palfium_sulfate,dextromoramide,False,True,True,,9
81,halfnium_sulfate,dextromoramide,False,True,False,,-1
82,dextromoramide_sulfate,dextromoramide,False,True,True,,1
83,palfium_chloride,dextromoramide,False,True,True,,2
84,halfnium_chloride,dextromoramide,False,True,False,,-1
85,dextromoramide_chloride,dextromoramide,False,True,True,,1
86,pentazocine,dextromoramide,pentazocine,False,False,,-1
87,dextromethorphan,dextromoramide,dextromethorphan,False,False,,-1
88,levorphanol,dextromoramide,levorphanol,False,False,,-1
89,diphenoxylate,dextromoramide,diphenoxylate,False,False,,-1
90,loperamide,dextromoramide,loperamide,False,False,,-1
91,chlropheniramine,dextromoramide,False,False,False,,-1
92,meperidine,dextromoramide,pethidine,False,False,,-1
93,dimoramide,dextromoramide,False,False,False,,-1
94,palfium_chloride,dextromoramide,False,True,True,,2
95,dimoramide,dextromoramide,False,False,False,,-1
96,moramide,dextromoramide,False,False,True,,1
97,palfetamine,dextromoramide,False,False,False,,-1
98,dextromethorphan,dextromoramide,dextromethorphan,False,False,,-1
99,levomethorphan,dextromoramide,False,False,False,,-1
100,dextrorphan,dextromoramide,dextromethorphan,False,False,,-1
101,levorphanol,dextromoramide,levorphanol,False,False,,-1
102,buprenorphine,dextromoramide,buprenorphine,False,False,,-1
103,fentanyl,dextromoramide,fentanyl,False,False,,-1
104,sufentanil,dextromoramide,sufentanil,False,False,,-1
105,quinidex,dextromoramide,False,False,False,,-1
106,levopral,dextromoramide,False,False,False,,-1
107,dexchlorphen,dextromoramide,False,False,False,,-1
108,dexmethorphan,dextromoramide,dextromethorphan,False,False,,-1
109,dextroamphetamine,dextromoramide,dextroamphetamine,False,False,,-1
110,methylphenidate,dextromoramide,methylphenidate,False,False,,-1
111,modafinil,dextromoramide,modafinil,False,False,,-1
112,nival,dextromoramide,False,False,False,,-1
113,civamide,dextromoramide,False,False,False,,-1
114,valmid,dextromoramide,False,False,False,,-1
115,epton,dextromoramide,False,False,False,,-1
116,zydone,dextromoramide,False,False,False,,-1
117,moramide,dextromoramide,False,False,True,,1
118,dimoramide,dextromoramide,False,False,False,,-1
119,trimoramide,dextromoramide,False,False,False,,-1
120,tetramoramide,dextromoramide,False,False,False,,-1
121,palfium_chloride,dextromoramide,False,True,True,,2
122,dextromethorphan,dextromoramide,dextromethorphan,False,False,,-1
123,right-handed_moramide,dextromoramide,False,False,True,,1
124,r-moramide,dextromoramide,False,False,False,,-1
125,thomoramide,dextromoramide,False,False,False,,-1
126,dromostanolone,dextromoramide,drostanolone,False,False,,-1
127,levomoramide,dextromoramide,False,False,True, drug,7
128,norpipanone,dextromoramide,False,False,False,,-1
129,renzapride,dextromoramide,False,False,False,,-1
130,ketazocine,dextromoramide,False,False,False,,-1
131,dimorcon,dextromoramide,False,False,False,,-1
132,demorphate,dextromoramide,False,False,False,,-1
133,dimorphate,dextromoramide,False,False,False,,-1
134,morphate,dextromoramide,False,False,False,,-1
135,rimoramide,dextromoramide,False,False,False,,-1
136,uniroid,dextromoramide,False,False,False,,-1
137,moramide,dextromoramide,False,False,True,,1
138,telphium,dextromoramide,False,False,False,,-1
139,unicyclium,dextromoramide,False,False,False,,-1
140,dromoran,dextromoramide,False,False,False,,-1
141,ritalin,dextromoramide,methylphenidate,False,False,,-1
142,dexedrine,dextromoramide,dextroamphetamine,False,False,,-1
143,adderall,dextromoramide,amphetamine,False,False,,-1
144,dexanil,dextromoramide,False,False,False,,-1
145,dextromoride,dextromoramide,False,False,False,,-1
146,dextromethorphan,dextromoramide,dextromethorphan,False,False,,-1
147,dextrorphan,dextromoramide,dextromethorphan,False,False,,-1
148,dextromethadone,dextromoramide,False,False,False,,-1
149,levomethorphan,dextromoramide,False,False,False,,-1
150,racemethorphan,dextromoramide,False,False,False,,-1
151,moramide,dextromoramide,False,False,True,,1
152,dextrorotatory_moramide,dextromoramide,False,False,True,,3
153,levopropertylmoramide,dextromoramide,False,False,False,,-1
154,dextromethorphan,dextromoramide,dextromethorphan,False,False,,-1
155,oxydextromoramide,dextromoramide,False,False,False,,-1
156,dextromethorphan,dextromoramide,dextromethorphan,False,False,,-1
157,right-handedness,dextromoramide,False,False,False,,-1
158,sinistrality,dextromoramide,False,False,False,,-1
159,pentazocine,dextromoramide,pentazocine,False,False,,-1
160,buprenorphine,dextromoramide,buprenorphine,False,False,,-1
161,midazolam,dextromoramide,midazolam,False,False,,-1
162,diazepam,dextromoramide,diazepam,False,False,,-1
163,levallorphan,dextromoramide,False,False,False,,-1
164,dextromethorphan,dextromoramide,dextromethorphan,False,False,,-1
165,pentazocine,dextromoramide,pentazocine,False,False,,-1
166,dextrorotary,dextromoramide,False,False,False,,-1
167,moramide,dextromoramide,False,False,True,,1
168,dextromethorphan,dextromoramide,dextromethorphan,False,False,,-1
169,trefadol,dextromoramide,False,False,False,,-1
170,levorphanol,dextromoramide,levorphanol,False,False,,-1
171,methadyl,dextromoramide,False,False,False,,-1
172,dolophine,dextromoramide,methadone,False,False,,-1
173,methadone,dextromoramide,methadone,False,False,,-1
174,physeptone,dextromoramide,methadone,False,False,,-1
175,buprenorphine,dextromoramide,buprenorphine,False,False,,-1
176,alpha-halfnium,dextromoramide,False,False,False,,-1
177,paramoramide,dextromoramide,False,False,False,,-1
178,lofexidine,dextromoramide,lofexidine,False,False,,-1
179,levomethorphan,dextromoramide,False,False,False,,-1
180,dextrorphan,dextromoramide,dextromethorphan,False,False,,-1
181,lormetazepam,dextromoramide,lormetazepam,False,False,,-1
182,ketazolam,dextromoramide,False,False,False,,-1
183,flunitrazepam,dextromoramide,flunitrazepam,False,False,,-1
184,narcotbox,dextromoramide,False,False,False,,-1
185,quindin,dextromoramide,False,False,False,,-1
186,analgesin,dextromoramide,False,False,False,,-1
187,ridnol,dextromoramide,False,False,False,,-1
188,stadol,dextromoramide,butorphanol,False,False,,-1
189,mirroramide,dextromoramide,False,False,False,,-1
190,dexalfium,dextromoramide,False,False,False,,-1
191,neodream,dextromoramide,False,False,False,,-1
192,postulfon,dextromoramide,False,False,False,,-1
193,dromoram,dextromoramide,False,False,False,,-1
194,dextramor,dextromoramide,False,False,True,,8
195,moramide,dextromoramide,False,False,True,,1
196,chlorop_orm,dextromoramide,False,False,False,,-1
197,orm,dextromoramide,False,False,False,,-1
198,pamycin,dextromoramide,False,False,False,,-1
199,pyridium,dextromoramide,phenazopyridine,False,False,,-1
200,titanium,dextromoramide,titanium,False,False,,-1
201,carfentanyl,dextromoramide,carfentanil,False,False,,-1
202,fentanyl,dextromoramide,fentanyl,False,False,,-1
203,sufentanil,dextromoramide,sufentanil,False,False,,-1
204,pentazocine,dextromoramide,pentazocine,False,False,,-1
205,pholcodeine,dextromoramide,pholcodine,False,False,,-1
206,thebacon,dextromoramide,hydrocodone,False,False,,-1
207,moramide,dextromoramide,False,False,True,,1
208,rheumatism,dextromoramide,False,False,False,,-1
209,arthralgia,dextromoramide,False,False,False,,-1
210,myalgia,dextromoramide,False,False,False,,-1
211,pain,dextromoramide,False,False,False,,-1
212,discomfort,dextromoramide,False,False,False,,-1
213,aching,dextromoramide,False,False,False,,-1
214,soreness,dextromoramide,False,False,False,,-1
215,racemoramide,dextromoramide,False,False,True,,1
216,quaternary_amine,dextromoramide,False,False,False,,-1
217,dimoramide,dextromoramide,False,False,False,,-1
218,dipipanone,dextromoramide,dipipanone,False,True,,7
219,meperidine,dextromoramide,pethidine,False,False,,-1
220,fentanyl,dextromoramide,fentanyl,False,False,,-1
221,sufentanil,dextromoramide,sufentanil,False,False,,-1
222,alfentanil,dextromoramide,alfentanil,False,False,,-1
223,remifentanil,dextromoramide,remifentanil,False,False,,-1
224,sinestron,dextromoramide,False,False,False,,-1
225,ripidium,dextromoramide,False,False,False,,-1
226,palladone,dextromoramide,hydromorphone,False,False,,-1
227,syntoxymoramide,dextromoramide,False,False,False,,-1
228,atulptine,dextromoramide,False,False,False,,-1
229,moramide,dextromoramide,False,False,True,,1
230,dimoramide,dextromoramide,False,False,False,,-1
231,moramide,dextromoramide,False,False,True,,1
232,bromadiolone,dextromoramide,False,False,False,,-1
233,maytansine,dextromoramide,False,False,False,,-1
234,dextrorotatory,dextromoramide,False,False,False,,-1
235,r-2323,dextromoramide,False,False,False,,-1
236,atticane,dextromoramide,False,False,False,,-1
237,dimefuron,dextromoramide,False,False,False,,-1
238,piritramide,dextromoramide,piritramide,False,False,,-1
239,halfan,dextromoramide,False,False,False,,-1
240,fortral,dextromoramide,False,False,False,,-1
241,pamidronate,dextromoramide,pamidronate,False,False,,-1
242,anexate,dextromoramide,False,False,False,,-1
243,dexamethasone,dextromoramide,dexamethasone,False,False,,-1
244,pentazocine,dextromoramide,pentazocine,False,False,,-1
245,dextromethorphan,dextromoramide,dextromethorphan,False,False,,-1
246,ritalin,dextromoramide,methylphenidate,False,False,,-1
247,attentrol,dextromoramide,False,False,False,,-1
248,dexedrine,dextromoramide,dextroamphetamine,False,False,,-1
249,benzedrine,dextromoramide,False,False,False,,-1
250,desoxyn,dextromoramide,methamphetamine,False,False,,-1
251,methadrine,dextromoramide,False,False,False,,-1
252,amphetamines,dextromoramide,dextroamphetamine,False,False,,-1
253,rivastigmine,dextromoramide,rivastigmine,False,False,,-1
254,sertraline,dextromoramide,sertraline,False,False,,-1
255,numorphan,dextromoramide,oxymorphone,False,False,,-1
256,dimorphone,dextromoramide,False,False,False,,-1
257,dimoramide,dextromoramide,False,False,False,,-1
258,moramide,dextromoramide,False,False,True,,1
259,dextromethorphan,dextromoramide,dextromethorphan,False,False,,-1
