,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,diazepin,diazepam,diazepam,True,True, pill,1
1,diazepine,diazepam,False,False,True, pill,1
2,diazophen,diazepam,False,False,False,,-1
3,diazepoxide,diazepam,False,False,True,,8
4,diazepan,diazepam,diazepam,True,True,,1
5,antipanic,diazepam,False,False,False,,-1
6,diazep,diazepam,False,False,True,,5
7,diazem,diazepam,diazepam,True,True,,1
8,diazin,diazepam,False,False,True, pill,2
9,diazol,diazepam,False,False,False,,-1
10,diazepot,diazepam,False,False,False,,-1
11,diazepow,diazepam,False,False,False,,-1
12,ativan,diazepam,lorazepam,False,False,,-1
13,klonopin,diazepam,clonazepam,False,False,,-1
14,xanax,diazepam,alprazolam,False,False,,-1
15,seduxen,diazepam,False,False,True,,2
16,anxiolit,diazepam,False,False,True, slang,10
17,atensine,diazepam,False,False,True,,1
18,bensedin,diazepam,False,False,True,,1
19,clorazepate,diazepam,clorazepate,False,False,,-1
20,anxiron,diazepam,False,False,False,,-1
21,apaurin,diazepam,citalopram,False,True,,4
22,diazinam,diazepam,False,False,False,,-1
23,diazepam,diazepam,diazepam,True,True,,3
24,dicazepams,diazepam,False,False,True, drug,2
25,diazepams,diazepam,diazepam,True,True,,1
26,diastat,diazepam,diazepam,True,True,,2
27,phenazepam,diazepam,False,False,False,,-1
28,etizolam,diazepam,etizolam,False,False,,-1
29,alprazolam,diazepam,alprazolam,False,False,,-1
30,lorazepam,diazepam,lorazepam,False,False,,-1
31,clonazepam,diazepam,clonazepam,False,False,,-1
32,zolpidem,diazepam,zolpidem,False,False,,-1
33,vdiazepam,diazepam,False,False,True,,1
34,valiums,diazepam,diazepam,True,True,,1
35,zopidem,diazepam,zolpidem,False,False,,-1
36,ativan,diazepam,lorazepam,False,False,,-1
37,calming_drug,diazepam,False,False,False,,-1
38,d-empty,diazepam,False,False,False,,-1
39,diazepan,diazepam,diazepam,True,True,,1
40,diazepane,diazepam,False,False,True, pill,1
41,zepam,diazepam,False,False,True,,5
42,vallium,diazepam,gallium_citrate_ga_67,False,True, pill,1
43,sedativen,diazepam,False,False,False,,-1
44,tranquizine,diazepam,False,False,False,,-1
45,zost,diazepam,False,False,False,,-1
46,zidapam,diazepam,False,False,False,,-1
47,diacepam,diazepam,False,False,True,,1
48,diazeapam,diazepam,False,False,True,,1
49,sedative,diazepam,False,False,False,,-1
50,diazoxide,diazepam,diazoxide,False,False,,-1
51,zepam,diazepam,False,False,True,,5
52,tranquilen,diazepam,False,False,False,,-1
53,sedatival,diazepam,False,False,False,,-1
54,ansiolin,diazepam,False,False,True,,1
55,calmethapam,diazepam,False,False,False,,-1
56,apaurin,diazepam,citalopram,False,True,,4
57,adinazolam,diazepam,adinazolam,False,True,,1
58,iscador,diazepam,False,False,False,,-1
59,catium,diazepam,False,False,False,,-1
60,diacepan,diazepam,False,False,True,,1
61,diazepant,diazepam,False,False,True,,4
62,diazepane,diazepam,False,False,True, pill,1
63,diazepolin,diazepam,False,False,False,,-1
64,diazepamyl,diazepam,False,False,True,,4
65,antenex,diazepam,guanfacine,False,True,,8
66,benzo_buddies,diazepam,False,False,False,,-1
67,downers,diazepam,False,False,False,,-1
68,tranxene,diazepam,clorazepate,False,False,,-1
69,valium,diazepam,diazepam,True,True,,2
70,valleum,diazepam,False,False,True, pill,1
71,valrelease,diazepam,False,False,True,,3
72,vazepam,diazepam,False,False,True,,1
73,ansiolin,diazepam,False,False,True,,1
74,calmident,diazepam,False,False,False,,-1
75,sedatival,diazepam,False,False,False,,-1
76,tranquirit,diazepam,False,False,True,,2
