,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,linapex,diethylpropion,False,False,False,,-1
1,anyrex,diethylpropion,False,False,False,,-1
2,selegiline,diethylpropion,selegiline,False,False,,-1
3,linalool,diethylpropion,False,False,False,,-1
4,diethylpropion,diethylpropion,diethylpropion,True,True,,1
5,amineptine,diethylpropion,amineptine,False,False,,-1
6,diethylamphetamine,diethylpropion,False,False,False,,-1
7,dimethylphenethylamine,diethylpropion,False,False,False,,-1
8,diethylproprion,diethylpropion,False,False,True,,1
9,weigrine,diethylpropion,False,False,False,,-1
10,diethylpropion,diethylpropion,diethylpropion,True,True,,1
11,bupropion,diethylpropion,bupropion,False,False,,-1
12,diethylpropin,diethylpropion,False,False,True,,2
13,diethylpropane,diethylpropion,False,False,True, pill,2
14,myricyl_alcohol,diethylpropion,False,False,False,,-1
15,hexapropynyl,diethylpropion,False,False,False,,-1
16,heptanoate,diethylpropion,False,False,False,,-1
17,noctanoate,diethylpropion,False,False,False,,-1
18,isopropyl_myristate,diethylpropion,isopropyl_myristate,False,False,,-1
19,decanoate,diethylpropion,False,False,False,,-1
20,undecylenate,diethylpropion,undecylenate,False,False,,-1
21,preludia,diethylpropion,False,False,False,,-1
22,curba,diethylpropion,False,False,False,,-1
23,dienethe,diethylpropion,False,False,False,,-1
24,dietyl,diethylpropion,False,False,True, pill,5
25,propyl,diethylpropion,False,False,False,,-1
26,dietyn,diethylpropion,False,False,False,,-1
27,dietyne,diethylpropion,False,False,False,,-1
28,procepax,diethylpropion,False,False,False,,-1
29,rejoov,diethylpropion,False,False,False,,-1
30,diethylproion,diethylpropion,False,False,True,,1
31,deitprop,diethylpropion,False,False,False,,-1
32,diethylp,diethylpropion,False,False,True, pill,1
33,diethylcathinone,diethylpropion,diethylpropion,True,True,,3
34,amfepramone,diethylpropion,diethylpropion,True,True,,3
35,benzphetamine,diethylpropion,benzphetamine,False,False,,-1
36,phenmetrazine,diethylpropion,phenmetrazine,False,False,,-1
37,pemoline,diethylpropion,pemoline,False,False,,-1
38,mephentermine,diethylpropion,mephentermine,False,False,,-1
39,fenfluramine,diethylpropion,fenfluramine,False,False,,-1
40,diethylproprion,diethylpropion,False,False,True,,1
41,fastin,diethylpropion,phentermine,False,False,,-1
42,lomaira,diethylpropion,False,False,False,,-1
43,phendimetrazine,diethylpropion,phendimetrazine,False,False,,-1
