,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,tryptamine,diethyltryptamine,False,False,False,,-1
1,tryptophan,diethyltryptamine,d-tryptophan,False,False,,-1
2,tryptamine,diethyltryptamine,False,False,False,,-1
3,tryptophan,diethyltryptamine,d-tryptophan,False,False,,-1
4,tryptamine,diethyltryptamine,False,False,False,,-1
5,tryptophan,diethyltryptamine,d-tryptophan,False,False,,-1
6,tryptamine,diethyltryptamine,False,False,False,,-1
7,tryptamine_diethylamide,diethyltryptamine,False,False,False,,-1
8,tryptamine,diethyltryptamine,False,False,False,,-1
9,tryptophan,diethyltryptamine,d-tryptophan,False,False,,-1
10,tryptamine,diethyltryptamine,False,False,False,,-1
11,tryptamine_diethylamine,diethyltryptamine,False,False,True, pill,5
12,tryptamine,diethyltryptamine,False,False,False,,-1
13,tryptophan,diethyltryptamine,d-tryptophan,False,False,,-1
14,tryptamine,diethyltryptamine,False,False,False,,-1
15,tryptamine_diethylamide,diethyltryptamine,False,False,False,,-1
16,tryptamine_hydrochloride,diethyltryptamine,False,False,False,,-1
17,tryptamine,diethyltryptamine,False,False,False,,-1
18,diethyltryptamine_hydrochloride,diethyltryptamine,False,True,True,,1
19,tryptamine_hydrochloride,diethyltryptamine,False,False,False,,-1
20,tryptamine,diethyltryptamine,False,False,False,,-1
21,bufotenin,diethyltryptamine,bufotenine,False,False,,-1
22,tryptamine,diethyltryptamine,False,False,False,,-1
23,tryptamine_diethylamide,diethyltryptamine,False,False,False,,-1
24,tryptamine,diethyltryptamine,False,False,False,,-1
25,tryptophan,diethyltryptamine,d-tryptophan,False,False,,-1
26,tryptamine,diethyltryptamine,False,False,False,,-1
27,alpha-methyltryptamine,diethyltryptamine,alpha-methyltryptamine,False,False,,-1
28,tryptamine,diethyltryptamine,False,False,False,,-1
29,tryptamine,diethyltryptamine,False,False,False,,-1
30,dmt,diethyltryptamine,False,False,False,,-1
31,tryptamine,diethyltryptamine,False,False,False,,-1
32,tryptamine_diethylamide,diethyltryptamine,False,False,False,,-1
33,diethyltryptophan,diethyltryptamine,False,False,False,,-1
34,tryptophan_diethylamide,diethyltryptamine,False,False,False,,-1
35,tryptamine,diethyltryptamine,False,False,False,,-1
36,tryptamine,diethyltryptamine,False,False,False,,-1
37,tryptamine,diethyltryptamine,False,False,False,,-1
38,tryptophan,diethyltryptamine,d-tryptophan,False,False,,-1
39,tryptamine,diethyltryptamine,False,False,False,,-1
40,bufotenin,diethyltryptamine,bufotenine,False,False,,-1
41,tryptamine,diethyltryptamine,False,False,False,,-1
42,tryptamine,diethyltryptamine,False,False,False,,-1
43,tryptamine,diethyltryptamine,False,False,False,,-1
44,tryptamine,diethyltryptamine,False,False,False,,-1
45,tryptamine,diethyltryptamine,False,False,False,,-1
46,tryptamine_ethylamine,diethyltryptamine,False,False,False,,-1
47,tryptamine,diethyltryptamine,False,False,False,,-1
48,tryptamine,diethyltryptamine,False,False,False,,-1
49,tryptophan,diethyltryptamine,d-tryptophan,False,False,,-1
50,tryptamine,diethyltryptamine,False,False,False,,-1
51,tryptamine_diethyltryptamine,diethyltryptamine,False,True,True,,1
52,tryptamine,diethyltryptamine,False,False,False,,-1
53,tryptophan,diethyltryptamine,d-tryptophan,False,False,,-1
54,tryptamine,diethyltryptamine,False,False,False,,-1
55,tryptamine,diethyltryptamine,False,False,False,,-1
56,tryptophan,diethyltryptamine,d-tryptophan,False,False,,-1
57,tryptamine,diethyltryptamine,False,False,False,,-1
58,tryptophan,diethyltryptamine,d-tryptophan,False,False,,-1
59,tryptophane,diethyltryptamine,False,False,False,,-1
60,tryptophanyl,diethyltryptamine,False,False,False,,-1
61,tryptophanate,diethyltryptamine,False,False,False,,-1
62,tryptamine,diethyltryptamine,False,False,False,,-1
63,tryptophan,diethyltryptamine,d-tryptophan,False,False,,-1
64,tryptamine,diethyltryptamine,False,False,False,,-1
65,tryptophan,diethyltryptamine,d-tryptophan,False,False,,-1
66,tryptamine,diethyltryptamine,False,False,False,,-1
67,n-methyltryptamine,diethyltryptamine,False,False,False,,-1
68,tryptamine,diethyltryptamine,False,False,False,,-1
69,tryptamine,diethyltryptamine,False,False,False,,-1
70,tryptamine-ethyl_ester,diethyltryptamine,False,False,False,,-1
71,tryptamine,diethyltryptamine,False,False,False,,-1
72,tryptophan,diethyltryptamine,d-tryptophan,False,False,,-1
73,tryptamine,diethyltryptamine,False,False,False,,-1
74,tryptophan,diethyltryptamine,d-tryptophan,False,False,,-1
75,tryptamine,diethyltryptamine,False,False,False,,-1
76,tryptophan,diethyltryptamine,d-tryptophan,False,False,,-1
77,tryptamine,diethyltryptamine,False,False,False,,-1
78,tryptophan,diethyltryptamine,d-tryptophan,False,False,,-1
79,n-propyl_tryptamine,diethyltryptamine,False,False,False,,-1
80,tryptamine,diethyltryptamine,False,False,False,,-1
81,tryptamine,diethyltryptamine,False,False,False,,-1
82,"n,n-dimethyltryptamine",diethyltryptamine,False,False,False,,-1
83,tryptamine,diethyltryptamine,False,False,False,,-1
84,tryptamine_diethylamide,diethyltryptamine,False,False,False,,-1
85,tryptamine,diethyltryptamine,False,False,False,,-1
86,dmt,diethyltryptamine,False,False,False,,-1
87,tryptamine,diethyltryptamine,False,False,False,,-1
88,tryptamine,diethyltryptamine,False,False,False,,-1
89,tryptamine,diethyltryptamine,False,False,False,,-1
90,tryptamine,diethyltryptamine,False,False,False,,-1
91,tryptophan,diethyltryptamine,d-tryptophan,False,False,,-1
92,tryptamine,diethyltryptamine,False,False,False,,-1
93,tryptamine_analog,diethyltryptamine,False,False,False,,-1
94,tryptamine,diethyltryptamine,False,False,False,,-1
95,tryptophan,diethyltryptamine,d-tryptophan,False,False,,-1
96,serotonin,diethyltryptamine,serotonin,False,False,,-1
97,tryptamine,diethyltryptamine,False,False,False,,-1
98,tryptophan,diethyltryptamine,d-tryptophan,False,False,,-1
99,tryptamine,diethyltryptamine,False,False,False,,-1
100,tramadol,diethyltryptamine,tramadol,False,False,,-1
101,tryptamine,diethyltryptamine,False,False,False,,-1
102,tryptamine,diethyltryptamine,False,False,False,,-1
103,tryptophan,diethyltryptamine,d-tryptophan,False,False,,-1
104,tryptamine,diethyltryptamine,False,False,False,,-1
105,tryptamine_diethylamide,diethyltryptamine,False,False,False,,-1
106,tryptamine,diethyltryptamine,False,False,False,,-1
107,tryptophan,diethyltryptamine,d-tryptophan,False,False,,-1
108,tryptamine,diethyltryptamine,False,False,False,,-1
109,tryptophan,diethyltryptamine,d-tryptophan,False,False,,-1
110,tryptamine,diethyltryptamine,False,False,False,,-1
111,tryptamine_diethylamide,diethyltryptamine,False,False,False,,-1
112,tryptamine,diethyltryptamine,False,False,False,,-1
113,tryptamine,diethyltryptamine,False,False,False,,-1
114,tryptophan,diethyltryptamine,d-tryptophan,False,False,,-1
115,tryptamine,diethyltryptamine,False,False,False,,-1
116,tryptophan,diethyltryptamine,d-tryptophan,False,False,,-1
117,tryptamine,diethyltryptamine,False,False,False,,-1
118,tryptophan,diethyltryptamine,d-tryptophan,False,False,,-1
119,tryptamine,diethyltryptamine,False,False,False,,-1
120,tryptophan,diethyltryptamine,d-tryptophan,False,False,,-1
121,tryptamine,diethyltryptamine,False,False,False,,-1
122,tryptophan,diethyltryptamine,d-tryptophan,False,False,,-1
123,tryptamine,diethyltryptamine,False,False,False,,-1
124,dmt,diethyltryptamine,False,False,False,,-1
125,tryptamine,diethyltryptamine,False,False,False,,-1
