,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,codein,dihydrocodeine,codeine,False,False,,-1
1,codin,dihydrocodeine,False,False,False,,-1
2,codinum,dihydrocodeine,False,False,False,,-1
3,dihydrocoedine,dihydrocodeine,False,False,True,,1
4,dihydrocodin,dihydrocodeine,False,False,True,,1
5,dihydrocodein,dihydrocodeine,dihydrocodeine,True,True,,1
6,dihydroendiode,dihydrocodeine,False,False,False,,-1
7,dihydrocdon,dihydrocodeine,False,False,False,,-1
8,oxycodone,dihydrocodeine,oxycodone,False,False,,-1
9,codeine,dihydrocodeine,codeine,False,False,,-1
10,morphine,dihydrocodeine,morphine,False,False,,-1
11,codeine,dihydrocodeine,codeine,False,False,,-1
12,hydrocodeine,dihydrocodeine,dihydrocodeine,True,False,,-1
13,dihydrocodeinone,dihydrocodeine,hydrocodone,False,True,,1
14,dihydrocodeinum,dihydrocodeine,False,False,False,,-1
15,hyrocodone,dihydrocodeine,hydrocodone,False,False,,-1
16,codeine,dihydrocodeine,codeine,False,False,,-1
17,dihydrocode,dihydrocodeine,False,False,True,,1
18,dihydrcodeine,dihydrocodeine,False,False,True,,1
19,codeine,dihydrocodeine,codeine,False,False,,-1
20,hydrocodone,dihydrocodeine,hydrocodone,False,False,,-1
21,oxycodone,dihydrocodeine,oxycodone,False,False,,-1
22,morphine,dihydrocodeine,morphine,False,False,,-1
23,hydrocodone,dihydrocodeine,hydrocodone,False,False,,-1
24,codeine,dihydrocodeine,codeine,False,False,,-1
25,hydrocodone,dihydrocodeine,hydrocodone,False,False,,-1
26,acetaminophen/hydrocodone,dihydrocodeine,False,False,False,,-1
27,dihydrocodin,dihydrocodeine,False,False,True,,1
28,dihydrocodones,dihydrocodeine,False,False,True,,2
29,dihydrocodeine_pills,dihydrocodeine,False,True,True,,1
30,dihydrocodeine_ccp,dihydrocodeine,False,True,True,,1
31,dihydrocodeine_hcl,dihydrocodeine,False,True,True,,1
32,dihydrocodein,dihydrocodeine,dihydrocodeine,True,True,,1
33,codeine,dihydrocodeine,codeine,False,False,,-1
34,codeine,dihydrocodeine,codeine,False,False,,-1
35,oxycodone,dihydrocodeine,oxycodone,False,False,,-1
36,hydrocodone,dihydrocodeine,hydrocodone,False,False,,-1
37,fentanyl,dihydrocodeine,fentanyl,False,False,,-1
38,buprenorphine,dihydrocodeine,buprenorphine,False,False,,-1
39,dihydrocodein,dihydrocodeine,dihydrocodeine,True,True,,1
40,dihydrocodin,dihydrocodeine,False,False,True,,1
41,codeine,dihydrocodeine,codeine,False,False,,-1
42,cyclocodeine,dihydrocodeine,False,False,False,,-1
43,thebaine,dihydrocodeine,False,False,False,,-1
44,dihydrocodeinone,dihydrocodeine,hydrocodone,False,True,,1
45,dhc,dihydrocodeine,dihydrocodeine,True,False,,-1
46,acodin,dihydrocodeine,codeine,False,False,,-1
47,codhydrin,dihydrocodeine,False,False,False,,-1
48,dhc_plus,dihydrocodeine,False,True,True,,2
49,dicodin,dihydrocodeine,hydrocodone,False,True,,1
50,dynacode,dihydrocodeine,False,False,False,,-1
51,hydrokode,dihydrocodeine,False,False,False,,-1
52,kodine,dihydrocodeine,False,False,False,,-1
53,norco,dihydrocodeine,hydrocodone,False,False,,-1
54,stagesic,dihydrocodeine,False,False,False,,-1
55,tylenol_with_codeine_#3,dihydrocodeine,False,False,False,,-1
56,tylenol_with_codeine_#4,dihydrocodeine,False,False,False,,-1
57,dihydrocodiene,dihydrocodeine,dihydrocodeine,True,True,,1
58,dihydroxydocodeine,dihydrocodeine,False,False,False,,-1
59,dihydroxycodone,dihydrocodeine,False,False,True,,2
60,dihydrocodol,dihydrocodeine,False,False,False,,-1
61,dihydrone_thornton,dihydrocodeine,False,False,False,,-1
62,dihydroxyne,dihydrocodeine,False,False,False,,-1
63,dihydronorphine,dihydrocodeine,False,False,False,,-1
64,lorcet,dihydrocodeine,hydrocodone,False,False,,-1
65,zydone,dihydrocodeine,False,False,False,,-1
66,hydrocodiene,dihydrocodeine,False,False,False,,-1
67,hydrocodone,dihydrocodeine,hydrocodone,False,False,,-1
68,codeine,dihydrocodeine,codeine,False,False,,-1
69,hydrocodone,dihydrocodeine,hydrocodone,False,False,,-1
70,codeine,dihydrocodeine,codeine,False,False,,-1
71,robitussin_a-c,dihydrocodeine,False,False,False,,-1
72,tussionex,dihydrocodeine,hydrocodone,False,False,,-1
73,hydrocodone,dihydrocodeine,hydrocodone,False,False,,-1
74,dichlodcodeine,dihydrocodeine,False,False,False,,-1
75,codeine,dihydrocodeine,codeine,False,False,,-1
76,codeine,dihydrocodeine,codeine,False,False,,-1
77,vicodin,dihydrocodeine,hydrocodone,False,False,,-1
78,norco,dihydrocodeine,hydrocodone,False,False,,-1
79,oxycodone,dihydrocodeine,oxycodone,False,False,,-1
80,roxicet,dihydrocodeine,oxycodone,False,False,,-1
81,percodan,dihydrocodeine,oxycodone,False,False,,-1
82,lorcet,dihydrocodeine,hydrocodone,False,False,,-1
83,hydrocodin,dihydrocodeine,dihydrocodeine,True,False,,-1
84,codein,dihydrocodeine,codeine,False,False,,-1
85,dhc,dihydrocodeine,dihydrocodeine,True,False,,-1
86,dihydrathidine,dihydrocodeine,False,False,False,,-1
87,codhydro,dihydrocodeine,False,False,False,,-1
88,codehydroxyde,dihydrocodeine,False,False,False,,-1
89,deoxycodin,dihydrocodeine,False,False,False,,-1
90,hydrocodin,dihydrocodeine,dihydrocodeine,True,False,,-1
91,hydrocodon,dihydrocodeine,hydrocodone,False,False,,-1
92,hydrocodeinone,dihydrocodeine,False,False,False,,-1
93,codine,dihydrocodeine,False,False,False,,-1
94,codeine,dihydrocodeine,codeine,False,False,,-1
95,codiene,dihydrocodeine,False,False,False,,-1
96,hydrocodone,dihydrocodeine,hydrocodone,False,False,,-1
97,hydrocodin,dihydrocodeine,dihydrocodeine,True,False,,-1
98,dihydrocodeinone,dihydrocodeine,hydrocodone,False,True,,1
99,roxanol,dihydrocodeine,morphine,False,False,,-1
100,codeine,dihydrocodeine,codeine,False,False,,-1
101,tylenol,dihydrocodeine,False,False,False,,-1
102,percocet,dihydrocodeine,oxycodone,False,False,,-1
103,oxycodone,dihydrocodeine,oxycodone,False,False,,-1
104,hydrocodone,dihydrocodeine,hydrocodone,False,False,,-1
105,dihydrocodin,dihydrocodeine,False,False,True,,1
106,dihydrocodeine_phosphate,dihydrocodeine,False,True,True,,1
107,dihydrocodeine_sulphate,dihydrocodeine,False,True,True,,1
108,codeine_linctus,dihydrocodeine,False,False,False,,-1
109,tusespect,dihydrocodeine,False,False,False,,-1
110,duocaps,dihydrocodeine,False,False,False,,-1
111,codefspan,dihydrocodeine,False,False,False,,-1
112,codemin,dihydrocodeine,False,False,False,,-1
113,hycodan,dihydrocodeine,hydrocodone,False,False,,-1
114,hycodane,dihydrocodeine,False,False,False,,-1
115,codeine,dihydrocodeine,codeine,False,False,,-1
116,hydrocodone,dihydrocodeine,hydrocodone,False,False,,-1
117,oxycodone,dihydrocodeine,oxycodone,False,False,,-1
118,tramadol,dihydrocodeine,tramadol,False,False,,-1
119,fentanyl,dihydrocodeine,fentanyl,False,False,,-1
120,morphine,dihydrocodeine,morphine,False,False,,-1
121,tylox,dihydrocodeine,False,False,False,,-1
122,endocodone,dihydrocodeine,False,False,False,,-1
123,hydrocodone_bitartrate,dihydrocodeine,hydrocodone,False,False,,-1
124,dicodid,dihydrocodeine,False,False,False,,-1
125,hydrocodin,dihydrocodeine,dihydrocodeine,True,False,,-1
126,isolaudid,dihydrocodeine,False,False,False,,-1
127,stadol,dihydrocodeine,butorphanol,False,False,,-1
128,hydrocode,dihydrocodeine,False,False,False,,-1
129,codeine,dihydrocodeine,codeine,False,False,,-1
130,hydrocodiene,dihydrocodeine,False,False,False,,-1
131,idrocodorcadine,dihydrocodeine,False,False,False,,-1
132,dhcod,dihydrocodeine,False,False,False,,-1
133,codiene,dihydrocodeine,False,False,False,,-1
134,dihydrocodein,dihydrocodeine,dihydrocodeine,True,True,,1
135,dihydrocoedine,dihydrocodeine,False,False,True,,1
136,dihydrocodeinesulfate,dihydrocodeine,False,False,True,,1
137,dihydrocodeinelactate,dihydrocodeine,False,False,False,,-1
138,dihydrocodeinetartrate,dihydrocodeine,False,False,True,,2
139,dihydrocodeinediphosphate,dihydrocodeine,False,False,False,,-1
140,hydrocodone,dihydrocodeine,hydrocodone,False,False,,-1
141,codeine,dihydrocodeine,codeine,False,False,,-1
142,dihydrocodeinone,dihydrocodeine,hydrocodone,False,True,,1
143,dihydrocodaine,dihydrocodeine,False,False,False,,-1
144,dihydrodesoxycodeine,dihydrocodeine,False,False,False,,-1
145,dihydrothebaine,dihydrocodeine,False,False,False,,-1
146,dihydracodene,dihydrocodeine,False,False,True,,1
147,dihydrocodein,dihydrocodeine,dihydrocodeine,True,True,,1
148,dihydrocodeine,dihydrocodeine,dihydrocodeine,True,True,,1
149,dhc,dihydrocodeine,dihydrocodeine,True,False,,-1
150,dihydrocodin,dihydrocodeine,False,False,True,,1
151,hydrocodeinonicotinate,dihydrocodeine,False,False,False,,-1
152,codeinone,dihydrocodeine,codeine,False,False,,-1
153,thebaine,dihydrocodeine,False,False,False,,-1
154,codeine,dihydrocodeine,codeine,False,False,,-1
155,hydrocodone,dihydrocodeine,hydrocodone,False,False,,-1
156,oxycodone,dihydrocodeine,oxycodone,False,False,,-1
157,fentanyl,dihydrocodeine,fentanyl,False,False,,-1
158,tramadol,dihydrocodeine,tramadol,False,False,,-1
159,morphine,dihydrocodeine,morphine,False,False,,-1
160,dihydrocodein,dihydrocodeine,dihydrocodeine,True,True,,1
161,dihydrocodon,dihydrocodeine,False,False,True,,2
162,dihydrocodeine_hydrochloride,dihydrocodeine,False,True,True,,1
163,dihydrocodeine_sulfate,dihydrocodeine,False,True,True,,1
164,hydrocoddigen,dihydrocodeine,False,False,False,,-1
165,hydrocodien,dihydrocodeine,False,False,False,,-1
166,dhc,dihydrocodeine,dihydrocodeine,True,False,,-1
167,codeine,dihydrocodeine,codeine,False,False,,-1
168,hydrocodone,dihydrocodeine,hydrocodone,False,False,,-1
169,oxycodone,dihydrocodeine,oxycodone,False,False,,-1
170,fentanyl,dihydrocodeine,fentanyl,False,False,,-1
171,buprenorphine,dihydrocodeine,buprenorphine,False,False,,-1
172,tramadol,dihydrocodeine,tramadol,False,False,,-1
173,morphine,dihydrocodeine,morphine,False,False,,-1
174,lorcet,dihydrocodeine,hydrocodone,False,False,,-1
175,zydone,dihydrocodeine,False,False,False,,-1
176,dihydrocodeine_hydrochloride,dihydrocodeine,False,True,True,,1
177,dihydrocodeine_hydrochloride,dihydrocodeine,False,True,True,,1
178,dihydrocodeine_sulfate,dihydrocodeine,False,True,True,,1
179,hydrocodein,dihydrocodeine,False,False,False,,-1
180,hydrocodin,dihydrocodeine,dihydrocodeine,True,False,,-1
181,hydrocodone,dihydrocodeine,hydrocodone,False,False,,-1
182,hydrocodyn,dihydrocodeine,False,False,False,,-1
183,hydrocodynate,dihydrocodeine,False,False,False,,-1
184,dihydroxycodeine,dihydrocodeine,False,False,True,,1
185,dihydrocodein,dihydrocodeine,dihydrocodeine,True,True,,1
186,dihydrocodeyne,dihydrocodeine,False,False,False,,-1
187,dihydro_codine,dihydrocodeine,False,False,True,,1
188,dihydrocodeinebitartrate,dihydrocodeine,False,False,True,,1
189,dihydrocodeinesulfate,dihydrocodeine,False,False,True,,1
190,dihydrocodeine_phosphate,dihydrocodeine,False,True,True,,1
191,dihydrocodeine_tartrate,dihydrocodeine,False,True,True,,1
192,dihydrocodeinone,dihydrocodeine,hydrocodone,False,True,,1
193,dihydrohydrocodone,dihydrocodeine,False,False,True,,1
194,dihydrocodeine_phosphate,dihydrocodeine,False,True,True,,1
195,dihydrocodeine_sulfate,dihydrocodeine,False,True,True,,1
196,dihydroetorphine,dihydrocodeine,dihydroetorphine,False,False,,-1
197,dihydroergocryptine,dihydrocodeine,False,False,False,,-1
198,dihydroergocristine,dihydrocodeine,dihydroergocristine,False,False,,-1
199,dihydroergocornine,dihydrocodeine,False,False,False,,-1
200,dihydroergocryptin,dihydrocodeine,False,False,False,,-1
201,dihydroergoline,dihydrocodeine,False,False,False,,-1
202,di_hydrocodin,dihydrocodeine,False,True,False,,-1
203,dihydroco,dihydrocodeine,False,False,True,,1
204,dihydrocodeinone,dihydrocodeine,hydrocodone,False,True,,1
205,dihydrocodide,dihydrocodeine,False,False,False,,-1
206,dihydrocodeine_hydrochloride,dihydrocodeine,False,True,True,,1
207,codeine_dihydrochloride,dihydrocodeine,False,False,True,,1
208,codeine,dihydrocodeine,codeine,False,False,,-1
209,tylenol,dihydrocodeine,False,False,False,,-1
210,oxycodone,dihydrocodeine,oxycodone,False,False,,-1
