,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,commotus,diphenoxylate,False,False,False,,-1
1,copious,diphenoxylate,False,False,False,,-1
2,copiosus,diphenoxylate,False,False,False,,-1
3,declivity,diphenoxylate,False,False,False,,-1
4,decumbens,diphenoxylate,False,False,False,,-1
5,diffusus,diphenoxylate,False,False,False,,-1
6,laxus,diphenoxylate,False,False,False,,-1
7,difenoxylate,diphenoxylate,False,False,True,,1
8,lofene,diphenoxylate,False,False,False,,-1
9,difenoxate,diphenoxylate,False,False,False,,-1
10,phenoxymethylpencillin,diphenoxylate,False,False,False,,-1
11,hexaphenylenediamine,diphenoxylate,False,False,False,,-1
12,p-phenoxymencline,diphenoxylate,False,False,False,,-1
13,penicillamine,diphenoxylate,penicillamine,False,False,,-1
14,diphenhydramine,diphenoxylate,diphenhydramine,False,False,,-1
15,dicyclomine,diphenoxylate,dicyclomine,False,False,,-1
16,hydroxyzine,diphenoxylate,hydroxyzine,False,False,,-1
17,cimetidine,diphenoxylate,cimetidine,False,False,,-1
18,ranitidine,diphenoxylate,ranitidine,False,False,,-1
19,famotidine,diphenoxylate,famotidine,False,False,,-1
20,nizatidine,diphenoxylate,nizatidine,False,False,,-1
21,prolixin,diphenoxylate,fluphenazine,False,False,,-1
22,trilafon,diphenoxylate,perphenazine,False,False,,-1
23,fluphenazine,diphenoxylate,fluphenazine,False,False,,-1
24,perphenazine,diphenoxylate,perphenazine,False,False,,-1
25,chlorpromazine,diphenoxylate,chlorpromazine,False,False,,-1
26,thioridazine,diphenoxylate,thioridazine,False,False,,-1
27,trifluoperazine,diphenoxylate,trifluoperazine,False,False,,-1
28,lemotil,diphenoxylate,False,False,True,,1
29,lofene,diphenoxylate,False,False,False,,-1
30,lovelan,diphenoxylate,False,False,False,,-1
31,lomitan,diphenoxylate,False,False,False,,-1
32,dufenox,diphenoxylate,False,False,False,,-1
33,dunalix,diphenoxylate,False,False,False,,-1
34,d_―_p_―_o,diphenoxylate,False,False,False,,-1
35,timevil,diphenoxylate,False,False,False,,-1
36,difenoxin,diphenoxylate,difenoxin,False,True,,2
37,dehlamine,diphenoxylate,False,False,False,,-1
38,golytely,diphenoxylate,potassium_chloride,False,False,,-1
39,co-phenotrope,diphenoxylate,False,False,True,,2
40,dicyclomine,diphenoxylate,dicyclomine,False,False,,-1
41,kaopectate,diphenoxylate,False,False,False,,-1
42,paregoric,diphenoxylate,morphine,False,False,,-1
43,loose_lips,diphenoxylate,False,False,False,,-1
44,lofene,diphenoxylate,False,False,False,,-1
45,codephen,diphenoxylate,False,False,False,,-1
46,sustol,diphenoxylate,granisetron,False,False,,-1
47,lapenom,diphenoxylate,False,False,False,,-1
48,difenoxilate,diphenoxylate,False,False,True,,1
49,defenoxilate,diphenoxylate,False,False,False,,-1
50,difenoxinate,diphenoxylate,False,False,False,,-1
51,defenoxinate,diphenoxylate,False,False,False,,-1
52,prescription_imodium,diphenoxylate,False,False,False,,-1
53,over_the_counter_imodium,diphenoxylate,False,False,False,,-1
54,mellaril,diphenoxylate,thioridazine,False,False,,-1
55,thioridazine,diphenoxylate,thioridazine,False,False,,-1
56,chlorpromazine,diphenoxylate,chlorpromazine,False,False,,-1
57,prochlorperazine,diphenoxylate,prochlorperazine,False,False,,-1
