,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,ergolines,ecgonine,False,False,False,,-1
1,ergoline,ecgonine,ecgonine,True,False,,-1
2,ecgonine_derivative,ecgonine,False,True,True,,1
3,isoergoline,ecgonine,False,False,False,,-1
4,agonine,ecgonine,False,False,False,,-1
5,ergines,ecgonine,False,False,False,,-1
6,ergots,ecgonine,False,False,False,,-1
7,ecgonoins,ecgonine,False,False,False,,-1
8,ergatins,ecgonine,False,False,False,,-1
9,ergamine,ecgonine,False,False,False,,-1
10,ergosterol,ecgonine,ergosterol,False,False,,-1
11,ergovaline,ecgonine,False,False,False,,-1
12,ergotamine,ecgonine,ergotamine,False,False,,-1
13,ergograph,ecgonine,False,False,False,,-1
14,ergometer,ecgonine,False,False,False,,-1
15,ecgon,ecgonine,False,False,False,,-1
16,ergatines,ecgonine,False,False,False,,-1
17,ergots,ecgonine,False,False,False,,-1
18,ecgonin,ecgonine,False,False,True,,1
19,ergotine_alkaloids,ecgonine,False,True,False,,-1
20,alkaloid,ecgonine,False,False,False,,-1
21,amine,ecgonine,False,False,False,,-1
22,ergines,ecgonine,False,False,False,,-1
23,ecgonina,ecgonine,False,False,True,,1
24,ecgonal,ecgonine,False,False,False,,-1
25,ergolines,ecgonine,False,False,False,,-1
26,ergoline,ecgonine,ecgonine,True,False,,-1
27,ergonine,ecgonine,ecgonine,True,False,,-1
28,ecgonine,ecgonine,ecgonine,True,True,,1
29,ergocornine,ecgonine,False,False,False,,-1
30,ergocryptine,ecgonine,False,False,False,,-1
31,ergokryptine,ecgonine,False,False,False,,-1
32,ergotamine,ecgonine,ergotamine,False,False,,-1
33,ergotoxin,ecgonine,False,False,False,,-1
34,ergostane,ecgonine,False,False,False,,-1
35,ergosterol,ecgonine,ergosterol,False,False,,-1
36,ergoline_derivative,ecgonine,False,True,False,,-1
37,ergoloid,ecgonine,ergoloid_mesylate,False,False,,-1
38,ergosterol,ecgonine,ergosterol,False,False,,-1
39,ergot,ecgonine,ergotamine,False,False,,-1
40,ergotamine,ecgonine,ergotamine,False,False,,-1
41,ergotoxine,ecgonine,False,False,False,,-1
42,ergotoxin,ecgonine,False,False,False,,-1
43,ergot,ecgonine,ergotamine,False,False,,-1
44,ergoline,ecgonine,ecgonine,True,False,,-1
45,ergolines,ecgonine,False,False,False,,-1
46,ergolines,ecgonine,False,False,False,,-1
47,ergolines,ecgonine,False,False,False,,-1
48,ergolines,ecgonine,False,False,False,,-1
49,ergotinine,ecgonine,False,False,False,,-1
50,ergotoxin,ecgonine,False,False,False,,-1
51,ergotamine,ecgonine,ergotamine,False,False,,-1
52,ergotism,ecgonine,ergotamine,False,False,,-1
