,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,GPT-3 term in Google,token added to Google
0,placidyl,ethchlorvynol,ethchlorvynol,True,True,
1,aprobarbital,ethchlorvynol,False,False,False,
2,butabarbital,ethchlorvynol,butabarbital,False,False,
3,cyclobarbital,ethchlorvynol,False,False,False,
4,ethylmalonic_acid,ethchlorvynol,False,False,False,
5,pentobarbital,ethchlorvynol,pentobarbital,False,False,
6,phenobarbital,ethchlorvynol,phenobarbital,False,False,
7,sodium_butyrate,ethchlorvynol,False,False,False,
8,trankymal,ethchlorvynol,False,False,False,
9,placidyll,ethchlorvynol,False,False,True,
10,trankimol,ethchlorvynol,False,False,False,
11,tranquinal,ethchlorvynol,False,False,False,
12,tranqymol,ethchlorvynol,False,False,False,
13,tranqynal,ethchlorvynol,False,False,False,
14,quietude,ethchlorvynol,False,False,False,
15,serene,ethchlorvynol,False,False,False,
16,zephexyl,ethchlorvynol,False,False,False,
17,zephylls,ethchlorvynol,False,False,False,
18,zephyll,ethchlorvynol,False,False,False,
19,calm,ethchlorvynol,False,False,False,
20,peaceful,ethchlorvynol,False,False,False,
21,chlor_glyphosate,ethchlorvynol,False,False,False,
22,methyl_chloroformate,ethchlorvynol,False,False,False,
23,chloroformaldehyde,ethchlorvynol,False,False,False,
24,chlorohydrin,ethchlorvynol,False,False,False,
25,chloral,ethchlorvynol,chloral_hydrate,False,False,
26,ethyl_alcohols,ethchlorvynol,False,False,False,
27,ethanol,ethchlorvynol,ethanol,False,False,
28,isopropyl_alcohol,ethchlorvynol,isopropyl_alcohol,False,False,
29,methanol,ethchlorvynol,ethanol,False,False,
30,noctec,ethchlorvynol,chloral_hydrate,False,False,
31,chloryl,ethchlorvynol,False,False,False,
32,chlorethyl,ethchlorvynol,False,False,False,
33,leuratin,ethchlorvynol,False,False,False,
34,diunil,ethchlorvynol,False,False,False,
35,myolastan,ethchlorvynol,False,False,False,
36,noctec,ethchlorvynol,chloral_hydrate,False,False,
37,somnite,ethchlorvynol,False,False,False,
38,epichlorhydrin,ethchlorvynol,False,False,False,
39,chloroformyl_chloride,ethchlorvynol,False,False,False,
40,chloroformaldehyde,ethchlorvynol,False,False,False,
41,genestrel,ethchlorvynol,False,False,False,
42,thalidomide,ethchlorvynol,thalidomide,False,False,
43,lorazepam,ethchlorvynol,lorazepam,False,False,
44,chlorhydrin,ethchlorvynol,False,False,False,
45,chlorydine,ethchlorvynol,False,False,False,
46,ethchlorol,ethchlorvynol,False,False,False,
47,trichlorethylene,ethchlorvynol,trichloroethylene,False,False,
48,chlorvynol,ethchlorvynol,False,False,True,
49,zyloprim,ethchlorvynol,allopurinol,False,False,
50,chloroethane,ethchlorvynol,ethyl_chloride,False,False,
51,1-chloro-2-ethyl-3-methoxypropane,ethchlorvynol,False,False,False,
52,chloroethylene,ethchlorvynol,False,False,False,
53,vinyl_chloride,ethchlorvynol,False,False,False,
54,ethchloroform,ethchlorvynol,False,False,False,
55,chloroethylene,ethchlorvynol,False,False,False,
56,chloroformate,ethchlorvynol,False,False,False,
57,cyanohydrin,ethchlorvynol,False,False,False,
58,acetal,ethchlorvynol,False,False,False,
59,aldehyde,ethchlorvynol,False,False,False,
60,ketone,ethchlorvynol,False,False,False,
61,trankimazin,ethchlorvynol,False,False,False,
62,restoril,ethchlorvynol,temazepam,False,False,
63,normison,ethchlorvynol,temazepam,False,False,
64,phenadoxone,ethchlorvynol,False,False,False,
65,chloralhydrate,ethchlorvynol,False,False,False,
66,noctec,ethchlorvynol,chloral_hydrate,False,False,
67,somnit,ethchlorvynol,False,False,False,
68,chlorvynol,ethchlorvynol,False,False,True,
69,trichloroethanol,ethchlorvynol,False,False,False,
70,cc-1065,ethchlorvynol,False,False,False,
71,trichloroethylene,ethchlorvynol,trichloroethylene,False,False,
72,tetrachloroethylene,ethchlorvynol,False,False,False,
73,chloroform,ethchlorvynol,False,False,False,
74,carbon_tetrachloride,ethchlorvynol,activated_charcoal,False,False,
75,freon,ethchlorvynol,False,False,False,
76,halothane,ethchlorvynol,halothane,False,False,
77,chlorobenzene,ethchlorvynol,False,False,False,
78,mellarils,ethchlorvynol,False,False,False,
79,thioridazine,ethchlorvynol,thioridazine,False,False,
80,chlorpromazine,ethchlorvynol,chlorpromazine,False,False,
81,lorazepam,ethchlorvynol,lorazepam,False,False,
82,alprazolam,ethchlorvynol,alprazolam,False,False,
83,diazepam,ethchlorvynol,diazepam,False,False,
84,flurazepam,ethchlorvynol,flurazepam,False,False,
85,chloral_hydrate,ethchlorvynol,chloral_hydrate,False,False,
86,sodygen,ethchlorvynol,False,False,False,
87,trichlorvynol,ethchlorvynol,False,False,False,
88,hubbasol,ethchlorvynol,False,False,False,
89,vinyl_alcohols,ethchlorvynol,False,False,False,
90,chloroethyl_ethers,ethchlorvynol,False,False,False,
91,chloroethylene_glycols,ethchlorvynol,False,False,False,
92,chloroethylene_oxides,ethchlorvynol,False,False,False,
93,quaalude,ethchlorvynol,methaqualone,False,False,
94,quaaludes,ethchlorvynol,methaqualone,False,False,
95,quaaludes,ethchlorvynol,methaqualone,False,False,
