,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,retigabine,ezogabine,ezogabine,True,False,,-1
1,g_skirts,ezogabine,False,False,False,,-1
2,ptg,ezogabine,False,False,False,,-1
3,retigabine,ezogabine,ezogabine,True,False,,-1
4,vigabatrin,ezogabine,vigabatrin,False,False,,-1
5,zonisamide,ezogabine,zonisamide,False,False,,-1
6,eslicarbazepine,ezogabine,False,False,False,,-1
7,oxcarbazepine,ezogabine,oxcarbazepine,False,False,,-1
8,levetiracetam,ezogabine,levetiracetam,False,False,,-1
9,rufinamide,ezogabine,rufinamide,False,False,,-1
10,zonisamide,ezogabine,zonisamide,False,False,,-1
11,lacosamide,ezogabine,lacosamide,False,False,,-1
12,perampanel,ezogabine,perampanel,False,False,,-1
13,vigabatrin,ezogabine,vigabatrin,False,False,,-1
14,gabapentin,ezogabine,gabapentin,False,False,,-1
15,pregabalin,ezogabine,pregabalin,False,False,,-1
16,levetiracetam,ezogabine,levetiracetam,False,False,,-1
17,topiramate,ezogabine,topiramate,False,False,,-1
18,zonisamide,ezogabine,zonisamide,False,False,,-1
19,ethosuximide,ezogabine,ethosuximide,False,False,,-1
20,gabit_there_are_no_other_ways_to_say_ezogabine.,ezogabine,False,False,True,,2
21,gatifloxacin,ezogabine,gatifloxacin,False,False,,-1
22,moxifloxacin,ezogabine,moxifloxacin,False,False,,-1
23,ofloxacin,ezogabine,levofloxacin,False,False,,-1
24,norfloxacin,ezogabine,norfloxacin,False,False,,-1
25,ciprofloxacin,ezogabine,ciprofloxacin,False,False,,-1
26,levofloxacin,ezogabine,levofloxacin,False,False,,-1
27,gemifloxacin,ezogabine,gemifloxacin,False,False,,-1
28,remeron,ezogabine,mirtazapine,False,False,,-1
29,venlafaxine,ezogabine,venlafaxine,False,False,,-1
30,desvenlafaxine,ezogabine,desvenlafaxine,False,False,,-1
31,levomilnacipran,ezogabine,levomilnacipran,False,False,,-1
32,duloxetine,ezogabine,duloxetine,False,False,,-1
33,milnacipran,ezogabine,milnacipran,False,False,,-1
34,levomilnacipran,ezogabine,levomilnacipran,False,False,,-1
35,selegiline,ezogabine,selegiline,False,False,,-1
36,l-deprenyl,ezogabine,False,False,False,,-1
37,r-deprenyl,ezogabine,False,False,False,,-1
38,eldepryl,ezogabine,selegiline,False,False,,-1
39,deprenyl,ezogabine,selegiline,False,False,,-1
40,selegilin,ezogabine,selegiline,False,False,,-1
41,eldeplabel,ezogabine,False,False,False,,-1
42,novocaine,ezogabine,procaine,False,False,,-1
43,lidocaine,ezogabine,lidocaine,False,False,,-1
44,bupivacaine,ezogabine,bupivacaine,False,False,,-1
45,etidocaine,ezogabine,False,False,False,,-1
46,tetracaine,ezogabine,tetracaine,False,False,,-1
47,procaine,ezogabine,procaine,False,False,,-1
48,chloroprocaine,ezogabine,chloroprocaine,False,False,,-1
49,tegretol,ezogabine,carbamazepine,False,False,,-1
50,carbamazepine,ezogabine,carbamazepine,False,False,,-1
51,oxcarbazepine,ezogabine,oxcarbazepine,False,False,,-1
52,lamotrigine,ezogabine,lamotrigine,False,False,,-1
53,valproate,ezogabine,valproic_acid,False,False,,-1
54,gabapentin,ezogabine,gabapentin,False,False,,-1
55,pregabalin,ezogabine,pregabalin,False,False,,-1
56,gabapentin,ezogabine,gabapentin,False,False,,-1
57,pregabalin,ezogabine,pregabalin,False,False,,-1
58,valproic_acid,ezogabine,valproic_acid,False,False,,-1
59,lamotrigine,ezogabine,lamotrigine,False,False,,-1
60,carbamazepine,ezogabine,carbamazepine,False,False,,-1
61,phenytoin,ezogabine,phenytoin,False,False,,-1
62,levetiracetam,ezogabine,levetiracetam,False,False,,-1
63,retigabine,ezogabine,ezogabine,True,False,,-1
64,tiogabine,ezogabine,False,False,False,,-1
65,zofagel,ezogabine,False,False,False,,-1
66,vigabatrin,ezogabine,vigabatrin,False,False,,-1
67,tiagabine,ezogabine,tiagabine,False,False,,-1
68,gabapentin,ezogabine,gabapentin,False,False,,-1
69,levetiracetam,ezogabine,levetiracetam,False,False,,-1
70,oxcarbazepine,ezogabine,oxcarbazepine,False,False,,-1
71,pregabalin,ezogabine,pregabalin,False,False,,-1
