,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,pemoline,fenfluramine,pemoline,False,False,,-1
1,phentermine,fenfluramine,phentermine,False,False,,-1
2,dexfenfluramine,fenfluramine,dexfenfluramine,False,True,,1
3,adipex-p,fenfluramine,False,False,False,,-1
4,obenix,fenfluramine,False,False,False,,-1
5,oberleptal,fenfluramine,False,False,False,,-1
6,plegine,fenfluramine,False,False,True,,8
7,prefamone,fenfluramine,False,False,False,,-1
8,relliq,fenfluramine,False,False,False,,-1
9,tetrahydroisoquinolines,fenfluramine,False,False,False,,-1
10,reductil,fenfluramine,sibutramine,False,False,,-1
11,fentermine,fenfluramine,False,False,False,,-1
12,dexfenfluramine,fenfluramine,dexfenfluramine,False,True,,1
13,dexfenfluramine,fenfluramine,dexfenfluramine,False,True,,1
14,redux,fenfluramine,dexfenfluramine,False,False,,-1
15,dexfenfluramine,fenfluramine,dexfenfluramine,False,True,,1
16,levofenfluramine,fenfluramine,False,False,True,,1
17,fendfluramine,fenfluramine,False,False,False,,-1
18,dexfenfluramine,fenfluramine,dexfenfluramine,False,True,,1
19,diethylpropion,fenfluramine,diethylpropion,False,False,,-1
20,fentermine,fenfluramine,False,False,False,,-1
21,ketogenic_diet,fenfluramine,False,False,False,,-1
22,anorectic,fenfluramine,False,False,False,,-1
23,dexfenfluramine,fenfluramine,dexfenfluramine,False,True,,1
24,redux,fenfluramine,dexfenfluramine,False,False,,-1
25,redux,fenfluramine,dexfenfluramine,False,False,,-1
26,diethylpropion,fenfluramine,diethylpropion,False,False,,-1
27,bupropion,fenfluramine,bupropion,False,False,,-1
28,phendimetrazine,fenfluramine,phendimetrazine,False,False,,-1
29,phentermine,fenfluramine,phentermine,False,False,,-1
30,sibutramine,fenfluramine,sibutramine,False,False,,-1
31,fluoxetine,fenfluramine,fluoxetine,False,False,,-1
32,orlistat,fenfluramine,orlistat,False,False,,-1
33,flucitrin,fenfluramine,False,False,False,,-1
34,fluoxetine,fenfluramine,fluoxetine,False,False,,-1
35,adipex-p,fenfluramine,False,False,False,,-1
36,fastin,fenfluramine,phentermine,False,False,,-1
37,ionamin,fenfluramine,False,False,True,,3
38,pro-fast,fenfluramine,False,False,False,,-1
39,redux,fenfluramine,dexfenfluramine,False,False,,-1
40,suprenza,fenfluramine,False,False,False,,-1
41,redux,fenfluramine,dexfenfluramine,False,False,,-1
42,dexfenfluramine,fenfluramine,dexfenfluramine,False,True,,1
43,redux,fenfluramine,dexfenfluramine,False,False,,-1
44,ionamin,fenfluramine,False,False,True,,3
45,dexfenfluramine,fenfluramine,dexfenfluramine,False,True,,1
46,lorcaserin,fenfluramine,lorcaserin,False,False,,-1
47,phentermine,fenfluramine,phentermine,False,False,,-1
48,sibutramine,fenfluramine,sibutramine,False,False,,-1
49,dexfenfluramine,fenfluramine,dexfenfluramine,False,True,,1
50,redux,fenfluramine,dexfenfluramine,False,False,,-1
51,adipex,fenfluramine,phentermine,False,False,,-1
52,phendimetrazine,fenfluramine,phendimetrazine,False,False,,-1
53,dexfenfluramine,fenfluramine,dexfenfluramine,False,True,,1
54,fen-phen,fenfluramine,False,False,True,,1
55,redux,fenfluramine,dexfenfluramine,False,False,,-1
56,adipex-p,fenfluramine,False,False,False,,-1
57,didrex,fenfluramine,benzphetamine,False,False,,-1
58,redux,fenfluramine,dexfenfluramine,False,False,,-1
59,diethylproprion,fenfluramine,False,False,False,,-1
60,pemoline,fenfluramine,pemoline,False,False,,-1
61,phentermine,fenfluramine,phentermine,False,False,,-1
62,sibutramine,fenfluramine,sibutramine,False,False,,-1
63,orlistat,fenfluramine,orlistat,False,False,,-1
64,lorcaserin,fenfluramine,lorcaserin,False,False,,-1
65,pemoline,fenfluramine,pemoline,False,False,,-1
66,dexfenfluramine,fenfluramine,dexfenfluramine,False,True,,1
67,fenflu,fenfluramine,False,False,True,,1
68,flurbiprofen,fenfluramine,flurbiprofen,False,False,,-1
69,anorectic,fenfluramine,False,False,False,,-1
70,redux,fenfluramine,dexfenfluramine,False,False,,-1
71,dexfenfluramine,fenfluramine,dexfenfluramine,False,True,,1
72,adifax,fenfluramine,False,False,False,,-1
73,redux,fenfluramine,dexfenfluramine,False,False,,-1
74,dexfenfluramine,fenfluramine,dexfenfluramine,False,True,,1
75,redux,fenfluramine,dexfenfluramine,False,False,,-1
76,flabfluramine,fenfluramine,False,False,False,,-1
77,flemfluramine,fenfluramine,False,False,False,,-1
78,dexfenfluramine,fenfluramine,dexfenfluramine,False,True,,1
79,pemoline,fenfluramine,pemoline,False,False,,-1
80,adipex-p,fenfluramine,False,False,False,,-1
81,fastin,fenfluramine,phentermine,False,False,,-1
82,ionamin,fenfluramine,False,False,True,,3
83,phendimetrazine,fenfluramine,phendimetrazine,False,False,,-1
84,phentermine,fenfluramine,phentermine,False,False,,-1
