,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,tarrazepam,flurazepam,False,False,False,,-1
1,zonisamide,flurazepam,zonisamide,False,False,,-1
2,flusazepam,flurazepam,False,False,False,,-1
3,flusemide,flurazepam,False,False,False,,-1
4,flunitrazepam,flurazepam,flunitrazepam,False,False,,-1
5,rohypnol,flurazepam,flunitrazepam,False,False,,-1
6,fluracesept,flurazepam,False,False,False,,-1
7,flurazepink,flurazepam,False,False,False,,-1
8,fluraethoate,flurazepam,False,False,False,,-1
9,flurazepoxide,flurazepam,False,False,False,,-1
10,flurbiprofen,flurazepam,flurbiprofen,False,True,,8
11,flurethazine,flurazepam,False,False,False,,-1
12,flutoprazepam,flurazepam,False,False,True,,1
13,flurazepam,flurazepam,flurazepam,True,True,,1
14,flumazenil,flurazepam,flumazenil,False,False,,-1
15,halcion,flurazepam,triazolam,False,False,,-1
16,flupazepam,flurazepam,False,False,True,,1
17,flunitrazepam,flurazepam,flunitrazepam,False,False,,-1
18,fluraclazepam,flurazepam,False,False,False,,-1
19,flurbiprofen,flurazepam,flurbiprofen,False,True,,8
20,flurbuterol,flurazepam,False,False,False,,-1
21,flurethazine,flurazepam,False,False,False,,-1
22,fluspirilene,flurazepam,False,False,False,,-1
23,fluvazepam,flurazepam,False,False,True,,1
24,fluvrozepam,flurazepam,False,False,False,,-1
25,flusalprazolam,flurazepam,False,False,False,,-1
26,flutoprazolam,flurazepam,False,False,False,,-1
27,flurazepam_hydrochloride,flurazepam,False,True,True,,1
28,flurazepamum,flurazepam,False,False,True,,2
29,restoril,flurazepam,temazepam,False,False,,-1
30,flunitrazepam,flurazepam,flunitrazepam,False,False,,-1
31,rohypnol,flurazepam,flunitrazepam,False,False,,-1
32,somnol,flurazepam,False,False,False,,-1
33,taxopam,flurazepam,False,False,False,,-1
34,valium,flurazepam,diazepam,False,False,,-1
35,zolpidem,flurazepam,zolpidem,False,False,,-1
36,somnil,flurazepam,False,False,False,,-1
37,stilnox,flurazepam,zolpidem,False,False,,-1
38,quazepam,flurazepam,quazepam,False,False,,-1
39,floop,flurazepam,False,False,False,,-1
40,frazepam,flurazepam,False,False,False,,-1
41,loraxten,flurazepam,False,False,False,,-1
42,noctec,flurazepam,chloral_hydrate,False,False,,-1
43,serex,flurazepam,False,False,False,,-1
44,shalina,flurazepam,False,False,False,,-1
45,stilnoct,flurazepam,zolpidem,False,False,,-1
46,temazepam,flurazepam,temazepam,False,False,,-1
47,zimovane,flurazepam,zopiclone,False,False,,-1
48,fluranon,flurazepam,False,False,False,,-1
49,flufran,flurazepam,False,False,False,,-1
50,quazepam,flurazepam,quazepam,False,False,,-1
51,flurazepam_hydrochloride,flurazepam,False,True,True,,1
52,flurazepam_dihydrochloride,flurazepam,False,True,True,,1
53,flurazepam_monohydrochloride,flurazepam,False,True,True,,1
54,flurazepam_sulfate,flurazepam,False,True,True,,1
55,flurazepam_tartrate,flurazepam,False,True,True,,1
56,flurazepam_oxalate,flurazepam,False,True,True,,2
57,flurazepam_malate,flurazepam,False,True,True,,1
58,flurapam,flurazepam,False,False,True,,10
59,flurazepamum,flurazepam,False,False,True,,2
60,fluazepam,flurazepam,False,False,True,,1
61,flurazepam,flurazepam,flurazepam,True,True,,1
62,quazepam,flurazepam,quazepam,False,False,,-1
63,fluramyde,flurazepam,False,False,False,,-1
64,dorflex,flurazepam,False,False,False,,-1
65,flunitrazepam,flurazepam,flunitrazepam,False,False,,-1
66,flurapam,flurazepam,False,False,True,,10
67,flcrow,flurazepam,False,False,False,,-1
68,flunitrazepam,flurazepam,flunitrazepam,False,False,,-1
69,flutoprazepam,flurazepam,False,False,True,,1
70,flurazepam_hydrochloride,flurazepam,False,True,True,,1
71,flurazepam_monohydrate,flurazepam,False,True,True,,1
72,flurazepam_oxazepam,flurazepam,False,True,True,,1
73,flurazepam_prazepam,flurazepam,False,True,True,,3
74,flurazepam_quazepam,flurazepam,False,True,True,,2
75,fluprazepam,flurazepam,False,False,False,,-1
76,dalmane,flurazepam,flurazepam,True,True,,1
77,flunitrazepam,flurazepam,flunitrazepam,False,False,,-1
78,clonazepam,flurazepam,clonazepam,False,False,,-1
79,lorazepam,flurazepam,lorazepam,False,False,,-1
80,alprazolam,flurazepam,alprazolam,False,False,,-1
81,chlordiazepoxide,flurazepam,chlordiazepoxide,False,False,,-1
82,flurazepam_hydrochloride,flurazepam,False,True,True,,1
83,flurazepam_diazepam,flurazepam,False,True,True,,1
84,flurazepam_oxazepam,flurazepam,False,True,True,,1
85,flurazepam_temazepam,flurazepam,False,True,True,,1
86,flurazepam_alprazolam,flurazepam,False,True,True,,1
87,flurazepam_lorazepam,flurazepam,False,True,True,,1
88,flurazepam_clonazepam,flurazepam,False,True,True,,1
89,dalmane,flurazepam,flurazepam,True,True,,1
90,flurazepam,flurazepam,flurazepam,True,True,,1
91,flurozepam,flurazepam,flurazepam,True,True,,1
92,zopidem,flurazepam,zolpidem,False,False,,-1
93,quazepam,flurazepam,quazepam,False,False,,-1
94,lorazepam,flurazepam,lorazepam,False,False,,-1
95,fluromazepam,flurazepam,False,False,False,,-1
96,flusoxazepam,flurazepam,False,False,False,,-1
97,fluraneserin,flurazepam,False,False,False,,-1
98,flutoprazepam,flurazepam,False,False,True,,1
99,furoazepam,flurazepam,False,False,False,,-1
100,halazepam,flurazepam,halazepam,False,False,,-1
101,quazepam,flurazepam,quazepam,False,False,,-1
102,somnitol,flurazepam,False,False,False,,-1
103,urazolam,flurazepam,False,False,False,,-1
104,zimovane,flurazepam,zopiclone,False,False,,-1
105,flud_watches,flurazepam,False,False,False,,-1
106,flufocin,flurazepam,False,False,False,,-1
107,flumazenil,flurazepam,flumazenil,False,False,,-1
108,flumazepil,flurazepam,flumazenil,False,False,,-1
109,flunitrazepam,flurazepam,flunitrazepam,False,False,,-1
110,flutoprazepam,flurazepam,False,False,True,,1
111,midazolam,flurazepam,midazolam,False,False,,-1
112,fluspirilene,flurazepam,False,False,False,,-1
113,flurazepam,flurazepam,flurazepam,True,True,,1
114,fluscand,flurazepam,False,False,False,,-1
115,flusemez,flurazepam,False,False,False,,-1
116,fluanisone,flurazepam,False,False,False,,-1
117,flunitrazepam,flurazepam,flunitrazepam,False,False,,-1
118,flurazepam_hydrochloride,flurazepam,False,True,True,,1
119,flurazepamum,flurazepam,False,False,True,,2
120,flutrax,flurazepam,False,False,False,,-1
121,fluspam,flurazepam,False,False,False,,-1
122,flunitrazepam,flurazepam,flunitrazepam,False,False,,-1
123,rohypnol,flurazepam,flunitrazepam,False,False,,-1
124,flurapam,flurazepam,False,False,True,,10
125,flurazepam_hydrochloride,flurazepam,False,True,True,,1
126,fliezepam,flurazepam,False,False,False,,-1
127,fludiazepam,flurazepam,fludiazepam,False,True,,9
128,flusoxepam,flurazepam,False,False,False,,-1
129,fluoxetazepam,flurazepam,False,False,False,,-1
130,fluvoxamine,flurazepam,fluvoxamine,False,False,,-1
131,zuclopenthixol,flurazepam,zuclopenthixol,False,False,,-1
132,pam,flurazepam,melphalan,False,False,,-1
133,prazepam,flurazepam,prazepam,False,False,,-1
134,flanax,flurazepam,fluorometholone,False,False,,-1
135,flunitrazepam,flurazepam,flunitrazepam,False,False,,-1
136,flurazepam_oral,flurazepam,False,True,True,,1
137,flurazepam_tablet,flurazepam,False,True,True,,1
138,flurazepam_hydrochloride,flurazepam,False,True,True,,1
139,flutrazepam,flurazepam,False,False,False,,-1
140,flusazepam,flurazepam,False,False,False,,-1
141,fluraze,flurazepam,False,False,True,,1
142,fluraz,flurazepam,False,False,True, pill,2
143,fluzepam,flurazepam,False,False,True,,1
144,flubromazepam,flurazepam,False,False,False,,-1
145,fluclorazepam,flurazepam,False,False,False,,-1
146,fluscand,flurazepam,False,False,False,,-1
147,flusparden,flurazepam,False,False,False,,-1
148,frazepam,flurazepam,False,False,False,,-1
149,noctec,flurazepam,chloral_hydrate,False,False,,-1
150,quazepam,flurazepam,quazepam,False,False,,-1
151,seprazon,flurazepam,False,False,False,,-1
152,spectrazol,flurazepam,False,False,False,,-1
153,furozepam,flurazepam,False,False,False,,-1
154,flusoxazepam,flurazepam,False,False,False,,-1
155,lafazepam,flurazepam,False,False,False,,-1
156,quazepam,flurazepam,quazepam,False,False,,-1
157,triazolam,flurazepam,triazolam,False,False,,-1
158,paraflur,flurazepam,False,False,False,,-1
159,razepam,flurazepam,False,False,False,,-1
160,flumazepil,flurazepam,flumazenil,False,False,,-1
161,flurazepam_hydrochloride,flurazepam,False,True,True,,1
