,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,ethchlorvynol,glutethimide,ethchlorvynol,False,False,,-1
1,meprobamate,glutethimide,meprobamate,False,False,,-1
2,pyrazole,glutethimide,pyrazole,False,False,,-1
3,trichloroethanol,glutethimide,False,False,False,,-1
4,ed_significant,glutethimide,False,False,False,,-1
5,barbiturate,glutethimide,False,False,False,,-1
6,imidazolidinedione,glutethimide,False,False,False,,-1
7,imide,glutethimide,False,False,False,,-1
8,oxazolidinedione,glutethimide,False,False,False,,-1
9,eutimil,glutethimide,False,False,False,,-1
10,leucoridine,glutethimide,False,False,False,,-1
11,leurodine,glutethimide,False,False,False,,-1
12,myotex,glutethimide,False,False,False,,-1
13,ortetamine,glutethimide,methamphetamine,False,False,,-1
14,paregoric,glutethimide,morphine,False,False,,-1
15,tetridamine,glutethimide,False,False,False,,-1
16,amide,glutethimide,False,False,False,,-1
17,barbiturate,glutethimide,False,False,False,,-1
18,epoxide,glutethimide,False,False,False,,-1
19,gylcet,glutethimide,False,False,False,,-1
20,phenyltoloxamine,glutethimide,False,False,False,,-1
21,methyprylon,glutethimide,methyprylon,False,False,,-1
22,phentermine,glutethimide,phentermine,False,False,,-1
23,glycopyrrolate,glutethimide,glycopyrronium,False,False,,-1
24,chlormethiazole,glutethimide,False,False,False,,-1
25,chlordiazepoxide,glutethimide,chlordiazepoxide,False,False,,-1
26,chloroprocaine,glutethimide,chloroprocaine,False,False,,-1
27,procaine,glutethimide,procaine,False,False,,-1
28,tetracaine,glutethimide,tetracaine,False,False,,-1
29,pemoline,glutethimide,pemoline,False,False,,-1
30,pentazocine,glutethimide,pentazocine,False,False,,-1
31,quinine,glutethimide,quinine,False,False,,-1
32,scopolamine,glutethimide,scopolamine,False,False,,-1
33,strychnine,glutethimide,False,False,False,,-1
34,thalidomide,glutethimide,thalidomide,False,False,,-1
35,zuclopenthixol,glutethimide,zuclopenthixol,False,False,,-1
36,medoxomil,glutethimide,False,False,False,,-1
37,methyprylon,glutethimide,methyprylon,False,False,,-1
38,pivalylmethadol,glutethimide,False,False,False,,-1
39,pivalyl_alcohol,glutethimide,False,False,False,,-1
40,pyrazinamide,glutethimide,pyrazinamide,False,False,,-1
41,ethchlorvynol,glutethimide,ethchlorvynol,False,False,,-1
42,glutethmide,glutethimide,False,False,True,,1
43,quineth,glutethimide,False,False,False,,-1
44,dexbromoethanol,glutethimide,False,False,False,,-1
45,brotizolam,glutethimide,brotizolam,False,False,,-1
46,ethchlorvynol,glutethimide,ethchlorvynol,False,False,,-1
47,chloral_hydrate,glutethimide,chloral_hydrate,False,False,,-1
48,chlordiazepoxide,glutethimide,chlordiazepoxide,False,False,,-1
49,diazepam,glutethimide,diazepam,False,False,,-1
50,gilurytmal,glutethimide,False,False,False,,-1
51,hydroxytetrahydrophthalimide,glutethimide,False,False,False,,-1
52,isocarboxazid,glutethimide,isocarboxazid,False,False,,-1
53,l-tetrahydroisoindole-5-acetic_acid,glutethimide,False,False,False,,-1
54,methyprylon,glutethimide,methyprylon,False,False,,-1
55,n-ethyl-norketamine,glutethimide,False,False,False,,-1
56,norketamine,glutethimide,False,False,False,,-1
57,hydrochlorothiazide,glutethimide,hydrochlorothiazide,False,False,,-1
58,mercaptopurine,glutethimide,mercaptopurine,False,False,,-1
59,methadone,glutethimide,methadone,False,False,,-1
60,niacinamide,glutethimide,nicotinamide,False,False,,-1
61,pentobarbital,glutethimide,pentobarbital,False,False,,-1
62,phenelzine,glutethimide,phenelzine,False,False,,-1
63,phenytoin,glutethimide,phenytoin,False,False,,-1
64,grixil,glutethimide,False,False,False,,-1
65,puthidine,glutethimide,False,False,False,,-1
66,elavil,glutethimide,amitriptyline,False,False,,-1
67,endep,glutethimide,amitriptyline,False,False,,-1
68,levate,glutethimide,amitriptyline,False,False,,-1
69,sinequan,glutethimide,doxepin,False,False,,-1
70,tofranil,glutethimide,imipramine,False,False,,-1
71,vivactil,glutethimide,protriptyline,False,False,,-1
72,leucotrienes,glutethimide,False,False,False,,-1
73,leukotrienes,glutethimide,False,False,False,,-1
74,quinidine,glutethimide,quinidine,False,False,,-1
75,quinine,glutethimide,quinine,False,False,,-1
76,zuclopenthixol,glutethimide,zuclopenthixol,False,False,,-1
77,levo-dopa,glutethimide,False,False,False,,-1
78,methylphenidate,glutethimide,methylphenidate,False,False,,-1
79,pemoline,glutethimide,pemoline,False,False,,-1
80,pentobarbital,glutethimide,pentobarbital,False,False,,-1
81,phenobarbital,glutethimide,phenobarbital,False,False,,-1
82,primidone,glutethimide,primidone,False,False,,-1
83,propofol,glutethimide,propofol,False,False,,-1
84,secobarbital,glutethimide,secobarbital,False,False,,-1
85,sodium_thiopental,glutethimide,False,False,False,,-1
86,zolpidem,glutethimide,zolpidem,False,False,,-1
87,methyprylon,glutethimide,methyprylon,False,False,,-1
88,prylon,glutethimide,False,False,False,,-1
89,ethchlorvynol,glutethimide,ethchlorvynol,False,False,,-1
90,myodoxyline,glutethimide,False,False,False,,-1
91,oxyfedrine,glutethimide,False,False,False,,-1
92,phendimetrazine,glutethimide,phendimetrazine,False,False,,-1
93,phenmetrazine,glutethimide,phenmetrazine,False,False,,-1
94,trimethoxyamphetamine,glutethimide,False,False,False,,-1
95,gow_in,glutethimide,False,False,False,,-1
96,geestemünde,glutethimide,False,False,False,,-1
97,graham_flour,glutethimide,False,False,False,,-1
98,glu-thimide,glutethimide,False,False,True,,4
99,glu-tet-imide,glutethimide,False,False,True,,2
100,glu-te-thim-ide,glutethimide,False,False,True,,1
101,glu-tet-hyl-imide,glutethimide,False,False,False,,-1
102,ethchlorvynol,glutethimide,ethchlorvynol,False,False,,-1
