,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,horse,heroin,False,False,False,,-1
1,smack,heroin,False,False,True, pill,2
2,smack,heroin,False,False,True, pill,2
3,junk,heroin,False,False,True,,4
4,horse,heroin,False,False,False,,-1
5,brown_sugar,heroin,False,False,True, drug,2
6,china_white,heroin,filgrastim,False,True,,9
7,ditch,heroin,False,False,False,,-1
8,dragon,heroin,False,False,True, drug,2
9,stp,heroin,"4-methyl-2,5-dimethoxyamphetamine",False,False,,-1
10,dealers,heroin,False,False,True, pill,1
11,addicts,heroin,False,False,True, pill,10
12,users,heroin,False,False,True, pill,10
13,abusers,heroin,False,False,True,,8
14,herion,heroin,heroin,True,True, pill,1
15,heron,heroin,False,False,True, drug,1
16,heroinum,heroin,False,False,True,,3
17,diacetylmorphine,heroin,heroin,True,True,,3
18,smack,heroin,False,False,True, pill,2
19,brown_sugar,heroin,False,False,True, drug,2
20,dope,heroin,False,False,True, pill,7
21,horse,heroin,False,False,False,,-1
22,dragon,heroin,False,False,True, drug,2
23,mud,heroin,False,False,False,,-1
24,zeroin,heroin,False,False,False,,-1
25,heroinum,heroin,False,False,True,,3
26,dionin,heroin,False,False,True, drug,5
27,dihydromorphinone,heroin,hydromorphone,False,False,,-1
28,dymorphin,heroin,False,False,True, drug,10
29,smoke,heroin,False,False,True, pill,4
30,tar,heroin,False,False,True, pill,2
31,black_tar,heroin,False,False,True,,1
32,dope,heroin,False,False,True, pill,7
33,acetomorphine,heroin,False,False,True,,3
34,acetylpropionylmorphine,heroin,False,False,True,,9
35,nicomorphine,heroin,False,False,False,,-1
36,physeptone,heroin,methadone,False,True,,7
37,pantopon,heroin,pantoprazole,False,True,,10
38,thebacon,heroin,hydrocodone,False,False,,-1
39,dionine,heroin,False,False,False,,-1
40,smack,heroin,False,False,True, pill,2
41,junk,heroin,False,False,True,,4
42,horse,heroin,False,False,False,,-1
43,brown_sugar,heroin,False,False,True, drug,2
44,dope,heroin,False,False,True, pill,7
45,mud,heroin,False,False,False,,-1
46,skag,heroin,False,False,True, pill,9
47,smack,heroin,False,False,True, pill,2
48,junk,heroin,False,False,True,,4
49,horse,heroin,False,False,False,,-1
50,dragon,heroin,False,False,True, drug,2
51,china_white,heroin,filgrastim,False,True,,9
52,smack,heroin,False,False,True, pill,2
53,junk,heroin,False,False,True,,4
54,morphine_diacetate,heroin,False,False,True,,1
55,diamorphine,heroin,heroin,True,True,,5
