,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,lorcet,hydrocodone,hydrocodone,True,True,,1
1,dilaudid,hydrocodone,hydromorphone,False,False,,-1
2,roxicet,hydrocodone,oxycodone,False,False,,-1
3,norco,hydrocodone,hydrocodone,True,True,,1
4,oxycodone,hydrocodone,oxycodone,False,False,,-1
5,m-ends,hydrocodone,False,False,False,,-1
6,mickey_finns,hydrocodone,False,False,False,,-1
7,vics,hydrocodone,False,False,False,,-1
8,codiene,hydrocodone,False,False,False,,-1
9,roxanol,hydrocodone,morphine,False,False,,-1
10,tussionex,hydrocodone,hydrocodone,True,True,,3
11,hydrocodone/acetaminophen,hydrocodone,False,False,True,,1
12,hyrdocone,hydrocodone,False,False,True,,3
13,codone,hydrocodone,False,False,True,,1
14,hycodan,hydrocodone,hydrocodone,False,True,,1
15,hycomine,hydrocodone,False,False,True,,2
16,hydrogesic,hydrocodone,False,False,True,,1
17,hydrocet,hydrocodone,False,False,True,,7
18,hydrocodon,hydrocodone,hydrocodone,True,True,,1
19,hydrocodious,hydrocodone,False,False,False,,-1
20,tylenol_with_codeine,hydrocodone,codeine,False,False,,-1
21,vicodin,hydrocodone,hydrocodone,True,True,,2
22,vicodin,hydrocodone,hydrocodone,True,True,,2
23,cabbage,hydrocodone,cabbage,False,False,,-1
24,endocodone,hydrocodone,False,False,True,,7
25,hydrokon,hydrocodone,False,False,True,,1
26,hydrocet,hydrocodone,False,False,True,,7
27,hydrogesic,hydrocodone,False,False,True,,1
28,hydromet,hydrocodone,homatropine_methylbromide,True,True,,5
29,hydrocol,hydrocodone,False,False,True, pill,5
30,norco,hydrocodone,hydrocodone,True,True,,1
31,roxicet,hydrocodone,oxycodone,False,False,,-1
32,percocet,hydrocodone,oxycodone,False,False,,-1
33,endocet,hydrocodone,oxycodone,False,False,,-1
34,oxycodone,hydrocodone,oxycodone,False,False,,-1
35,acetaminophen,hydrocodone,acetaminophen,False,True,,9
36,zamicet,hydrocodone,False,False,True,,2
37,maxidone,hydrocodone,False,False,True,,1
38,oxycodone,hydrocodone,oxycodone,False,False,,-1
39,endocodone,hydrocodone,False,False,True,,7
40,roxicodone,hydrocodone,oxycodone,False,False,,-1
41,vicodin,hydrocodone,hydrocodone,True,True,,2
42,percocet,hydrocodone,oxycodone,False,False,,-1
43,lortab,hydrocodone,hydrocodone,True,True,,1
44,robaxin,hydrocodone,methocarbamol,False,False,,-1
45,zanaflex,hydrocodone,tizanidine,False,False,,-1
46,baclofen,hydrocodone,baclofen,False,False,,-1
47,soma,hydrocodone,carisoprodol,False,False,,-1
48,valium,hydrocodone,diazepam,False,False,,-1
49,ativan,hydrocodone,lorazepam,False,False,,-1
50,zohydro,hydrocodone,hydrocodone,True,True,,1
51,hysingla,hydrocodone,False,False,True,,2
52,endocodone,hydrocodone,False,False,True,,7
53,hysodones,hydrocodone,False,False,False,,-1
54,hydrocone,hydrocodone,hydrocodone,True,True,,1
55,hyrocodon,hydrocodone,False,False,True,,1
56,hyrocodones,hydrocodone,False,False,True,,1
57,hydrocones,hydrocodone,False,False,True,,1
58,lorcets,hydrocodone,hydrocodone,True,True,,1
59,endocets,hydrocodone,oxycodone,False,False,,-1
60,roxicets,hydrocodone,oxycodone,False,False,,-1
61,tramadols,hydrocodone,tramadol,False,False,,-1
62,ultrams,hydrocodone,tramadol,False,False,,-1
63,zydone,hydrocodone,False,False,True,,2
