,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,hydromorfan,hydromorphone,False,False,True,,1
1,hydro_morphone,hydromorphone,False,False,True,,1
2,hydrophone,hydromorphone,False,False,True,,7
3,morphinan,hydromorphone,morphine,False,True,,9
4,morphinic,hydromorphone,False,False,False,,-1
5,opiate,hydromorphone,False,False,False,,-1
6,hydromorph_contin,hydromorphone,hydromorphone,True,True,,1
7,hydrostat,hydromorphone,False,False,True,,2
8,jurnista,hydromorphone,hydromorphone,True,True,,2
9,luride,hydromorphone,False,False,False,,-1
10,hydromorphone_hydrochloride,hydromorphone,hydromorphone,True,True,,1
11,hydromorphone_sulfate,hydromorphone,False,True,True,,1
12,hydro-laced,hydromorphone,False,False,False,,-1
13,hydromorphone_hydrochloride,hydromorphone,hydromorphone,True,True,,1
14,jurnista,hydromorphone,hydromorphone,True,True,,2
15,distort,hydromorphone,False,False,False,,-1
16,palladone,hydromorphone,hydromorphone,True,True,,1
17,roxanol,hydromorphone,morphine,False,False,,-1
18,palladone,hydromorphone,hydromorphone,True,True,,1
19,morphine,hydromorphone,morphine,False,False,,-1
20,dilaudid,hydromorphone,hydromorphone,True,True,,2
21,vicodin,hydromorphone,hydrocodone,False,False,,-1
22,percocet,hydromorphone,oxycodone,False,False,,-1
23,dildaudid,hydromorphone,False,False,True,,2
24,hydro,hydromorphone,False,False,False,,-1
25,dihydromorphinon,hydromorphone,False,False,True,,1
26,dihydromorphine,hydromorphone,dihydromorphine,False,True,,3
27,hydroopmorphone,hydromorphone,False,False,False,,-1
28,dyudid,hydromorphone,False,False,False,,-1
29,hydrudeopmorphone,hydromorphone,False,False,False,,-1
30,hydrylopmorphone,hydromorphone,False,False,False,,-1
31,hydromorphine,hydromorphone,hydromorphone,True,True,,2
32,hydrocons,hydromorphone,False,False,False,,-1
33,hydrorphone,hydromorphone,False,False,True,,1
34,hydromorphoned,hydromorphone,False,False,True,,1
35,hydromorphon,hydromorphone,hydromorphone,True,True,,1
36,hydroomorphan,hydromorphone,False,False,False,,-1
37,morphinone_hydrochloride,hydromorphone,False,False,True,,1
38,numerico,hydromorphone,False,False,False,,-1
39,opidral,hydromorphone,False,False,False,,-1
