,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,dissociative,ketamine,False,False,True,,5
1,anaesthetic,ketamine,False,False,True,,10
2,ketalar,ketamine,ketamine,True,True,,1
3,dissociative_anesthetic,ketamine,esketamine,False,True,,3
4,katamine,ketamine,ketamine,True,True,,1
5,kratom,ketamine,kratom,False,False,,-1
6,ketoconazole,ketamine,ketoconazole,False,False,,-1
7,ketorolac,ketamine,ketorolac,False,False,,-1
8,ketamine_hydrochloride,ketamine,ketamine,True,True,,1
9,cat_num,ketamine,False,False,True, slang,4
10,keta_4,ketamine,False,False,True,,2
11,k-hole,ketamine,False,False,True,,2
12,k,ketamine,False,False,True, pill,5
13,vitamin_k,ketamine,phylloquinone,False,True, slang,1
14,keta-mine,ketamine,False,False,True,,1
15,keta-mime,ketamine,False,False,True,,1
16,nmda,ketamine,ketamine,True,True, slang,2
17,ketamine_hydrochloride,ketamine,ketamine,True,True,,1
18,keto,ketamine,False,False,False,,-1
19,ketaset,ketamine,False,False,True,,1
20,ketasol,ketamine,False,False,True, pill,9
21,ketalar,ketamine,ketamine,True,True,,1
22,dissociative_anesthesia,ketamine,False,False,True,,6
23,cat_tranquilliser,ketamine,False,False,True, pill,5
24,horse_tranq,ketamine,False,False,True,,3
25,special_k,ketamine,ketamine,False,True,,5
26,vitamin_k,ketamine,phylloquinone,False,True, slang,1
27,kit_kat,ketamine,cocoa,False,True, pill,5
28,ketalar,ketamine,ketamine,True,True,,1
29,ketaject,ketamine,False,False,True,,6
30,ketanest,ketamine,ketamine,True,True,,1
31,ketelone,ketamine,False,False,False,,-1
32,keta,ketamine,esketamine,False,True,,6
33,keta-fleeta,ketamine,False,False,False,,-1
34,k-hole,ketamine,False,False,True,,2
35,keta,ketamine,esketamine,False,True,,6
36,kat,ketamine,False,False,True, drug,9
37,k-hole,ketamine,False,False,True,,2
38,special_k,ketamine,ketamine,False,True,,5
39,keta,ketamine,esketamine,False,True,,6
40,ketaject,ketamine,False,False,True,,6
41,dissociative_anaesthetic,ketamine,False,False,True,,2
42,ketyryl,ketamine,False,False,False,,-1
43,ketylamine,ketamine,False,False,False,,-1
44,keta,ketamine,esketamine,False,True,,6
45,ket,ketamine,False,False,True, pill,1
46,n-mono,ketamine,False,False,False,,-1
47,m-chloro,ketamine,False,False,False,,-1
48,k-stereo,ketamine,False,False,False,,-1
49,ketaject,ketamine,False,False,True,,6
50,ketaset,ketamine,False,False,True,,1
51,ketavance,ketamine,False,False,False,,-1
52,ketoflex,ketamine,False,False,False,,-1
53,ketagel,ketamine,False,False,True,,2
54,ketasol,ketamine,False,False,True, pill,9
55,ketamine_hydrochloride,ketamine,ketamine,True,True,,1
56,ketamine_hydrochloride,ketamine,ketamine,True,True,,1
57,amtk,ketamine,False,False,False,,-1
58,ktp,ketamine,False,False,False,,-1
59,dissociative,ketamine,False,False,True,,5
60,keta,ketamine,esketamine,False,True,,6
61,keta_option,ketamine,False,False,True,,1
62,nmem,ketamine,False,False,False,,-1
63,nmeo,ketamine,False,False,False,,-1
64,nmoa,ketamine,False,False,False,,-1
65,nmos,ketamine,False,False,False,,-1
66,nmra,ketamine,False,False,False,,-1
67,nmta,ketamine,False,False,False,,-1
68,nnrs,ketamine,False,False,False,,-1
69,nds,ketamine,False,False,False,,-1
70,naes,ketamine,False,False,False,,-1
71,ndes,ketamine,False,False,True, drug,7
72,ket,ketamine,False,False,True, pill,1
73,quaalude,ketamine,methaqualone,False,False,,-1
74,diethyl_ether,ketamine,False,False,False,,-1
75,ketamist,ketamine,False,False,True,,1
76,katemine,ketamine,False,False,True,,3
77,katamine,ketamine,ketamine,True,True,,1
78,dimetoxifene,ketamine,False,False,False,,-1
79,dissociatives,ketamine,esketamine,False,True, pill,5
80,hallucinogenics,ketamine,False,False,False,,-1
81,psychotropics,ketamine,False,False,False,,-1
82,ketam,ketamine,False,False,True, pill,6
83,ketazocine,ketamine,False,False,True,,2
84,benzoquinone,ketamine,False,False,False,,-1
85,ketaset,ketamine,False,False,True,,1
86,ketavet,ketamine,ketamine,True,True,,2
87,ketaject,ketamine,False,False,True,,6
88,ketofol,ketamine,False,False,False,,-1
89,ketman,ketamine,False,False,True, pill,7
90,ketlur,ketamine,False,False,False,,-1
91,kemist,ketamine,False,False,False,,-1
92,spravato,ketamine,False,False,True, slang,5
93,ketaject,ketamine,False,False,True,,6
94,minaral,ketamine,False,False,False,,-1
95,ketalar,ketamine,ketamine,True,True,,1
96,kemine,ketamine,False,False,True, pill,2
97,ketamin,ketamine,ketamine,True,True,,1
98,ketaminas,ketamine,False,False,True,,2
99,nmdd,ketamine,False,False,False,,-1
100,nmdea,ketamine,False,False,False,,-1
101,nmha,ketamine,False,False,False,,-1
102,naphy,ketamine,False,False,False,,-1
103,neamine,ketamine,False,False,False,,-1
104,nethylmine,ketamine,False,False,False,,-1
105,nethylation,ketamine,False,False,False,,-1
106,ketaject,ketamine,False,False,True,,6
107,kete,ketamine,False,False,True, drug,7
108,special_k,ketamine,ketamine,False,True,,5
109,keetamine,ketamine,False,False,True,,1
110,ketaset,ketamine,False,False,True,,1
111,ketaject,ketamine,False,False,True,,6
112,ketolar,ketamine,False,False,True,,6
113,ketanest,ketamine,ketamine,True,True,,1
114,ketafarm,ketamine,False,False,False,,-1
115,ketasol,ketamine,False,False,True, pill,9
116,ketaflo,ketamine,False,False,True,,2
117,ketamine_hydrochloride,ketamine,ketamine,True,True,,1
118,dissociatives,ketamine,esketamine,False,True, pill,5
119,dissociatives,ketamine,esketamine,False,True, pill,5
120,ketaject,ketamine,False,False,True,,6
121,ketaset,ketamine,False,False,True,,1
122,ketanest,ketamine,ketamine,True,True,,1
123,ketasol,ketamine,False,False,True, pill,9
124,vetalar,ketamine,False,False,True,,1
125,palcicon,ketamine,False,False,False,,-1
126,ketaflo,ketamine,False,False,True,,2
127,ketaject,ketamine,False,False,True,,6
128,ketaset,ketamine,False,False,True,,1
129,ketanest,ketamine,ketamine,True,True,,1
130,ketanex,ketamine,False,False,True, pill,3
