,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,ketoprofen,ketobemidone,ketoprofen,False,False,,-1
1,ketorolac,ketobemidone,ketorolac,False,False,,-1
2,ketorolac_tromethamine,ketobemidone,False,False,False,,-1
3,ketostome,ketobemidone,False,False,False,,-1
4,ketotifen,ketobemidone,ketotifen,False,False,,-1
5,ketotriphen,ketobemidone,False,False,False,,-1
6,ketozyst,ketobemidone,False,False,False,,-1
7,ketalgesic,ketobemidone,False,False,False,,-1
8,ketol,ketobemidone,False,False,False,,-1
9,ketoprofen,ketobemidone,ketoprofen,False,False,,-1
10,ketocanas,ketobemidone,False,False,False,,-1
11,ketone-bemidones,ketobemidone,False,False,False,,-1
12,ketone-canas,ketobemidone,False,False,False,,-1
13,ketolac,ketobemidone,False,False,False,,-1
14,ketonicomides,ketobemidone,False,False,False,,-1
15,ketoprofen,ketobemidone,ketoprofen,False,False,,-1
16,ketorolac,ketobemidone,ketorolac,False,False,,-1
17,ketosal,ketobemidone,False,False,False,,-1
18,diclofenac,ketobemidone,diclofenac,False,False,,-1
19,ibuprofen,ketobemidone,ibuprofen,False,False,,-1
20,naproxen,ketobemidone,naproxen,False,False,,-1
21,celecoxib,ketobemidone,celecoxib,False,False,,-1
22,ketone,ketobemidone,False,False,False,,-1
23,ketonazolam,ketobemidone,False,False,False,,-1
24,ketonestradiol,ketobemidone,False,False,False,,-1
25,ketonimide,ketobemidone,False,False,False,,-1
26,ketazolam,ketobemidone,False,False,False,,-1
27,ketonoxime,ketobemidone,False,False,False,,-1
28,ketobemazone,ketobemidone,False,False,False,,-1
29,ketalgin,ketobemidone,False,False,False,,-1
30,ketamax,ketobemidone,ketamine,False,False,,-1
31,ketobenzol,ketobemidone,False,False,False,,-1
32,d-ketobemidone,ketobemidone,False,False,True,,2
33,l-ketobemidone,ketobemidone,False,False,True,,4
34,racemic_ketobemidone,ketobemidone,False,True,True,,9
35,(s)-ketobemidone,ketobemidone,False,False,True,,7
36,(r)-ketobemidone,ketobemidone,False,False,True,,5
37,ketofins,ketobemidone,False,False,False,,-1
38,ketonic_acid,ketobemidone,False,False,False,,-1
39,ketonic_acids,ketobemidone,False,False,False,,-1
40,ketoprofen,ketobemidone,ketoprofen,False,False,,-1
41,ketorolac,ketobemidone,ketorolac,False,False,,-1
42,ketorolacs,ketobemidone,False,False,False,,-1
43,ketonal,ketobemidone,False,False,False,,-1
44,ketofol,ketobemidone,False,False,False,,-1
45,anexsia,ketobemidone,False,False,False,,-1
46,bes_pentazocine,ketobemidone,False,False,False,,-1
47,talwin,ketobemidone,pentazocine,False,False,,-1
48,dolophine,ketobemidone,methadone,False,False,,-1
49,methadose,ketobemidone,methadone,False,False,,-1
50,diskets,ketobemidone,False,False,False,,-1
51,ketocaine,ketobemidone,False,False,False,,-1
52,ketamine,ketobemidone,ketamine,False,False,,-1
53,ketonic,ketobemidone,ketorolac,False,False,,-1
54,ketophen,ketobemidone,False,False,False,,-1
55,ketazocine,ketobemidone,False,False,False,,-1
56,ketocarborane,ketobemidone,False,False,False,,-1
57,d-ketamine,ketobemidone,False,False,False,,-1
58,ketalgesic,ketobemidone,False,False,False,,-1
59,ketoprofen,ketobemidone,ketoprofen,False,False,,-1
60,ketorolac,ketobemidone,ketorolac,False,False,,-1
61,ketamine,ketobemidone,ketamine,False,False,,-1
62,ketoconazole,ketobemidone,ketoconazole,False,False,,-1
63,ketophentanyl,ketobemidone,False,False,False,,-1
64,ketorolac,ketobemidone,ketorolac,False,False,,-1
65,l-ketamine,ketobemidone,False,False,False,,-1
66,ketopem,ketobemidone,False,False,False,,-1
67,ketocaps,ketobemidone,False,False,False,,-1
68,ketozoc,ketobemidone,False,False,False,,-1
69,ketofen,ketobemidone,False,False,False,,-1
70,ketojet,ketobemidone,False,False,False,,-1
71,ketonal,ketobemidone,False,False,False,,-1
72,ketamine,ketobemidone,ketamine,False,False,,-1
73,esketamine,ketobemidone,esketamine,False,False,,-1
74,drimetamate,ketobemidone,False,False,False,,-1
75,loxapine,ketobemidone,loxapine,False,False,,-1
76,azapride,ketobemidone,False,False,False,,-1
77,clozapine,ketobemidone,clozapine,False,False,,-1
78,fluoxetine,ketobemidone,fluoxetine,False,False,,-1
79,ketobemidone_hydrochloride,ketobemidone,False,True,True,,1
80,ketobemidone_acetate,ketobemidone,False,True,True,,1
81,ketobemidone_sulfate,ketobemidone,False,True,True,,1
82,ketobemidone_phosphate,ketobemidone,False,True,True,,1
83,ketobemidone_chloride,ketobemidone,False,True,True,,1
84,ketone,ketobemidone,False,False,False,,-1
85,bemidone,ketobemidone,False,False,False,,-1
86,ketoprofen,ketobemidone,ketoprofen,False,False,,-1
87,ketorolac,ketobemidone,ketorolac,False,False,,-1
88,diclofenac,ketobemidone,diclofenac,False,False,,-1
89,ibuprofen,ketobemidone,ibuprofen,False,False,,-1
90,ketolac,ketobemidone,False,False,False,,-1
91,ketoprofen,ketobemidone,ketoprofen,False,False,,-1
92,ketorolac,ketobemidone,ketorolac,False,False,,-1
93,ketorax,ketobemidone,False,False,False,,-1
94,ketotifen,ketobemidone,ketotifen,False,False,,-1
95,ketovate,ketobemidone,False,False,False,,-1
96,dioxaphetyl_butyrate,ketobemidone,False,False,False,,-1
97,ketobo,ketobemidone,False,False,False,,-1
98,keton,ketobemidone,ethionamide,False,False,,-1
99,ketonal,ketobemidone,False,False,False,,-1
100,ketonate,ketobemidone,False,False,False,,-1
101,ketonemia,ketobemidone,False,False,False,,-1
102,ketonization,ketobemidone,False,False,False,,-1
103,ketonuria,ketobemidone,False,False,False,,-1
104,ketonals,ketobemidone,False,False,False,,-1
105,ketonamide,ketobemidone,False,False,False,,-1
106,ketonal,ketobemidone,False,False,False,,-1
107,ketonic,ketobemidone,ketorolac,False,False,,-1
108,ketonicum,ketobemidone,False,False,False,,-1
