,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,anticonvulsant,lacosamide,False,False,False,,-1
1,epilepsy_medications,lacosamide,False,False,False,,-1
2,flamad,lacosamide,False,False,False,,-1
3,cibenz,lacosamide,False,False,False,,-1
4,ciglit,lacosamide,False,False,False,,-1
5,triflu,lacosamide,False,False,False,,-1
6,lasaloc,lacosamide,False,False,False,,-1
7,congeal,lacosamide,False,False,False,,-1
8,cuspate,lacosamide,False,False,False,,-1
9,decussate,lacosamide,False,False,False,,-1
10,dicotyledon,lacosamide,False,False,False,,-1
11,dicot,lacosamide,False,False,False,,-1
12,geminate,lacosamide,False,False,False,,-1
13,germane,lacosamide,False,False,False,,-1
14,diploid,lacosamide,False,False,False,,-1
15,disaccord,lacosamide,False,False,False,,-1
16,discord,lacosamide,False,False,False,,-1
17,disparate,lacosamide,False,False,False,,-1
18,myrmecophile,lacosamide,False,False,False,,-1
19,nestle,lacosamide,False,False,False,,-1
20,tetrad,lacosamide,False,False,False,,-1
21,tetravalent,lacosamide,False,False,False,,-1
22,trisect,lacosamide,False,False,False,,-1
23,lacoin,lacosamide,False,False,False,,-1
24,sealect,lacosamide,False,False,False,,-1
25,simpone,lacosamide,False,False,False,,-1
26,elocone,lacosamide,False,False,False,,-1
27,lacogen,lacosamide,False,False,False,,-1
28,locase,lacosamide,False,False,False,,-1
29,frank,lacosamide,False,False,False,,-1
30,lcosamide,lacosamide,False,False,True,,2
31,l-acosamide,lacosamide,False,False,True,,1
32,la-cosamide,lacosamide,False,False,True,,2
33,lacosanide,lacosamide,False,False,False,,-1
34,l-acosanide,lacosamide,False,False,False,,-1
35,ivabradine,lacosamide,ivabradine,False,False,,-1
36,keppra,lacosamide,levetiracetam,False,False,,-1
37,lacosan,lacosamide,False,False,False,,-1
38,myodurol,lacosamide,False,False,False,,-1
39,neurontin,lacosamide,gabapentin,False,False,,-1
40,seizuremed,lacosamide,False,False,False,,-1
41,tegretol,lacosamide,carbamazepine,False,False,,-1
42,topamax,lacosamide,topiramate,False,False,,-1
43,vimpat,lacosamide,lacosamide,True,True,,3
44,cosmepame,lacosamide,False,False,False,,-1
45,chemfilme,lacosamide,False,False,False,,-1
46,usmepam,lacosamide,False,False,False,,-1
47,pamidronate,lacosamide,pamidronate,False,False,,-1
48,lacosan,lacosamide,False,False,False,,-1
49,lacosanide,lacosamide,False,False,False,,-1
50,cetacaine,lacosamide,tetracaine,False,False,,-1
51,celofen,lacosamide,False,False,False,,-1
52,chloroprocaine,lacosamide,chloroprocaine,False,False,,-1
53,cinchocaine,lacosamide,cinchocaine,False,False,,-1
54,cocaine,lacosamide,cocaine,False,False,,-1
55,dihydrostreptomycin,lacosamide,False,False,False,,-1
56,hidrocaine,lacosamide,False,False,False,,-1
57,vimpay,lacosamide,False,False,True,,2
58,tocsin,lacosamide,False,False,False,,-1
59,scare,lacosamide,False,False,False,,-1
60,laco,lacosamide,False,False,False,,-1
61,anticonvulsant,lacosamide,False,False,False,,-1
62,cosamide,lacosamide,False,False,True,,2
63,cosamind,lacosamide,False,False,False,,-1
64,cosedax,lacosamide,False,False,False,,-1
65,cosen,lacosamide,False,False,False,,-1
66,coses,lacosamide,False,False,False,,-1
67,lacoamide,lacosamide,False,False,True,,2
68,infuse,lacosamide,False,False,False,,-1
69,inplant,lacosamide,False,False,False,,-1
70,insert,lacosamide,False,False,False,,-1
71,instill,lacosamide,False,False,False,,-1
