,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,serin,lorcaserin,False,False,False,,-1
1,lorcaserin_hydrochloride,lorcaserin,False,True,True,,1
2,seroquel,lorcaserin,quetiapine,False,False,,-1
3,fluoxetine,lorcaserin,fluoxetine,False,False,,-1
4,topiramate,lorcaserin,topiramate,False,False,,-1
5,varenicline,lorcaserin,varenicline,False,False,,-1
6,champix,lorcaserin,varenicline,False,False,,-1
7,nicotrol,lorcaserin,nitroglycerin,False,False,,-1
8,zyban,lorcaserin,bupropion,False,False,,-1
9,bupropion,lorcaserin,bupropion,False,False,,-1
10,bupropion_sr,lorcaserin,bupropion,False,False,,-1
11,buspar,lorcaserin,buspirone,False,False,,-1
12,vivalan,lorcaserin,False,False,False,,-1
13,onaal,lorcaserin,False,False,False,,-1
14,orexigen,lorcaserin,False,False,False,,-1
15,qsymia,lorcaserin,phentermine,False,False,,-1
16,reduxade,lorcaserin,False,False,False,,-1
17,zoftor,lorcaserin,False,False,False,,-1
18,serdonen,lorcaserin,False,False,False,,-1
19,vivalan,lorcaserin,False,False,False,,-1
20,vivus,lorcaserin,False,False,False,,-1
21,lorcaserin_hydrochloride,lorcaserin,False,True,True,,1
22,varenicline,lorcaserin,varenicline,False,False,,-1
23,bupropion,lorcaserin,bupropion,False,False,,-1
24,nicotine_replacement_therapy,lorcaserin,False,False,False,,-1
25,nrt,lorcaserin,False,False,False,,-1
26,smoking_cessation,lorcaserin,False,False,False,,-1
27,qsymbya,lorcaserin,False,False,False,,-1
28,caserin,lorcaserin,False,False,False,,-1
29,serin,lorcaserin,False,False,False,,-1
30,fenfluramine,lorcaserin,fenfluramine,False,False,,-1
31,qsymia,lorcaserin,phentermine,False,False,,-1
32,contrave,lorcaserin,naltrexone,False,False,,-1
33,saxenda,lorcaserin,liraglutide,False,False,,-1
34,phentermine,lorcaserin,phentermine,False,False,,-1
35,lomaira,lorcaserin,False,False,False,,-1
36,didrex,lorcaserin,benzphetamine,False,False,,-1
37,adipex,lorcaserin,phentermine,False,False,,-1
38,vivus,lorcaserin,False,False,False,,-1
39,qsymia,lorcaserin,phentermine,False,False,,-1
40,lusaka,lorcaserin,False,False,False,,-1
41,cesamet,lorcaserin,nabilone,False,False,,-1
42,lite,lorcaserin,False,False,False,,-1
43,fen-phen,lorcaserin,False,False,False,,-1
44,redux,lorcaserin,dexfenfluramine,False,False,,-1
45,varenicline,lorcaserin,varenicline,False,False,,-1
46,bupropion,lorcaserin,bupropion,False,False,,-1
47,vivus,lorcaserin,False,False,False,,-1
48,lofexidine,lorcaserin,lofexidine,False,False,,-1
49,phentermine/topiramate,lorcaserin,False,False,False,,-1
50,zorumelt,lorcaserin,False,False,False,,-1
51,serotain,lorcaserin,False,False,False,,-1
52,serostim,lorcaserin,somatotropin,False,False,,-1
53,obestat,lorcaserin,False,False,False,,-1
54,orexigen,lorcaserin,False,False,False,,-1
55,sibutramine,lorcaserin,sibutramine,False,False,,-1
56,zerona,lorcaserin,False,False,False,,-1
57,reductil,lorcaserin,sibutramine,False,False,,-1
58,meridia,lorcaserin,sibutramine,False,False,,-1
59,fenfluramine,lorcaserin,fenfluramine,False,False,,-1
60,phentermine,lorcaserin,phentermine,False,False,,-1
61,vivus,lorcaserin,False,False,False,,-1
