,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,madone,methadone,False,False,False,,-1
1,methadose,methadone,methadone,True,True,,1
2,methadon,methadone,methadone,True,True,,1
3,meth,methadone,methamphetamine,False,False,,-1
4,methadons,methadone,False,False,True,,1
5,metadone,methadone,methadone,True,True,,1
6,methedone,methadone,methadone,True,True,,1
7,metadol,methadone,methadone,True,True,,1
8,metopon,methadone,False,False,False,,-1
9,oramorph,methadone,morphine,False,False,,-1
10,dolophine,methadone,methadone,True,True,,2
11,liquid_methadone,methadone,False,True,True,,1
12,metadol,methadone,methadone,True,True,,1
13,metadon,methadone,methadone,True,True,,1
14,metadona,methadone,False,False,True,,1
15,metadonee,methadone,False,False,True,,1
16,metadoni,methadone,False,False,True,,1
17,metadono,methadone,False,False,False,,-1
18,metadonu,methadone,False,False,False,,-1
19,methadrine,methadone,False,False,False,,-1
20,methyxadone,methadone,False,False,False,,-1
21,methydone,methadone,False,False,True,,1
22,methadose,methadone,methadone,True,True,,1
23,methadox,methadone,False,False,False,,-1
24,heptadon,methadone,False,False,True,,2
25,isotenate,methadone,False,False,False,,-1
26,adullam,methadone,False,False,False,,-1
27,adolophine,methadone,False,False,False,,-1
28,methedone,methadone,methadone,True,True,,1
29,meth,methadone,methamphetamine,False,False,,-1
30,dope,methadone,False,False,False,,-1
31,junk,methadone,False,False,False,,-1
32,fix,methadone,False,False,False,,-1
33,methyldone,methadone,False,False,False,,-1
34,6-_methyldoxylamine,methadone,False,False,False,,-1
35,methylin,methadone,methylphenidate,False,False,,-1
36,phine,methadone,False,False,False,,-1
37,methadose,methadone,methadone,True,True,,1
38,metopon,methadone,False,False,False,,-1
39,proxyvon,methadone,False,False,False,,-1
40,physeptone,methadone,methadone,True,True,,1
41,methadine,methadone,methadone,True,True,,1
42,methadone_hydrochloride,methadone,methadone,True,True,,1
43,dolophine,methadone,methadone,True,True,,2
44,methadose,methadone,methadone,True,True,,1
45,ethyladone,methadone,False,False,False,,-1
46,methadon,methadone,methadone,True,True,,1
47,methadne,methadone,False,False,True,,1
48,methadose,methadone,methadone,True,True,,1
49,promethadine,methadone,False,False,False,,-1
50,methadose,methadone,methadone,True,True,,1
51,methadon,methadone,methadone,True,True,,1
52,meth,methadone,methamphetamine,False,False,,-1
53,8._9.,methadone,False,False,False,,-1
54,methanone,methadone,methadone,True,True,,1
55,methylin,methadone,methylphenidate,False,False,,-1
56,orphadone,methadone,False,False,False,,-1
57,seraphone,methadone,False,False,False,,-1
58,tropamfona,methadone,False,False,False,,-1
59,mehadrine,methadone,False,False,False,,-1
60,methygone,methadone,False,False,False,,-1
61,methadine,methadone,methadone,True,True,,1
62,methylon,methadone,methylphenidate,False,False,,-1
63,methyldone,methadone,False,False,False,,-1
64,methadose,methadone,methadone,True,True,,1
65,methysan,methadone,False,False,False,,-1
66,methadolis,methadone,False,False,False,,-1
67,methadol,methadone,False,False,True,,1
68,methyldopate,methadone,False,False,False,,-1
69,singly_methylated_norbornene,methadone,False,False,False,,-1
70,(racemic)_methadone,methadone,False,True,True,,1
71,methadol,methadone,False,False,True,,1
72,methyldesorphine,methadone,False,False,True,,5
73,meth_the_feeling,methadone,False,False,False,,-1
74,meth_the_rush,methadone,False,False,False,,-1
75,meth_power,methadone,False,False,False,,-1
76,meth_henry,methadone,False,False,False,,-1
77,meth_addiction,methadone,False,False,False,,-1
78,meth_problems,methadone,False,False,False,,-1
79,no_more_meth,methadone,False,False,False,,-1
80,methtone,methadone,False,False,True,,1
81,amidone,methadone,etomidate,False,True,,4
82,pamidrone,methadone,False,False,False,,-1
83,dolophine,methadone,methadone,True,True,,2
84,levomethadone,methadone,False,False,True,,1
