,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,anesthesin,methohexital,False,False,False,,-1
1,hexamethonium,methohexital,hexamethonium,False,False,,-1
2,methohexitol,methohexital,False,False,True,,5
3,hexital,methohexital,False,False,True,,3
4,methoxyhexital,methohexital,False,False,True,,1
5,hexobarbital,methohexital,hexobarbital,False,False,,-1
6,luminal,methohexital,phenobarbital,False,False,,-1
7,mebaral,methohexital,False,False,False,,-1
8,ethrane,methohexital,False,False,False,,-1
9,exital,methohexital,False,False,False,,-1
10,methobarbital,methohexital,False,False,False,,-1
11,sevoflurane,methohexital,sevoflurane,False,False,,-1
12,methohexadone,methohexital,False,False,False,,-1
13,meperidine,methohexital,pethidine,False,False,,-1
14,phentolamine,methohexital,phentolamine,False,False,,-1
15,phenytoin,methohexital,phenytoin,False,False,,-1
16,propofol,methohexital,propofol,False,False,,-1
17,thiopental,methohexital,thiopental,False,False,,-1
18,hexobarbital,methohexital,hexobarbital,False,False,,-1
19,nembutal,methohexital,pentobarbital,False,False,,-1
20,pentobarbital,methohexital,pentobarbital,False,False,,-1
21,secobarbital,methohexital,secobarbital,False,False,,-1
22,thiopental,methohexital,thiopental,False,False,,-1
23,valium,methohexital,diazepam,False,False,,-1
24,xanax,methohexital,alprazolam,False,False,,-1
25,anesthesin,methohexital,False,False,False,,-1
26,hexobarbital,methohexital,hexobarbital,False,False,,-1
27,hebbal,methohexital,False,False,False,,-1
28,hexital,methohexital,False,False,True,,3
29,hexobarbital,methohexital,hexobarbital,False,False,,-1
30,methoheptal,methohexital,False,False,False,,-1
31,methohexanal,methohexital,False,False,False,,-1
32,methohexital,methohexital,methohexital,True,True,,1
33,methohexobarbital,methohexital,False,False,True,,1
34,methohexyltetralin,methohexital,False,False,False,,-1
35,methojexital,methohexital,False,False,False,,-1
36,methoxyhexital,methohexital,False,False,True,,1
37,thiopental,methohexital,thiopental,False,False,,-1
38,thiopental_sodium,methohexital,False,False,False,,-1
39,travhexal,methohexital,False,False,False,,-1
40,ultal,methohexital,False,False,False,,-1
41,anesthesin,methohexital,False,False,False,,-1
42,meglitin,methohexital,False,False,False,,-1
43,methocarbamol,methohexital,methocarbamol,False,False,,-1
44,methohexital_sodium,methohexital,False,True,True,,2
45,hexapac,methohexital,False,False,False,,-1
46,hexadrol,methohexital,False,False,False,,-1
47,hexenol,methohexital,False,False,False,,-1
48,methobarbital,methohexital,False,False,False,,-1
49,methohexital,methohexital,methohexital,True,True,,1
50,meperidine,methohexital,pethidine,False,False,,-1
51,midazolam,methohexital,midazolam,False,False,,-1
