,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,ritalin,methylphenidate,methylphenidate,True,True,,7
1,concerta,methylphenidate,methylphenidate,True,True,,5
2,adderall,methylphenidate,amphetamine,False,False,,-1
3,dexedrine,methylphenidate,dextroamphetamine,False,False,,-1
4,vyvanse,methylphenidate,lisdexamfetamine,False,False,,-1
5,provigil,methylphenidate,modafinil,False,False,,-1
6,metadate,methylphenidate,methylphenidate,True,True,,1
7,cd,methylphenidate,pyrimethamine,False,False,,-1
8,attention_deficit_hyperactivity_disorder_medication,methylphenidate,False,False,True,,6
9,adhd_medication,methylphenidate,False,False,True, pill,5
10,mph,methylphenidate,methylphenidate,True,False,,-1
11,interested,methylphenidate,False,False,False,,-1
12,adha,methylphenidate,False,False,False,,-1
13,central_nervous_system,methylphenidate,False,False,False,,-1
14,amfetamin,methylphenidate,amphetamine,False,False,,-1
15,dextroamphetamin,methylphenidate,dextroamphetamine,False,True,,10
16,lisdexamfetamin,methylphenidate,False,False,False,,-1
17,be_sure_clean,methylphenidate,False,False,False,,-1
18,methylin,methylphenidate,methylphenidate,True,True,,1
19,ritalin_la,methylphenidate,methylphenidate,True,True,,2
20,concerta,methylphenidate,methylphenidate,True,True,,5
21,daytrana,methylphenidate,methylphenidate,True,True,,1
22,dextrostat,methylphenidate,dextroamphetamine,False,False,,-1
23,vyvanse,methylphenidate,lisdexamfetamine,False,False,,-1
24,savant,methylphenidate,False,False,False,,-1
25,serenade,methylphenidate,False,False,False,,-1
26,solace,methylphenidate,False,False,False,,-1
27,lisdexamfetamine,methylphenidate,lisdexamfetamine,False,False,,-1
28,dextroamphetamine,methylphenidate,dextroamphetamine,False,False,,-1
29,concerta,methylphenidate,methylphenidate,True,True,,5
30,methylin,methylphenidate,methylphenidate,True,True,,1
31,daytrana,methylphenidate,methylphenidate,True,True,,1
32,vyvanse,methylphenidate,lisdexamfetamine,False,False,,-1
33,ritalin,methylphenidate,methylphenidate,True,True,,7
34,daytrana,methylphenidate,methylphenidate,True,True,,1
35,focalin,methylphenidate,dexmethylphenidate,False,False,,-1
36,quillivant,methylphenidate,methylphenidate,True,True,,9
37,metadate,methylphenidate,methylphenidate,True,True,,1
38,aptensio,methylphenidate,methylphenidate,True,True,,1
39,moa-master,methylphenidate,False,False,False,,-1
40,pemoline,methylphenidate,pemoline,False,False,,-1
41,metadate,methylphenidate,methylphenidate,True,True,,1
42,concerta,methylphenidate,methylphenidate,True,True,,5
43,methylphenidate_hydrochloride,methylphenidate,methylphenidate,True,True,,1
44,ritalin,methylphenidate,methylphenidate,True,True,,7
45,aderall,methylphenidate,dextroamphetamine,False,False,,-1
46,ritalin,methylphenidate,methylphenidate,True,True,,7
47,rubifen,methylphenidate,alfentanil,False,True,,4
48,copycharm,methylphenidate,False,False,False,,-1
49,equasym,methylphenidate,methylphenidate,False,True,,5
50,xydep,methylphenidate,False,False,False,,-1
51,medikinet,methylphenidate,methylphenidate,False,True,,4
52,tranquilyn,methylphenidate,False,False,True,,1
53,dexedrine,methylphenidate,dextroamphetamine,False,False,,-1
54,vyvanse,methylphenidate,lisdexamfetamine,False,False,,-1
55,concerta,methylphenidate,methylphenidate,True,True,,5
56,adderall,methylphenidate,amphetamine,False,False,,-1
57,provigil,methylphenidate,modafinil,False,False,,-1
58,daytrana,methylphenidate,methylphenidate,True,True,,1
59,metadate,methylphenidate,methylphenidate,True,True,,1
60,methylin,methylphenidate,methylphenidate,True,True,,1
61,quillichew,methylphenidate,methylphenidate,True,True,,5
62,ritalin,methylphenidate,methylphenidate,True,True,,7
63,amphetamine,methylphenidate,amphetamine,False,False,,-1
64,ritalan,methylphenidate,False,False,True,,3
65,concerta,methylphenidate,methylphenidate,True,True,,5
66,metadate,methylphenidate,methylphenidate,True,True,,1
67,adderall,methylphenidate,amphetamine,False,False,,-1
68,dexedrine,methylphenidate,dextroamphetamine,False,False,,-1
69,vyvanse,methylphenidate,lisdexamfetamine,False,False,,-1
70,medikinet,methylphenidate,methylphenidate,False,True,,4
71,equasym,methylphenidate,methylphenidate,False,True,,5
72,daytrana,methylphenidate,methylphenidate,True,True,,1
73,pdf,methylphenidate,False,False,False,,-1
74,youthanex,methylphenidate,False,False,False,,-1
75,metadate,methylphenidate,methylphenidate,True,True,,1
76,metadate_cd,methylphenidate,methylphenidate,True,True,,3
77,metadate_er,methylphenidate,False,True,True,,1
78,methylin,methylphenidate,methylphenidate,True,True,,1
79,methylin_er,methylphenidate,False,True,True,,1
80,rubifen,methylphenidate,alfentanil,False,True,,4
81,focalin,methylphenidate,dexmethylphenidate,False,False,,-1
82,focalin_xr,methylphenidate,dexmethylphenidate,False,True, slang,4
83,attenta,methylphenidate,False,False,False,,-1
84,spanaflex,methylphenidate,False,False,False,,-1
85,concerta,methylphenidate,methylphenidate,True,True,,5
86,methypatch,methylphenidate,False,False,False,,-1
87,stimulant,methylphenidate,False,False,False,,-1
88,ritalin,methylphenidate,methylphenidate,True,True,,7
89,ritalin,methylphenidate,methylphenidate,True,True,,7
90,ritalinum,methylphenidate,False,False,False,,-1
91,stimulant,methylphenidate,False,False,False,,-1
92,daytrana,methylphenidate,methylphenidate,True,True,,1
93,concerta,methylphenidate,methylphenidate,True,True,,5
94,metadate,methylphenidate,methylphenidate,True,True,,1
95,quillivant,methylphenidate,methylphenidate,True,True,,9
96,focalin,methylphenidate,dexmethylphenidate,False,False,,-1
97,dexedrine,methylphenidate,dextroamphetamine,False,False,,-1
98,adderall,methylphenidate,amphetamine,False,False,,-1
99,medikinet,methylphenidate,methylphenidate,False,True,,4
100,dextrostat,methylphenidate,dextroamphetamine,False,False,,-1
101,adderall,methylphenidate,amphetamine,False,False,,-1
102,vyvanse,methylphenidate,lisdexamfetamine,False,False,,-1
103,concerta,methylphenidate,methylphenidate,True,True,,5
104,ritalin,methylphenidate,methylphenidate,True,True,,7
105,ritalo,methylphenidate,False,False,False,,-1
106,syntonic,methylphenidate,False,False,False,,-1
107,venidex,methylphenidate,False,False,False,,-1
108,zonteco,methylphenidate,False,False,False,,-1
109,daytrana,methylphenidate,methylphenidate,True,True,,1
110,dextrostat,methylphenidate,dextroamphetamine,False,False,,-1
111,dexedrine,methylphenidate,dextroamphetamine,False,False,,-1
112,lisdexamfetamine,methylphenidate,lisdexamfetamine,False,False,,-1
113,quillivant,methylphenidate,methylphenidate,True,True,,9
114,vyvanse,methylphenidate,lisdexamfetamine,False,False,,-1
115,ritalin,methylphenidate,methylphenidate,True,True,,7
116,medikinet,methylphenidate,methylphenidate,False,True,,4
117,equasym,methylphenidate,methylphenidate,False,True,,5
118,daytrana,methylphenidate,methylphenidate,True,True,,1
119,concerta,methylphenidate,methylphenidate,True,True,,5
120,daytrana,methylphenidate,methylphenidate,True,True,,1
121,quillivant,methylphenidate,methylphenidate,True,True,,9
122,vyvanse,methylphenidate,lisdexamfetamine,False,False,,-1
123,adderall,methylphenidate,amphetamine,False,False,,-1
124,dexedrine,methylphenidate,dextroamphetamine,False,False,,-1
125,metadate,methylphenidate,methylphenidate,True,True,,1
126,methylin,methylphenidate,methylphenidate,True,True,,1
127,adderall,methylphenidate,amphetamine,False,False,,-1
128,concerta,methylphenidate,methylphenidate,True,True,,5
129,ritalin,methylphenidate,methylphenidate,True,True,,7
130,concerta,methylphenidate,methylphenidate,True,True,,5
131,adderall,methylphenidate,amphetamine,False,False,,-1
132,phendimetrazine,methylphenidate,phendimetrazine,False,False,,-1
133,adipex-p,methylphenidate,False,False,False,,-1
134,fastin,methylphenidate,phentermine,False,False,,-1
135,ionamin,methylphenidate,False,False,False,,-1
136,tenuate,methylphenidate,diethylpropion,False,False,,-1
137,bontril,methylphenidate,phendimetrazine,False,False,,-1
138,phentermine,methylphenidate,phentermine,False,False,,-1
139,daytrana,methylphenidate,methylphenidate,True,True,,1
140,equasym,methylphenidate,methylphenidate,False,True,,5
141,metricson,methylphenidate,False,False,False,,-1
142,metadate,methylphenidate,methylphenidate,True,True,,1
143,modiodal,methylphenidate,modafinil,False,False,,-1
144,osmotic_release,methylphenidate,False,False,True,,4
145,ritalin,methylphenidate,methylphenidate,True,True,,7
146,strattera,methylphenidate,atomoxetine,False,False,,-1
147,zoloft,methylphenidate,sertraline,False,False,,-1
148,concerta,methylphenidate,methylphenidate,True,True,,5
149,daytrana,methylphenidate,methylphenidate,True,True,,1
150,adderall,methylphenidate,amphetamine,False,False,,-1
151,vyvanse,methylphenidate,lisdexamfetamine,False,False,,-1
152,lisdexamfetamine,methylphenidate,lisdexamfetamine,False,False,,-1
153,dexmethylphenidate,methylphenidate,dexmethylphenidate,False,True,,7
154,dextroamphetamine,methylphenidate,dextroamphetamine,False,False,,-1
155,fenetyllin,methylphenidate,False,False,False,,-1
156,metadate,methylphenidate,methylphenidate,True,True,,1
157,methylin,methylphenidate,methylphenidate,True,True,,1
158,otiaph_here,methylphenidate,False,False,False,,-1
159,concerta,methylphenidate,methylphenidate,True,True,,5
160,daytrana,methylphenidate,methylphenidate,True,True,,1
161,focalin,methylphenidate,dexmethylphenidate,False,False,,-1
162,metadate,methylphenidate,methylphenidate,True,True,,1
163,methylin,methylphenidate,methylphenidate,True,True,,1
164,quillivant,methylphenidate,methylphenidate,True,True,,9
165,ritalin,methylphenidate,methylphenidate,True,True,,7
166,mph,methylphenidate,methylphenidate,True,False,,-1
167,concerta,methylphenidate,methylphenidate,True,True,,5
168,adderall,methylphenidate,amphetamine,False,False,,-1
169,stimulant,methylphenidate,False,False,False,,-1
170,ethylin,methylphenidate,False,False,False,,-1
171,mph,methylphenidate,methylphenidate,True,False,,-1
172,addys,methylphenidate,False,False,False,,-1
173,adds,methylphenidate,False,False,False,,-1
174,methylphenidates,methylphenidate,methylphenidate,True,True,,1
175,pemoline,methylphenidate,pemoline,False,False,,-1
176,central_nervous_system_(cns)_stimulant,methylphenidate,False,False,True, pill,6
177,methaphenidate,methylphenidate,False,False,True,,1
178,metadate,methylphenidate,methylphenidate,True,True,,1
179,adderall,methylphenidate,amphetamine,False,False,,-1
180,dexedrine,methylphenidate,dextroamphetamine,False,False,,-1
181,amphetamine,methylphenidate,amphetamine,False,False,,-1
182,concor,methylphenidate,bisoprolol,False,False,,-1
183,daytrana,methylphenidate,methylphenidate,True,True,,1
184,despoten,methylphenidate,False,False,False,,-1
185,edulen,methylphenidate,False,False,False,,-1
186,phenidylate,methylphenidate,False,False,False,,-1
187,raneurone,methylphenidate,False,False,False,,-1
188,utility,methylphenidate,False,False,False,,-1
189,ridilin,methylphenidate,methylphenidate,True,True,,3
190,ridalin,methylphenidate,methylphenidate,True,True,,3
191,adderrall,methylphenidate,dextroamphetamine,False,False,,-1
192,focalin,methylphenidate,dexmethylphenidate,False,False,,-1
193,methylphenidate_hydrochloride,methylphenidate,methylphenidate,True,True,,1
194,concerta,methylphenidate,methylphenidate,True,True,,5
195,methylin,methylphenidate,methylphenidate,True,True,,1
196,daytrana,methylphenidate,methylphenidate,True,True,,1
197,metadate,methylphenidate,methylphenidate,True,True,,1
198,ritalin,methylphenidate,methylphenidate,True,True,,7
199,aderall,methylphenidate,dextroamphetamine,False,False,,-1
200,methylnert,methylphenidate,False,False,False,,-1
201,methylphen,methylphenidate,False,False,True,,2
202,methylphenylate,methylphenidate,False,False,True,,1
