,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,nooby,methyprylon,False,False,False,,-1
1,pleb,methyprylon,False,False,False,,-1
2,scum,methyprylon,False,False,False,,-1
3,scumbag,methyprylon,False,False,False,,-1
4,slime,methyprylon,False,False,False,,-1
5,trash,methyprylon,False,False,False,,-1
6,lowlife,methyprylon,False,False,False,,-1
7,occipital,methyprylon,False,False,False,,-1
8,parenchymal,methyprylon,False,False,False,,-1
9,precordial,methyprylon,False,False,False,,-1
10,rhabdoid,methyprylon,False,False,False,,-1
11,schwannoma,methyprylon,False,False,False,,-1
12,stromal,methyprylon,False,False,False,,-1
13,dermal,methyprylon,False,False,False,,-1
14,napular,methyprylon,False,False,False,,-1
15,nebulular,methyprylon,False,False,False,,-1
16,numidar,methyprylon,False,False,False,,-1
17,nummular,methyprylon,False,False,False,,-1
18,prylon,methyprylon,False,False,False,,-1
19,halopelvic,methyprylon,False,False,False,,-1
20,bursar,methyprylon,False,False,False,,-1
21,fidar,methyprylon,False,False,False,,-1
22,quasar,methyprylon,False,False,False,,-1
23,nimor,methyprylon,False,False,False,,-1
24,nidularia,methyprylon,False,False,False,,-1
25,nidus,methyprylon,False,False,False,,-1
26,nimoris,methyprylon,False,False,False,,-1
27,nisus,methyprylon,False,False,False,,-1
28,nitid,methyprylon,False,False,False,,-1
29,niveus,methyprylon,False,False,False,,-1
30,emberal,methyprylon,False,False,False,,-1
31,scintillar,methyprylon,False,False,False,,-1
32,glimmer,methyprylon,False,False,False,,-1
33,larval,methyprylon,False,False,False,,-1
34,metapyrone,methyprylon,False,False,False,,-1
35,nebulon,methyprylon,False,False,False,,-1
36,nebulized,methyprylon,False,False,False,,-1
37,nebulous,methyprylon,False,False,False,,-1
38,nectarous,methyprylon,False,False,False,,-1
39,niffy,methyprylon,False,False,False,,-1
40,nippy,methyprylon,False,False,False,,-1
41,nitid,methyprylon,False,False,False,,-1
42,nitty,methyprylon,False,False,False,,-1
43,nocturnal,methyprylon,False,False,False,,-1
44,numinous,methyprylon,False,False,False,,-1
45,nutty,methyprylon,False,False,False,,-1
46,oleaginous,methyprylon,False,False,False,,-1
47,opalescent,methyprylon,False,False,False,,-1
48,opaline,methyprylon,False,False,False,,-1
49,orbed,methyprylon,False,False,False,,-1
50,paludal,methyprylon,False,False,False,,-1
51,pearly,methyprylon,False,False,False,,-1
52,pebbly,methyprylon,False,False,False,,-1
53,piceous,methyprylon,False,False,False,,-1
54,pixilated,methyprylon,False,False,False,,-1
55,placeable,methyprylon,False,False,False,,-1
56,placid,methyprylon,False,False,False,,-1
57,plasmic,methyprylon,False,False,False,,-1
58,plumular,methyprylon,False,False,False,,-1
59,pocky,methyprylon,False,False,False,,-1
60,poriferous,methyprylon,False,False,False,,-1
61,porose,methyprylon,False,False,False,,-1
62,psearch,methyprylon,False,False,False,,-1
63,pyrular,methyprylon,False,False,False,,-1
64,ulular,methyprylon,False,False,False,,-1
65,werd,methyprylon,False,False,False,,-1
66,psychon,methyprylon,False,False,False,,-1
67,trippy,methyprylon,False,False,False,,-1
68,dissociative,methyprylon,False,False,False,,-1
69,dolophine,methyprylon,methadone,False,False,,-1
70,divinil,methyprylon,False,False,False,,-1
71,duraphate,methyprylon,False,False,False,,-1
72,elanton,methyprylon,False,False,False,,-1
73,hexapropymate,methyprylon,False,False,False,,-1
74,isomethadone,methyprylon,False,False,False,,-1
75,levomethadyl,methyprylon,False,False,False,,-1
76,lysergic_acid,methyprylon,lysergic_acid_diethylamide,False,False,,-1
77,methadyl_acetate,methyprylon,False,False,False,,-1
78,methadone,methyprylon,methadone,False,False,,-1
79,methaqualone,methyprylon,methaqualone,False,False,,-1
80,methoprylon,methyprylon,False,False,False,,-1
