,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,somnus,midazolam,False,False,False,,-1
1,tenebra,midazolam,False,False,False,,-1
2,midzu,midazolam,False,False,False,,-1
3,midza,midazolam,False,False,False,,-1
4,midzos,midazolam,False,False,False,,-1
5,midolyte,midazolam,False,False,False,,-1
6,methylazepam,midazolam,False,False,False,,-1
7,neolozepam,midazolam,False,False,False,,-1
8,oxazepam,midazolam,oxazepam,False,False,,-1
9,jectable,midazolam,False,False,False,,-1
10,injectable,midazolam,False,False,False,,-1
11,diazapam,midazolam,diazepam,False,False,,-1
12,imidazole,midazolam,imidazole,False,False,,-1
13,midazoxane,midazolam,False,False,False,,-1
14,midazolane,midazolam,False,False,False,,-1
15,midatzon,midazolam,False,False,False,,-1
16,midaflo,midazolam,False,False,False,,-1
17,midozalam,midazolam,midazolam,True,True,,1
18,midazalam,midazolam,midazolam,True,True,,1
19,daemones,midazolam,False,False,False,,-1
20,larvatus,midazolam,False,False,False,,-1
21,tenebrae,midazolam,False,False,False,,-1
22,hazan,midazolam,False,False,False,,-1
23,diazepam,midazolam,diazepam,False,False,,-1
24,idazil,midazolam,False,False,False,,-1
25,inamid,midazolam,False,False,False,,-1
26,sedatif,midazolam,False,False,False,,-1
27,sakinleştirici,midazolam,False,False,False,,-1
28,anksiyolitik,midazolam,False,False,False,,-1
29,hypnovel,midazolam,False,False,True,,1
30,dormicum,midazolam,midazolam,True,True,,1
31,zepose,midazolam,False,False,False,,-1
32,dormonid,midazolam,False,False,True,,1
33,hypnovel,midazolam,False,False,True,,1
34,propofol,midazolam,propofol,False,False,,-1
35,midazolamum,midazolam,False,False,True,,1
36,midaz_,midazolam,False,False,True, pill,1
37,hypnovel,midazolam,False,False,True,,1
38,zuclopenthixol,midazolam,zuclopenthixol,False,False,,-1
39,ketamine,midazolam,ketamine,False,False,,-1
40,hypnovel,midazolam,False,False,True,,1
41,tranxene_sd,midazolam,False,False,False,,-1
42,trephine,midazolam,False,False,False,,-1
43,dolen,midazolam,False,False,False,,-1
44,trypan,midazolam,False,False,False,,-1
45,axone,midazolam,False,False,False,,-1
46,sevum,midazolam,False,False,False,,-1
47,quiessence,midazolam,False,False,False,,-1
48,flumen,midazolam,False,False,False,,-1
49,gilobe,midazolam,False,False,False,,-1
50,huve,midazolam,False,False,False,,-1
51,itaku,midazolam,False,False,False,,-1
52,kovid,midazolam,False,False,False,,-1
53,leur,midazolam,False,False,False,,-1
54,marzine,midazolam,False,False,False,,-1
55,dormicum,midazolam,midazolam,True,True,,1
56,rohypnol,midazolam,flunitrazepam,False,False,,-1
57,terribilis,midazolam,False,False,False,,-1
58,metuens,midazolam,False,False,False,,-1
59,meperidine,midazolam,pethidine,False,True,,6
60,midazepam,midazolam,False,False,True,,1
61,medazepam,midazolam,temazepam,False,True,,5
62,calmative,midazolam,False,False,False,,-1
63,diazepam,midazolam,diazepam,False,False,,-1
64,midazepam,midazolam,False,False,True,,1
65,morpheus,midazolam,False,False,False,,-1
66,scintilla,midazolam,False,False,False,,-1
67,twilight,midazolam,False,False,False,,-1
68,veil,midazolam,False,False,False,,-1
69,slumber,midazolam,False,False,False,,-1
70,stupor,midazolam,False,False,False,,-1
71,unconsciousness,midazolam,False,False,False,,-1
72,azolam,midazolam,acetazolamide,False,False,,-1
73,midazo,midazolam,False,False,True,,1
74,midaz,midazolam,False,False,True,,1
75,wandel,midazolam,False,False,False,,-1
76,wirkung,midazolam,False,False,False,,-1
77,arg,midazolam,False,False,False,,-1
78,kafester,midazolam,False,False,False,,-1
79,midazolam,midazolam,midazolam,True,True,,3
80,miazolam,midazolam,False,False,True,,1
81,mizolam,midazolam,False,False,True,,1
