,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,kain,morphine,False,False,False,,-1
1,kyan,morphine,False,False,False,,-1
2,morphium,morphine,morphine,True,True, pill,1
3,morsin,morphine,False,False,False,,-1
4,morphinum,morphine,False,False,True,,2
5,morphinon,morphine,False,False,True,,2
6,morphium,morphine,morphine,True,True, pill,1
7,opiate,morphine,False,False,False,,-1
8,paregoric,morphine,morphine,False,False,,-1
9,scarium,morphine,False,False,False,,-1
10,sedative,morphine,False,False,False,,-1
11,stuporific,morphine,False,False,False,,-1
12,oramorph,morphine,morphine,True,True,,3
13,roxanol,morphine,morphine,True,True,,3
14,dilaudid,morphine,hydromorphone,False,False,,-1
15,fentanyl,morphine,fentanyl,False,False,,-1
16,sufentanyl,morphine,sufentanil,False,True,,4
17,alfentanil,morphine,alfentanil,False,True,,6
18,carfentanil,morphine,carfentanil,False,False,,-1
19,mscontin,morphine,morphine,True,True,,1
20,roxanol,morphine,morphine,True,True,,3
21,kadian,morphine,morphine,True,True,,4
22,avinza,morphine,morphine,True,True,,1
23,oramorph,morphine,morphine,True,True,,3
24,embeda,morphine,morphine,True,True,,3
25,reliable,morphine,False,False,False,,-1
26,morphium,morphine,morphine,True,True, pill,1
27,ms_contin,morphine,morphine,False,True,,1
28,roxicodone,morphine,oxycodone,False,False,,-1
29,percocet,morphine,oxycodone,False,False,,-1
30,oxycontin,morphine,oxycodone,False,False,,-1
31,dilaudid,morphine,hydromorphone,False,False,,-1
32,fentanyl,morphine,fentanyl,False,False,,-1
33,morphium,morphine,morphine,True,True, pill,1
34,murphy,morphine,False,False,False,,-1
35,codeine,morphine,codeine,False,True,,6
36,laudanum,morphine,morphine,False,True, drug,1
37,paregoric,morphine,morphine,False,False,,-1
38,poppy_seed,morphine,poppy_seed,False,True, drug,7
39,morphites,morphine,False,False,True, drug,6
40,morphates,morphine,False,False,True,,8
41,morphias,morphine,False,False,True,,6
42,morphins,morphine,False,False,True, pill,1
43,morphina,morphine,False,False,True,,9
44,morphium,morphine,morphine,True,True, pill,1
45,morphium,morphine,morphine,True,True, pill,1
46,m-eslon,morphine,False,False,True,,1
47,astramorph,morphine,False,False,True,,2
48,duramorph,morphine,morphine,True,True,,1
49,roxanol,morphine,morphine,True,True,,3
50,msir,morphine,morphine,True,True,,2
51,skj,morphine,False,False,False,,-1
52,spazmol,morphine,False,False,False,,-1
53,morfin,morphine,False,False,True, pill,1
54,stupefaciens,morphine,False,False,False,,-1
55,lenitica,morphine,False,False,False,,-1
56,narcotine,morphine,nicotine,False,True, pill,1
57,m-eslon,morphine,False,False,True,,1
58,roxanol,morphine,morphine,True,True,,3
59,kadian,morphine,morphine,True,True,,4
60,morphing,morphine,False,False,True, pill,6
61,ms_contin,morphine,morphine,False,True,,1
62,orion,morphine,False,False,False,,-1
63,roxanol,morphine,morphine,True,True,,3
64,rymadyl,morphine,False,False,False,,-1
65,speedball,morphine,False,False,True, drug,1
66,tar,morphine,False,False,False,,-1
67,tainted_heroin,morphine,False,False,False,,-1
68,train,morphine,False,False,False,,-1
69,avinza,morphine,morphine,True,True,,1
70,oxymorphone,morphine,oxymorphone,False,True,,4
71,fentanyl,morphine,fentanyl,False,False,,-1
72,hydromorphone,morphine,hydromorphone,False,True,,9
73,buprenorphine,morphine,buprenorphine,False,False,,-1
74,oxymorphone,morphine,oxymorphone,False,True,,4
75,hydromorphone,morphine,hydromorphone,False,True,,9
76,dillaudid,morphine,hydromorphone,False,True, drug,5
77,percodan,morphine,oxycodone,False,False,,-1
78,tylenol_with_codeine,morphine,codeine,False,False,,-1
79,empirin_with_codeine,morphine,False,False,True, slang,8
80,morphin,morphine,morphine,True,True, pill,1
81,morphine_sulfate,morphine,morphine,True,True,,2
82,oxymorphone,morphine,oxymorphone,False,True,,4
83,lortab,morphine,hydrocodone,False,True,,9
84,msir,morphine,morphine,True,True,,2
85,oxynorm,morphine,False,False,False,,-1
86,avinza,morphine,morphine,True,True,,1
87,roxicodone,morphine,oxycodone,False,False,,-1
88,percocet,morphine,oxycodone,False,False,,-1
89,roxanol,morphine,morphine,True,True,,3
90,avinza,morphine,morphine,True,True,,1
91,dolophine,morphine,methadone,False,True,,5
92,msir,morphine,morphine,True,True,,2
93,orlaam,morphine,levomethadyl_acetate,False,False,,-1
94,roxicodone,morphine,oxycodone,False,False,,-1
95,codeine,morphine,codeine,False,True,,6
96,arness,morphine,False,False,False,,-1
97,dromoran,morphine,False,False,True,,2
98,roxanol,morphine,morphine,True,True,,3
99,m-eslon,morphine,False,False,True,,1
100,meperidine,morphine,pethidine,False,True,,1
101,ms_contin,morphine,morphine,False,True,,1
102,kadian,morphine,morphine,True,True,,4
103,msopu,morphine,False,False,False,,-1
104,msppu,morphine,False,False,False,,-1
105,morphinic,morphine,False,False,True,,3
106,morphinism,morphine,False,False,True,,3
107,morphinist,morphine,False,False,True, pill,1
108,morphine_addiction,morphine,False,True,True,,1
109,morphine_user,morphine,False,True,True,,1
110,morphites,morphine,False,False,True, drug,6
111,morphias,morphine,False,False,True,,6
112,morphium,morphine,morphine,True,True, pill,1
113,murphin,morphine,False,False,True, pill,1
114,morphinum,morphine,False,False,True,,2
115,morphine_sulfate,morphine,morphine,True,True,,2
116,morphiceptin,morphine,False,False,True, pill,2
117,nalbuphine,morphine,nalbuphine,False,False,,-1
118,oripavine,morphine,False,False,True,,8
119,pentazocine,morphine,pentazocine,False,False,,-1
120,phenazocine,morphine,False,False,False,,-1
121,sufentanil,morphine,sufentanil,False,False,,-1
122,orphacol,morphine,False,False,False,,-1
123,palladone,morphine,hydromorphone,False,True,,6
124,roxanol,morphine,morphine,True,True,,3
125,kadian,morphine,morphine,True,True,,4
126,duramorph,morphine,morphine,True,True,,1
127,msir,morphine,morphine,True,True,,2
128,infumorph,morphine,False,False,True,,2
129,oramorph,morphine,morphine,True,True,,3
130,roxanol,morphine,morphine,True,True,,3
131,morpholine,morphine,morphine,True,True, pill,8
132,morphinum,morphine,False,False,True,,2
133,duragesic,morphine,fentanyl,False,False,,-1
134,roxanol,morphine,morphine,True,True,,3
135,oxycontin,morphine,oxycodone,False,False,,-1
136,dilaudid,morphine,hydromorphone,False,False,,-1
137,stadol,morphine,butorphanol,False,False,,-1
138,demerol,morphine,pethidine,False,False,,-1
139,fentanyl,morphine,fentanyl,False,False,,-1
140,morphinum,morphine,False,False,True,,2
141,duramorph,morphine,morphine,True,True,,1
142,roxanol,morphine,morphine,True,True,,3
143,roxanol,morphine,morphine,True,True,,3
144,tarstar,morphine,False,False,False,,-1
145,dolophine,morphine,methadone,False,True,,5
146,avinza,morphine,morphine,True,True,,1
147,kadian,morphine,morphine,True,True,,4
148,ms_contin,morphine,morphine,False,True,,1
149,oxycontin,morphine,oxycodone,False,False,,-1
150,morphium,morphine,morphine,True,True, pill,1
151,morsyph,morphine,False,False,False,,-1
152,murphine,morphine,False,False,True, pill,1
153,morphine_sulfate,morphine,morphine,True,True,,2
154,msir,morphine,morphine,True,True,,2
155,mysoline,morphine,primidone,False,False,,-1
156,nalorphine,morphine,nalorphine,False,True,,5
157,normorphine,morphine,normethadone,False,True,,5
158,paramorphine,morphine,False,False,True, pill,10
159,mysoline,morphine,primidone,False,False,,-1
160,phenergan,morphine,promethazine,False,False,,-1
161,sanorex,morphine,False,False,False,,-1
162,zomorph,morphine,morphine,True,True,,1
163,morphing,morphine,False,False,True, pill,6
164,morpht,morphine,False,False,True, drug,2
165,morphinon,morphine,False,False,True,,2
166,morphites,morphine,False,False,True, drug,6
167,morphate,morphine,False,False,True, pill,1
168,murphies,morphine,False,False,False,,-1
169,morphinum,morphine,False,False,True,,2
170,orphine,morphine,morphine,True,True,,4
171,oxymorphone,morphine,oxymorphone,False,True,,4
172,permee,morphine,False,False,False,,-1
173,palfium,morphine,dextromoramide,False,True,,2
174,phroberts,morphine,False,False,False,,-1
175,rescudose,morphine,False,False,True,,3
176,duramorph,morphine,morphine,True,True,,1
177,oramorph,morphine,morphine,True,True,,3
178,rophynol,morphine,flunitrazepam,False,False,,-1
179,dromoran,morphine,False,False,True,,2
180,sevredol,morphine,False,False,True,,1
181,m-eslon,morphine,False,False,True,,1
182,m-feminol,morphine,False,False,False,,-1
183,morfipel,morphine,False,False,False,,-1
184,rophynol,morphine,flunitrazepam,False,False,,-1
185,m-contin,morphine,False,False,True,,1
186,roxanol,morphine,morphine,True,True,,3
187,kadian,morphine,morphine,True,True,,4
188,ms_contin,morphine,morphine,False,True,,1
189,oramorph,morphine,morphine,True,True,,3
190,3sa,morphine,False,False,False,,-1
191,soma,morphine,carisoprodol,False,False,,-1
192,6sh,morphine,False,False,False,,-1
193,telephone,morphine,False,False,False,,-1
194,marfus,morphine,False,False,False,,-1
195,6hi,morphine,False,False,False,,-1
196,morph,morphine,False,False,True,,1
197,myrrh,morphine,myrrh,False,False,,-1
198,opium,morphine,opium,False,False,,-1
199,skon,morphine,False,False,False,,-1
200,sleipnir,morphine,False,False,False,,-1
201,thiophene,morphine,False,False,False,,-1
202,tigon,morphine,False,False,False,,-1
203,wyvern,morphine,False,False,False,,-1
204,msir,morphine,morphine,True,True,,2
205,zomorph,morphine,morphine,True,True,,1
206,rmsir,morphine,False,False,False,,-1
207,lortab,morphine,hydrocodone,False,True,,9
208,msdsir,morphine,False,False,False,,-1
209,oxycontin,morphine,oxycodone,False,False,,-1
210,percocet,morphine,oxycodone,False,False,,-1
211,ricoider,morphine,False,False,False,,-1
212,gnidaol,morphine,False,False,False,,-1
213,msirp,morphine,False,False,False,,-1
214,orphin,morphine,morphine,True,False,,-1
215,morhpine,morphine,morphine,True,True,,1
216,morphinum,morphine,False,False,True,,2
217,oxydose,morphine,False,False,True, pill,6
218,roxanol,morphine,morphine,True,True,,3
219,ryzolt,morphine,False,False,False,,-1
220,astramorph,morphine,False,False,True,,2
221,duramorph,morphine,morphine,True,True,,1
222,infumorph,morphine,False,False,True,,2
223,kapomorph,morphine,False,False,False,,-1
224,orphine,morphine,morphine,True,True,,4
225,rms,morphine,False,False,True, drug,9
226,roxanol,morphine,morphine,True,True,,3
227,turomorph,morphine,False,False,False,,-1
228,murhpine,morphine,False,False,False,,-1
229,morphin,morphine,morphine,True,True, pill,1
230,morphina,morphine,False,False,True,,9
231,morphinum,morphine,False,False,True,,2
232,morphin,morphine,morphine,True,True, pill,1
233,morphiene,morphine,morphine,True,True,,2
234,morphione,morphine,False,False,True,,3
235,morphium,morphine,morphine,True,True, pill,1
