,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,nunasep,nitrazepam,False,False,False,,-1
1,niravam,nitrazepam,alprazolam,False,False,,-1
2,zepam,nitrazepam,False,False,True,,3
3,laidop,nitrazepam,False,False,False,,-1
4,medazepam,nitrazepam,temazepam,False,False,,-1
5,diazepam,nitrazepam,diazepam,False,False,,-1
6,lorazepam,nitrazepam,lorazepam,False,False,,-1
7,alprazolam,nitrazepam,alprazolam,False,False,,-1
8,clonazepam,nitrazepam,clonazepam,False,False,,-1
9,flurazepam,nitrazepam,flurazepam,False,False,,-1
10,oxazepam,nitrazepam,oxazepam,False,False,,-1
11,zolpidem,nitrazepam,zolpidem,False,False,,-1
12,nizam,nitrazepam,False,False,False,,-1
13,nite_waves,nitrazepam,False,False,False,,-1
14,indiviual,nitrazepam,False,False,False,,-1
15,human_being,nitrazepam,False,False,False,,-1
16,creature,nitrazepam,False,False,False,,-1
17,life_form,nitrazepam,False,False,False,,-1
18,animate_being,nitrazepam,False,False,False,,-1
19,living_thing,nitrazepam,False,False,False,,-1
20,organic_entity,nitrazepam,False,False,False,,-1
21,ativan,nitrazepam,lorazepam,False,False,,-1
22,bromazepan,nitrazepam,bromazepam,False,False,,-1
23,cinolazepam,nitrazepam,cinolazepam,False,False,,-1
24,clonazepam,nitrazepam,clonazepam,False,False,,-1
25,diazepam,nitrazepam,diazepam,False,False,,-1
26,flunitrazepam,nitrazepam,flunitrazepam,False,False,,-1
27,lorazepam,nitrazepam,lorazepam,False,False,,-1
28,midazolam,nitrazepam,midazolam,False,False,,-1
29,nitrazepam,nitrazepam,nitrazepam,True,True,,1
30,nordazepam,nitrazepam,nordazepam,False,True,,8
31,oxazepam,nitrazepam,oxazepam,False,False,,-1
32,phenazepam,nitrazepam,False,False,False,,-1
33,prazepam,nitrazepam,prazepam,False,False,,-1
34,quazepam,nitrazepam,quazepam,False,False,,-1
35,temazepam,nitrazepam,temazepam,False,False,,-1
36,triazolam,nitrazepam,triazolam,False,False,,-1
37,zolpidem,nitrazepam,zolpidem,False,False,,-1
38,meo,nitrazepam,False,False,False,,-1
39,mysoline,nitrazepam,primidone,False,False,,-1
40,querias,nitrazepam,False,False,False,,-1
41,sanmina,nitrazepam,False,False,False,,-1
42,selcon,nitrazepam,mometasone,False,False,,-1
43,tienam,nitrazepam,False,False,False,,-1
44,tiometol,nitrazepam,False,False,False,,-1
45,asemi,nitrazepam,False,False,False,,-1
46,bome,nitrazepam,False,False,False,,-1
47,chin,nitrazepam,False,False,False,,-1
48,clare,nitrazepam,False,False,False,,-1
49,clonazepam,nitrazepam,clonazepam,False,False,,-1
50,dalmadorm,nitrazepam,False,False,False,,-1
51,damilan,nitrazepam,False,False,False,,-1
52,28,nitrazepam,False,False,False,,-1
53,elan,nitrazepam,False,False,False,,-1
54,endazolam,nitrazepam,False,False,False,,-1
55,ethinamate,nitrazepam,False,False,False,,-1
56,euclid,nitrazepam,False,False,False,,-1
57,eupromed,nitrazepam,False,False,False,,-1
58,eusa,nitrazepam,False,False,False,,-1
59,evadorm,nitrazepam,False,False,False,,-1
60,flumazepil,nitrazepam,flumazenil,False,False,,-1
61,halfan,nitrazepam,False,False,False,,-1
62,hypnogen,nitrazepam,zolpidem,False,False,,-1
63,imidon,nitrazepam,False,False,False,,-1
64,iprozepam,nitrazepam,False,False,False,,-1
65,julodorm,nitrazepam,False,False,False,,-1
66,larpose,nitrazepam,False,False,False,,-1
67,lexotan,nitrazepam,bretylium,False,False,,-1
68,lorazepam,nitrazepam,lorazepam,False,False,,-1
69,lormetazepam,nitrazepam,lormetazepam,False,False,,-1
70,medazepam,nitrazepam,temazepam,False,False,,-1
71,midazolam,nitrazepam,midazolam,False,False,,-1
72,mofegit,nitrazepam,False,False,False,,-1
73,n-debazepam,nitrazepam,False,False,False,,-1
74,naimelan,nitrazepam,False,False,False,,-1
75,nordaz,nitrazepam,False,False,False,,-1
76,orfiril,nitrazepam,valproic_acid,False,False,,-1
77,ostazolam,nitrazepam,False,False,False,,-1
78,oxazepam,nitrazepam,oxazepam,False,False,,-1
79,pazital,nitrazepam,False,False,False,,-1
80,plazepam,nitrazepam,False,False,False,,-1
81,pragmarel,nitrazepam,False,False,False,,-1
82,quazepam,nitrazepam,quazepam,False,False,,-1
83,ravotril,nitrazepam,clonazepam,False,False,,-1
84,remestan,nitrazepam,False,False,False,,-1
85,ridazin,nitrazepam,False,False,False,,-1
86,sellarem,nitrazepam,False,False,False,,-1
87,sindan,nitrazepam,False,False,False,,-1
88,somnite,nitrazepam,False,False,True,,6
89,stilnoct,nitrazepam,zolpidem,False,False,,-1
90,triclazepam,nitrazepam,False,False,False,,-1
91,triazolam,nitrazepam,triazolam,False,False,,-1
92,tivorol,nitrazepam,False,False,False,,-1
93,umenza,nitrazepam,False,False,False,,-1
94,zepac,nitrazepam,False,False,False,,-1
95,zepsin,nitrazepam,False,False,False,,-1
96,zopac,nitrazepam,False,False,False,,-1
97,centraz,nitrazepam,False,False,False,,-1
98,diazemul,nitrazepam,False,False,False,,-1
99,dixapam,nitrazepam,False,False,False,,-1
100,hydrozepam,nitrazepam,False,False,False,,-1
101,imidazenil,nitrazepam,False,False,False,,-1
102,ip_auckland,nitrazepam,False,False,False,,-1
103,loraz,nitrazepam,chlorhexadol,False,False,,-1
104,meprobamate,nitrazepam,meprobamate,False,False,,-1
105,nitraz,nitrazepam,False,False,True,,7
106,oxazepam,nitrazepam,oxazepam,False,False,,-1
107,pax,nitrazepam,False,False,False,,-1
108,serax,nitrazepam,oxazepam,False,False,,-1
109,tazepam,nitrazepam,False,False,False,,-1
110,tranxene,nitrazepam,clorazepate,False,False,,-1
111,valium,nitrazepam,diazepam,False,False,,-1
112,xanax,nitrazepam,alprazolam,False,False,,-1
113,medicine,nitrazepam,False,False,False,,-1
114,tranquirazepam,nitrazepam,False,False,False,,-1
115,nrz,nitrazepam,False,False,False,,-1
116,n-nitro-zepam,nitrazepam,False,False,True,,1
117,nitrozepam,nitrazepam,False,False,True,,1
118,nirazepam,nitrazepam,False,False,True,,1
119,nizepam,nitrazepam,False,False,True,,10
120,nitrozepam,nitrazepam,False,False,True,,1
121,zepam,nitrazepam,False,False,True,,3
122,normison,nitrazepam,temazepam,False,False,,-1
123,tranxene,nitrazepam,clorazepate,False,False,,-1
124,ativan,nitrazepam,lorazepam,False,False,,-1
125,dormizol,nitrazepam,False,False,False,,-1
126,nitraz,nitrazepam,False,False,True,,7
127,nitrazo,nitrazepam,False,False,False,,-1
128,tranquirit,nitrazepam,False,False,False,,-1
129,remma,nitrazepam,False,False,False,,-1
130,nitrosalm,nitrazepam,False,False,False,,-1
131,slo-zep,nitrazepam,False,False,False,,-1
132,kurkem,nitrazepam,False,False,False,,-1
133,kuneg,nitrazepam,False,False,False,,-1
134,kutazepam,nitrazepam,False,False,False,,-1
135,nitro,nitrazepam,False,False,False,,-1
136,nytol,nitrazepam,False,False,False,,-1
137,somnite,nitrazepam,False,False,True,,6
138,stilnoct,nitrazepam,zolpidem,False,False,,-1
139,targeted,nitrazepam,False,False,False,,-1
140,tranquilisers,nitrazepam,False,False,False,,-1
141,zimovane,nitrazepam,zopiclone,False,False,,-1
142,ezetimibe,nitrazepam,ezetimibe,False,False,,-1
143,pentobarbital,nitrazepam,pentobarbital,False,False,,-1
144,shnit,nitrazepam,False,False,False,,-1
145,sheeg,nitrazepam,False,False,False,,-1
146,drom,nitrazepam,False,False,False,,-1
147,hreb,nitrazepam,False,False,False,,-1
148,itrazepam,nitrazepam,False,False,True,,3
