,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,flunitrazepam,nordazepam,flunitrazepam,False,False,,-1
1,nitrazepam,nordazepam,nitrazepam,False,False,,-1
2,oxazepam,nordazepam,oxazepam,False,False,,-1
3,temazepam,nordazepam,temazepam,False,False,,-1
4,lorazepam,nordazepam,lorazepam,False,False,,-1
5,alprazolam,nordazepam,alprazolam,False,False,,-1
6,diazepam,nordazepam,diazepam,False,False,,-1
7,nordaz,nordazepam,False,False,True,,1
8,sedapam,nordazepam,False,False,False,,-1
9,stresom,nordazepam,False,False,False,,-1
10,tensom,nordazepam,False,False,False,,-1
11,tranquir,nordazepam,False,False,False,,-1
12,nordazepamum,nordazepam,False,False,True,,2
13,marevan,nordazepam,warfarin,False,False,,-1
14,menaril,nordazepam,False,False,False,,-1
15,neozepam,nordazepam,False,False,False,,-1
16,nordaz,nordazepam,False,False,True,,1
17,nordazolam,nordazepam,False,False,False,,-1
18,phenazepam,nordazepam,False,False,False,,-1
19,sirdalud,nordazepam,tizanidine,False,False,,-1
20,15-nor-diazepam,nordazepam,False,False,True,,8
21,nor-diazepam,nordazepam,False,False,True,,1
22,nordazepamum,nordazepam,False,False,True,,2
23,orfiril,nordazepam,valproic_acid,False,False,,-1
24,prazepam,nordazepam,prazepam,False,False,,-1
25,serax,nordazepam,oxazepam,False,False,,-1
26,boss,nordazepam,False,False,False,,-1
27,bap,nordazepam,False,False,False,,-1
28,nord_fon-daz-ee-pam,nordazepam,False,False,False,,-1
29,nort_des-pam,nordazepam,False,False,False,,-1
30,nor-daz-eh-pam,nordazepam,False,False,False,,-1
31,nor-da-zee-pam,nordazepam,False,False,False,,-1
32,nor-dots-uh-pam,nordazepam,False,False,False,,-1
33,azepam,nordazepam,oxazepam,False,False,,-1
34,zepam,nordazepam,False,False,False,,-1
35,tavegyl,nordazepam,False,False,False,,-1
36,desmethyldiazepam,nordazepam,nordazepam,True,True,,1
37,oxazepam,nordazepam,oxazepam,False,False,,-1
38,benzodiazepam,nordazepam,False,False,False,,-1
39,alprazolam,nordazepam,alprazolam,False,False,,-1
40,chlordiazepoxide,nordazepam,chlordiazepoxide,False,False,,-1
41,flurazepam,nordazepam,flurazepam,False,False,,-1
