,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,n-ethylnormorphine,normethadone,False,False,False,,-1
1,normorphan,normethadone,False,False,False,,-1
2,norpipan,normethadone,False,False,False,,-1
3,physeptone,normethadone,methadone,False,False,,-1
4,ormetabs,normethadone,False,False,False,,-1
5,olopatadine,normethadone,olopatadine,False,False,,-1
6,methadone,normethadone,methadone,False,False,,-1
7,normospor,normethadone,False,False,False,,-1
8,normitab,normethadone,False,False,False,,-1
9,norxol,normethadone,False,False,False,,-1
10,normorphanediol,normethadone,False,False,False,,-1
11,normorphinol,normethadone,False,False,False,,-1
12,normorphine_dihydrogen_tartrate,normethadone,False,True,False,,-1
13,noroxymorphone,normethadone,False,False,False,,-1
14,norketamine,normethadone,False,False,False,,-1
15,norketan,normethadone,False,False,False,,-1
16,normethamnus,normethadone,False,False,False,,-1
17,normorphin,normethadone,False,False,False,,-1
18,normosporin,normethadone,False,False,False,,-1
19,norphine,normethadone,morphine,False,False,,-1
20,norphentan,normethadone,False,False,False,,-1
21,norphine_hydrochloride,normethadone,False,False,False,,-1
22,norpseudoephedrine,normethadone,cathine,False,False,,-1
23,synthetan,normethadone,False,False,False,,-1
24,theophylline,normethadone,theophylline,False,False,,-1
25,normosporin,normethadone,False,False,False,,-1
26,ormethadone,normethadone,False,False,False,,-1
27,paramorphan,normethadone,False,False,False,,-1
28,phenadone,normethadone,False,False,False,,-1
29,piperidone,normethadone,paliperidone,False,False,,-1
30,oramorph,normethadone,morphine,False,False,,-1
31,pentamorphone,normethadone,False,False,False,,-1
32,levacetylmethadol,normethadone,levomethadyl_acetate,False,False,,-1
33,laam,normethadone,levomethadyl_acetate,False,False,,-1
34,cdn,normethadone,False,False,False,,-1
35,metadate,normethadone,methylphenidate,False,False,,-1
36,methyl-normethadone,normethadone,False,False,True,,5
37,norameth,normethadone,False,False,False,,-1
38,nor-co,normethadone,False,False,False,,-1
39,dextromethorphan,normethadone,dextromethorphan,False,False,,-1
40,methadone,normethadone,methadone,False,False,,-1
41,dextromoramide,normethadone,dextromoramide,False,False,,-1
42,dimorphone,normethadone,False,False,False,,-1
43,levallorphan,normethadone,False,False,False,,-1
44,lofentanyl,normethadone,lofentanil,False,False,,-1
45,meperidine,normethadone,pethidine,False,False,,-1
46,metazocine,normethadone,False,False,False,,-1
47,methadone,normethadone,methadone,False,False,,-1
48,norsynephrine,normethadone,False,False,False,,-1
49,methadone_hydrochloride,normethadone,methadone,False,False,,-1
50,withdrawal_ease,normethadone,False,False,False,,-1
51,norethisterone,normethadone,norethisterone,False,False,,-1
52,portage,normethadone,False,False,False,,-1
53,coterminous,normethadone,False,False,False,,-1
54,conterminous,normethadone,False,False,False,,-1
55,matching,normethadone,False,False,False,,-1
56,same,normethadone,False,False,False,,-1
57,corresponding,normethadone,False,False,False,,-1
58,levomepromazine,normethadone,methotrimeprazine,False,False,,-1
59,relistor,normethadone,methylnaltrexone,False,False,,-1
60,methylnaltrexone,normethadone,methylnaltrexone,False,False,,-1
61,naloxone,normethadone,naloxone,False,False,,-1
62,naltrexone,normethadone,naltrexone,False,False,,-1
63,vivitrol,normethadone,naltrexone,False,False,,-1
64,normodyne,normethadone,False,False,False,,-1
65,normophenergan,normethadone,False,False,False,,-1
66,normospor,normethadone,False,False,False,,-1
67,norphine,normethadone,morphine,False,False,,-1
68,normet,normethadone,False,False,False,,-1
69,methadone,normethadone,methadone,False,False,,-1
70,metadone,normethadone,methadone,False,False,,-1
71,syntometrine,normethadone,False,False,False,,-1
72,norsetyn,normethadone,False,False,False,,-1
73,norethynodrel,normethadone,False,False,False,,-1
74,nortepyline,normethadone,False,False,False,,-1
75,norethindrone,normethadone,norethisterone,False,False,,-1
76,norethisterone,normethadone,norethisterone,False,False,,-1
77,methadone,normethadone,methadone,False,False,,-1
78,physeptone,normethadone,methadone,False,False,,-1
79,heptadon,normethadone,False,False,False,,-1
80,seroton,normethadone,False,False,False,,-1
81,metadon,normethadone,methadone,False,False,,-1
82,methadose,normethadone,methadone,False,False,,-1
83,hauntedone,normethadone,False,False,False,,-1
84,normodyne,normethadone,False,False,False,,-1
85,octopamine,normethadone,False,False,False,,-1
86,pronormorphine,normethadone,False,False,False,,-1
87,pyridorphine,normethadone,False,False,False,,-1
88,normodyne,normethadone,False,False,False,,-1
89,norpethidine,normethadone,False,False,False,,-1
90,normolose,normethadone,False,False,False,,-1
91,normothiazide,normethadone,False,False,False,,-1
92,methadose,normethadone,methadone,False,False,,-1
93,methadone,normethadone,methadone,False,False,,-1
94,neomethadone,normethadone,False,False,False,,-1
95,phenadone,normethadone,False,False,False,,-1
96,physeptone,normethadone,methadone,False,False,,-1
97,norphine,normethadone,morphine,False,False,,-1
98,numorphan,normethadone,oxymorphone,False,False,,-1
99,nalorphine,normethadone,nalorphine,False,False,,-1
100,n-allylnorphedine,normethadone,False,False,False,,-1
101,n-allylnormorphine,normethadone,False,False,False,,-1
102,metadon,normethadone,methadone,False,False,,-1
103,amidone,normethadone,etomidate,False,False,,-1
104,heptadon,normethadone,False,False,False,,-1
105,methadone,normethadone,methadone,False,False,,-1
106,normethamide,normethadone,False,False,False,,-1
107,normethazone,normethadone,False,False,False,,-1
108,pentamone,normethadone,False,False,False,,-1
109,tramadol,normethadone,tramadol,False,False,,-1
110,normodyne,normethadone,False,False,False,,-1
111,normothadone,normethadone,False,False,False,,-1
112,norphadone,normethadone,False,False,False,,-1
113,amidone,normethadone,etomidate,False,False,,-1
114,methadone_hydrochloride,normethadone,methadone,False,False,,-1
115,normodyne,normethadone,False,False,False,,-1
116,theraclone,normethadone,False,False,False,,-1
117,normethadon,normethadone,False,False,True,,1
118,normidin,normethadone,False,False,False,,-1
119,normef,normethadone,False,False,False,,-1
120,normulen,normethadone,False,False,False,,-1
121,medico,normethadone,False,False,False,,-1
122,normorix,normethadone,False,False,False,,-1
123,normorphone,normethadone,False,False,False,,-1
124,normethadon,normethadone,False,False,True,,1
125,normet,normethadone,False,False,False,,-1
126,normorphan,normethadone,False,False,False,,-1
127,normorphine_hydrochloride,normethadone,False,True,True, pill,2
128,normorphinate,normethadone,False,False,False,,-1
129,normorphinic_acid,normethadone,False,False,False,,-1
130,normorphinol,normethadone,False,False,False,,-1
131,normethadon,normethadone,False,False,True,,1
132,norinyl,normethadone,norethisterone,False,False,,-1
133,methadose,normethadone,methadone,False,False,,-1
134,phenadone,normethadone,False,False,False,,-1
135,meperidine,normethadone,pethidine,False,False,,-1
136,fentanyl,normethadone,fentanyl,False,False,,-1
137,sufentanil,normethadone,sufentanil,False,False,,-1
138,normodyne,normethadone,False,False,False,,-1
139,normorphanediol,normethadone,False,False,False,,-1
140,oramorph,normethadone,morphine,False,False,,-1
141,paramorphan,normethadone,False,False,False,,-1
142,pentazocine,normethadone,pentazocine,False,False,,-1
143,phenadoxone,normethadone,False,False,False,,-1
144,phenomorphan,normethadone,False,False,False,,-1
145,propiram,normethadone,False,False,False,,-1
146,tilidine,normethadone,False,False,False,,-1
147,normodyne,normethadone,False,False,False,,-1
148,normosin,normethadone,False,False,False,,-1
149,normethicone,normethadone,False,False,False,,-1
150,normorphin,normethadone,False,False,False,,-1
151,normopharm,normethadone,False,False,False,,-1
152,normethamide,normethadone,False,False,False,,-1
153,acetorphan,normethadone,False,False,False,,-1
154,normet,normethadone,False,False,False,,-1
155,orph_trouble,normethadone,False,False,False,,-1
156,norketamine,normethadone,False,False,False,,-1
157,normethyltestosterone,normethadone,False,False,False,,-1
158,normethisterone,normethadone,False,False,False,,-1
159,norethindrone,normethadone,norethisterone,False,False,,-1
160,norethisterone,normethadone,norethisterone,False,False,,-1
161,haemethadone,normethadone,False,False,False,,-1
162,levomethadone,normethadone,False,False,False,,-1
163,normethadon,normethadone,False,False,True,,1
164,normitab,normethadone,False,False,False,,-1
165,methadose,normethadone,methadone,False,False,,-1
166,physeptone,normethadone,methadone,False,False,,-1
167,disp_tadone,normethadone,False,False,False,,-1
168,nalorphine,normethadone,nalorphine,False,False,,-1
169,n-methylnormorphine,normethadone,False,False,False,,-1
170,normeticotine,normethadone,False,False,False,,-1
171,normorphacetate,normethadone,False,False,False,,-1
172,norethisterone,normethadone,norethisterone,False,False,,-1
173,normodyne,normethadone,False,False,False,,-1
174,norinyl,normethadone,norethisterone,False,False,,-1
175,ethynodiol,normethadone,False,False,False,,-1
176,norgestrel,normethadone,levonorgestrel,False,False,,-1
177,levonorgestrel,normethadone,levonorgestrel,False,False,,-1
178,norketamine,normethadone,False,False,False,,-1
179,norpipanone,normethadone,False,False,False,,-1
180,norpipanone_hydrochloride,normethadone,False,False,False,,-1
181,norsynephrine,normethadone,False,False,False,,-1
182,noryebutol,normethadone,False,False,False,,-1
183,norethisterone,normethadone,norethisterone,False,False,,-1
184,normorphone,normethadone,False,False,False,,-1
185,normodyne,normethadone,False,False,False,,-1
186,normorphan,normethadone,False,False,False,,-1
187,norpipan,normethadone,False,False,False,,-1
188,panude,normethadone,False,False,False,,-1
189,theradon,normethadone,False,False,False,,-1
190,normepirone,normethadone,False,False,False,,-1
191,normotine,normethadone,False,False,False,,-1
192,coryphanedine,normethadone,False,False,False,,-1
193,coryphanetine,normethadone,False,False,False,,-1
194,coryphanol,normethadone,False,False,False,,-1
195,normodyne,normethadone,False,False,False,,-1
196,norethadone,normethadone,False,False,False,,-1
197,normulen,normethadone,False,False,False,,-1
198,norpholaco,normethadone,False,False,False,,-1
199,orpholac,normethadone,False,False,False,,-1
200,oxynorm,normethadone,False,False,False,,-1
201,livial,normethadone,False,False,False,,-1
202,modicon,normethadone,norethisterone,False,False,,-1
203,nefopam,normethadone,nefopam,False,False,,-1
204,oramorph,normethadone,morphine,False,False,,-1
205,paramorphan,normethadone,False,False,False,,-1
206,phenadoxone,normethadone,False,False,False,,-1
207,phenomorphan,normethadone,False,False,False,,-1
208,acetorphan,normethadone,False,False,False,,-1
209,normozygine,normethadone,False,False,False,,-1
210,normorphan,normethadone,False,False,False,,-1
211,norm_tesla,normethadone,False,False,False,,-1
212,betamethadone,normethadone,False,False,False,,-1
213,normodyne,normethadone,False,False,False,,-1
214,nuromax,normethadone,False,False,False,,-1
215,mynor,normethadone,False,False,False,,-1
216,normorphone,normethadone,False,False,False,,-1
217,norphan,normethadone,False,False,False,,-1
218,normine,normethadone,False,False,False,,-1
219,normethorphine,normethadone,False,False,False,,-1
220,ethadone,normethadone,False,False,False,,-1
221,methadone,normethadone,methadone,False,False,,-1
222,normethadon,normethadone,False,False,True,,1
223,normethazone,normethadone,False,False,False,,-1
224,normetadrine,normethadone,False,False,False,,-1
225,epithalone,normethadone,False,False,False,,-1
226,methadone,normethadone,methadone,False,False,,-1
227,minaphyline,normethadone,False,False,False,,-1
228,narkamfon,normethadone,False,False,False,,-1
229,odoxilene,normethadone,False,False,False,,-1
230,phyline,normethadone,False,False,False,,-1
231,normorphan,normethadone,False,False,False,,-1
232,acetorphan,normethadone,False,False,False,,-1
233,normosan,normethadone,False,False,False,,-1
234,norphadone,normethadone,False,False,False,,-1
235,oradenate,normethadone,False,False,False,,-1
236,physeptone,normethadone,methadone,False,False,,-1
237,phytexone,normethadone,False,False,False,,-1
238,pranonorm,normethadone,False,False,False,,-1
239,redome,normethadone,False,False,False,,-1
240,pro-banthine,normethadone,False,False,False,,-1
241,mylan,normethadone,False,False,False,,-1
242,normodyne,normethadone,False,False,False,,-1
243,normorphanedione,normethadone,False,False,False,,-1
244,norphine,normethadone,morphine,False,False,,-1
245,acetormin,normethadone,False,False,False,,-1
246,algedone,normethadone,False,False,False,,-1
247,anadorm,normethadone,False,False,False,,-1
248,anaferin,normethadone,False,False,False,,-1
249,normorphan,normethadone,False,False,False,,-1
250,normodyne,normethadone,False,False,False,,-1
251,norphine,normethadone,morphine,False,False,,-1
252,nadoxolol,normethadone,False,False,False,,-1
253,naldemedine,normethadone,False,False,False,,-1
254,naltrexol,normethadone,naltrexone,False,False,,-1
255,metadoxine,normethadone,False,False,False,,-1
256,acetylmethadol,normethadone,False,False,False,,-1
257,anileridine,normethadone,False,False,False,,-1
258,bemoradine,normethadone,False,False,False,,-1
259,dimenoxadol,normethadone,False,False,False,,-1
260,etybinol,normethadone,False,False,False,,-1
261,furethidine,normethadone,False,False,False,,-1
262,meperidine,normethadone,pethidine,False,False,,-1
263,meperidine_hydrochloride,normethadone,False,False,False,,-1
264,methadone,normethadone,methadone,False,False,,-1
265,methadoxine,normethadone,False,False,False,,-1
266,oxydimorphine,normethadone,False,False,False,,-1
267,pethidine,normethadone,pethidine,False,False,,-1
