,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,roxicet,oxycodone,oxycodone,True,True,,1
1,lortab,oxycodone,hydrocodone,False,True,,3
2,oxycontin,oxycodone,oxycodone,True,True,,2
3,endocet,oxycodone,oxycodone,True,True,,5
4,roxicet,oxycodone,oxycodone,True,True,,1
5,oxynorm,oxycodone,False,False,True,,1
6,oxyfentanyl,oxycodone,False,False,False,,-1
7,oxy,oxycodone,False,False,True,,1
8,oxycondone,oxycodone,oxycodone,True,True,,1
9,oxyconte,oxycodone,False,False,False,,-1
10,oxydone,oxycodone,oxycodone,True,True,,1
11,roxicodone,oxycodone,oxycodone,True,True,,3
12,oxycontin,oxycodone,oxycodone,True,True,,2
13,oxynors,oxycodone,False,False,False,,-1
14,oxydose,oxycodone,False,False,True,,1
15,percodan,oxycodone,oxycodone,True,True,,1
16,endocet,oxycodone,oxycodone,True,True,,5
17,roxicet,oxycodone,oxycodone,True,True,,1
18,acetoxycodone,oxycodone,False,False,False,,-1
19,oxycodol,oxycodone,False,False,True,,1
20,percocets,oxycodone,oxycodone,True,True,,2
21,roxicet,oxycodone,oxycodone,True,True,,1
22,oxycet,oxycodone,hydrocodone,False,True,,1
23,oxycontin,oxycodone,oxycodone,True,True,,2
24,roxicodone,oxycodone,oxycodone,True,True,,3
25,percocet,oxycodone,oxycodone,True,True,,1
26,ritalin,oxycodone,methylphenidate,False,False,,-1
27,concerta,oxycodone,methylphenidate,False,False,,-1
28,adderall,oxycodone,amphetamine,False,False,,-1
29,vyvanse,oxycodone,lisdexamfetamine,False,False,,-1
30,dexedrine,oxycodone,dextroamphetamine,False,False,,-1
31,ritalin_la,oxycodone,methylphenidate,False,False,,-1
32,biphentin,oxycodone,methylphenidate,False,False,,-1
33,oxycontin,oxycodone,oxycodone,True,True,,2
34,endocet,oxycodone,oxycodone,True,True,,5
35,oxydose,oxycodone,False,False,True,,1
36,oxyfast,oxycodone,oxycodone,False,True,,1
37,oxyir,oxycodone,oxycodone,True,True,,1
38,roxicet,oxycodone,oxycodone,True,True,,1
39,oxycodan,oxycodone,False,False,True,,1
40,vicodins,oxycodone,hydrocodone,False,False,,-1
41,endocodone,oxycodone,False,False,True,,1
42,percodan,oxycodone,oxycodone,True,True,,1
43,percocet,oxycodone,oxycodone,True,True,,1
44,tylox,oxycodone,False,False,True,,9
45,oxycontin,oxycodone,oxycodone,True,True,,2
46,roxicodone,oxycodone,oxycodone,True,True,,3
47,endocodone,oxycodone,False,False,True,,1
48,oxyir,oxycodone,oxycodone,True,True,,1
49,endocet,oxycodone,oxycodone,True,True,,5
50,roxicodone,oxycodone,oxycodone,True,True,,3
51,percocet,oxycodone,oxycodone,True,True,,1
52,roxycodone,oxycodone,oxycodone,True,True,,1
53,endocet,oxycodone,oxycodone,True,True,,5
54,oxycontin,oxycodone,oxycodone,True,True,,2
55,oxycone,oxycodone,False,False,True,,1
56,oxycet,oxycodone,hydrocodone,False,True,,1
57,oxycotton,oxycodone,oxycodone,True,True,,1
58,percocet,oxycodone,oxycodone,True,True,,1
59,endocet,oxycodone,oxycodone,True,True,,5
60,roxicodone,oxycodone,oxycodone,True,True,,3
61,oxycontin,oxycodone,oxycodone,True,True,,2
62,vicodin,oxycodone,hydrocodone,False,False,,-1
63,endocets,oxycodone,oxycodone,True,True,,6
64,endocodone,oxycodone,False,False,True,,1
65,roxicodone,oxycodone,oxycodone,True,True,,3
66,endocod,oxycodone,False,False,False,,-1
67,oxycotton,oxycodone,oxycodone,True,True,,1
68,oxycontin,oxycodone,oxycodone,True,True,,2
69,percocet,oxycodone,oxycodone,True,True,,1
