,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,o76,oxymorphone,False,False,False,,-1
1,oxycontin,oxymorphone,oxycodone,False,False,,-1
2,oxymorpheone,oxymorphone,False,False,False,,-1
3,oxymores,oxymorphone,False,False,False,,-1
4,opioids,oxymorphone,oxycodone,False,False,,-1
5,oxycodone,oxymorphone,oxycodone,False,False,,-1
6,illicit_opiate,oxymorphone,False,False,False,,-1
7,powerful_opiate,oxymorphone,False,False,False,,-1
8,potent_opiate,oxymorphone,False,False,False,,-1
9,addictive_opiate,oxymorphone,False,False,False,,-1
10,deadly_opiate,oxymorphone,False,False,False,,-1
11,opex,oxymorphone,fluocinolone_acetonide,False,False,,-1
12,opping,oxymorphone,False,False,False,,-1
13,oxy,oxymorphone,False,False,False,,-1
14,oxycontin,oxymorphone,oxycodone,False,False,,-1
15,oxys,oxymorphone,False,False,False,,-1
16,percocet,oxymorphone,oxycodone,False,False,,-1
17,roxicodone,oxymorphone,oxycodone,False,False,,-1
18,didn't_even_have_a_problem,oxymorphone,False,False,False,,-1
19,getting_off_of_pills,oxymorphone,False,False,False,,-1
20,getting_clean,oxymorphone,False,False,False,,-1
21,getting_sober,oxymorphone,False,False,False,,-1
22,in_recovery,oxymorphone,False,False,False,,-1
23,living_a_drug-free_life,oxymorphone,False,False,False,,-1
24,orange_oval_pill,oxymorphone,False,False,False,,-1
25,endocet,oxymorphone,oxycodone,False,True,,1
26,oxymorphone_hydrochloride,oxymorphone,oxymorphone,True,True,,1
27,first_opioid,oxymorphone,False,False,False,,-1
28,brand_name_for_oxycodone,oxymorphone,False,False,False,,-1
29,brand_name_for_hydromorphone,oxymorphone,False,False,False,,-1
30,numorphone,oxymorphone,False,False,True,,1
31,oxynorm,oxymorphone,False,False,False,,-1
32,oxycodone_hydrochloride,oxymorphone,oxycodone,False,True,,3
33,didn't_have_any_pills,oxymorphone,False,False,False,,-1
34,didn't_have_access_to_pills,oxymorphone,False,False,False,,-1
35,no_pills_left,oxymorphone,False,False,False,,-1
36,few_pills_left,oxymorphone,False,False,False,,-1
37,pills_were_cut_off,oxymorphone,False,False,False,,-1
38,didn't_have_pills_anymore,oxymorphone,False,False,False,,-1
39,needed_opiates,oxymorphone,False,False,False,,-1
40,gs805,oxymorphone,False,False,False,,-1
41,o-j,oxymorphone,False,False,False,,-1
42,o-verb,oxymorphone,False,False,False,,-1
43,oj,oxymorphone,False,False,False,,-1
44,oxy,oxymorphone,False,False,False,,-1
45,oxy_30,oxymorphone,False,False,False,,-1
46,oxycontin,oxymorphone,oxycodone,False,False,,-1
47,oxydose,oxymorphone,False,False,False,,-1
48,oxymoronic,oxymorphone,False,False,False,,-1
49,oxymorphone,oxymorphone,oxymorphone,True,True,,4
50,opscene,oxymorphone,False,False,False,,-1
51,oxy,oxymorphone,False,False,False,,-1
52,oxycodone,oxymorphone,oxycodone,False,False,,-1
53,oxymoron,oxymorphone,False,False,False,,-1
54,oxymorphone,oxymorphone,oxymorphone,True,True,,4
55,oxymorphene,oxymorphone,False,False,True,,1
56,numorphan,oxymorphone,oxymorphone,True,True,,1
57,synthetic_opioid,oxymorphone,False,False,False,,-1
58,narcotic_pain_reliever,oxymorphone,False,False,True,,5
59,oxycontin,oxymorphone,oxycodone,False,False,,-1
60,roxy,oxymorphone,roxithromycin,False,False,,-1
61,percocet,oxymorphone,oxycodone,False,False,,-1
62,opiates,oxymorphone,False,False,False,,-1
63,opioids,oxymorphone,oxycodone,False,False,,-1
64,percocet,oxymorphone,oxycodone,False,False,,-1
65,vicodin,oxymorphone,hydrocodone,False,False,,-1
66,roxicet,oxymorphone,oxycodone,False,False,,-1
67,oxycontin,oxymorphone,oxycodone,False,False,,-1
68,oxymorphone,oxymorphone,oxymorphone,True,True,,4
69,most_potent_painkiller,oxymorphone,False,False,False,,-1
70,strongest_industrial_narcotic,oxymorphone,False,False,False,,-1
71,opium_den,oxymorphone,False,False,False,,-1
72,paregoric,oxymorphone,morphine,False,False,,-1
73,poppy,oxymorphone,False,False,False,,-1
74,smack,oxymorphone,False,False,False,,-1
75,duramorph,oxymorphone,morphine,False,False,,-1
76,endocodone,oxymorphone,False,False,False,,-1
77,msir,oxymorphone,morphine,False,False,,-1
