,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,pemoline,pemoline,pemoline,True,True,,1
1,carnitine,pemoline,l-carnitine,False,False,,-1
2,centrophenoxine,pemoline,False,False,False,,-1
3,choline,pemoline,choline,False,False,,-1
4,citicoline,pemoline,citicoline,False,False,,-1
5,cytidine,pemoline,cytidine,False,False,,-1
6,dimethylethanolamine,pemoline,deanol,False,False,,-1
7,dimethylglycine,pemoline,"n,n-dimethylglycine",False,False,,-1
8,ethylenediaminetetraacetic_acid,pemoline,edetic_acid,False,False,,-1
9,huperzine_a,pemoline,huperzine_a,False,False,,-1
10,lecithin,pemoline,"lecithin,_soybean",False,False,,-1
11,linoleic_acid,pemoline,linoleic_acid,False,False,,-1
12,lipoic_acid,pemoline,lipoic_acid,False,False,,-1
13,meclofenoxate,pemoline,False,False,False,,-1
14,monoisoamyl_dimethylglycine,pemoline,False,False,False,,-1
15,nicotinamide,pemoline,nicotinamide,False,False,,-1
16,oxiracetam,pemoline,aniracetam,False,False,,-1
17,phos_choline,pemoline,False,False,False,,-1
18,phosphatidylcholine,pemoline,False,False,False,,-1
19,phosphatidylethanolamine,pemoline,phosphatidylethanolamine,False,False,,-1
20,phosphatidylinositol,pemoline,phosphatidylethanolamine,False,False,,-1
21,phosphatidylserine,pemoline,phosphatidyl_serine,False,False,,-1
22,piracetam,pemoline,piracetam,False,False,,-1
23,pramiracetam,pemoline,False,False,False,,-1
24,racetams,pemoline,piracetam,False,False,,-1
25,soya_lecithin,pemoline,False,False,False,,-1
26,sunflower_lecithin,pemoline,False,False,False,,-1
27,alpha_gpc,pemoline,alfacalcidol,False,False,,-1
28,pemoline_blue,pemoline,False,True,True,,9
29,pemoline_green,pemoline,False,True,True,,2
30,pemoline_orange,pemoline,False,True,True,,1
31,pemoline_purple,pemoline,False,True,True,,2
32,pemoline_red,pemoline,False,True,True,,2
33,pemoline_yellow,pemoline,False,True,True,,1
34,pemotride,pemoline,False,False,False,,-1
35,pemoline_fumarate,pemoline,False,True,True,,1
36,pemoline_acetate,pemoline,False,True,True,,2
37,pemoline_bitartrate,pemoline,False,True,True,,4
38,pemoline_maleate,pemoline,False,True,True,,1
39,pemoline_phosphate,pemoline,False,True,True,,2
40,pemoline_sulfate,pemoline,False,True,True,,4
41,pemoline_hydrochloride,pemoline,False,True,True,,1
42,pemoline_sulfate,pemoline,False,True,True,,4
43,pemoline_bitartrate,pemoline,False,True,True,,4
44,pemoline_tartrate,pemoline,False,True,True,,3
45,pemoline_phosphate,pemoline,False,True,True,,2
46,pemoline_oxide,pemoline,False,True,True,,1
47,limerence,pemoline,False,False,False,,-1
48,orangeade,pemoline,False,False,False,,-1
49,yellowfin,pemoline,False,False,False,,-1
50,pamblock,pemoline,False,False,False,,-1
51,cephalon,pemoline,False,False,False,,-1
52,centofin,pemoline,False,False,False,,-1
53,lotrel,pemoline,amlodipine,False,False,,-1
54,novopam,pemoline,False,False,False,,-1
55,orap,pemoline,pimozide,False,False,,-1
56,pen_ultum,pemoline,False,False,False,,-1
57,myolin,pemoline,False,False,False,,-1
58,norepinephrine,pemoline,norepinephrine,False,False,,-1
59,phenylethanolamine,pemoline,False,False,False,,-1
60,tolcapon,pemoline,False,False,False,,-1
61,meclofenoxate,pemoline,False,False,False,,-1
62,deanol,pemoline,deanol,False,False,,-1
63,acetylcysteine,pemoline,acetylcysteine,False,False,,-1
64,pemmican,pemoline,False,False,False,,-1
65,pemoline_fumarate,pemoline,False,True,True,,1
66,pemoline_tartrate,pemoline,False,True,True,,3
67,pemoline_sulfate,pemoline,False,True,True,,4
68,pemoline_oxide,pemoline,False,True,True,,1
69,pemoline_chloride,pemoline,False,True,True,,1
70,desoxyn,pemoline,methamphetamine,False,False,,-1
71,dinintel,pemoline,False,False,False,,-1
72,docamin,pemoline,False,False,False,,-1
73,druphenyl,pemoline,False,False,False,,-1
74,eucernin,pemoline,False,False,False,,-1
75,fencamine,pemoline,False,False,False,,-1
76,frenelin,pemoline,False,False,False,,-1
77,isoproterenol,pemoline,isoprenaline,False,False,,-1
78,lophocert,pemoline,False,False,False,,-1
79,mephertermine,pemoline,False,False,False,,-1
80,ovesterin,pemoline,False,False,False,,-1
81,oxyfedrin,pemoline,False,False,False,,-1
82,pemoline_hydrochloride,pemoline,False,True,True,,1
83,pemolinum,pemoline,False,False,True,,2
84,pemolyn,pemoline,False,False,False,,-1
85,stimulin,pemoline,False,False,False,,-1
86,tyramine,pemoline,tyramine,False,False,,-1
87,pemoline-c,pemoline,False,False,True,,1
88,bemo,pemoline,False,False,False,,-1
89,pamoline,pemoline,False,False,False,,-1
90,pamoate,pemoline,tranylcypromine,False,False,,-1
91,amphetamine,pemoline,amphetamine,False,False,,-1
92,celance,pemoline,False,False,False,,-1
93,ceron-_ames,pemoline,False,False,False,,-1
94,cetamina,pemoline,False,False,False,,-1
95,crystamine,pemoline,False,False,False,,-1
96,dinatrate,pemoline,False,False,False,,-1
97,equamine,pemoline,False,False,False,,-1
98,etafedrin,pemoline,False,False,False,,-1
99,famprofazone,pemoline,False,False,False,,-1
100,fanetizole,pemoline,False,False,False,,-1
101,fenozolone,pemoline,False,False,True,,5
102,flamamine,pemoline,False,False,False,,-1
103,gatilox,pemoline,False,False,False,,-1
104,hexamethonium,pemoline,hexamethonium,False,False,,-1
105,isoproterenol,pemoline,isoprenaline,False,False,,-1
106,levamisole,pemoline,levamisole,False,False,,-1
107,mephentermine,pemoline,mephentermine,False,False,,-1
108,mephenyloin,pemoline,False,False,False,,-1
109,methoxyphenamine,pemoline,False,False,False,,-1
110,methyldopa,pemoline,methyldopa,False,False,,-1
111,ethopropazine,pemoline,False,False,False,,-1
112,phencyclidine,pemoline,phencyclidine,False,False,,-1
113,phenmetrazine,pemoline,phenmetrazine,False,False,,-1
114,phenyldopa,pemoline,False,False,False,,-1
115,pipradrol,pemoline,pipradrol,False,False,,-1
116,practolol,pemoline,practolol,False,False,,-1
117,prazosin,pemoline,prazosin,False,False,,-1
118,procynol,pemoline,False,False,False,,-1
119,promethazine,pemoline,promethazine,False,False,,-1
120,propiomazine,pemoline,propiomazine,False,False,,-1
121,propranolol,pemoline,propranolol,False,False,,-1
122,pseudoephedrine,pemoline,pseudoephedrine,False,False,,-1
123,pyrilamine,pemoline,mepyramine,False,False,,-1
124,quinidine,pemoline,quinidine,False,False,,-1
125,reserpine,pemoline,reserpine,False,False,,-1
126,salbutamol,pemoline,salbutamol,False,False,,-1
127,selegiline,pemoline,selegiline,False,False,,-1
128,sotalol,pemoline,sotalol,False,False,,-1
129,sulfonmethane,pemoline,False,False,False,,-1
130,terbutaline,pemoline,terbutaline,False,False,,-1
131,tetrahydrozoline,pemoline,tetryzoline,False,False,,-1
132,trimeprazine,pemoline,False,False,False,,-1
133,tripelennamine,pemoline,tripelennamine,False,False,,-1
134,tyramine,pemoline,tyramine,False,False,,-1
135,xylometazoline,pemoline,xylometazoline,False,False,,-1
136,bevon,pemoline,False,False,False,,-1
137,bevine,pemoline,False,False,False,,-1
138,bevonin,pemoline,False,False,False,,-1
139,bevonol,pemoline,False,False,False,,-1
140,bevonon,pemoline,False,False,False,,-1
141,bevophene,pemoline,False,False,False,,-1
142,bevoxate,pemoline,False,False,False,,-1
143,pemoline_hydrochloride,pemoline,False,True,True,,1
144,pemoline_sodium,pemoline,False,True,True,,1
145,pemoline_magnesium,pemoline,False,True,True,,2
146,pemoline_calcium,pemoline,False,True,True,,1
147,gelusil,pemoline,False,False,False,,-1
148,pepcid,pemoline,famotidine,False,False,,-1
149,prevacid,pemoline,lansoprazole,False,False,,-1
150,prilosec,pemoline,omeprazole,False,False,,-1
151,protonix,pemoline,pantoprazole,False,False,,-1
152,zantac,pemoline,ranitidine,False,False,,-1
153,strattera,pemoline,atomoxetine,False,False,,-1
154,adderall,pemoline,amphetamine,False,False,,-1
155,norodin,pemoline,False,False,False,,-1
156,pemoline_hydrochloride,pemoline,False,True,True,,1
157,pemoline_sodium,pemoline,False,True,True,,1
158,pemoline_sulfate,pemoline,False,True,True,,4
159,tricyclohexylamine,pemoline,False,False,False,,-1
160,pemolin,pemoline,False,False,True,,1
161,pamperex,pemoline,False,False,False,,-1
162,pemolin,pemoline,False,False,True,,1
163,pemoline,pemoline,pemoline,True,True,,1
164,centamine,pemoline,False,False,False,,-1
165,pemoline_hydrochloride,pemoline,False,True,True,,1
166,lactin,pemoline,fentanyl,False,False,,-1
167,levophan,pemoline,False,False,False,,-1
168,pemoline_hydrochloride,pemoline,False,True,True,,1
169,pemoline_sulfate,pemoline,False,True,True,,4
170,pemoline_tartrate,pemoline,False,True,True,,3
171,pemoline_lactate,pemoline,False,True,True,,1
172,pemoline_magnesium_sulfate,pemoline,False,True,True,,2
173,pemetrazine,pemoline,False,False,False,,-1
174,tragacanth,pemoline,tragacanth,False,False,,-1
175,d-norpseudoephedrine,pemoline,False,False,False,,-1
176,pyrovalerone,pemoline,False,False,False,,-1
177,volline,pemoline,False,False,False,,-1
178,dopamine_agonists,pemoline,dopamine,False,False,,-1
179,dopaminergic_drugs,pemoline,False,False,False,,-1
180,dopaminergic_agents,pemoline,False,False,False,,-1
181,levodopa,pemoline,levodopa,False,False,,-1
182,l-dopa,pemoline,False,False,False,,-1
183,monoamine_oxidase_inhibitors,pemoline,False,False,False,,-1
184,maois,pemoline,tranylcypromine,False,False,,-1
185,centamin,pemoline,False,False,False,,-1
186,cetamin,pemoline,False,False,False,,-1
187,epamin,pemoline,False,False,False,,-1
188,fenamin,pemoline,False,False,False,,-1
189,mefenamin,pemoline,False,False,False,,-1
190,phernamin,pemoline,False,False,False,,-1
191,phenylpropanolamine,pemoline,phenylpropanolamine,False,False,,-1
192,pemoline_carbonate,pemoline,False,True,True,,1
193,tyzine,pemoline,False,False,False,,-1
194,pamoline,pemoline,False,False,False,,-1
195,d-amphetamine,pemoline,False,False,False,,-1
196,pem,pemoline,False,False,False,,-1
197,pemoline,pemoline,pemoline,True,True,,1
198,pemolin,pemoline,False,False,True,,1
199,pemonal,pemoline,False,False,False,,-1
200,pemonil,pemoline,False,False,False,,-1
201,pemoryl,pemoline,False,False,False,,-1
202,pemorin,pemoline,False,False,True,,9
203,pamoline,pemoline,False,False,False,,-1
204,penilin,pemoline,False,False,False,,-1
205,pemodin,pemoline,False,False,False,,-1
206,pamodin,pemoline,False,False,False,,-1
207,pamidin,pemoline,False,False,False,,-1
208,pamidol,pemoline,False,False,False,,-1
209,pamidone,pemoline,False,False,False,,-1
210,ephetonin,pemoline,False,False,False,,-1
211,floropryl,pemoline,False,False,False,,-1
212,mecloprost,pemoline,False,False,False,,-1
213,pemoline_tartrate,pemoline,False,True,True,,3
214,pemoline_sulfate,pemoline,False,True,True,,4
215,pemoline_succinate,pemoline,False,True,True,,1
216,pemoline_monohydrate,pemoline,False,True,True,,1
217,pemoline_hydrochloride,pemoline,False,True,True,,1
218,pemolinic_acid,pemoline,False,False,False,,-1
219,tranylcypromine,pemoline,tranylcypromine,False,False,,-1
220,parnate,pemoline,tranylcypromine,False,False,,-1
221,pemoline_hydrochloride,pemoline,False,True,True,,1
222,pemoline_fumarate,pemoline,False,True,True,,1
223,pemoline_bitartrate,pemoline,False,True,True,,4
224,pemoline_sulfate,pemoline,False,True,True,,4
225,pemoline_hydrochloride,pemoline,False,True,True,,1
226,pemoline_phosphate,pemoline,False,True,True,,2
227,pemoline_potassium,pemoline,False,True,True,,3
228,oranate,pemoline,False,False,False,,-1
229,pemoline_fumarate,pemoline,False,True,True,,1
230,pemoline_malate,pemoline,False,True,True,,4
231,pemoline_sulfate,pemoline,False,True,True,,4
232,pemoline_tartrate,pemoline,False,True,True,,3
233,pemoline_phosphate,pemoline,False,True,True,,2
234,pemoline_oxide,pemoline,False,True,True,,1
235,cylert,pemoline,pemoline,True,True,,3
236,normaton,pemoline,False,False,False,,-1
237,upsert,pemoline,False,False,False,,-1
238,uppersert,pemoline,False,False,False,,-1
239,wakefulness-promoting_agent,pemoline,False,False,False,,-1
240,lucetin,pemoline,False,False,False,,-1
241,minipress,pemoline,prazosin,False,False,,-1
