,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,seizure,perampanel,False,False,False,,-1
1,epilepsy,perampanel,False,False,False,,-1
2,convulsion,perampanel,False,False,False,,-1
3,anticonvulsant,perampanel,False,False,False,,-1
4,ampa,perampanel,(s)-ampa,False,False,,-1
5,peram,perampanel,False,False,False,,-1
6,pamel,perampanel,False,False,False,,-1
7,ramel,perampanel,False,False,False,,-1
8,seletica,perampanel,False,False,False,,-1
9,empacet_page,perampanel,False,False,False,,-1
10,fepanel,perampanel,False,False,False,,-1
11,fosphenytoin,perampanel,fosphenytoin,False,False,,-1
12,levetiracetam,perampanel,levetiracetam,False,False,,-1
13,oxcarbazepine,perampanel,oxcarbazepine,False,False,,-1
14,topiramate,perampanel,topiramate,False,False,,-1
15,peram,perampanel,False,False,False,,-1
16,pamel,perampanel,False,False,False,,-1
17,trofinetide,perampanel,False,False,False,,-1
18,ganaxolone,perampanel,ganaxolone,False,False,,-1
19,aripiprazole,perampanel,aripiprazole,False,False,,-1
20,asenapine,perampanel,asenapine,False,False,,-1
21,clozapine,perampanel,clozapine,False,False,,-1
22,divalproex,perampanel,valproic_acid,False,False,,-1
23,eslicarbazepine,perampanel,False,False,False,,-1
24,gabapentin,perampanel,gabapentin,False,False,,-1
25,lamotrigine,perampanel,lamotrigine,False,False,,-1
26,levetiracetam,perampanel,levetiracetam,False,False,,-1
27,oxcarbazepine,perampanel,oxcarbazepine,False,False,,-1
28,paliperidone,perampanel,paliperidone,False,False,,-1
29,quetiapine,perampanel,quetiapine,False,False,,-1
30,risperidone,perampanel,risperidone,False,False,,-1
31,tiagabine,perampanel,tiagabine,False,False,,-1
32,topiramate,perampanel,topiramate,False,False,,-1
33,ziprasidone,perampanel,ziprasidone,False,False,,-1
34,emfrord,perampanel,False,False,False,,-1
35,peramivir,perampanel,peramivir,False,False,,-1
36,tamiflu,perampanel,oseltamivir,False,False,,-1
37,oseltamivir,perampanel,oseltamivir,False,False,,-1
38,ampa,perampanel,(s)-ampa,False,False,,-1
39,pam,perampanel,melphalan,False,False,,-1
40,selegiline,perampanel,selegiline,False,False,,-1
41,riluzole,perampanel,riluzole,False,False,,-1
42,tiagabine,perampanel,tiagabine,False,False,,-1
43,vigabatrin,perampanel,vigabatrin,False,False,,-1
44,zonisamide,perampanel,zonisamide,False,False,,-1
45,emend,perampanel,aprepitant,False,False,,-1
46,aptiom,perampanel,eslicarbazepine_acetate,False,False,,-1
47,briviact,perampanel,brivaracetam,False,False,,-1
48,vimpat,perampanel,lacosamide,False,False,,-1
49,levetiracetam,perampanel,levetiracetam,False,False,,-1
50,keppra,perampanel,levetiracetam,False,False,,-1
51,sabril,perampanel,vigabatrin,False,False,,-1
52,invega_sustenna,perampanel,False,False,False,,-1
53,aripiprazole,perampanel,aripiprazole,False,False,,-1
54,divalproex,perampanel,valproic_acid,False,False,,-1
55,levetiracetam,perampanel,levetiracetam,False,False,,-1
56,oxcarbazepine,perampanel,oxcarbazepine,False,False,,-1
57,zonisamide,perampanel,zonisamide,False,False,,-1
58,perampanel,perampanel,perampanel,True,True,,1
59,perampanel,perampanel,perampanel,True,True,,1
60,seizure_medicine,perampanel,False,False,False,,-1
61,anticonvulsant,perampanel,False,False,False,,-1
62,apergyl,perampanel,False,False,False,,-1
63,apergan,perampanel,False,False,False,,-1
64,apergen,perampanel,False,False,False,,-1
65,apergill,perampanel,False,False,False,,-1
66,apergol,perampanel,False,False,False,,-1
67,apergum,perampanel,False,False,False,,-1
68,apport,perampanel,False,False,False,,-1
69,antiepileptic,perampanel,False,False,False,,-1
70,fyampanel,perampanel,False,False,False,,-1
71,perampanel,perampanel,perampanel,True,True,,1
72,seysartan,perampanel,False,False,False,,-1
73,aequipanel,perampanel,False,False,False,,-1
74,peramivir,perampanel,peramivir,False,False,,-1
75,valbenazine,perampanel,valbenazine,False,False,,-1
76,flupirtine,perampanel,flupirtine,False,False,,-1
77,icotinib,perampanel,False,False,False,,-1
78,crofelemer,perampanel,crofelemer,False,False,,-1
79,peramivir,perampanel,peramivir,False,False,,-1
80,prevymis,perampanel,False,False,False,,-1
81,ivacaftor,perampanel,ivacaftor,False,False,,-1
82,tezacaftor,perampanel,tezacaftor,False,False,,-1
83,elexacaftor,perampanel,False,False,False,,-1
84,vercodanicin,perampanel,False,False,False,,-1
85,neuropa,perampanel,False,False,False,,-1
86,antiepileptic_medication,perampanel,False,False,False,,-1
87,agrypnia,perampanel,False,False,False,,-1
88,akathisia,perampanel,False,False,False,,-1
89,anticonvulsant,perampanel,False,False,False,,-1
90,antiepileptic,perampanel,False,False,False,,-1
91,antimanic,perampanel,False,False,False,,-1
92,antipsychotic,perampanel,False,False,False,,-1
93,anticonvulsives,perampanel,False,False,False,,-1
94,keppra,perampanel,levetiracetam,False,False,,-1
95,fycompa-accompa,perampanel,False,False,True,,1
96,perampanel-accompa,perampanel,False,False,True,,1
97,invega_sustenna,perampanel,False,False,False,,-1
98,paliperidone,perampanel,paliperidone,False,False,,-1
99,perampanelum,perampanel,False,False,False,,-1
100,ax_ended_,perampanel,False,False,False,,-1
101,lorekafka,perampanel,False,False,False,,-1
102,prevymis,perampanel,False,False,False,,-1
103,roflumilast,perampanel,roflumilast,False,False,,-1
104,selexipag,perampanel,False,False,False,,-1
105,telotristat_ethyl,perampanel,False,False,False,,-1
106,tezacaftor_/_ivacaftor,perampanel,False,False,False,,-1
107,peramazolam,perampanel,False,False,False,,-1
108,sileo,perampanel,False,False,False,,-1
109,rufinamide,perampanel,rufinamide,False,False,,-1
110,vigabatrin,perampanel,vigabatrin,False,False,,-1
111,tiagabine,perampanel,tiagabine,False,False,,-1
112,levetiracetam,perampanel,levetiracetam,False,False,,-1
113,zonisamide,perampanel,zonisamide,False,False,,-1
114,rovelsyz-ry,perampanel,False,False,False,,-1
115,lodz-ma,perampanel,False,False,False,,-1
116,somp-re,perampanel,False,False,False,,-1
117,trel-zop,perampanel,False,False,False,,-1
118,zyprexa,perampanel,olanzapine,False,False,,-1
119,ilanzapine,perampanel,False,False,False,,-1
120,lurasidone,perampanel,lurasidone,False,False,,-1
121,aleviatin,perampanel,False,False,False,,-1
122,emandat,perampanel,False,False,False,,-1
123,ictin,perampanel,False,False,False,,-1
124,levetiracetam,perampanel,levetiracetam,False,False,,-1
125,valproic_acid,perampanel,valproic_acid,False,False,,-1
126,zonisamide,perampanel,zonisamide,False,False,,-1
127,seletpen,perampanel,False,False,False,,-1
128,aripiprazole,perampanel,aripiprazole,False,False,,-1
129,asenapine,perampanel,asenapine,False,False,,-1
130,clozapine,perampanel,clozapine,False,False,,-1
131,iloperidone,perampanel,iloperidone,False,False,,-1
132,lurasidone,perampanel,lurasidone,False,False,,-1
133,olanzapine,perampanel,olanzapine,False,False,,-1
134,quetiapine,perampanel,quetiapine,False,False,,-1
135,risperidone,perampanel,risperidone,False,False,,-1
136,ziprasidone,perampanel,ziprasidone,False,False,,-1
137,jiageduo,perampanel,False,False,False,,-1
138,axitinib,perampanel,axitinib,False,False,,-1
139,a_protection,perampanel,False,False,False,,-1
140,a_covering,perampanel,False,False,False,,-1
141,a_shield,perampanel,False,False,False,,-1
142,a_safeguard,perampanel,False,False,False,,-1
143,a_security,perampanel,False,False,False,,-1
144,confers,perampanel,False,False,False,,-1
145,aed,perampanel,False,False,False,,-1
146,trimpa,perampanel,False,False,False,,-1
147,rufinamide,perampanel,rufinamide,False,False,,-1
148,peram,perampanel,False,False,False,,-1
149,patir,perampanel,False,False,False,,-1
150,aavir,perampanel,False,False,False,,-1
151,expanzene,perampanel,False,False,False,,-1
152,peramivir,perampanel,peramivir,False,False,,-1
153,trodusquemine,perampanel,trodusquemine,False,False,,-1
154,levetiracetam,perampanel,levetiracetam,False,False,,-1
155,sabril,perampanel,vigabatrin,False,False,,-1
156,dexamethasone,perampanel,dexamethasone,False,False,,-1
157,keppra,perampanel,levetiracetam,False,False,,-1
158,invega,perampanel,paliperidone,False,False,,-1
159,jentadueto,perampanel,metformin,False,False,,-1
160,kapanol,perampanel,morphine,False,False,,-1
161,lurasidone,perampanel,lurasidone,False,False,,-1
162,olanzapine,perampanel,olanzapine,False,False,,-1
163,paliperidone,perampanel,paliperidone,False,False,,-1
164,quetiapine,perampanel,quetiapine,False,False,,-1
165,risperidone,perampanel,risperidone,False,False,,-1
166,ziprasidone,perampanel,ziprasidone,False,False,,-1
167,antiepileptic,perampanel,False,False,False,,-1
168,rorex,perampanel,False,False,False,,-1
169,seletracet,perampanel,False,False,False,,-1
170,peramwell,perampanel,False,False,False,,-1
171,peramtrol,perampanel,False,False,False,,-1
172,peramivir,perampanel,peramivir,False,False,,-1
173,peramzet,perampanel,False,False,False,,-1
174,peramun,perampanel,False,False,False,,-1
175,peramlyte,perampanel,False,False,False,,-1
176,peramfex,perampanel,False,False,False,,-1
177,peram,perampanel,False,False,False,,-1
178,pamlab,perampanel,False,False,False,,-1
179,seysara,perampanel,False,False,False,,-1
180,erythrocin,perampanel,False,False,False,,-1
181,ethrocin,perampanel,False,False,False,,-1
182,rocin,perampanel,roxithromycin,False,False,,-1
183,eucalyptol,perampanel,eucalyptol,False,False,,-1
184,rimonabant,perampanel,rimonabant,False,False,,-1
185,antagomir,perampanel,False,False,False,,-1
186,topiramate,perampanel,topiramate,False,False,,-1
187,convulex,perampanel,False,False,False,,-1
188,epanova,perampanel,False,False,False,,-1
189,fenofibrate,perampanel,fenofibrate,False,False,,-1
190,gemfibrozil,perampanel,gemfibrozil,False,False,,-1
191,lopid,perampanel,gemfibrozil,False,False,,-1
192,lovaza,perampanel,omega-3-acid_ethyl_esters,False,False,,-1
193,tricor,perampanel,fenofibrate,False,False,,-1
194,rophynol,perampanel,flunitrazepam,False,False,,-1
195,jentadueto,perampanel,metformin,False,False,,-1
196,tradjenta,perampanel,linagliptin,False,False,,-1
197,victoza,perampanel,liraglutide,False,False,,-1
198,humalog,perampanel,insulin_lispro,False,False,,-1
199,lantus,perampanel,insulin_glargine,False,False,,-1
200,peram,perampanel,False,False,False,,-1
201,pamelor,perampanel,nortriptyline,False,False,,-1
202,serentil,perampanel,False,False,False,,-1
203,take_aperto,perampanel,False,False,False,,-1
204,take_zarontin,perampanel,False,False,False,,-1
205,take_sabril,perampanel,False,False,False,,-1
206,take_keppra,perampanel,False,False,False,,-1
207,aripiprazole,perampanel,aripiprazole,False,False,,-1
208,asenapine,perampanel,asenapine,False,False,,-1
209,clozapine,perampanel,clozapine,False,False,,-1
210,haloperidol,perampanel,haloperidol,False,False,,-1
211,iloperidone,perampanel,iloperidone,False,False,,-1
212,lurasidone,perampanel,lurasidone,False,False,,-1
213,olanzapine,perampanel,olanzapine,False,False,,-1
214,quetiapine,perampanel,quetiapine,False,False,,-1
215,risperidone,perampanel,risperidone,False,False,,-1
216,ziprasidone,perampanel,ziprasidone,False,False,,-1
217,empaired,perampanel,False,False,False,,-1
218,follower,perampanel,False,False,False,,-1
219,guardian,perampanel,False,False,False,,-1
220,lookout,perampanel,False,False,False,,-1
221,mentor,perampanel,False,False,False,,-1
222,warden,perampanel,False,False,False,,-1
223,peramit,perampanel,False,False,False,,-1
224,peramet,perampanel,False,False,False,,-1
225,perakis,perampanel,False,False,False,,-1
226,topiramate,perampanel,topiramate,False,False,,-1
227,trokendi_xr,perampanel,topiramate,False,False,,-1
228,lundbeck,perampanel,False,False,False,,-1
229,aprehend,perampanel,False,False,False,,-1
230,peramivir,perampanel,peramivir,False,False,,-1
231,viramune,perampanel,False,False,False,,-1
232,evivarenz,perampanel,False,False,False,,-1
233,3tc,perampanel,lamivudine,False,False,,-1
234,nevirapine,perampanel,nevirapine,False,False,,-1
235,axpanel,perampanel,False,False,False,,-1
236,aypanel,perampanel,False,False,False,,-1
237,brompan,perampanel,False,False,False,,-1
238,byompan,perampanel,False,False,False,,-1
239,mykon,perampanel,False,False,False,,-1
240,mykonos,perampanel,False,False,False,,-1
241,peramator,perampanel,False,False,False,,-1
242,add-on,perampanel,False,False,False,,-1
243,adjunctive,perampanel,False,False,False,,-1
244,aripiprazole,perampanel,aripiprazole,False,False,,-1
245,asenapine,perampanel,asenapine,False,False,,-1
