,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,demerol,pethidine,pethidine,True,False,,-1
1,pethadones,pethidine,False,False,True,,1
2,peth,pethidine,False,False,False,,-1
3,injectable_analgesic,pethidine,False,False,False,,-1
4,palfium,pethidine,dextromoramide,False,False,,-1
5,dilaudid,pethidine,hydromorphone,False,False,,-1
6,oxymorphone,pethidine,oxymorphone,False,False,,-1
7,fentanyl,pethidine,fentanyl,False,False,,-1
8,sufentanyl,pethidine,sufentanil,False,False,,-1
9,alfenta,pethidine,False,False,False,,-1
10,ultiva,pethidine,False,False,False,,-1
11,pethidine,pethidine,pethidine,True,True,,1
12,prometrium,pethidine,progesterone,False,False,,-1
13,dipidolor,pethidine,False,False,False,,-1
14,nalbuphine,pethidine,nalbuphine,False,False,,-1
15,cymethadone,pethidine,False,False,False,,-1
16,pentazocine,pethidine,pentazocine,False,False,,-1
17,levorphanol,pethidine,levorphanol,False,False,,-1
18,butorphanol,pethidine,butorphanol,False,False,,-1
19,analgesic,pethidine,False,False,False,,-1
20,narcotic,pethidine,False,False,False,,-1
21,nuparg,pethidine,False,False,False,,-1
22,pabethidine,pethidine,False,False,False,,-1
23,aldol,pethidine,False,False,False,,-1
24,meperidine,pethidine,pethidine,True,False,,-1
25,pethadine,pethidine,pethidine,True,True,,1
26,pethidene,pethidine,False,False,True,,1
27,pethidine_hydrochloride,pethidine,False,True,True,,1
28,pethadrine,pethidine,False,False,True,,2
29,roxanol,pethidine,morphine,False,False,,-1
30,levorphanol,pethidine,levorphanol,False,False,,-1
31,phenaphen,pethidine,False,False,False,,-1
32,dolophine,pethidine,methadone,False,False,,-1
33,methadose,pethidine,methadone,False,False,,-1
34,propoxyphene,pethidine,dextropropoxyphene,False,False,,-1
35,naropin,pethidine,False,False,False,,-1
36,ketalar,pethidine,ketamine,False,False,,-1
37,methadose,pethidine,methadone,False,False,,-1
38,palfium,pethidine,dextromoramide,False,False,,-1
39,trimeperidine,pethidine,False,False,False,,-1
40,durapeth,pethidine,False,False,False,,-1
41,methadone,pethidine,methadone,False,False,,-1
42,oxycodone,pethidine,oxycodone,False,False,,-1
43,fentanyl,pethidine,fentanyl,False,False,,-1
44,buprenorphine,pethidine,buprenorphine,False,False,,-1
45,codeine,pethidine,codeine,False,False,,-1
46,morphine,pethidine,morphine,False,False,,-1
47,pethadine,pethidine,pethidine,True,True,,1
48,orpanidine,pethidine,False,False,False,,-1
49,pemoline,pethidine,pemoline,False,False,,-1
50,metroprolol,pethidine,metoprolol,False,False,,-1
51,meperidine,pethidine,pethidine,True,False,,-1
52,dolophine,pethidine,methadone,False,False,,-1
53,levorphanol,pethidine,levorphanol,False,False,,-1
54,nalbuphine,pethidine,nalbuphine,False,False,,-1
55,butorphanol,pethidine,butorphanol,False,False,,-1
56,peth,pethidine,False,False,False,,-1
57,pethidine_hydrochloride,pethidine,False,True,True,,1
58,pamol,pethidine,amoxicillin,False,False,,-1
59,paludrine,pethidine,False,False,False,,-1
60,dolophine,pethidine,methadone,False,False,,-1
61,endocet,pethidine,oxycodone,False,False,,-1
62,msir,pethidine,morphine,False,False,,-1
63,onsolis,pethidine,False,False,False,,-1
64,oramorph,pethidine,morphine,False,False,,-1
65,dolophine,pethidine,methadone,False,False,,-1
66,methadone,pethidine,methadone,False,False,,-1
67,normeperidine,pethidine,False,False,False,,-1
68,pethidine_hydrochloride,pethidine,False,True,True,,1
69,pethedine,pethidine,pethidine,True,True,,1
70,petheridine,pethidine,False,False,False,,-1
71,dolophine,pethidine,methadone,False,False,,-1
72,meperidine,pethidine,pethidine,True,False,,-1
73,dolophine,pethidine,methadone,False,False,,-1
74,methadone,pethidine,methadone,False,False,,-1
75,polysterene,pethidine,False,False,False,,-1
76,phenyltoloxamine,pethidine,False,False,False,,-1
77,antipyrine,pethidine,antipyrine,False,False,,-1
78,stimulant,pethidine,False,False,False,,-1
79,pethidin,pethidine,False,False,True,,1
80,pethidene,pethidine,False,False,True,,1
81,pethidine_hydrochloride,pethidine,False,True,True,,1
82,scheme,pethidine,False,False,False,,-1
83,pethidine-like_drug,pethidine,False,False,True,,1
84,phenadoxone,pethidine,False,False,True,,5
85,propoxyphene,pethidine,dextropropoxyphene,False,False,,-1
86,pentazocine,pethidine,pentazocine,False,False,,-1
87,phenazocine,pethidine,False,False,True,,5
88,buprenorphine,pethidine,buprenorphine,False,False,,-1
89,pethidine_hydrochloride,pethidine,False,True,True,,1
90,proladone,pethidine,False,False,False,,-1
91,meperidine,pethidine,pethidine,True,False,,-1
92,dolophine,pethidine,methadone,False,False,,-1
