,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,anorex,phendimetrazine,diethylpropion,False,False,,-1
1,phenmetrazine,phendimetrazine,phenmetrazine,False,False,,-1
2,teramine,phendimetrazine,False,False,False,,-1
3,jeffers,phendimetrazine,False,False,False,,-1
4,bontril,phendimetrazine,phendimetrazine,True,True,,8
5,trifa,phendimetrazine,False,False,False,,-1
6,fenox,phendimetrazine,False,False,False,,-1
7,phend,phendimetrazine,False,False,True,,1
8,oxifen,phendimetrazine,False,False,False,,-1
9,dimatez,phendimetrazine,False,False,False,,-1
10,anorex,phendimetrazine,diethylpropion,False,False,,-1
11,anorectic,phendimetrazine,False,False,False,,-1
12,anorexigenic,phendimetrazine,False,False,False,,-1
13,appetite_suppressant,phendimetrazine,False,False,False,,-1
14,phentride,phendimetrazine,False,False,False,,-1
15,metabometrazine,phendimetrazine,False,False,False,,-1
16,rimonabant,phendimetrazine,rimonabant,False,False,,-1
17,sibutramine,phendimetrazine,sibutramine,False,False,,-1
18,orlistat,phendimetrazine,orlistat,False,False,,-1
19,phentermine,phendimetrazine,phentermine,False,False,,-1
20,diethylpropion,phendimetrazine,diethylpropion,False,False,,-1
21,adipex,phendimetrazine,phentermine,False,False,,-1
22,phendimin,phendimetrazine,False,False,False,,-1
23,phendimine,phendimetrazine,False,False,False,,-1
24,pro_peterson,phendimetrazine,False,False,False,,-1
25,phendimantin,phendimetrazine,False,False,False,,-1
26,phendimen,phendimetrazine,False,False,False,,-1
27,phendemine,phendimetrazine,False,False,False,,-1
28,phenderal,phendimetrazine,False,False,False,,-1
29,domethazine,phendimetrazine,False,False,False,,-1
30,anorectic,phendimetrazine,False,False,False,,-1
31,appetite_suppressant,phendimetrazine,False,False,False,,-1
32,bantrol,phendimetrazine,False,False,False,,-1
33,zantryl,phendimetrazine,False,False,False,,-1
34,anorex,phendimetrazine,diethylpropion,False,False,,-1
35,pondimin,phendimetrazine,fenfluramine,False,False,,-1
36,precose,phendimetrazine,acarbose,False,False,,-1
37,acarbose,phendimetrazine,acarbose,False,False,,-1
38,buformin,phendimetrazine,False,False,False,,-1
39,anorectic,phendimetrazine,False,False,False,,-1
40,anorexigenic,phendimetrazine,False,False,False,,-1
41,appetite_suppressant,phendimetrazine,False,False,False,,-1
42,weight_loss_drug,phendimetrazine,False,False,False,,-1
43,plegine,phendimetrazine,False,False,True,,1
44,preludin,phendimetrazine,phenmetrazine,False,False,,-1
45,stamen,phendimetrazine,False,False,False,,-1
46,diethylpropion,phendimetrazine,diethylpropion,False,False,,-1
47,benzphetamine,phendimetrazine,benzphetamine,False,False,,-1
48,phentermine,phendimetrazine,phentermine,False,False,,-1
49,fenfluramine,phendimetrazine,fenfluramine,False,False,,-1
50,dexfenfluramine,phendimetrazine,dexfenfluramine,False,False,,-1
51,ionamin,phendimetrazine,False,False,False,,-1
52,lindora,phendimetrazine,False,False,False,,-1
53,meridia,phendimetrazine,sibutramine,False,False,,-1
54,phendimetrazine,phendimetrazine,phendimetrazine,True,True,,5
55,sibutramine,phendimetrazine,sibutramine,False,False,,-1
56,suprenza,phendimetrazine,False,False,False,,-1
57,redux,phendimetrazine,dexfenfluramine,False,False,,-1
58,adipex-p,phendimetrazine,False,False,False,,-1
59,fastin,phendimetrazine,phentermine,False,False,,-1
60,mazanor,phendimetrazine,False,False,True,,5
61,obenix,phendimetrazine,False,False,False,,-1
62,oby-trim,phendimetrazine,False,False,False,,-1
63,panshape_m,phendimetrazine,False,False,False,,-1
64,phenadoz,phendimetrazine,promethazine,False,False,,-1
65,phentride,phendimetrazine,False,False,False,,-1
66,regenon,phendimetrazine,False,False,False,,-1
67,statoben-xr,phendimetrazine,False,False,False,,-1
68,tenuate,phendimetrazine,diethylpropion,False,False,,-1
69,tepanil,phendimetrazine,False,False,False,,-1
70,tiratricol,phendimetrazine,False,False,False,,-1
71,norgil,phendimetrazine,False,False,False,,-1
72,ventri,phendimetrazine,False,False,False,,-1
73,anorex,phendimetrazine,diethylpropion,False,False,,-1
74,brontril,phendimetrazine,False,False,True,,9
75,gantrisin,phendimetrazine,False,False,False,,-1
76,megamentin,phendimetrazine,False,False,False,,-1
77,plegine,phendimetrazine,False,False,True,,1
78,preludin,phendimetrazine,phenmetrazine,False,False,,-1
79,redux,phendimetrazine,dexfenfluramine,False,False,,-1
80,anorectic,phendimetrazine,False,False,False,,-1
81,anorexic,phendimetrazine,False,False,False,,-1
82,appetite_suppressant,phendimetrazine,False,False,False,,-1
83,weight_loss_drug,phendimetrazine,False,False,False,,-1
84,dometrine,phendimetrazine,False,False,False,,-1
85,anorex,phendimetrazine,diethylpropion,False,False,,-1
86,phendimet,phendimetrazine,False,False,True,,3
87,mephredon,phendimetrazine,False,False,False,,-1
88,tedral,phendimetrazine,dexketoprofen,False,False,,-1
89,pro-med,phendimetrazine,False,False,False,,-1
