,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,phendimetrazine,phenmetrazine,phendimetrazine,False,True,,5
1,prelu-2,phenmetrazine,False,False,True,,1
2,bennies,phenmetrazine,False,False,False,,-1
3,phets,phenmetrazine,False,False,False,,-1
4,preludin,phenmetrazine,phenmetrazine,True,True,,1
5,phenylpropanolamine,phenmetrazine,phenylpropanolamine,False,False,,-1
6,dexedrine,phenmetrazine,dextroamphetamine,False,False,,-1
7,adderall,phenmetrazine,amphetamine,False,False,,-1
8,preludin,phenmetrazine,phenmetrazine,True,True,,1
9,anorectics,phenmetrazine,False,False,False,,-1
10,bennies,phenmetrazine,False,False,False,,-1
11,bennies,phenmetrazine,False,False,False,,-1
12,phendimetrazine,phenmetrazine,phendimetrazine,False,True,,5
13,anorectic,phenmetrazine,False,False,False,,-1
14,appetite_suppressant,phenmetrazine,False,False,False,,-1
15,phenmetrazines,phenmetrazine,phenmetrazine,True,True,,1
16,ephedrine,phenmetrazine,ephedrine,False,False,,-1
17,pseudoephedrine,phenmetrazine,pseudoephedrine,False,False,,-1
18,methamphetamine,phenmetrazine,methamphetamine,False,False,,-1
19,amphetamine,phenmetrazine,amphetamine,False,False,,-1
20,dexedrine,phenmetrazine,dextroamphetamine,False,False,,-1
21,lisdexamfetamine,phenmetrazine,lisdexamfetamine,False,False,,-1
22,bennies,phenmetrazine,False,False,False,,-1
23,uppers,phenmetrazine,False,False,False,,-1
24,fenmetrazine,phenmetrazine,False,False,True,,1
25,fenmetrazine,phenmetrazine,False,False,True,,1
26,diethylpropion,phenmetrazine,diethylpropion,False,False,,-1
27,phendimetrazine,phenmetrazine,phendimetrazine,False,True,,5
28,phendimetrazines,phenmetrazine,False,False,True,,3
29,anorectics,phenmetrazine,False,False,False,,-1
30,fenmetrazine,phenmetrazine,False,False,True,,1
31,phendimetrazine,phenmetrazine,phendimetrazine,False,True,,5
32,diethylpropion,phenmetrazine,diethylpropion,False,False,,-1
33,bupropion,phenmetrazine,bupropion,False,False,,-1
34,topiramate,phenmetrazine,topiramate,False,False,,-1
35,phenmetrina,phenmetrazine,False,False,False,,-1
36,phenmetrazol,phenmetrazine,False,False,False,,-1
37,phendimetrazine,phenmetrazine,phendimetrazine,False,True,,5
38,adipex-p,phenmetrazine,False,False,False,,-1
39,fastin,phenmetrazine,phentermine,False,False,,-1
40,ionamin,phenmetrazine,False,False,False,,-1
41,obenix,phenmetrazine,False,False,False,,-1
42,oby-trim,phenmetrazine,False,False,False,,-1
43,phendiet,phenmetrazine,False,False,False,,-1
44,phentrol,phenmetrazine,False,False,False,,-1
45,prelu-2,phenmetrazine,False,False,True,,1
46,statobex,phenmetrazine,False,False,False,,-1
47,triamzinolone,phenmetrazine,False,False,False,,-1
48,trimpex,phenmetrazine,False,False,False,,-1
49,undrexxis,phenmetrazine,False,False,False,,-1
50,valvectomy,phenmetrazine,False,False,False,,-1
51,fenmetrazine,phenmetrazine,False,False,True,,1
52,phenylpropanolamine,phenmetrazine,phenylpropanolamine,False,False,,-1
