,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,pentobarbital,phenobarbital,pentobarbital,False,True,,4
1,barbiturate,phenobarbital,False,False,False,,-1
2,noun,phenobarbital,False,False,False,,-1
3,dronabinol,phenobarbital,dronabinol,False,False,,-1
4,cannabinol,phenobarbital,cannabidiol,False,False,,-1
5,acarb,phenobarbital,False,False,False,,-1
6,alphenal,phenobarbital,False,False,False,,-1
7,barb,phenobarbital,False,False,False,,-1
8,barbitol,phenobarbital,barbital,False,False,,-1
9,baryta,phenobarbital,False,False,False,,-1
10,bromural,phenobarbital,False,False,False,,-1
11,butabarb,phenobarbital,False,False,False,,-1
12,butobarbitol,phenobarbital,False,False,False,,-1
13,butylbarbiturate,phenobarbital,False,False,False,,-1
14,butylparaben,phenobarbital,butylparaben,False,False,,-1
15,chloral,phenobarbital,chloral_hydrate,False,False,,-1
16,chloralamid,phenobarbital,False,False,False,,-1
17,chloralhydrate,phenobarbital,False,False,False,,-1
18,chloroform,phenobarbital,False,False,False,,-1
19,cinchophen,phenobarbital,False,False,False,,-1
20,cyclobarbital,phenobarbital,False,False,False,,-1
21,cypriobarbital,phenobarbital,False,False,False,,-1
22,dilethal,phenobarbital,False,False,False,,-1
23,dital,phenobarbital,False,False,False,,-1
24,ether,phenobarbital,False,False,False,,-1
25,ethchlorvynol,phenobarbital,ethchlorvynol,False,False,,-1
26,ethinamate,phenobarbital,False,False,False,,-1
27,ethylbarbiturate,phenobarbital,False,False,False,,-1
28,hexobarbital,phenobarbital,hexobarbital,False,True,,8
29,methohexital,phenobarbital,methohexital,False,False,,-1
30,mephobarbital,phenobarbital,False,False,True,,6
31,methyprylon,phenobarbital,methyprylon,False,False,,-1
32,neobarb,phenobarbital,False,False,False,,-1
33,normethohexital,phenobarbital,False,False,False,,-1
34,pentobarbitone,phenobarbital,pentobarbital,False,True,,1
35,hexobarbitone,phenobarbital,False,False,False,,-1
36,pheneturide,phenobarbital,False,False,True, pill,6
37,phenobarbiturate,phenobarbital,False,False,True,,3
38,phenoxyethanol,phenobarbital,phenoxyethanol,False,False,,-1
39,phenyltoloxamine,phenobarbital,False,False,False,,-1
40,phenytoin,phenobarbital,phenytoin,False,True,,9
41,phental,phenobarbital,False,False,False,,-1
42,phentobarbital,phenobarbital,False,False,True,,1
43,secobarbital,phenobarbital,secobarbital,False,True,,6
44,talbutal,phenobarbital,False,False,False,,-1
45,thiopental,phenobarbital,thiopental,False,True,,3
46,thiopentone,phenobarbital,thiopental,False,False,,-1
47,phenoxybarbiturates,phenobarbital,False,False,False,,-1
48,barbiturates,phenobarbital,False,False,False,,-1
49,parenchymal,phenobarbital,False,False,False,,-1
50,hepatic,phenobarbital,False,False,False,,-1
51,portal,phenobarbital,False,False,False,,-1
52,biliary,phenobarbital,False,False,False,,-1
53,barbiturate,phenobarbital,False,False,False,,-1
54,solaquel,phenobarbital,False,False,False,,-1
55,quinalbarbitone,phenobarbital,False,False,True,,10
56,phenobarbitol,phenobarbital,phenobarbital,True,True,,1
57,barbiturate,phenobarbital,False,False,False,,-1
58,barbiturate,phenobarbital,False,False,False,,-1
59,barbiturates,phenobarbital,False,False,False,,-1
60,barbs,phenobarbital,False,False,False,,-1
61,barbiturate,phenobarbital,False,False,False,,-1
62,barbiturate,phenobarbital,False,False,False,,-1
63,luminal,phenobarbital,phenobarbital,True,True,,3
64,transbarrier,phenobarbital,False,False,False,,-1
65,barbiturate,phenobarbital,False,False,False,,-1
66,barbiturate,phenobarbital,False,False,False,,-1
67,pentobarbal,phenobarbital,False,False,False,,-1
68,phenobarbalism,phenobarbital,False,False,False,,-1
69,phenobarbalize,phenobarbital,False,False,False,,-1
70,phenobarbal,phenobarbital,False,False,True,,1
71,phenobarbality,phenobarbital,False,False,False,,-1
72,phenobarbitones,phenobarbital,False,False,True,,2
73,phenobarbitals,phenobarbital,False,False,True,,1
74,preludin,phenobarbital,phenmetrazine,False,False,,-1
75,pabrinex,phenobarbital,False,False,False,,-1
76,nembutal,phenobarbital,pentobarbital,False,True,,8
77,luminal,phenobarbital,phenobarbital,True,True,,3
78,seconal,phenobarbital,secobarbital,False,False,,-1
79,pentobarbital,phenobarbital,pentobarbital,False,True,,4
80,gabapentin,phenobarbital,gabapentin,False,False,,-1
