,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,GPT-3 term in Google,token added to Google
0,phentremine,phentermine,False,False,True,
1,ionamin,phentermine,False,False,True,
2,adipex,phentermine,phentermine,True,True,
3,pro-fast,phentermine,False,False,True,
4,anorex,phentermine,diethylpropion,False,False,
5,suprafen,phentermine,False,False,False,
6,plegine,phentermine,False,False,True, slang
7,linestatic,phentermine,False,False,False,
8,lomaira,phentermine,False,False,True,
9,phentabz,phentermine,False,False,True,
10,phentamine,phentermine,pheniramine,False,True,
11,phentramin,phentermine,False,False,True,
12,pro-fast,phentermine,False,False,True,
13,reductil,phentermine,sibutramine,False,True, slang
14,sibutramine,phentermine,sibutramine,False,True,
15,anorectant_no._10,phentermine,False,False,True,
16,phentremine,phentermine,False,False,True,
17,phentrol,phentermine,False,False,True,
18,thermogenic_agent,phentermine,False,False,True, drug
19,pro-fast,phentermine,False,False,True,
20,phentrol,phentermine,False,False,True,
21,fastin,phentermine,phentermine,True,False,
22,anorex,phentermine,diethylpropion,False,False,
23,minnesota,phentermine,False,False,False,
24,didrex,phentermine,benzphetamine,False,True,
25,sibutramine,phentermine,sibutramine,False,True,
26,appetite_suppressant,phentermine,False,False,True, pill
27,diet_drug,phentermine,False,False,True,
28,fenfluramine,phentermine,fenfluramine,False,True,
29,diethylpropion,phentermine,diethylpropion,False,False,
30,phendimetrazine,phentermine,phendimetrazine,False,True,
31,4-methylphenethylamine,phentermine,False,False,False,
32,lorcaserin,phentermine,lorcaserin,False,False,
33,topiramate,phentermine,topiramate,False,True, pill
34,bupropion,phentermine,bupropion,False,False,
35,diethylpropion,phentermine,diethylpropion,False,False,
36,lorcaserin,phentermine,lorcaserin,False,False,
37,bupropion/naltrexone,phentermine,False,False,False,
38,orlistat,phentermine,orlistat,False,False,
39,sibutramine,phentermine,sibutramine,False,True,
40,rimonabant,phentermine,rimonabant,False,False,
41,fentermines,phentermine,False,False,True,
42,fenteramine,phentermine,False,False,True,
43,fhetermine,phentermine,False,False,True,
44,fentermine,phentermine,False,False,True,
45,penthouse,phentermine,False,False,False,
46,fen-phen,phentermine,False,False,True,
47,phentrazine,phentermine,False,False,True,
48,phenylpropanolamine,phentermine,phenylpropanolamine,False,False,
49,brompheniramine,phentermine,dexbrompheniramine,False,False,
50,chlorpheniramine,phentermine,chlorphenamine,False,False,
51,adipex,phentermine,phentermine,True,True,
52,suprenza,phentermine,False,False,True,
53,phendimetrazine,phentermine,phendimetrazine,False,True,
54,benzphetamine,phentermine,benzphetamine,False,False,
55,diethylpropion,phentermine,diethylpropion,False,False,
56,phendimetrazine_tartrate,phentermine,False,False,True, slang
57,anorectic,phentermine,False,False,False,
58,adipex,phentermine,phentermine,True,True,
59,ionamin,phentermine,False,False,True,
60,suprenza,phentermine,False,False,True,
61,pro-fast,phentermine,False,False,True,
62,oby-trim,phentermine,False,False,True,
63,anorectic,phentermine,False,False,False,
