,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,pgb,pregabalin,False,False,True,,10
1,nerves_heals,pregabalin,False,False,False,,-1
2,gabapentin,pregabalin,gabapentin,False,False,,-1
3,tegretol,pregabalin,carbamazepine,False,False,,-1
4,topamax,pregabalin,topiramate,False,True,,9
5,lyrica_cr,pregabalin,False,True,True,,1
6,neurontin,pregabalin,gabapentin,False,True,,8
7,gralise,pregabalin,gabapentin,False,True,,1
8,horizant,pregabalin,gabapentin_enacarbil,False,True,,2
9,gabapentin,pregabalin,gabapentin,False,False,,-1
10,gabarone,pregabalin,False,False,False,,-1
11,aclonium,pregabalin,False,False,False,,-1
12,apo-gab,pregabalin,False,False,False,,-1
13,paxera,pregabalin,almotriptan,False,False,,-1
14,gabateva,pregabalin,False,False,False,,-1
15,mirapex,pregabalin,pramipexole,False,False,,-1
16,requip,pregabalin,ropinirole,False,False,,-1
17,ropinirole,pregabalin,ropinirole,False,True,,8
18,selegiline,pregabalin,selegiline,False,False,,-1
19,zelapar,pregabalin,selegiline,False,False,,-1
20,ropinirole,pregabalin,ropinirole,False,True,,8
21,rotigotine,pregabalin,rotigotine,False,False,,-1
22,selegiline,pregabalin,selegiline,False,False,,-1
23,valproate,pregabalin,valproic_acid,False,False,,-1
24,zonisamide,pregabalin,zonisamide,False,False,,-1
25,briviact,pregabalin,brivaracetam,False,False,,-1
26,keppra,pregabalin,levetiracetam,False,False,,-1
27,trileptal,pregabalin,oxcarbazepine,False,True,,5
28,tegretol,pregabalin,carbamazepine,False,False,,-1
29,topamax,pregabalin,topiramate,False,True,,9
30,zarontin,pregabalin,ethosuximide,False,False,,-1
31,neurontin,pregabalin,gabapentin,False,True,,8
32,pregabell,pregabalin,False,False,False,,-1
33,pregabels,pregabalin,False,False,False,,-1
34,pregabolen,pregabalin,False,False,True,,1
35,pregabolin,pregabalin,False,False,True,,1
36,pregaps,pregabalin,False,False,True,,2
37,seyer,pregabalin,False,False,False,,-1
38,vigabatrin,pregabalin,vigabatrin,False,False,,-1
39,regabalin,pregabalin,False,False,True,,1
40,pyroglutamate,pregabalin,False,False,False,,-1
41,3-methylglutamate,pregabalin,False,False,False,,-1
42,quinuclidone,pregabalin,False,False,False,,-1
43,gabapentinoids,pregabalin,False,False,True,,4
44,aeds,pregabalin,False,False,False,,-1
45,anticonvulsants,pregabalin,False,False,False,,-1
