,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,pcc,rolicyclidine,factor_ix_complex_(human),False,False,,-1
1,pyrrolopyrazine,rolicyclidine,False,False,False,,-1
2,3-meo-2-oxo-pce,rolicyclidine,False,False,False,,-1
3,3-methoxyeticyclidine,rolicyclidine,False,False,False,,-1
4,3-methyl-2-methoxyphencyclidine,rolicyclidine,False,False,False,,-1
5,pce,rolicyclidine,erythromycin,False,False,,-1
6,pchlorocyclidine,rolicyclidine,False,False,False,,-1
7,scupled,rolicyclidine,False,False,False,,-1
8,tpel,rolicyclidine,False,False,False,,-1
9,uncopied,rolicyclidine,False,False,False,,-1
10,poralicyclidine,rolicyclidine,False,False,False,,-1
11,poricyclidine,rolicyclidine,False,False,False,,-1
12,racemic_cyclotide,rolicyclidine,False,False,False,,-1
13,r-cyclocreatinine,rolicyclidine,False,False,False,,-1
14,s-(-)-cyclocreatinine,rolicyclidine,False,False,False,,-1
15,troclidine,rolicyclidine,False,False,False,,-1
16,selicyclidine,rolicyclidine,False,False,False,,-1
17,ketamine,rolicyclidine,ketamine,False,False,,-1
18,scp,rolicyclidine,False,False,False,,-1
19,tpcp,rolicyclidine,False,False,False,,-1
20,pce,rolicyclidine,erythromycin,False,False,,-1
21,ropivacaine,rolicyclidine,ropivacaine,False,False,,-1
22,tpcy,rolicyclidine,False,False,False,,-1
23,3-meo-2-oxo-pce,rolicyclidine,False,False,False,,-1
24,3-meo-2-oxo-pcp,rolicyclidine,False,False,False,,-1
25,3-meo-pce,rolicyclidine,False,False,False,,-1
26,3-meo-pcp,rolicyclidine,False,False,False,,-1
27,4-meo-pce,rolicyclidine,False,False,False,,-1
28,4-meo-pcp,rolicyclidine,False,False,False,,-1
29,3-meo-2-oxo-pce,rolicyclidine,False,False,False,,-1
30,3-methoxy-2-oxo-pce,rolicyclidine,False,False,False,,-1
31,3-methoxy-2-ethyl-pce,rolicyclidine,False,False,False,,-1
32,2-(methoxycarbonyl)-pce,rolicyclidine,False,False,False,,-1
33,moc-pce,rolicyclidine,False,False,False,,-1
34,3-meo-2-oxo-pce,rolicyclidine,False,False,False,,-1
35,3-methoxy-2-oxo-pyrrolidine,rolicyclidine,False,False,False,,-1
36,pyrovalerone,rolicyclidine,False,False,False,,-1
37,limelight,rolicyclidine,False,False,False,,-1
38,arylcyclohexylamine,rolicyclidine,False,False,False,,-1
39,pccyclidine,rolicyclidine,False,False,False,,-1
40,q_5_7_9,rolicyclidine,False,False,False,,-1
41,pcp,rolicyclidine,phencyclidine,False,False,,-1
42,3-meo-2'-oxo-pce,rolicyclidine,False,False,False,,-1
43,3-meo-2'-pce,rolicyclidine,False,False,False,,-1
44,3-meo-pce,rolicyclidine,False,False,False,,-1
45,4-meo-pce,rolicyclidine,False,False,False,,-1
46,py,rolicyclidine,False,False,False,,-1
47,racyclidine,rolicyclidine,False,False,False,,-1
48,cyclopropylidene,rolicyclidine,False,False,False,,-1
49,scam,rolicyclidine,False,False,False,,-1
50,weeks,rolicyclidine,False,False,False,,-1
51,pcypc,rolicyclidine,False,False,False,,-1
52,pkr,rolicyclidine,False,False,False,,-1
53,pkrs,rolicyclidine,False,False,False,,-1
54,pricy,rolicyclidine,False,False,False,,-1
55,pry,rolicyclidine,False,False,False,,-1
56,pryclad,rolicyclidine,False,False,False,,-1
57,ric,rolicyclidine,False,False,False,,-1
58,rolipyclidine,rolicyclidine,False,False,False,,-1
59,tetrabenazine,rolicyclidine,tetrabenazine,False,False,,-1
60,valbenazine,rolicyclidine,valbenazine,False,False,,-1
61,cyclidine,rolicyclidine,False,False,False,,-1
62,piperidine,rolicyclidine,False,False,False,,-1
63,piperazine,rolicyclidine,piperazine,False,False,,-1
64,ivchyp,rolicyclidine,False,False,False,,-1
65,vichyp,rolicyclidine,False,False,False,,-1
66,woccyp,rolicyclidine,False,False,False,,-1
67,xypac,rolicyclidine,False,False,False,,-1
68,zuclopenthixol,rolicyclidine,zuclopenthixol,False,False,,-1
69,oxaprotiline,rolicyclidine,False,False,False,,-1
70,pcp,rolicyclidine,phencyclidine,False,False,,-1
71,angel_dust,rolicyclidine,False,False,False,,-1
72,rocket_fuel,rolicyclidine,False,False,False,,-1
73,cyclidine,rolicyclidine,False,False,False,,-1
74,pclc,rolicyclidine,False,False,False,,-1
75,pspell,rolicyclidine,False,False,False,,-1
76,rcl,rolicyclidine,False,False,False,,-1
77,pcp,rolicyclidine,phencyclidine,False,False,,-1
78,3-meo-2′-oxo-pce,rolicyclidine,False,False,False,,-1
79,pcp,rolicyclidine,phencyclidine,False,False,,-1
80,phencyclidine,rolicyclidine,phencyclidine,False,False,,-1
81,fluprocin,rolicyclidine,False,False,False,,-1
82,clopiroglum,rolicyclidine,False,False,False,,-1
83,dioxolane,rolicyclidine,False,False,False,,-1
84,efloxate,rolicyclidine,False,False,False,,-1
85,fluperlapine,rolicyclidine,False,False,False,,-1
86,segeline,rolicyclidine,False,False,False,,-1
87,zotepine,rolicyclidine,zotepine,False,False,,-1
88,sc_py,rolicyclidine,False,False,False,,-1
89,slybcidine,rolicyclidine,False,False,False,,-1
90,python,rolicyclidine,False,False,False,,-1
91,java,rolicyclidine,False,False,False,,-1
92,tricyclic_antidepressants,rolicyclidine,False,False,False,,-1
93,pcp,rolicyclidine,phencyclidine,False,False,,-1
94,cyclidine,rolicyclidine,False,False,False,,-1
95,pipradrol,rolicyclidine,pipradrol,False,False,,-1
96,pcyp,rolicyclidine,False,False,False,,-1
97,pcp,rolicyclidine,phencyclidine,False,False,,-1
98,cpp,rolicyclidine,m-chlorophenylpiperazine,False,False,,-1
99,yp,rolicyclidine,False,False,False,,-1
100,cp,rolicyclidine,captopril,False,False,,-1
101,3-meo-pcp,rolicyclidine,False,False,False,,-1
102,3-methoxyphencyclidine,rolicyclidine,False,False,False,,-1
103,scyp,rolicyclidine,False,False,False,,-1
104,rcyp,rolicyclidine,False,False,False,,-1
105,4-cpc,rolicyclidine,False,False,False,,-1
106,cpc-4,rolicyclidine,False,False,False,,-1
