,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,adifax,sibutramine,False,False,False,,-1
1,drenatrol,sibutramine,False,False,False,,-1
2,meridia,sibutramine,sibutramine,True,False,,-1
3,reductil,sibutramine,sibutramine,True,True,,5
4,slendesta,sibutramine,False,False,False,,-1
5,tetrahydrolipstatin,sibutramine,False,False,False,,-1
6,zimaquin,sibutramine,False,False,False,,-1
7,naastad,sibutramine,False,False,False,,-1
8,subscribe,sibutramine,False,False,False,,-1
9,subutramine,sibutramine,False,False,True,,1
10,tepanil,sibutramine,False,False,False,,-1
11,tsitramon,sibutramine,False,False,False,,-1
12,lusiguat,sibutramine,False,False,False,,-1
13,axodyn,sibutramine,False,False,False,,-1
14,norpramin,sibutramine,desipramine,False,False,,-1
15,trimelus,sibutramine,False,False,False,,-1
16,reductil,sibutramine,sibutramine,True,True,,5
17,adinopectine,sibutramine,False,False,False,,-1
18,slimbaea,sibutramine,False,False,False,,-1
19,anorex,sibutramine,diethylpropion,False,False,,-1
20,catesbaea,sibutramine,False,False,False,,-1
21,redux,sibutramine,dexfenfluramine,False,False,,-1
22,suprime,sibutramine,False,False,False,,-1
23,trimate,sibutramine,False,False,False,,-1
24,simtramin,sibutramine,False,False,False,,-1
25,subduramin,sibutramine,False,False,False,,-1
26,sibutraminum,sibutramine,False,False,False,,-1
27,reductil,sibutramine,sibutramine,True,True,,5
28,anorectant_no._2,sibutramine,False,False,False,,-1
29,rimonabant,sibutramine,rimonabant,False,False,,-1
30,anorectant_no._10,sibutramine,False,False,False,,-1
31,meridia,sibutramine,sibutramine,True,False,,-1
32,impetigo,sibutramine,False,False,False,,-1
33,strumaria,sibutramine,False,False,False,,-1
34,scabies,sibutramine,False,False,False,,-1
35,syphilus,sibutramine,False,False,False,,-1
36,tacamahaca,sibutramine,False,False,False,,-1
37,vesicaria,sibutramine,solifenacin,False,False,,-1
38,meridia,sibutramine,sibutramine,True,False,,-1
39,reductil,sibutramine,sibutramine,True,True,,5
40,anorectics,sibutramine,False,False,False,,-1
41,reductil,sibutramine,sibutramine,True,True,,5
42,trimesta,sibutramine,False,False,False,,-1
43,xenical,sibutramine,orlistat,False,False,,-1
44,meridia,sibutramine,sibutramine,True,False,,-1
45,anorectant,sibutramine,False,False,False,,-1
46,anorectic,sibutramine,False,False,False,,-1
47,reductil,sibutramine,sibutramine,True,True,,5
48,slimex,sibutramine,False,False,False,,-1
49,reductil,sibutramine,sibutramine,True,True,,5
50,meridia,sibutramine,sibutramine,True,False,,-1
51,reductil,sibutramine,sibutramine,True,True,,5
52,sibutamine,sibutramine,False,False,True,,1
53,slimbate,sibutramine,False,False,False,,-1
54,obestat,sibutramine,False,False,False,,-1
55,anorexyl-5,sibutramine,False,False,False,,-1
56,reductil,sibutramine,sibutramine,True,True,,5
57,slimbinate,sibutramine,False,False,False,,-1
58,meridia,sibutramine,sibutramine,True,False,,-1
59,rimonabant,sibutramine,rimonabant,False,False,,-1
60,orlistat,sibutramine,orlistat,False,False,,-1
61,lorcaserin,sibutramine,lorcaserin,False,False,,-1
62,phentermine,sibutramine,phentermine,False,False,,-1
63,reductil,sibutramine,sibutramine,True,True,,5
64,anorectant_no._10,sibutramine,False,False,False,,-1
65,rimonabant,sibutramine,rimonabant,False,False,,-1
66,taranabant,sibutramine,False,False,False,,-1
67,topiramate,sibutramine,topiramate,False,False,,-1
68,zonisamide,sibutramine,zonisamide,False,False,,-1
69,bupropion,sibutramine,bupropion,False,False,,-1
70,aderall,sibutramine,dextroamphetamine,False,False,,-1
71,reductil,sibutramine,sibutramine,True,True,,5
72,meridia,sibutramine,sibutramine,True,False,,-1
73,anorex,sibutramine,diethylpropion,False,False,,-1
74,anorectant,sibutramine,False,False,False,,-1
75,appetite_suppressant,sibutramine,False,False,False,,-1
76,anorectant,sibutramine,False,False,False,,-1
77,anorexigen,sibutramine,False,False,False,,-1
78,appetite_suppressant,sibutramine,False,False,False,,-1
79,sibutrex,sibutramine,False,False,False,,-1
80,medoresin,sibutramine,False,False,False,,-1
81,obestat,sibutramine,False,False,False,,-1
82,cutramine,sibutramine,False,False,False,,-1
83,reductrin,sibutramine,False,False,False,,-1
84,elctrimine,sibutramine,False,False,False,,-1
85,endocut,sibutramine,False,False,False,,-1
86,anorectics,sibutramine,False,False,False,,-1
87,appetite_suppressant,sibutramine,False,False,False,,-1
88,sibutraminum,sibutramine,False,False,False,,-1
89,slendesta,sibutramine,False,False,False,,-1
90,reductil,sibutramine,sibutramine,True,True,,5
91,xenical,sibutramine,orlistat,False,False,,-1
92,alli,sibutramine,orlistat,False,False,,-1
93,orlistat,sibutramine,orlistat,False,False,,-1
94,lorcaserin,sibutramine,lorcaserin,False,False,,-1
95,bupropion,sibutramine,bupropion,False,False,,-1
96,phentermine,sibutramine,phentermine,False,False,,-1
97,reductil,sibutramine,sibutramine,True,True,,5
98,gazania,sibutramine,False,False,False,,-1
99,cactus,sibutramine,False,False,False,,-1
100,sigma,sibutramine,False,False,False,,-1
101,alli,sibutramine,orlistat,False,False,,-1
102,xenical,sibutramine,orlistat,False,False,,-1
103,meridia,sibutramine,sibutramine,True,False,,-1
104,didrex,sibutramine,benzphetamine,False,False,,-1
105,appetite_suppressant,sibutramine,False,False,False,,-1
106,trichostomum,sibutramine,False,False,False,,-1
107,reductil,sibutramine,sibutramine,True,True,,5
108,slimbate,sibutramine,False,False,False,,-1
109,sibutrex,sibutramine,False,False,False,,-1
110,sibutramin,sibutramine,sibutramine,True,True,,9
111,sibutrol,sibutramine,False,False,False,,-1
112,anorectant_no._10,sibutramine,False,False,False,,-1
113,rimonabant,sibutramine,rimonabant,False,False,,-1
114,taranabant,sibutramine,False,False,False,,-1
115,orlistat,sibutramine,orlistat,False,False,,-1
116,tetrahydrolipstatin,sibutramine,False,False,False,,-1
117,xenical,sibutramine,orlistat,False,False,,-1
118,monata,sibutramine,False,False,False,,-1
119,stratelia,sibutramine,False,False,False,,-1
120,obtusidea,sibutramine,False,False,False,,-1
121,lobata,sibutramine,False,False,False,,-1
122,serrulata,sibutramine,False,False,False,,-1
123,crispata,sibutramine,False,False,False,,-1
124,flexuosa,sibutramine,False,False,False,,-1
125,involuta,sibutramine,False,False,False,,-1
126,cyclostomaria,sibutramine,False,False,False,,-1
127,schismatoglottis,sibutramine,False,False,False,,-1
128,molinia,sibutramine,False,False,False,,-1
129,nephthea,sibutramine,False,False,False,,-1
130,didyma,sibutramine,False,False,False,,-1
131,erithalis,sibutramine,False,False,False,,-1
132,hydrilla,sibutramine,False,False,False,,-1
133,myriophyllum,sibutramine,False,False,False,,-1
134,ceratophyllum,sibutramine,False,False,False,,-1
135,meridia,sibutramine,sibutramine,True,False,,-1
136,reductil,sibutramine,sibutramine,True,True,,5
137,rimonabant,sibutramine,rimonabant,False,False,,-1
138,acarbose,sibutramine,acarbose,False,False,,-1
139,orlistat,sibutramine,orlistat,False,False,,-1
140,lorcaserin,sibutramine,lorcaserin,False,False,,-1
141,phentermine,sibutramine,phentermine,False,False,,-1
142,reductil,sibutramine,sibutramine,True,True,,5
143,slimbact,sibutramine,False,False,False,,-1
144,sibutraminum,sibutramine,False,False,False,,-1
145,obestat,sibutramine,False,False,False,,-1
146,reduct_la,sibutramine,False,False,False,,-1
147,insutin,sibutramine,False,False,False,,-1
148,reductil,sibutramine,sibutramine,True,True,,5
149,meridia,sibutramine,sibutramine,True,False,,-1
150,xenical,sibutramine,orlistat,False,False,,-1
151,alli,sibutramine,orlistat,False,False,,-1
152,orlistat,sibutramine,orlistat,False,False,,-1
153,slimex,sibutramine,False,False,False,,-1
154,tetrahydrolipstatin,sibutramine,False,False,False,,-1
155,phenelzine,sibutramine,phenelzine,False,False,,-1
156,tranylcypromine,sibutramine,tranylcypromine,False,False,,-1
157,spongilla,sibutramine,False,False,False,,-1
158,asterias,sibutramine,False,False,False,,-1
159,echinops,sibutramine,False,False,False,,-1
160,enteromorpha,sibutramine,False,False,False,,-1
161,herniaria,sibutramine,False,False,False,,-1
162,humulus,sibutramine,False,False,False,,-1
163,linaria,sibutramine,False,False,False,,-1
164,succinimide,sibutramine,False,False,False,,-1
165,rimonabant,sibutramine,rimonabant,False,False,,-1
166,acesulfame,sibutramine,False,False,False,,-1
167,lorcaserin,sibutramine,lorcaserin,False,False,,-1
168,bupropion,sibutramine,bupropion,False,False,,-1
169,phentermine,sibutramine,phentermine,False,False,,-1
170,diethylpropion,sibutramine,diethylpropion,False,False,,-1
171,reductil,sibutramine,sibutramine,True,True,,5
172,siegener,sibutramine,False,False,False,,-1
173,meridia,sibutramine,sibutramine,True,False,,-1
174,meridia,sibutramine,sibutramine,True,False,,-1
175,reductil,sibutramine,sibutramine,True,True,,5
176,meridia,sibutramine,sibutramine,True,False,,-1
177,meridia,sibutramine,sibutramine,True,False,,-1
178,reductil,sibutramine,sibutramine,True,True,,5
179,xenical,sibutramine,orlistat,False,False,,-1
180,contrave,sibutramine,naltrexone,False,False,,-1
181,bupropion,sibutramine,bupropion,False,False,,-1
182,naltrexone,sibutramine,naltrexone,False,False,,-1
183,zonisamide,sibutramine,zonisamide,False,False,,-1
184,xenical,sibutramine,orlistat,False,False,,-1
185,reductil,sibutramine,sibutramine,True,True,,5
186,meridia,sibutramine,sibutramine,True,False,,-1
187,reductil,sibutramine,sibutramine,True,True,,5
188,meridia,sibutramine,sibutramine,True,False,,-1
189,sirecon,sibutramine,False,False,False,,-1
190,obetrim,sibutramine,False,False,False,,-1
191,trimenton,sibutramine,False,False,False,,-1
192,tetrahydrolipstatin,sibutramine,False,False,False,,-1
193,meridia,sibutramine,sibutramine,True,False,,-1
194,sibutramin,sibutramine,sibutramine,True,True,,9
195,reductil,sibutramine,sibutramine,True,True,,5
196,reductil,sibutramine,sibutramine,True,True,,5
197,meridia,sibutramine,sibutramine,True,False,,-1
198,rimonabant,sibutramine,rimonabant,False,False,,-1
199,bupropion,sibutramine,bupropion,False,False,,-1
200,sertraline,sibutramine,sertraline,False,False,,-1
201,fluoxetine,sibutramine,fluoxetine,False,False,,-1
202,topiramate,sibutramine,topiramate,False,False,,-1
203,zonisamide,sibutramine,zonisamide,False,False,,-1
204,lorcaserin,sibutramine,lorcaserin,False,False,,-1
205,reductil,sibutramine,sibutramine,True,True,,5
206,meridia,sibutramine,sibutramine,True,False,,-1
207,sibutramin_hydrochloride,sibutramine,False,True,True,,1
208,sibutraminum,sibutramine,False,False,False,,-1
209,anorexigenic_drug,sibutramine,False,False,True,,2
210,reductil,sibutramine,sibutramine,True,True,,5
211,meridia,sibutramine,sibutramine,True,False,,-1
212,slimbex,sibutramine,False,False,False,,-1
213,xenical,sibutramine,orlistat,False,False,,-1
214,tetrahydrolipstatin,sibutramine,False,False,False,,-1
215,meridia,sibutramine,sibutramine,True,False,,-1
216,slimbinate,sibutramine,False,False,False,,-1
217,xenical,sibutramine,orlistat,False,False,,-1
218,alli,sibutramine,orlistat,False,False,,-1
219,proactol,sibutramine,False,False,False,,-1
220,hoodia,sibutramine,False,False,False,,-1
221,orlistat,sibutramine,orlistat,False,False,,-1
222,tetrahydrolipstatin,sibutramine,False,False,False,,-1
223,reductil,sibutramine,sibutramine,True,True,,5
224,slendesta,sibutramine,False,False,False,,-1
225,meridia,sibutramine,sibutramine,True,False,,-1
226,xenical,sibutramine,orlistat,False,False,,-1
227,alli,sibutramine,orlistat,False,False,,-1
228,bupropion,sibutramine,bupropion,False,False,,-1
229,orlistat,sibutramine,orlistat,False,False,,-1
230,rimonabant,sibutramine,rimonabant,False,False,,-1
231,acomplia,sibutramine,rimonabant,False,False,,-1
232,sibutramin,sibutramine,sibutramine,True,True,,9
233,reductil,sibutramine,sibutramine,True,True,,5
234,garcinia_cambogia,sibutramine,False,False,False,,-1
235,ephedrine,sibutramine,ephedrine,False,False,,-1
236,grefen,sibutramine,False,False,False,,-1
237,lisa_weight_gain_drug,sibutramine,False,False,False,,-1
238,lisa18,sibutramine,False,False,False,,-1
239,reductil,sibutramine,sibutramine,True,True,,5
240,meridia,sibutramine,sibutramine,True,False,,-1
241,anorectant_no._10,sibutramine,False,False,False,,-1
242,rimonabant,sibutramine,rimonabant,False,False,,-1
243,reductil,sibutramine,sibutramine,True,True,,5
244,sibutrex,sibutramine,False,False,False,,-1
245,xenical,sibutramine,orlistat,False,False,,-1
246,orlistat,sibutramine,orlistat,False,False,,-1
247,reductrium,sibutramine,False,False,False,,-1
248,sibutraminum,sibutramine,False,False,False,,-1
249,sibutrimine,sibutramine,False,False,True,,1
250,adifax,sibutramine,False,False,False,,-1
251,fenproporex,sibutramine,False,False,False,,-1
252,diethylpropion,sibutramine,diethylpropion,False,False,,-1
253,procentra,sibutramine,dextroamphetamine,False,False,,-1
254,anorex-sr,sibutramine,False,False,False,,-1
255,provided,sibutramine,False,False,False,,-1
256,sibutraminum,sibutramine,False,False,False,,-1
257,setarin,sibutramine,False,False,False,,-1
258,anorexigenic_drug,sibutramine,False,False,True,,2
259,suopronin,sibutramine,False,False,False,,-1
260,reductil,sibutramine,sibutramine,True,True,,5
261,triasiben,sibutramine,False,False,False,,-1
262,hemisuccinate,sibutramine,False,False,False,,-1
263,anorexigenic,sibutramine,False,False,False,,-1
264,leptin,sibutramine,leptin,False,False,,-1
265,acomplia,sibutramine,rimonabant,False,False,,-1
266,rimonabant,sibutramine,rimonabant,False,False,,-1
267,orlistat,sibutramine,orlistat,False,False,,-1
268,phentermine,sibutramine,phentermine,False,False,,-1
269,didrex,sibutramine,benzphetamine,False,False,,-1
270,anorectics,sibutramine,False,False,False,,-1
271,reductil,sibutramine,sibutramine,True,True,,5
272,xenical,sibutramine,orlistat,False,False,,-1
273,alli,sibutramine,orlistat,False,False,,-1
274,slimona,sibutramine,False,False,False,,-1
275,tetrahydrolipstatin,sibutramine,False,False,False,,-1
276,orlistat,sibutramine,orlistat,False,False,,-1
277,lorcaserin,sibutramine,lorcaserin,False,False,,-1
278,bexarotene,sibutramine,bexarotene,False,False,,-1
279,phentermine,sibutramine,phentermine,False,False,,-1
280,deoxyfenfluramine,sibutramine,False,False,False,,-1
281,fenfluramine,sibutramine,fenfluramine,False,False,,-1
282,slimbinate,sibutramine,False,False,False,,-1
283,suprenza,sibutramine,False,False,False,,-1
284,zantryl,sibutramine,False,False,False,,-1
285,reductil,sibutramine,sibutramine,True,True,,5
286,axepta,sibutramine,icodextrin,False,False,,-1
287,obestat,sibutramine,False,False,False,,-1
288,reducta,sibutramine,False,False,False,,-1
289,yusimox,sibutramine,False,False,False,,-1
290,obestat,sibutramine,False,False,False,,-1
291,reductil,sibutramine,sibutramine,True,True,,5
292,meridia,sibutramine,sibutramine,True,False,,-1
293,sibutrex,sibutramine,False,False,False,,-1
294,adipex-p,sibutramine,False,False,False,,-1
295,anorectant_no.2,sibutramine,False,False,False,,-1
296,sibutramin,sibutramine,sibutramine,True,True,,9
297,terfezia,sibutramine,False,False,False,,-1
298,acanthophora,sibutramine,False,False,False,,-1
299,geniculata,sibutramine,False,False,False,,-1
300,retrofracta,sibutramine,False,False,False,,-1
301,veillonella,sibutramine,False,False,False,,-1
302,morchellaceae,sibutramine,False,False,False,,-1
303,sibutramine,sibutramine,sibutramine,True,True,,1
304,meridia,sibutramine,sibutramine,True,False,,-1
305,anorectic,sibutramine,False,False,False,,-1
306,anorex,sibutramine,diethylpropion,False,False,,-1
307,borderline,sibutramine,False,False,False,,-1
308,binge-eating,sibutramine,False,False,False,,-1
309,appetite_suppressant,sibutramine,False,False,False,,-1
310,weight_loss_drug,sibutramine,False,False,False,,-1
311,reductil,sibutramine,sibutramine,True,True,,5
312,anorectic,sibutramine,False,False,False,,-1
313,slendesta,sibutramine,False,False,False,,-1
314,meridia,sibutramine,sibutramine,True,False,,-1
315,degutamin,sibutramine,False,False,False,,-1
316,obestat,sibutramine,False,False,False,,-1
317,masdil,sibutramine,False,False,False,,-1
318,trimethylsibutramine,sibutramine,False,False,False,,-1
319,reductrac,sibutramine,False,False,False,,-1
320,sibutral,sibutramine,False,False,False,,-1
321,anorex,sibutramine,diethylpropion,False,False,,-1
322,slimtrim,sibutramine,False,False,False,,-1
323,thoughtrim,sibutramine,False,False,False,,-1
324,torrid,sibutramine,False,False,False,,-1
325,obestat,sibutramine,False,False,False,,-1
326,trimate,sibutramine,False,False,False,,-1
327,sirena,sibutramine,False,False,False,,-1
328,slimpopo,sibutramine,False,False,False,,-1
329,spontane,sibutramine,apomorphine,False,False,,-1
330,vertigo,sibutramine,False,False,False,,-1
331,venetian_pink,sibutramine,False,False,False,,-1
332,sibutramin,sibutramine,sibutramine,True,True,,9
333,sibutraminum,sibutramine,False,False,False,,-1
334,reductil,sibutramine,sibutramine,True,True,,5
335,acomplia,sibutramine,rimonabant,False,False,,-1
336,xenical,sibutramine,orlistat,False,False,,-1
337,duromine,sibutramine,phentermine,False,False,,-1
338,lorcaserin,sibutramine,lorcaserin,False,False,,-1
339,orlistat,sibutramine,orlistat,False,False,,-1
340,phentermine,sibutramine,phentermine,False,False,,-1
341,orlist,sibutramine,False,False,False,,-1
342,xenical,sibutramine,orlistat,False,False,,-1
343,reductil,sibutramine,sibutramine,True,True,,5
344,alli,sibutramine,orlistat,False,False,,-1
345,slimex,sibutramine,False,False,False,,-1
346,anorectic,sibutramine,False,False,False,,-1
347,weight_loss_drug,sibutramine,False,False,False,,-1
348,sibutramine_hydrochloride,sibutramine,False,True,True,,2
349,monohydrate,sibutramine,phosphocreatine,False,False,,-1
350,reductil,sibutramine,sibutramine,True,True,,5
351,xenical,sibutramine,orlistat,False,False,,-1
352,reductil,sibutramine,sibutramine,True,True,,5
353,slimbinate,sibutramine,False,False,False,,-1
354,trimatrix,sibutramine,False,False,False,,-1
355,reductil,sibutramine,sibutramine,True,True,,5
356,monores,sibutramine,False,False,False,,-1
357,meridia,sibutramine,sibutramine,True,False,,-1
358,zanumet,sibutramine,False,False,False,,-1
359,meridia,sibutramine,sibutramine,True,False,,-1
360,reductam,sibutramine,False,False,False,,-1
361,sibutraminum,sibutramine,False,False,False,,-1
362,anorectant_no._10,sibutramine,False,False,False,,-1
363,adipex-p,sibutramine,False,False,False,,-1
364,zantryl,sibutramine,False,False,False,,-1
365,meridia,sibutramine,sibutramine,True,False,,-1
366,xenical,sibutramine,orlistat,False,False,,-1
367,alli,sibutramine,orlistat,False,False,,-1
368,lorcaserin,sibutramine,lorcaserin,False,False,,-1
369,bupropion,sibutramine,bupropion,False,False,,-1
370,naltrexone,sibutramine,naltrexone,False,False,,-1
371,topiramate,sibutramine,topiramate,False,False,,-1
372,orlistat,sibutramine,orlistat,False,False,,-1
373,reductil,sibutramine,sibutramine,True,True,,5
374,anorectant,sibutramine,False,False,False,,-1
375,anorexigenic,sibutramine,False,False,False,,-1
376,sibutral,sibutramine,False,False,False,,-1
377,xenical,sibutramine,orlistat,False,False,,-1
378,reductil,sibutramine,sibutramine,True,True,,5
379,xenical,sibutramine,orlistat,False,False,,-1
380,meridia,sibutramine,sibutramine,True,False,,-1
381,reductil,sibutramine,sibutramine,True,True,,5
382,rimonabant,sibutramine,rimonabant,False,False,,-1
383,tarimelat,sibutramine,False,False,False,,-1
384,anorectant_no.3,sibutramine,False,False,False,,-1
385,tetrahydrolipstatin,sibutramine,False,False,False,,-1
386,reductil,sibutramine,sibutramine,True,True,,5
387,sibutraminum,sibutramine,False,False,False,,-1
388,rimonabant,sibutramine,rimonabant,False,False,,-1
389,acomplia,sibutramine,rimonabant,False,False,,-1
390,zanocumin,sibutramine,False,False,False,,-1
391,meridia,sibutramine,sibutramine,True,False,,-1
392,tetrahydrolipstatin,sibutramine,False,False,False,,-1
393,lorcaserin,sibutramine,lorcaserin,False,False,,-1
394,phentermine,sibutramine,phentermine,False,False,,-1
395,topiramate,sibutramine,topiramate,False,False,,-1
396,naltrexone,sibutramine,naltrexone,False,False,,-1
