,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,stanol,stanolone,ethanol,False,False,,-1
1,stanol-based,stanolone,False,False,False,,-1
2,stanolone-based,stanolone,False,False,True,,1
3,stanolone,stanolone,stanolone,True,True,,4
4,stanolic,stanolone,False,False,False,,-1
5,steroidogenic,stanolone,False,False,False,,-1
6,c17-alpha-alkylated,stanolone,False,False,False,,-1
7,5alpha-reduced,stanolone,False,False,False,,-1
8,stanolon,stanolone,False,False,True,,2
9,androstenediol,stanolone,androstenediol,False,False,,-1
10,testosterone_propionate,stanolone,testosterone_propionate,False,False,,-1
11,methandriol,stanolone,False,False,False,,-1
12,methylnandrolone,stanolone,False,False,False,,-1
13,androgen,stanolone,False,False,False,,-1
14,anabolic_steroid,stanolone,False,False,False,,-1
15,male_hormone,stanolone,False,False,False,,-1
16,stanolon,stanolone,False,False,True,,2
17,androstanolone,stanolone,stanolone,True,True, slang,4
18,stanozolol,stanolone,stanozolol,False,False,,-1
19,stanazol,stanolone,danazol,False,False,,-1
20,testosterone,stanolone,testosterone,False,False,,-1
21,stanozolol,stanolone,stanozolol,False,False,,-1
22,stanza,stanolone,False,False,False,,-1
23,protin,stanolone,ibuprofen,False,False,,-1
24,stannol,stanolone,False,False,False,,-1
25,stanol,stanolone,ethanol,False,False,,-1
26,stanozolol,stanolone,stanozolol,False,False,,-1
27,androstanolone,stanolone,stanolone,True,True, slang,4
28,stanolone,stanolone,stanolone,True,True,,4
29,stanolon,stanolone,False,False,True,,2
30,steryd,stanolone,False,False,False,,-1
31,sterydowe,stanolone,False,False,False,,-1
32,testosteronu,stanolone,False,False,False,,-1
33,stanol,stanolone,ethanol,False,False,,-1
34,stanalone,stanolone,False,False,True,,4
35,androgen,stanolone,False,False,False,,-1
36,tesosterone,stanolone,testosterone,False,False,,-1
37,p'tein,stanolone,False,False,False,,-1
38,stanolone,stanolone,stanolone,True,True,,4
39,testosterone,stanolone,testosterone,False,False,,-1
40,stanolon,stanolone,False,False,True,,2
41,dihydrotestosteron,stanolone,stanolone,True,False,,-1
42,stanolol,stanolone,False,False,False,,-1
43,stanolone,stanolone,stanolone,True,True,,4
44,anabolic,stanolone,False,False,False,,-1
45,androgen,stanolone,False,False,False,,-1
46,masculinizing,stanolone,False,False,False,,-1
47,methyl_testosterone,stanolone,testosterone,False,False,,-1
48,nadrolone,stanolone,nandrolone,False,False,,-1
49,stanozolol,stanolone,stanozolol,False,False,,-1
50,fluoxymesterone,stanolone,fluoxymesterone,False,False,,-1
51,testagen,stanolone,testosterone,False,False,,-1
52,stanozol,stanolone,stanozolol,False,False,,-1
53,stanonin,stanolone,False,False,False,,-1
54,stanogen,stanolone,False,False,False,,-1
55,stanolon,stanolone,False,False,True,,2
56,stanolix,stanolone,False,False,False,,-1
57,stanozolol,stanolone,stanozolol,False,False,,-1
58,stanazol,stanolone,danazol,False,False,,-1
59,testosterone,stanolone,testosterone,False,False,,-1
60,stanozolol,stanolone,stanozolol,False,False,,-1
61,stanolone,stanolone,stanolone,True,True,,4
62,stanalone,stanolone,False,False,True,,4
63,testosterolone,stanolone,False,False,False,,-1
64,androstane,stanolone,False,False,False,,-1
65,androstenolone,stanolone,stanolone,True,False,,-1
66,testosterone,stanolone,testosterone,False,False,,-1
67,androstanolone,stanolone,stanolone,True,True, slang,4
68,stanolon,stanolone,False,False,True,,2
69,stanolone,stanolone,stanolone,True,True,,4
70,stanozolol,stanolone,stanozolol,False,False,,-1
71,methyltestosterone,stanolone,methyltestosterone,False,False,,-1
72,nandrolone,stanolone,nandrolone,False,False,,-1
73,boldenone,stanolone,boldenone,False,False,,-1
74,testosterone,stanolone,testosterone,False,False,,-1
75,methenolone,stanolone,False,False,False,,-1
76,androgen,stanolone,False,False,False,,-1
77,anabolic_steroid,stanolone,False,False,False,,-1
78,androgenic_hormone,stanolone,False,False,False,,-1
79,5α-androstan-17β-ol-3-one,stanolone,False,False,False,,-1
80,3β-hydroxy-5α-androstan-17-one,stanolone,False,False,False,,-1
81,stanolayer,stanolone,False,False,False,,-1
82,stanolone,stanolone,stanolone,True,True,,4
83,hormona,stanolone,False,False,False,,-1
84,steroide,stanolone,False,False,False,,-1
85,epiandrosterone,stanolone,False,False,False,,-1
86,androstanolone,stanolone,stanolone,True,True, slang,4
87,17-methyl-5alpha-androstan-3-one,stanolone,False,False,False,,-1
88,3-keto-17beta-hydroxy-5alpha-androstan-17-one,stanolone,False,False,False,,-1
89,17beta-hydroxy-5alpha-androstan-3-one,stanolone,False,False,False,,-1
90,"5alpha-androstan-3-one,17beta-ol",stanolone,False,False,False,,-1
91,steroide,stanolone,False,False,False,,-1
92,androstanolone,stanolone,stanolone,True,True, slang,4
93,stanolon,stanolone,False,False,True,,2
94,17-hydroxy-5alpha-androstan-3-one,stanolone,False,False,True,,6
95,5alpha-androstan-17-ol-3-one,stanolone,False,False,False,,-1
96,proucide,stanolone,False,False,False,,-1
97,protoesteroide,stanolone,False,False,False,,-1
98,steroide,stanolone,False,False,False,,-1
99,androsterone,stanolone,aldosterone,False,False,,-1
100,etiocholanolone,stanolone,False,False,False,,-1
101,5α-dihydrotestosterone,stanolone,False,False,False,,-1
102,dht,stanolone,stanolone,True,False,,-1
103,androstenolone,stanolone,stanolone,True,False,,-1
104,5alpha-androstan-17alpha-ol-3-one,stanolone,False,False,False,,-1
105,17alpha-hydroxyandrostan-3-one,stanolone,False,False,False,,-1
106,stanazolol,stanolone,stanozolol,False,False,,-1
107,stanozolol,stanolone,stanozolol,False,False,,-1
