,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,centadol,tapentadol,False,False,False,,-1
1,dolophine,tapentadol,methadone,False,False,,-1
2,morphine,tapentadol,morphine,False,False,,-1
3,opium,tapentadol,opium,False,False,,-1
4,codeine,tapentadol,codeine,False,False,,-1
5,heroin,tapentadol,heroin,False,False,,-1
6,paregoric,tapentadol,morphine,False,False,,-1
7,tapentadol,tapentadol,tapentadol,True,True,,4
8,pentadol,tapentadol,False,False,False,,-1
9,atadol,tapentadol,False,False,False,,-1
10,pleoda,tapentadol,False,False,False,,-1
11,saladin,tapentadol,False,False,False,,-1
12,nucenta,tapentadol,tapentadol,True,False,,-1
13,tapen,tapentadol,False,False,False,,-1
14,tadin,tapentadol,False,False,False,,-1
15,supradol,tapentadol,False,False,False,,-1
16,tapenta,tapentadol,False,False,True,,10
17,tapen,tapentadol,False,False,False,,-1
18,dolcet,tapentadol,False,False,False,,-1
19,tapal,tapentadol,tapentadol,True,False,,-1
20,todol,tapentadol,False,False,False,,-1
21,tapen-t,tapentadol,False,False,False,,-1
22,tapalet,tapentadol,False,False,False,,-1
23,topenta,tapentadol,False,False,True,,4
24,brilia,tapentadol,False,False,False,,-1
25,tapenta,tapentadol,False,False,True,,10
26,tapentron,tapentadol,False,False,False,,-1
27,tapentum,tapentadol,False,False,False,,-1
28,tapazol,tapentadol,methimazole,False,False,,-1
29,tazepam,tapentadol,False,False,False,,-1
30,nucynta_er,tapentadol,tapentadol,True,True,,5
31,paladol,tapentadol,False,False,False,,-1
32,panadol,tapentadol,False,False,False,,-1
33,amidol,tapentadol,False,False,False,,-1
34,anadol,tapentadol,False,False,False,,-1
35,buprenorphine,tapentadol,buprenorphine,False,False,,-1
36,butorphanol,tapentadol,butorphanol,False,False,,-1
37,celecoxib,tapentadol,celecoxib,False,False,,-1
38,codeine,tapentadol,codeine,False,False,,-1
39,diflunisal,tapentadol,diflunisal,False,False,,-1
40,diphenhydramine,tapentadol,diphenhydramine,False,False,,-1
41,fentanyl,tapentadol,fentanyl,False,False,,-1
