,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,amandarin,zaleplon,False,False,False,,-1
1,balovaptan,zaleplon,False,False,False,,-1
2,brotizolam,zaleplon,brotizolam,False,False,,-1
3,cinolizin,zaleplon,False,False,False,,-1
4,cyclazocine,zaleplon,False,False,False,,-1
5,diclofenac,zaleplon,diclofenac,False,False,,-1
6,droperidol,zaleplon,droperidol,False,False,,-1
7,etizolam,zaleplon,etizolam,False,False,,-1
8,fentanyl,zaleplon,fentanyl,False,False,,-1
9,flibanserin,zaleplon,flibanserin,False,False,,-1
10,gabapentin,zaleplon,gabapentin,False,False,,-1
11,ibogaine,zaleplon,False,False,False,,-1
12,ketazolam,zaleplon,False,False,False,,-1
13,lorazepam,zaleplon,lorazepam,False,False,,-1
14,midazolam,zaleplon,midazolam,False,False,,-1
15,nalbuphine,zaleplon,nalbuphine,False,False,,-1
16,ocinaplon,zaleplon,False,False,True,,3
17,oxycodone,zaleplon,oxycodone,False,False,,-1
18,pentazocine,zaleplon,pentazocine,False,False,,-1
19,phencyclidine,zaleplon,phencyclidine,False,False,,-1
20,quazepam,zaleplon,quazepam,False,False,,-1
21,remifentanil,zaleplon,remifentanil,False,False,,-1
22,sufentanil,zaleplon,sufentanil,False,False,,-1
23,tapentadol,zaleplon,tapentadol,False,False,,-1
24,zolpidem,zaleplon,zolpidem,False,False,,-1
25,starnet,zaleplon,False,False,False,,-1
26,zaloton,zaleplon,False,False,False,,-1
27,z-drug,zaleplon,False,False,False,,-1
28,zaleplaw,zaleplon,False,False,False,,-1
29,zaleplox,zaleplon,False,False,False,,-1
30,zaleplon,zaleplon,zaleplon,True,True,,4
31,zaleplon_hydroxybutanoate,zaleplon,False,True,True,,3
32,zaleplon_oxymethanesulfonate,zaleplon,False,True,False,,-1
33,zephir,zaleplon,False,False,False,,-1
34,jsonium,zaleplon,False,False,False,,-1
35,snore,zaleplon,False,False,False,,-1
36,solaena,zaleplon,False,False,False,,-1
37,soneata,zaleplon,False,False,False,,-1
38,zaleplons,zaleplon,False,False,True,,2
39,zaleplones,zaleplon,False,False,True,,1
40,zalepton,zaleplon,False,False,True,,1
41,plonazepam,zaleplon,False,False,False,,-1
42,lunesta,zaleplon,eszopiclone,False,False,,-1
43,sonata,zaleplon,zaleplon,True,False,,-1
44,sanorana,zaleplon,False,False,False,,-1
45,evented,zaleplon,False,False,False,,-1
46,riber,zaleplon,False,False,False,,-1
47,spinneret,zaleplon,False,False,False,,-1
48,eyestalk,zaleplon,False,False,False,,-1
49,gregarious,zaleplon,False,False,False,,-1
50,diurnal,zaleplon,False,False,False,,-1
51,nocturnal,zaleplon,False,False,False,,-1
52,stilnox,zaleplon,zolpidem,False,True,,10
53,zolpidem,zaleplon,zolpidem,False,False,,-1
54,sonatiptan,zaleplon,False,False,False,,-1
55,zaleplena,zaleplon,False,False,False,,-1
56,zaleplon,zaleplon,zaleplon,True,True,,4
57,sunates,zaleplon,False,False,False,,-1
58,toedrop,zaleplon,False,False,False,,-1
59,hypnocil,zaleplon,False,False,False,,-1
60,stilnox,zaleplon,zolpidem,False,True,,10
61,zolpidem,zaleplon,zolpidem,False,False,,-1
62,insignia,zaleplon,False,False,False,,-1
63,zep_one,zaleplon,False,False,False,,-1
64,zaleplax,zaleplon,False,False,False,,-1
65,starnet,zaleplon,False,False,False,,-1
66,zimovane,zaleplon,zopiclone,False,False,,-1
67,starnight,zaleplon,False,False,False,,-1
68,zepam,zaleplon,False,False,False,,-1
69,zaleplum,zaleplon,False,False,False,,-1
70,zeprane,zaleplon,False,False,False,,-1
71,zuclopenthixol,zaleplon,zuclopenthixol,False,False,,-1
72,zaleplon,zaleplon,zaleplon,True,True,,4
73,sanate,zaleplon,False,False,False,,-1
74,serenata,zaleplon,False,False,False,,-1
75,zepan,zaleplon,False,False,False,,-1
76,zolbien,zaleplon,False,False,False,,-1
77,zoldem,zaleplon,goserelin,False,True,,10
78,zolnoon,zaleplon,False,False,False,,-1
79,zonabs,zaleplon,False,False,False,,-1
80,ambitropin,zaleplon,False,False,False,,-1
81,sonata,zaleplon,zaleplon,True,False,,-1
82,starnoc,zaleplon,zaleplon,True,True,,1
83,hypnotic,zaleplon,False,False,False,,-1
84,allepone,zaleplon,False,False,False,,-1
85,zaleponum,zaleplon,False,False,False,,-1
86,zephyrs,zaleplon,False,False,False,,-1
87,zalepron,zaleplon,False,False,True,,1
88,zaleplons,zaleplon,False,False,True,,2
89,halcion,zaleplon,triazolam,False,False,,-1
90,ambien,zaleplon,zolpidem,False,False,,-1
91,lunesta,zaleplon,eszopiclone,False,False,,-1
92,sonata,zaleplon,zaleplon,True,False,,-1
93,temazepam,zaleplon,temazepam,False,False,,-1
94,zolpidem,zaleplon,zolpidem,False,False,,-1
95,flurazepam,zaleplon,flurazepam,False,False,,-1
96,zaleplons,zaleplon,False,False,True,,2
97,zaleplads,zaleplon,False,False,False,,-1
98,zaleplaks,zaleplon,False,False,False,,-1
99,zalepton,zaleplon,False,False,True,,1
100,zalepylon,zaleplon,False,False,False,,-1
101,zaleplon,zaleplon,zaleplon,True,True,,4
102,zolpidem,zaleplon,zolpidem,False,False,,-1
103,eszopiclone,zaleplon,eszopiclone,False,True,,8
104,zaleplon,zaleplon,zaleplon,True,True,,4
105,zale,zaleplon,False,False,False,,-1
106,zerene,zaleplon,False,False,False,,-1
107,zolpidem,zaleplon,zolpidem,False,False,,-1
108,zalejon,zaleplon,False,False,False,,-1
109,zomelon,zaleplon,False,False,False,,-1
110,zanamivir,zaleplon,zanamivir,False,False,,-1
111,zonisamide,zaleplon,zonisamide,False,False,,-1
112,sonata,zaleplon,zaleplon,True,False,,-1
113,zalipon,zaleplon,False,False,False,,-1
114,zalebyon,zaleplon,False,False,False,,-1
115,zalegon,zaleplon,False,False,False,,-1
116,zaleton,zaleplon,False,False,False,,-1
117,zalevon,zaleplon,False,False,False,,-1
118,zaleyon,zaleplon,False,False,True,,2
119,zalezon,zaleplon,False,False,False,,-1
120,azor,zaleplon,olmesartan,False,False,,-1
121,lunesta,zaleplon,eszopiclone,False,False,,-1
122,starnet,zaleplon,False,False,False,,-1
123,netizen,zaleplon,False,False,False,,-1
124,online_persona,zaleplon,False,False,False,,-1
125,online_user,zaleplon,False,False,False,,-1
126,netizen,zaleplon,False,False,False,,-1
127,zaleplond,zaleplon,False,False,False,,-1
128,zalepond,zaleplon,False,False,False,,-1
129,stardata,zaleplon,False,False,False,,-1
130,sanata,zaleplon,False,False,False,,-1
131,zaleplen,zaleplon,False,False,True,,1
132,starnet,zaleplon,False,False,False,,-1
133,hypersomnia,zaleplon,False,False,False,,-1
134,eszopiclone,zaleplon,eszopiclone,False,True,,8
135,zolpidem,zaleplon,zolpidem,False,False,,-1
136,bezzagon,zaleplon,False,False,False,,-1
137,quazepam,zaleplon,quazepam,False,False,,-1
138,zalepla,zaleplon,False,False,True,,1
139,zepzon,zaleplon,False,False,False,,-1
140,zaleplox,zaleplon,False,False,False,,-1
141,zaleplox,zaleplon,False,False,False,,-1
142,zolpidem,zaleplon,zolpidem,False,False,,-1
143,zonk,zaleplon,False,False,False,,-1
144,sonata,zaleplon,zaleplon,True,False,,-1
145,stilnoct,zaleplon,zolpidem,False,False,,-1
146,zolpidem,zaleplon,zolpidem,False,False,,-1
147,zolpidem,zaleplon,zolpidem,False,False,,-1
148,eszopiclone,zaleplon,eszopiclone,False,True,,8
149,zalepla,zaleplon,False,False,True,,1
150,zaleplas,zaleplon,False,False,True,,1
151,zaleplo,zaleplon,False,False,True,,1
152,zehylodine,zaleplon,False,False,False,,-1
153,zaleplone,zaleplon,False,False,True,,1
154,plonas,zaleplon,False,False,False,,-1
155,zepolons,zaleplon,False,False,False,,-1
156,salpelon,zaleplon,False,False,False,,-1
157,sepolon,zaleplon,False,False,False,,-1
158,zaleplone,zaleplon,False,False,True,,1
159,starnoc,zaleplon,zaleplon,True,True,,1
160,zolpidem,zaleplon,zolpidem,False,False,,-1
161,zalipon,zaleplon,False,False,False,,-1
162,zaleptin,zaleplon,False,False,False,,-1
163,zalepton,zaleplon,False,False,True,,1
164,stilnoct,zaleplon,zolpidem,False,False,,-1
165,imovane,zaleplon,zopiclone,False,False,,-1
166,zopiclone,zaleplon,eszopiclone,False,True,,4
167,stilnox,zaleplon,zolpidem,False,True,,10
168,zimovane,zaleplon,zopiclone,False,False,,-1
169,lunesta,zaleplon,eszopiclone,False,False,,-1
170,zaleplon,zaleplon,zaleplon,True,True,,4
171,thiopental,zaleplon,thiopental,False,False,,-1
172,pentobarbital,zaleplon,pentobarbital,False,False,,-1
173,phenobarbital,zaleplon,phenobarbital,False,False,,-1
174,secobarbital,zaleplon,secobarbital,False,False,,-1
175,tiopental,zaleplon,False,False,False,,-1
176,sonata,zaleplon,zaleplon,True,False,,-1
177,zaleplony,zaleplon,False,False,False,,-1
178,zaleplas,zaleplon,False,False,True,,1
179,zolpidem,zaleplon,zolpidem,False,False,,-1
180,zaleplopam,zaleplon,False,False,False,,-1
181,sonata,zaleplon,zaleplon,True,False,,-1
182,latano,zaleplon,False,False,False,,-1
183,zolpidem,zaleplon,zolpidem,False,False,,-1
184,zaleplon,zaleplon,zaleplon,True,True,,4
185,zaleplonum,zaleplon,False,False,False,,-1
186,starnald,zaleplon,False,False,False,,-1
187,fensipor,zaleplon,False,False,False,,-1
188,hypnogen,zaleplon,zolpidem,False,False,,-1
189,dormisol,zaleplon,False,False,False,,-1
190,imovane,zaleplon,zopiclone,False,False,,-1
191,zimovane,zaleplon,zopiclone,False,False,,-1
192,zaleanon,zaleplon,False,False,False,,-1
193,zalepla,zaleplon,False,False,True,,1
194,zaleplon,zaleplon,zaleplon,True,True,,4
195,zerit,zaleplon,stavudine,False,False,,-1
196,zaleplow,zaleplon,False,False,False,,-1
197,sunatas,zaleplon,False,False,False,,-1
198,sunatina,zaleplon,False,False,False,,-1
199,sunata,zaleplon,False,False,False,,-1
200,zaleplo,zaleplon,False,False,True,,1
201,starnson,zaleplon,False,False,False,,-1
202,sleepease,zaleplon,False,False,False,,-1
203,zaleplonum,zaleplon,False,False,False,,-1
204,zimovane,zaleplon,zopiclone,False,False,,-1
205,sonatin,zaleplon,False,False,False,,-1
206,sonnate,zaleplon,False,False,False,,-1
207,sonnet,zaleplon,False,False,False,,-1
208,sonnette,zaleplon,False,False,False,,-1
209,sonnnet,zaleplon,False,False,False,,-1
210,sunat,zaleplon,False,False,False,,-1
211,sunnate,zaleplon,False,False,False,,-1
212,zolpidem,zaleplon,zolpidem,False,False,,-1
213,zaleplone,zaleplon,False,False,True,,1
214,zonisepam,zaleplon,False,False,False,,-1
215,newblet,zaleplon,False,False,False,,-1
216,zimovane,zaleplon,zopiclone,False,False,,-1
217,imovane,zaleplon,zopiclone,False,False,,-1
218,dormicum,zaleplon,midazolam,False,False,,-1
219,zopiclone,zaleplon,eszopiclone,False,True,,4
220,starnoc,zaleplon,zaleplon,True,True,,1
221,date_rape_drug,zaleplon,False,False,False,,-1
222,zaleplonum,zaleplon,False,False,False,,-1
223,zaleplons,zaleplon,False,False,True,,2
224,zelapar,zaleplon,selegiline,False,False,,-1
225,stagna,zaleplon,False,False,False,,-1
226,stilnoct,zaleplon,zolpidem,False,False,,-1
227,zolpidem,zaleplon,zolpidem,False,False,,-1
228,zimovane,zaleplon,zopiclone,False,False,,-1
229,imovane,zaleplon,zopiclone,False,False,,-1
230,zaleplas,zaleplon,False,False,True,,1
231,zalepla,zaleplon,False,False,True,,1
232,zaleplen,zaleplon,False,False,True,,1
233,zalepler,zaleplon,False,False,False,,-1
234,zaleplest,zaleplon,False,False,False,,-1
235,sonata,zaleplon,zaleplon,True,False,,-1
236,starnet,zaleplon,False,False,False,,-1
237,zalet,zaleplon,False,False,False,,-1
238,zalebon,zaleplon,False,False,False,,-1
239,sonatab,zaleplon,False,False,False,,-1
240,stundra,zaleplon,False,False,False,,-1
241,sonata,zaleplon,zaleplon,True,False,,-1
242,sonnata,zaleplon,False,False,False,,-1
243,sleeping_pill,zaleplon,False,False,True,,1
244,hypnotic,zaleplon,False,False,False,,-1
245,tranquilizer,zaleplon,False,False,False,,-1
246,starnoc,zaleplon,zaleplon,True,True,,1
247,xyrem,zaleplon,sodium_oxybate,False,False,,-1
248,sonat,zaleplon,False,False,False,,-1
249,zaleplon,zaleplon,zaleplon,True,True,,4
250,doc,zaleplon,False,False,False,,-1
251,zemplar,zaleplon,False,False,False,,-1
252,eszopiclone,zaleplon,eszopiclone,False,True,,8
253,lunesta,zaleplon,eszopiclone,False,False,,-1
254,nurisolon,zaleplon,False,False,False,,-1
255,oxaprozin,zaleplon,oxaprozin,False,False,,-1
256,zopiclone,zaleplon,eszopiclone,False,True,,4
257,impatience,zaleplon,False,False,False,,-1
258,sonata,zaleplon,zaleplon,True,False,,-1
259,zolpidem,zaleplon,zolpidem,False,False,,-1
260,zalepton,zaleplon,False,False,True,,1
261,zolpidem,zaleplon,zolpidem,False,False,,-1
262,eszopiclone,zaleplon,eszopiclone,False,True,,8
263,zaleplon,zaleplon,zaleplon,True,True,,4
264,zaleplox,zaleplon,False,False,False,,-1
265,sof_lunesta,zaleplon,False,False,True,,3
266,eszopiclone,zaleplon,eszopiclone,False,True,,8
267,zoplicone,zaleplon,zopiclone,False,True,,2
268,stilnoct,zaleplon,zolpidem,False,False,,-1
269,normison,zaleplon,temazepam,False,False,,-1
270,imovane,zaleplon,zopiclone,False,False,,-1
271,zimovane,zaleplon,zopiclone,False,False,,-1
272,mazepam,zaleplon,oxazepam,False,False,,-1
273,sopor,zaleplon,False,False,False,,-1
274,hypnogen,zaleplon,zolpidem,False,False,,-1
275,dormicum,zaleplon,midazolam,False,False,,-1
276,zolpidem,zaleplon,zolpidem,False,False,,-1
277,sanofi-aventis,zaleplon,False,False,False,,-1
278,tavor,zaleplon,False,False,False,,-1
279,valium,zaleplon,diazepam,False,False,,-1
280,somnite,zaleplon,False,False,False,,-1
281,sleep_medication,zaleplon,False,False,True,,1
282,enovid,zaleplon,False,False,False,,-1
283,eszopiclone,zaleplon,eszopiclone,False,True,,8
284,zimovane,zaleplon,zopiclone,False,False,,-1
285,zolpidem,zaleplon,zolpidem,False,False,,-1
286,zaleplon,zaleplon,zaleplon,True,True,,4
287,stilnoct,zaleplon,zolpidem,False,False,,-1
288,salipax,zaleplon,False,False,False,,-1
289,sanityl,zaleplon,False,False,False,,-1
290,hypnogen,zaleplon,zolpidem,False,False,,-1
291,nedson,zaleplon,False,False,False,,-1
