,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,snooz,zolpidem,False,False,False,,-1
1,knock_out,zolpidem,False,False,False,,-1
2,downer,zolpidem,False,False,False,,-1
3,mickey,zolpidem,False,False,False,,-1
4,qualudes,zolpidem,methaqualone,False,False,,-1
5,reds,zolpidem,False,False,False,,-1
6,skeeves,zolpidem,False,False,False,,-1
7,zolpidem_tartrate,zolpidem,zolpidem,True,True,,1
8,zolpidem_10_mg,zolpidem,False,True,True,,1
9,zolpidem_sleeping_pill,zolpidem,False,True,True,,1
10,zolpidem_er,zolpidem,False,True,True,,1
11,zolpidem_cr,zolpidem,False,True,True,,1
12,zolpimide,zolpidem,False,False,False,,-1
13,zoloft,zolpidem,sertraline,False,False,,-1
14,zolofts,zolpidem,sertraline,False,False,,-1
15,zolpimist,zolpidem,zolpidem,True,True,,4
16,zolpidem_tartrate,zolpidem,zolpidem,True,True,,1
17,sonata,zolpidem,zaleplon,False,False,,-1
18,lunesta,zolpidem,eszopiclone,False,False,,-1
19,restoril,zolpidem,temazepam,False,False,,-1
20,temazepam,zolpidem,temazepam,False,False,,-1
21,topomax,zolpidem,topiramate,False,False,,-1
22,valium,zolpidem,diazepam,False,False,,-1
23,xanax,zolpidem,alprazolam,False,False,,-1
24,zoldipem,zolpidem,zolpidem,True,True,,5
25,zopidem,zolpidem,zolpidem,True,True,,1
26,zaleplon,zolpidem,zaleplon,False,True,,6
27,zolpimist,zolpidem,zolpidem,True,True,,4
28,zoplicone,zolpidem,zopiclone,False,True,,2
29,hypnotic,zolpidem,False,False,False,,-1
30,soporific,zolpidem,False,False,False,,-1
31,zolpimist,zolpidem,zolpidem,True,True,,4
32,hypnodorm,zolpidem,flunitrazepam,False,False,,-1
33,zoldem,zolpidem,goserelin,False,True,,1
34,zolnox,zolpidem,False,False,True,,3
35,zopidem,zolpidem,zolpidem,True,True,,1
36,zopiclone,zolpidem,eszopiclone,False,True,,4
37,dormicum,zolpidem,midazolam,False,False,,-1
38,eszopiclone,zolpidem,eszopiclone,False,True,,7
39,zopiclone,zolpidem,eszopiclone,False,True,,4
40,zaleplon,zolpidem,zaleplon,False,True,,6
41,sonata,zolpidem,zaleplon,False,False,,-1
42,zolpidem_tartrate,zolpidem,zolpidem,True,True,,1
43,ambien,zolpidem,zolpidem,True,False,,-1
44,ambien_cr,zolpidem,zolpidem,True,True,,3
45,edluar,zolpidem,zolpidem,True,True,,3
46,intermezzo,zolpidem,zolpidem,True,False,,-1
47,zolpimist,zolpidem,zolpidem,True,True,,4
48,zolbien,zolpidem,False,False,False,,-1
49,zolp,zolpidem,False,False,True,,1
50,zoldac,zolpidem,False,False,False,,-1
51,zolbien,zolpidem,False,False,False,,-1
52,zolpid,zolpidem,False,False,True,,1
53,zolnox,zolpidem,False,False,True,,3
54,zolmit,zolpidem,False,False,True,,6
55,zaleplon,zolpidem,zaleplon,False,True,,6
56,eszopiclone,zolpidem,eszopiclone,False,True,,7
57,zolpimist,zolpidem,zolpidem,True,True,,4
