,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth
0,zolpidem,zopiclone,zolpidem,False,False,,-1
1,zaleplon,zopiclone,zaleplon,False,False,,-1
2,eszopiclone,zopiclone,eszopiclone,False,False,,-1
3,flurazepam,zopiclone,flurazepam,False,False,,-1
4,quazepam,zopiclone,quazepam,False,False,,-1
5,benzodiazepines,zopiclone,benzodiazepine,False,False,,-1
6,eszopiclone,zopiclone,eszopiclone,False,False,,-1
7,zopicon,zopiclone,False,False,True,,1
8,zimovane,zopiclone,zopiclone,True,True,,1
9,zimovane,zopiclone,zopiclone,True,True,,1
10,zimovane,zopiclone,zopiclone,True,True,,1
11,zaleplon,zopiclone,zaleplon,False,False,,-1
12,sonata,zopiclone,zaleplon,False,False,,-1
13,zimovane,zopiclone,zopiclone,True,True,,1
14,stilnoct,zopiclone,zolpidem,False,True,,4
15,zolpidem,zopiclone,zolpidem,False,False,,-1
16,zopiclane,zopiclone,False,False,True,,1
17,zopinax,zopiclone,False,False,True,,1
18,zopito,zopiclone,False,False,False,,-1
19,zopiclonex,zopiclone,False,False,True,,2
20,zimovane,zopiclone,zopiclone,True,True,,1
21,zopicon,zopiclone,False,False,True,,1
22,zaleplon,zopiclone,zaleplon,False,False,,-1
23,eszopiclone,zopiclone,eszopiclone,False,False,,-1
24,zapone,zopiclone,False,False,False,,-1
25,zolpidem,zopiclone,zolpidem,False,False,,-1
26,valium,zopiclone,diazepam,False,False,,-1
27,zopiclone_tablets,zopiclone,False,True,True,,1
28,zopiclone_pills,zopiclone,False,True,True,,1
29,zopiclone_medication,zopiclone,False,True,True,,1
30,zopiclone_drug,zopiclone,False,True,True,,1
31,zimovane,zopiclone,zopiclone,True,True,,1
32,zopeclon,zopiclone,False,False,True,,3
33,zopelcon,zopiclone,False,False,False,,-1
34,zopiclon,zopiclone,zopiclone,True,True,,1
35,zopliclon,zopiclone,False,False,True,,2
36,zopiclone,zopiclone,eszopiclone,True,True,,1
37,imovane,zopiclone,zopiclone,True,True,,1
38,hypnogen,zopiclone,zolpidem,False,False,,-1
39,dormicum,zopiclone,midazolam,False,False,,-1
40,lirequinil,zopiclone,False,False,False,,-1
41,innopran,zopiclone,propranolol,False,False,,-1
42,zaleplon,zopiclone,zaleplon,False,False,,-1
43,sonata,zopiclone,zaleplon,False,False,,-1
44,zimovane,zopiclone,zopiclone,True,True,,1
45,zopical,zopiclone,False,False,True,,1
46,zopiklon,zopiclone,False,False,True,,1
47,zopiclonee,zopiclone,False,False,True,,1
48,zopicloni,zopiclone,False,False,True,,3
49,lonazep,zopiclone,False,False,False,,-1
50,fluoxetine,zopiclone,fluoxetine,False,False,,-1
51,paroxetine,zopiclone,paroxetine,False,False,,-1
52,sertraline,zopiclone,sertraline,False,False,,-1
53,escitalopram,zopiclone,escitalopram,False,False,,-1
54,citalopram,zopiclone,citalopram,False,False,,-1
55,stilnox,zopiclone,zolpidem,False,False,,-1
56,loramet,zopiclone,False,False,False,,-1
57,myolastan,zopiclone,False,False,False,,-1
58,naepali,zopiclone,False,False,False,,-1
59,noctald,zopiclone,False,False,False,,-1
60,resimovir,zopiclone,False,False,False,,-1
61,zaleplon,zopiclone,zaleplon,False,False,,-1
62,zolpidem,zopiclone,zolpidem,False,False,,-1
63,zopiclonef,zopiclone,False,False,True,,1
64,zopinol,zopiclone,False,False,True,,7
65,zopinon,zopiclone,False,False,True,,8
66,zopitag,zopiclone,False,False,False,,-1
67,zopitax,zopiclone,False,False,False,,-1
68,zopitan,zopiclone,False,False,True,,2
69,zopredon,zopiclone,False,False,False,,-1
70,zimovane,zopiclone,zopiclone,True,True,,1
71,zopitonna,zopiclone,False,False,False,,-1
72,zaleplon,zopiclone,zaleplon,False,False,,-1
73,eszopiclone,zopiclone,eszopiclone,False,False,,-1
74,zimovane,zopiclone,zopiclone,True,True,,1
75,flumazenil,zopiclone,flumazenil,False,False,,-1
76,lorazepam,zopiclone,lorazepam,False,False,,-1
77,estazolam,zopiclone,estazolam,False,False,,-1
78,flurazepam,zopiclone,flurazepam,False,False,,-1
79,quazepam,zopiclone,quazepam,False,False,,-1
80,temazepam,zopiclone,temazepam,False,False,,-1
81,triazolam,zopiclone,triazolam,False,False,,-1
82,zopiclone_hydrate,zopiclone,False,True,True,,2
83,zopiclone_oxide,zopiclone,False,True,True,,1
84,zaleplon,zopiclone,zaleplon,False,False,,-1
85,sonata,zopiclone,zaleplon,False,False,,-1
86,zolpidem,zopiclone,zolpidem,False,False,,-1
87,zaleplon,zopiclone,zaleplon,False,False,,-1
88,eszopiclone,zopiclone,eszopiclone,False,False,,-1
89,ramelteon,zopiclone,ramelteon,False,False,,-1
90,apo-zopiclone,zopiclone,False,False,True,,1
91,dormimag,zopiclone,False,False,False,,-1
92,zimovane,zopiclone,zopiclone,True,True,,1
93,zopiron,zopiclone,False,False,False,,-1
94,zopinox,zopiclone,False,False,True,,5
95,stilnox,zopiclone,zolpidem,False,False,,-1
96,zolpidem,zopiclone,zolpidem,False,False,,-1
97,zopi,zopiclone,False,False,True, pill,1
98,zop,zopiclone,False,False,True, pill,1
99,zimovane,zopiclone,zopiclone,True,True,,1
100,zopiclonum,zopiclone,False,False,True,,1
101,zoplicone,zopiclone,zopiclone,True,True,,1
102,imovane,zopiclone,zopiclone,True,True,,1
103,zimovane,zopiclone,zopiclone,True,True,,1
104,donormyl,zopiclone,False,False,False,,-1
105,edluar,zopiclone,zolpidem,False,False,,-1
106,eszopiclone,zopiclone,eszopiclone,False,False,,-1
107,zaleplon,zopiclone,zaleplon,False,False,,-1
108,zopiclonum,zopiclone,False,False,True,,1
109,zimovane,zopiclone,zopiclone,True,True,,1
110,zaleplon,zopiclone,zaleplon,False,False,,-1
111,zolpidem,zopiclone,zolpidem,False,False,,-1
112,zopiclonerex,zopiclone,False,False,False,,-1
113,zopiclonium,zopiclone,False,False,False,,-1
114,zopiclonex,zopiclone,False,False,True,,2
115,zopiclony,zopiclone,False,False,True,,1
116,zimovane,zopiclone,zopiclone,True,True,,1
117,zolpidem,zopiclone,zolpidem,False,False,,-1
118,zaleplon,zopiclone,zaleplon,False,False,,-1
119,eszopiclone,zopiclone,eszopiclone,False,False,,-1
120,zimovane,zopiclone,zopiclone,True,True,,1
121,zaleplon,zopiclone,zaleplon,False,False,,-1
122,eszopiclone,zopiclone,eszopiclone,False,False,,-1
123,sonata,zopiclone,zaleplon,False,False,,-1
124,zolpidem,zopiclone,zolpidem,False,False,,-1
125,zopiclonium,zopiclone,False,False,False,,-1
126,zopicloneum,zopiclone,False,False,True,,1
127,eszopiclone,zopiclone,eszopiclone,False,False,,-1
128,zolpimist,zopiclone,zolpidem,False,False,,-1
129,sleeping_pill,zopiclone,False,False,False,,-1
130,hypnotic,zopiclone,False,False,False,,-1
131,zaleplon,zopiclone,zaleplon,False,False,,-1
132,eszopiclone,zopiclone,eszopiclone,False,False,,-1
133,zapizolam,zopiclone,False,False,False,,-1
134,zapine,zopiclone,False,False,False,,-1
135,imovane,zopiclone,zopiclone,True,True,,1
136,mianserin,zopiclone,mianserin,False,False,,-1
137,oxazepam,zopiclone,oxazepam,False,False,,-1
138,lorazepam,zopiclone,lorazepam,False,False,,-1
139,alprazolam,zopiclone,alprazolam,False,False,,-1
140,zopitan,zopiclone,False,False,True,,2
141,zopiklon,zopiclone,False,False,True,,1
142,zopiclonum,zopiclone,False,False,True,,1
143,zopicloni,zopiclone,False,False,True,,3
144,zopiclonei,zopiclone,False,False,True,,2
145,amoban,zopiclone,False,False,False,,-1
146,eszopiclone,zopiclone,eszopiclone,False,False,,-1
147,hypnotic,zopiclone,False,False,False,,-1
148,sedative,zopiclone,False,False,False,,-1
149,iprazolam,zopiclone,False,False,False,,-1
150,iproclozide,zopiclone,iproclozide,False,False,,-1
151,isocarboxazid,zopiclone,isocarboxazid,False,False,,-1
152,isoclonazepam,zopiclone,False,False,False,,-1
153,isoflurane,zopiclone,isoflurane,False,False,,-1
154,isometheptene,zopiclone,isometheptene,False,False,,-1
155,ketazolam,zopiclone,False,False,False,,-1
156,zimovane,zopiclone,zopiclone,True,True,,1
157,layla,zopiclone,False,False,False,,-1
158,zispin,zopiclone,mirtazapine,False,False,,-1
159,setron,zopiclone,ketoprofen,False,False,,-1
160,zaleplon,zopiclone,zaleplon,False,False,,-1
161,zeptol,zopiclone,False,False,False,,-1
162,zolpimist,zopiclone,zolpidem,False,False,,-1
163,zopiclonemedate,zopiclone,False,False,False,,-1
164,zopiclonephate,zopiclone,False,False,False,,-1
165,zopiclonepropionate,zopiclone,False,False,True,,1
166,zopiclonerodiol,zopiclone,False,False,False,,-1
167,zopiclonetetrafluoroacetate,zopiclone,False,False,False,,-1
168,zimovane,zopiclone,zopiclone,True,True,,1
169,zimovane,zopiclone,zopiclone,True,True,,1
170,zopiclone,zopiclone,eszopiclone,True,True,,1
171,zopiclone,zopiclone,eszopiclone,True,True,,1
172,zopiclone,zopiclone,eszopiclone,True,True,,1
173,lorazepam,zopiclone,lorazepam,False,False,,-1
174,alprazolam,zopiclone,alprazolam,False,False,,-1
175,zimovane,zopiclone,zopiclone,True,True,,1
176,isopropylidene_difluoroacetoxyvalerate,zopiclone,False,False,False,,-1
177,zimovane,zopiclone,zopiclone,True,True,,1
178,diazepam,zopiclone,diazepam,False,False,,-1
179,lorazepam,zopiclone,lorazepam,False,False,,-1
180,alprazolam,zopiclone,alprazolam,False,False,,-1
181,clonazepam,zopiclone,clonazepam,False,False,,-1
182,temazepam,zopiclone,temazepam,False,False,,-1
183,flurazepam,zopiclone,flurazepam,False,False,,-1
184,ziploc,zopiclone,False,False,False,,-1
185,zolpidem,zopiclone,zolpidem,False,False,,-1
186,dormican,zopiclone,False,False,False,,-1
187,zolfresh,zopiclone,zolpidem,False,False,,-1
188,hypnodorm,zopiclone,flunitrazepam,False,False,,-1
189,zopitab,zopiclone,False,False,True, drug,5
190,zotran,zopiclone,False,False,False,,-1
191,trazodone,zopiclone,trazodone,False,False,,-1
192,ziplon,zopiclone,False,False,False,,-1
193,zopiclon,zopiclone,zopiclone,True,True,,1
194,zopiclones,zopiclone,zopiclone,True,True,,1
195,zaleplon,zopiclone,zaleplon,False,False,,-1
196,sonata,zopiclone,zaleplon,False,False,,-1
197,stilnoct,zopiclone,zolpidem,False,True,,4
198,zimovane,zopiclone,zopiclone,True,True,,1
199,zolpidem,zopiclone,zolpidem,False,False,,-1
200,zaleplon,zopiclone,zaleplon,False,False,,-1
201,zolpidem,zopiclone,zolpidem,False,False,,-1
202,eszopiclone,zopiclone,eszopiclone,False,False,,-1
203,zopiclone_hydrochloride,zopiclone,False,True,True,,1
204,zoprazepam,zopiclone,False,False,False,,-1
205,zimovane,zopiclone,zopiclone,True,True,,1
206,zimovaine,zopiclone,False,False,True,,1
207,zopiclon,zopiclone,zopiclone,True,True,,1
208,zopiclone,zopiclone,eszopiclone,True,True,,1
209,zopiclonum,zopiclone,False,False,True,,1
210,zoplicone,zopiclone,zopiclone,True,True,,1
211,zopinol,zopiclone,False,False,True,,7
212,zopro,zopiclone,False,False,False,,-1
213,zolsana,zopiclone,zolpidem,False,False,,-1
214,zimovane,zopiclone,zopiclone,True,True,,1
215,imovane,zopiclone,zopiclone,True,True,,1
216,zopiclon,zopiclone,zopiclone,True,True,,1
217,"6-oxopiperidin-3-yl_methyl_3-methyl-2h-1,2,4-triazolo[4,3-a]pyrazine-1(2h)-thione",zopiclone,False,False,False,,-1
218,zimovane,zopiclone,zopiclone,True,True,,1
219,stilnoct,zopiclone,zolpidem,False,True,,4
220,zolpidem,zopiclone,zolpidem,False,False,,-1
221,zaleplon,zopiclone,zaleplon,False,False,,-1
222,eszopiclone,zopiclone,eszopiclone,False,False,,-1
223,flumazenil,zopiclone,flumazenil,False,False,,-1
224,zopiclon,zopiclone,zopiclone,True,True,,1
225,zopiklon,zopiclone,False,False,True,,1
226,zimovane,zopiclone,zopiclone,True,True,,1
227,zolpidem,zopiclone,zolpidem,False,False,,-1
228,zolpidem,zopiclone,zolpidem,False,False,,-1
229,zopam,zopiclone,False,False,False,,-1
230,zoperex,zopiclone,False,False,False,,-1
231,zopidol,zopiclone,False,False,True,,1
232,zopicron,zopiclone,False,False,True,,1
233,zopivan,zopiclone,False,False,True,,2
234,zopizene,zopiclone,False,False,False,,-1
235,zopyron,zopiclone,False,False,False,,-1
236,zimovane,zopiclone,zopiclone,True,True,,1
237,sleep-eze,zopiclone,False,False,False,,-1
238,somnil,zopiclone,False,False,False,,-1
239,stilnox,zopiclone,zolpidem,False,False,,-1
240,zopiclonum,zopiclone,False,False,True,,1
241,zimovane,zopiclone,zopiclone,True,True,,1
242,movane,zopiclone,False,False,True,,3
243,dormicum,zopiclone,midazolam,False,False,,-1
244,zaleplon,zopiclone,zaleplon,False,False,,-1
245,sonata,zopiclone,zaleplon,False,False,,-1
246,stilnoct,zopiclone,zolpidem,False,True,,4
247,nitrazepam,zopiclone,nitrazepam,False,False,,-1
248,zopicalm,zopiclone,False,False,False,,-1
249,zopiclone,zopiclone,eszopiclone,True,True,,1
250,zimovane,zopiclone,zopiclone,True,True,,1
251,zopicon,zopiclone,False,False,True,,1
252,zaleplon,zopiclone,zaleplon,False,False,,-1
253,eszopiclone,zopiclone,eszopiclone,False,False,,-1
254,zolpidem,zopiclone,zolpidem,False,False,,-1
255,zopiclone,zopiclone,eszopiclone,True,True,,1
256,imovane,zopiclone,zopiclone,True,True,,1
257,zaleplon,zopiclone,zaleplon,False,False,,-1
258,zolpidem,zopiclone,zolpidem,False,False,,-1
259,eszopiclone,zopiclone,eszopiclone,False,False,,-1
260,zoplilone,zopiclone,False,False,True,,1
261,zopirone,zopiclone,False,False,True,,2
262,zopisone,zopiclone,False,False,False,,-1
263,zopiyone,zopiclone,False,False,False,,-1
264,zopiwone,zopiclone,False,False,True,,2
265,zopidone,zopiclone,False,False,True,,2
266,zopiklon,zopiclone,False,False,True,,1
267,zopwyn,zopiclone,False,False,False,,-1
268,zoplycon,zopiclone,False,False,False,,-1
269,zoppiklon,zopiclone,False,False,True, pill,2
270,zopic,zopiclone,False,False,True,,10
271,eszopiclone,zopiclone,eszopiclone,False,False,,-1
272,zimovane,zopiclone,zopiclone,True,True,,1
273,zolipkhon,zopiclone,False,False,False,,-1
274,zolpimist,zopiclone,zolpidem,False,False,,-1
275,stilnox,zopiclone,zolpidem,False,False,,-1
276,imovane,zopiclone,zopiclone,True,True,,1
277,zolpidem,zopiclone,zolpidem,False,False,,-1
278,ambien,zopiclone,zolpidem,False,False,,-1
279,zopiclane,zopiclone,False,False,True,,1
280,zimovane,zopiclone,zopiclone,True,True,,1
281,zaprine,zopiclone,False,False,False,,-1
282,zaleplon,zopiclone,zaleplon,False,False,,-1
283,zolpidem,zopiclone,zolpidem,False,False,,-1
284,zopiclone,zopiclone,eszopiclone,True,True,,1
285,zolpidem,zopiclone,zolpidem,False,False,,-1
286,zaleplon,zopiclone,zaleplon,False,False,,-1
287,xyrem,zopiclone,sodium_oxybate,False,False,,-1
288,eszopiclone,zopiclone,eszopiclone,False,False,,-1
289,zimovane,zopiclone,zopiclone,True,True,,1
290,imovanes,zopiclone,False,False,True,,3
291,zopiclone,zopiclone,eszopiclone,True,True,,1
292,zimovanes,zopiclone,False,False,True,,5
293,zopiclones,zopiclone,zopiclone,True,True,,1
294,zopicloneum,zopiclone,False,False,True,,1
295,zopiclane,zopiclone,False,False,True,,1
296,zopiclone_hydrate,zopiclone,False,True,True,,2
297,zimovane,zopiclone,zopiclone,True,True,,1
298,zaleplon,zopiclone,zaleplon,False,False,,-1
299,zopiclon,zopiclone,zopiclone,True,True,,1
300,zolpidem,zopiclone,zolpidem,False,False,,-1
301,zopiclone,zopiclone,eszopiclone,True,True,,1
302,zopiclone,zopiclone,eszopiclone,True,True,,1
303,zimovane,zopiclone,zopiclone,True,True,,1
304,zaleplon,zopiclone,zaleplon,False,False,,-1
305,zolpidem,zopiclone,zolpidem,False,False,,-1
306,zopiclon,zopiclone,zopiclone,True,True,,1
307,eszopiclone,zopiclone,eszopiclone,False,False,,-1
308,zimovane,zopiclone,zopiclone,True,True,,1
309,zaleplon,zopiclone,zaleplon,False,False,,-1
310,sonata,zopiclone,zaleplon,False,False,,-1
311,lunesta,zopiclone,eszopiclone,False,False,,-1
312,eszopiclone,zopiclone,eszopiclone,False,False,,-1
313,zopiclone,zopiclone,eszopiclone,True,True,,1
314,page,zopiclone,False,False,False,,-1
315,sleep_apnea,zopiclone,False,False,False,,-1
316,insomnia,zopiclone,False,False,False,,-1
317,zaleplon,zopiclone,zaleplon,False,False,,-1
318,eszopiclone,zopiclone,eszopiclone,False,False,,-1
319,zolpidem,zopiclone,zolpidem,False,False,,-1
320,benzodiazepines,zopiclone,benzodiazepine,False,False,,-1
321,ambien,zopiclone,zolpidem,False,False,,-1
322,zopiclon,zopiclone,zopiclone,True,True,,1
323,zopiclone_hydrochloride,zopiclone,False,True,True,,1
324,zopiclone_tartrate,zopiclone,False,True,True,,3
325,zopiclone,zopiclone,eszopiclone,True,True,,1
326,zolpidem,zopiclone,zolpidem,False,False,,-1
327,zimovane,zopiclone,zopiclone,True,True,,1
328,rh-34,zopiclone,False,False,False,,-1
329,zopiclonate,zopiclone,False,False,True,,1
330,zopiclone_hydrochloride,zopiclone,False,True,True,,1
331,zimovane,zopiclone,zopiclone,True,True,,1
332,zopiklon,zopiclone,False,False,True,,1
333,zopicut,zopiclone,False,False,False,,-1
