,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,GPT-3 term in Google,GPT-3 term + pill in Google
0,herion,heroin,heroin,True,False,True
1,heron,heroin,False,False,False,False
2,heroinum,heroin,False,False,True,True
3,smack,heroin,False,False,False,True
4,junk,heroin,False,False,False,False
5,brown_sugar,heroin,False,False,False,False
6,China_white,heroin,filgrastim,False,True,True
7,heroina,heroin,heroin,True,True,True
8,heroína,heroin,False,False,True,True
9,diacetylmorphine,heroin,heroin,True,True,True
10,morphine,heroin,morphine,False,False,False
11,diacetylmorphine,heroin,heroin,True,True,True
12,acetomorphine,heroin,False,False,True,False
13,smack,heroin,False,False,False,True
14,junk,heroin,False,False,False,False
15,brown_sugar,heroin,False,False,False,False
16,skag,heroin,False,False,False,True
17,horse,heroin,False,False,False,False
18,smack,heroin,False,False,False,True
19,brown_sugar,heroin,False,False,False,False
20,dope,heroin,False,False,False,True
21,dragon,heroin,False,False,False,False
22,hard_stuff,heroin,False,False,False,False
23,junk,heroin,False,False,False,False
24,herion,heroin,heroin,True,False,True
25,huron,heroin,False,False,False,False
26,smack,heroin,False,False,False,True
27,junk,heroin,False,False,False,False
28,smack,heroin,False,False,False,True
29,junk,heroin,False,False,False,False
30,derorin,heroin,False,False,False,False
31,reroir,heroin,False,False,False,False
32,hydromorphone,heroin,hydromorphone,False,False,False
33,oxymorphone,heroin,oxymorphone,False,False,False
34,morphia,heroin,morphine,False,False,True
35,smack,heroin,False,False,False,True
36,junk,heroin,False,False,False,False
37,heroinum,heroin,False,False,True,True
38,morphine,heroin,morphine,False,False,False
39,heroin,heroin,heroin,True,True,True
40,smack,heroin,False,False,False,True
41,junk,heroin,False,False,False,False
42,smack,heroin,False,False,False,True
43,junk,heroin,False,False,False,False
44,brown_sugar,heroin,False,False,False,False
45,China_white,heroin,filgrastim,False,True,True
46,smack,heroin,False,False,False,True
47,junk,heroin,False,False,False,False
48,smack,heroin,False,False,False,True
49,junk,heroin,False,False,False,False
50,smack,heroin,False,False,False,True
51,junk,heroin,False,False,False,False
52,brown_sugar,heroin,False,False,False,False
53,dragon,heroin,False,False,False,False
54,China_white,heroin,filgrastim,False,True,True
55,herion,heroin,heroin,True,False,True
56,herione,heroin,False,False,True,True
57,heron,heroin,False,False,False,False
58,heroinum,heroin,False,False,True,True
59,smack,heroin,False,False,False,True
60,brown_sugar,heroin,False,False,False,False
61,gear,heroin,False,False,False,False
62,horse,heroin,False,False,False,False
63,junk,heroin,False,False,False,False
64,brown_sugar,heroin,False,False,False,False
65,dope,heroin,False,False,False,True
66,smack,heroin,False,False,False,True
67,junk,heroin,False,False,False,False
68,horse,heroin,False,False,False,False
69,smack,heroin,False,False,False,True
70,smack,heroin,False,False,False,True
71,junk,heroin,False,False,False,False
72,horse,heroin,False,False,False,False
73,acetomorphine,heroin,False,False,True,False
74,acetylmethadol,heroin,False,False,False,False
75,buprenorphine,heroin,buprenorphine,False,True,False
76,butorphanol,heroin,butorphanol,False,False,False
77,codeine,heroin,codeine,False,False,False
78,fentanyl,heroin,fentanyl,False,True,False
79,hydrocodone,heroin,hydrocodone,False,False,False
80,hydromorphone,heroin,hydromorphone,False,False,False
81,levorphanol,heroin,levorphanol,False,False,False
82,meperidine,heroin,pethidine,False,False,False
83,methadone,heroin,methadone,False,True,True
84,morphine,heroin,morphine,False,False,False
85,diacetylmorphine,heroin,heroin,True,True,True
86,diamorphine,heroin,heroin,True,True,True
87,smack,heroin,False,False,False,True
88,junk,heroin,False,False,False,False
89,smack,heroin,False,False,False,True
90,junk,heroin,False,False,False,False
91,diamorphine,heroin,heroin,True,True,True
92,smack,heroin,False,False,False,True
93,junkie,heroin,heroin,False,True,True
94,horse,heroin,False,False,False,False
95,smack,heroin,False,False,False,True
96,junk,heroin,False,False,False,False
97,brown_sugar,heroin,False,False,False,False
98,China_white,heroin,filgrastim,False,True,True
99,smack,heroin,False,False,False,True
100,junk,heroin,False,False,False,False
101,dope,heroin,False,False,False,True
102,smack,heroin,False,False,False,True
103,junk,heroin,False,False,False,False
104,smack,heroin,False,False,False,True
105,junk,heroin,False,False,False,False
106,brown_sugar,heroin,False,False,False,False
107,skag,heroin,False,False,False,True
108,dope,heroin,False,False,False,True
109,herion,heroin,heroin,True,False,True
110,heroein,heroin,False,False,False,True
111,heroinum,heroin,False,False,True,True
112,morphium,heroin,morphine,False,False,False
113,morphine,heroin,morphine,False,False,False
114,junk,heroin,False,False,False,False
115,smack,heroin,False,False,False,True
116,morphium,heroin,morphine,False,False,False
117,opium,heroin,opium,False,True,True
118,diacetylmorphine,heroin,heroin,True,True,True
119,morphinediacetate,heroin,False,False,True,True
120,smack,heroin,False,False,False,True
121,brown_sugar,heroin,False,False,False,False
122,China_white,heroin,filgrastim,False,True,True
123,dragon,heroin,False,False,False,False
124,smack,heroin,False,False,False,True
125,dope,heroin,False,False,False,True
126,junk,heroin,False,False,False,False
127,horse,heroin,False,False,False,False
128,heroina,heroin,heroin,True,True,True
129,heroína,heroin,False,False,True,True
130,diamorphine,heroin,heroin,True,True,True
131,morphine_diacetate,heroin,False,False,True,True
132,acetylmorphine,heroin,heroin,True,True,True
133,brown_sugar,heroin,False,False,False,False
134,dope,heroin,False,False,False,True
135,smack,heroin,False,False,False,True
136,junk,heroin,False,False,False,False
137,heoin,heroin,False,False,False,True
138,herion,heroin,heroin,True,False,True
139,smack,heroin,False,False,False,True
140,brown_sugar,heroin,False,False,False,False
141,China_white,heroin,filgrastim,False,True,True
142,chiva,heroin,False,False,True,True
143,dragon,heroin,False,False,False,False
144,H,heroin,False,False,Error,False
145,smack,heroin,False,False,False,True
146,dope,heroin,False,False,False,True
147,junk,heroin,False,False,False,False
148,horse,heroin,False,False,False,False
149,smack,heroin,False,False,False,True
150,heronin,heroin,False,False,True,True
151,haeronin,heroin,False,False,Error,Error
152,herronin,heroin,False,False,False,False
153,codeine,heroin,codeine,False,False,False
154,morphine,heroin,morphine,False,False,False
155,acetomorphine,heroin,False,False,True,False
156,acetylmorphine,heroin,heroin,True,True,True
157,herion,heroin,heroin,True,False,True
158,herione,heroin,False,False,True,True
159,heroen,heroin,False,False,False,True
160,heroinum,heroin,False,False,True,True
161,smack,heroin,False,False,False,True
162,junk,heroin,False,False,False,False
163,morphinan-6-ol,heroin,False,False,False,False
164,morphine_diacetate,heroin,False,False,True,True
165,smack,heroin,False,False,False,True
166,junk,heroin,False,False,False,False
167,smack,heroin,False,False,False,True
168,junk,heroin,False,False,False,False
169,horse,heroin,False,False,False,False
170,smack,heroin,False,False,False,True
171,junk,heroin,False,False,False,False
172,smack,heroin,False,False,False,True
173,dope,heroin,False,False,False,True
174,dragon,heroin,False,False,False,False
175,brown_sugar,heroin,False,False,False,False
176,diacetylmorphine,heroin,heroin,True,True,True
177,smack,heroin,False,False,False,True
178,junk,heroin,False,False,False,False
179,brown_sugar,heroin,False,False,False,False
180,China_white,heroin,filgrastim,False,True,True
181,dragon,heroin,False,False,False,False
182,morphine_diacetate,heroin,False,False,True,True
183,smack,heroin,False,False,False,True
184,junk,heroin,False,False,False,False
185,smack,heroin,False,False,False,True
186,junkie,heroin,heroin,False,True,True
187,smack,heroin,False,False,False,True
188,brown_sugar,heroin,False,False,False,False
189,dope,heroin,False,False,False,True
190,junk,heroin,False,False,False,False
191,horse,heroin,False,False,False,False
192,smack,heroin,False,False,False,True
193,junk,heroin,False,False,False,False
194,diamorphine,heroin,heroin,True,True,True
195,smack,heroin,False,False,False,True
196,junk,heroin,False,False,False,False
197,brown_sugar,heroin,False,False,False,False
198,dragon,heroin,False,False,False,False
199,heron,heroin,False,False,False,False
200,harion,heroin,False,False,False,True
201,smack,heroin,False,False,False,True
202,tar,heroin,False,False,False,True
203,brown_sugar,heroin,False,False,False,False
204,herion,heroin,heroin,True,False,True
205,heron,heroin,False,False,False,False
206,herion,heroin,heroin,True,False,True
207,heroinum,heroin,False,False,True,True
208,heron,heroin,False,False,False,False
209,heroinism,heroin,False,False,True,False
210,smack,heroin,False,False,False,True
211,herion,heroin,heroin,True,False,True
212,heron,heroin,False,False,False,False
213,herrin,heroin,False,False,False,False
214,hirion,heroin,False,False,False,True
215,roxanol,heroin,morphine,False,False,False
216,dromoran,heroin,False,False,False,False
217,eucodal,heroin,False,False,False,False
218,fentanyl,heroin,fentanyl,False,True,False
219,heroinum,heroin,False,False,True,True
220,murphy's_law,heroin,False,False,False,False
221,diacetylmorphine,heroin,heroin,True,True,True
222,smack,heroin,False,False,False,True
223,junk,heroin,False,False,False,False
224,brown_sugar,heroin,False,False,False,False
225,skag,heroin,False,False,False,True
226,horse,heroin,False,False,False,False
227,diamorphine,heroin,heroin,True,True,True
228,morphinan-6-ol,heroin,False,False,False,False
229,"3-(2-methylaminoethyl)-1,4-benzodioxane",heroin,False,False,False,False
230,morphium,heroin,morphine,False,False,False
231,smack,heroin,False,False,False,True
232,smack,heroin,False,False,False,True
233,junk,heroin,False,False,False,False
234,smack,heroin,False,False,False,True
235,junk,heroin,False,False,False,False
236,diamorphines,heroin,False,False,True,True
237,diamorphine,heroin,heroin,True,True,True
238,diacetylmorphine,heroin,heroin,True,True,True
239,smack,heroin,False,False,False,True
240,junk,heroin,False,False,False,False
241,diamorphine,heroin,heroin,True,True,True
242,dionin,heroin,False,False,False,False
243,diacetylmorphine,heroin,heroin,True,True,True
244,"D,A,M",heroin,False,False,False,False
245,smack,heroin,False,False,False,True
246,smack,heroin,False,False,False,True
247,junk,heroin,False,False,False,False
248,herion,heroin,heroin,True,False,True
249,herjun,heroin,False,False,False,False
250,herooin,heroin,False,False,True,True
251,heroinum,heroin,False,False,True,True
252,horse,heroin,False,False,False,False
253,smack,heroin,False,False,False,True
254,heroinum,heroin,False,False,True,True
255,"morphinan-3,6-diol",heroin,False,False,False,False
256,smack,heroin,False,False,False,True
257,junk,heroin,False,False,False,False
258,morphinan,heroin,morphine,False,False,False
259,3-methylmorphine,heroin,False,False,False,False
260,diamorphine,heroin,heroin,True,True,True
261,horse,heroin,False,False,False,False
262,junk,heroin,False,False,False,False
263,skag,heroin,False,False,False,True
264,smack,heroin,False,False,False,True
265,smack,heroin,False,False,False,True
266,junk,heroin,False,False,False,False
267,smack,heroin,False,False,False,True
268,horse,heroin,False,False,False,False
269,brown_sugar,heroin,False,False,False,False
270,China_white,heroin,filgrastim,False,True,True
271,dragon,heroin,False,False,False,False
272,smack,heroin,False,False,False,True
273,junk,heroin,False,False,False,False
274,diamorphine,heroin,heroin,True,True,True
275,heromin,heroin,False,False,False,False
276,herion,heroin,heroin,True,False,True
277,diacetylmorphine,heroin,heroin,True,True,True
278,horse,heroin,False,False,False,False
279,herion,heroin,heroin,True,False,True
280,heron,heroin,False,False,False,False
281,smack,heroin,False,False,False,True
282,junk,heroin,False,False,False,False
283,smack,heroin,False,False,False,True
284,brown_sugar,heroin,False,False,False,False
285,China_white,heroin,filgrastim,False,True,True
286,dragon,heroin,False,False,False,False
287,smack,heroin,False,False,False,True
288,junk,heroin,False,False,False,False
289,heron,heroin,False,False,False,False
290,huron,heroin,False,False,False,False
291,herion,heroin,heroin,True,False,True
292,heron,heroin,False,False,False,False
293,heroinum,heroin,False,False,True,True
294,brown_sugar,heroin,False,False,False,False
295,smack,heroin,False,False,False,True
296,horse,heroin,False,False,False,False
297,dragon,heroin,False,False,False,False
298,diamorphine,heroin,heroin,True,True,True
299,morphine_diacetate,heroin,False,False,True,True
300,hirion,heroin,False,False,False,True
301,smack,heroin,False,False,False,True
302,junk,heroin,False,False,False,False
303,smack,heroin,False,False,False,True
304,junk,heroin,False,False,False,False
305,brown_sugar,heroin,False,False,False,False
306,dope,heroin,False,False,False,True
